ID,Roots,Glosses,Occurrences,Comments,LN Base,LN Sense,LN Gloss,LN Definition,LN Note,LN Tag,Categories,Examples,Exhaustive Examples,Level,Expansion Rule,Expansion Rule Status,Distribution,ParentID,Brief Gloss,Linguists Assistant
173665,1,,391,,,0,the number,,,,Cab____,"6,7,1,26|(NPp|John|)|(VP|walk|)|(NPN|for|(APA|1|)|day|)|~John walked for one day.",6|5|1|19|N|||kilogramA||6|7|1|26|N|||dayA||6|8|1|22|N|||bookA||6|9|1|3|N|||manA||6|9|1|3|N|||manA||6|9|1|10|N|||stoneA||4|1|1|27|N|||manA||4|1|1|27|N|||womanA||4|1|2|9|N|||treeA||4|1|2|16|N|||treeA||4|1|2|21|N|||ribA||4|1|2|23|N|||boneA||4|1|2|24|N|||bodyB||4|1|6|19|N|||animalA||4|1|6|19|N|||animalA||4|1|7|2|N|||animalA||4|1|7|2|N|||animalA||4|1|7|16|N|||animalA||4|1|7|16|N|||animalA||4|1|8|7|N|||ravenA||4|1|11|1|N|||languageA||4|1|11|6|N|||groupA||4|1|11|6|N|||languageA||4|1|14|13|N|||manA||4|1|15|9|N|||cowA||4|1|15|9|N|||goatA||4|1|15|9|N|||sheepA||4|1|15|9|N|||doveA||4|1|15|9|N|||pigeonA||4|1|17|14|N|||personA||4|1|18|10|N|||manA||4|1|18|10|N|||yearA||4|1|18|14|N|||yearA||4|1|18|32|N|||questionA||4|1|24|22|N|ring-noseA|weighA|||4|1|24|22|N|||bekaA||4|1|26|10|N|||manA||4|1|27|38|N|IsaacA|blessA|||4|1|29|14|N|||monthA||4|1|29|27|N|||weekA||4|1|29|28|N|||weekA||4|1|31|39|N|||animalA||4|1|31|39|N|||animalA||4|1|31|54|N|||animalA||4|1|33|13|N|||dayA||4|1|34|16|N|||groupA||4|1|34|22|N|||groupA||4|1|37|36|N|||officerA||4|1|38|17|N|||goatA||4|1|38|24|N|||personA||4|1|38|24|N|||manA||4|1|38|28|N|||babyA||4|1|39|1|N|||officialA||4|1|40|9|N|||vineA||4|1|41|5|N|||plant/AstalkA||4|1|41|12|N|||manA||4|1|41|22|N|||plant/AstalkA||4|1|42|11|N|||manA||4|1|42|13|N|||manA||4|1|42|16|N|||brotherA||4|1|42|19|N|||brotherA||4|1|42|27|N|||brotherA||4|1|42|32|N|||manA||4|1|42|32|N|||brotherB||4|1|42|33|N|||brotherC||4|1|44|9|N|||bagA||4|1|44|28|N|||sonA||4|1|45|22|N|||setA||4|1|46|20|N|||godA||4|2|6|25|N|||daughterA||4|2|12|3|N|||lambA||4|2|12|4|N|||mealA||4|2|12|5|N|||yearA||4|2|16|36|N|||omerA||4|2|16|36|N|||omerA||4|2|17|12|N|||sideA||4|2|18|3|N|||sonA||4|2|21|12|N|||personA||4|2|21|13|N|||personA||4|2|21|14|N|||personA||4|2|21|14|N|||personA||4|2|21|16|N|||personA||4|2|21|24|N|||personA||4|2|21|24|N|||eyeA||4|2|21|24|N|||personA||4|2|21|24|N|||toothA||4|2|21|24|N|||personA||4|2|21|24|N|||handA||4|2|21|24|N|||personA||4|2|21|24|N|||footA||4|2|21|25|N|||personA||4|2|21|25|N|||personA||4|2|21|25|N|||personA||4|2|21|35|N|||manA||4|2|22|7|N|||coinA||4|2|22|9|N|||manA||4|2|22|9|N|||manA||4|2|22|25|N|||personA||4|2|25|12|N|||sideA||4|2|25|19|N|||angelA||4|2|25|19|N|||endA||4|2|25|32|N|||sideA||4|2|25|35|N|||cupA||4|2|25|35|N|||cupA||4|2|25|36|N|||pieceA||4|6|3|12|N|||manA||4|6|4|2|N|||manA||4|6|4|4|N|||manA||4|6|4|5|N|||stoneA||4|6|6|3|N|||timesA||4|6|6|11|N|||timesA||4|6|6|14|N|||timesA||4|6|7|14|N|||tribeA||4|6|7|14|N|||groupA||4|6|7|14|N|||familyA||4|6|10|13|N|sunA|moveD|||4|6|10|42|N|||battleA||4|6|12|4|N|||RephaiteA||4|6|17|14|N|JoshuaA|giveA|||4|6|18|6|N|||regionA||4|6|20|3|N|||cityA||4|6|20|3|N|||cityA||4|6|20|4|N|||cityA||4|6|20|9|N|||cityA||4|6|21|38|N|||townA||4|6|22|14|N|||tribeA||4|6|22|20|N|manA|breakC|||4|6|22|29|N|YahwehA|haveA|||4|6|23|10|N|||IsraeliteA||4|6|23|14|N|||promiseA||4|6|24|2|N|||ancestorA||4|7|1|15|N|||partA||4|7|3|25|N|servantA|waitA|||4|7|5|30|N|||womanA||4|7|6|39|N|||thingB||4|7|7|5|N|||groupA||4|7|8|24|N|||thingB||4|7|8|24|N|||earringA||4|7|8|25|N|||earringA||4|7|9|5|N|||stoneA||4|7|9|18|N|||stoneA||4|7|14|20|N|||manA||4|7|15|4|N|||foxA||4|7|15|4|N|||foxA||4|7|16|26|N|||servantA||4|7|16|29|N|||pillarA||4|7|17|5|N|||sonA||4|7|17|5|N|||sonA||4|7|18|2|N|||nightA||4|7|18|19|N|||manA||4|7|20|31|N|||roadA||4|7|21|5|N|||tribeA||4|7|21|6|N|||tribeA||4|7|21|15|N|||tribeA||4|7|21|21|N|||womanA||4|7|21|23|N|||womanA||4|8|1|2|N|||sonA||4|8|2|13|N|||servantA||4|8|2|20|N|||kinsman-redeemerA||4|8|2|20|N|||personA||4|8|4|7|N|||personA||4|8|4|7|N|||personA||4|9|1|2|N|||wifeA||4|9|1|3|N|||sonA||4|9|2|25|N|||personA||4|9|2|25|N|||personA||4|9|2|33|N|YahwehA|allowA|||4|9|2|33|N|descendantA|beL|||4|9|3|2|N|||nightA||4|9|6|18|N|||ratA||4|9|9|3|N|||servantA||4|9|10|3|N|||manA||4|9|13|17|N|||groupA||4|9|14|4|N|||sideA||4|9|14|28|N|||soldierA||4|9|15|28|N|||personA||4|9|16|1|N|||sonA||4|9|16|1|N|||sonA||4|9|16|18|N|||servantA||4|9|16|21|N|||manA||4|9|17|3|N|||hillA||4|9|17|16|N|||manA||4|9|17|21|N|||hillA||4|9|17|34|N|||sheepA||4|9|17|49|N|||stoneA||4|9|21|7|N|||servantA||4|9|23|26|N|||sideA||4|9|25|14|N|||servantA||4|9|26|22|N|||soldierA||4|9|27|3|N|||wifeA||4|9|27|5|N|||townA||4|9|27|11|N|||personA||4|9|27|11|N|||personA||4|9|29|3|N|||officerA||4|9|29|3|N|||yearA||4|9|29|9|N|||angelA||4|9|31|3|N|||arrowA||4|10|2|2|N|||wifeA||4|10|2|13|N|||sideA||4|10|4|2|N|||manA||4|10|6|19|N|||loafA||4|10|6|19|N|||cakeA||4|10|6|19|N|||cakeA||4|10|7|9|N|||manA||4|10|8|2|N|||personA||4|10|8|2|N|||personA||4|10|9|2|N|||servantA||4|10|9|3|N|||sonA||4|10|11|2|N|||eveningA||4|10|11|12|N|||dayA||4|10|12|1|N|||manA||4|10|12|3|N|||lambA||4|10|12|4|N|||manA||4|10|12|4|N|||manA||4|10|13|1|N|||sonA||4|10|13|18|N|||robeA||4|10|13|32|N|||sonA||4|10|14|17|N|||angelA||4|10|14|18|N|||questionA||4|10|14|26|N|||timesA||4|10|14|27|N|||daughterA||4|10|15|2|N|||tribeA||4|10|16|5|N|||relativeA||4|10|18|2|N|||groupA||4|10|18|9|N|||groupA||4|10|18|10|N|||soldierA||4|10|19|27|N|||angelA||4|10|19|43|N|JudahC|beC|||4|10|20|11|N|||manA||4|10|21|18|N|||descendantA||4|10|21|20|N|||descendantA||4|10|23|19|N|||soldierA||4|10|23|23|N|||officerA||4|16|1|2|N|||brotherC||4|16|4|2|N|||dayA||4|16|4|17|N|||handA||4|16|5|18|N|||cowA||4|16|6|2|N|||villageA||4|16|7|63|N|||daughterA||4|16|8|17|N|||weekA||4|17|2|6|N|||JewA||4|17|6|10|N|||robeA||4|17|6|10|N|||horseA||4|17|6|11|N|||robeA||4|17|6|11|N|||horseA||4|27|7|16|N|||personA||4|27|7|16|N|||personA||4|27|8|8|N|||hornA||4|27|8|8|N|||hornA||4|27|8|8|N|||hornA||4|27|8|8|N|||hornA||4|27|9|27|N|||weekA||4|32|3|4|N|||dayA||4|32|4|10|N|||nightA||4|40|2|6|N|||||4|40|2|15|N|||||4|40|4|16|N|||||4|40|5|19|N|||command/AcommandmentA||4|40|5|19|N|||command/AcommandmentA||4|40|5|29|N|||partA||4|40|5|30|N|||partA||4|40|5|31|N|||||4|40|5|36|N|||hairA||4|40|5|38|N|||eyeA||4|40|5|38|N|||eyeA||4|40|5|38|N|||toothA||4|40|5|38|N|||toothA||4|40|5|41|N|||kilometerA||4|41|5|22|N|||leaderA||4|41|6|15|N|||prophetA||4|41|8|14|N|||piece/AloafA||4|41|8|28|N|||personA||4|41|9|5|N|||shelterA||4|41|9|5|N|||shelterA||4|41|9|5|N|||shelterA||4|41|9|41|N|||cupA||4|41|9|42|N|||childA||4|41|9|42|N|||childA||4|41|10|4|N|||||4|41|10|6|N|personA|seeA|||4|41|10|8|N|||bodyB||4|41|10|8|N|||bodyB||4|41|10|15|N|||personA||4|41|10|21|N|||thingB||4|41|10|37|N|||JamesA||4|41|10|37|N|||JamesA||4|41|11|29|N|||questionA||4|41|12|6|N|manA|haveB|||4|41|12|28|N|||person/AscribeA||4|41|12|32|N|||GodA||4|41|12|36|N|||||4|41|13|1|N|||discipleA||4|41|14|5|N|||yearA||4|41|14|5|N|||yearA||4|41|14|10|N|||||4|41|14|18|N|||follower/AdiscipleA||4|41|14|18|N|||follower/AdiscipleA||4|41|14|20|N|||||4|41|14|37|N|||hourA||4|41|14|37|N|||hourA||4|41|14|43|N|||||4|41|14|62|N|||||4|41|14|69|N|||follower/AdiscipleA||4|41|14|70|N|||followerA||4|41|15|6|N|||prisonerA||4|41|15|27|N|||person/ArebelA||4|41|15|34|N|||||4|42|1|9|N|GodA|allowA|||4|42|1|9|N|priestA|enterA|||4|42|2|44|N|||dayA||4|42|3|11|N|||shirtA||4|42|4|26|N|||womanA||4|42|8|2|N|||womanA||4|42|8|42|N|||daughterA||4|42|9|4|N|||houseA||4|42|9|33|N|||tentA||4|42|9|33|N|||tentA||4|42|9|33|N|||tentA||4|42|10|7|N|||houseA||4|42|10|42|N|||thingA||4|42|11|1|N|||discipleA||4|42|12|25|N|discipleA|liveA|||4|42|12|47|N|||slaveA||4|42|13|8|N|||yearA||4|42|13|14|N|||dayA||4|42|15|4|N|||sheepA||4|42|15|7|N|||personA||4|42|15|8|N|||coinA||4|42|15|10|N|||personA||4|42|17|4|N|||dayA||4|42|17|15|N|||personA||4|42|17|34|N|||bedA||4|42|17|34|N|||personA||4|42|17|35|N|||womanA||4|42|17|36|N|||manA||4|42|18|10|N|||personA||4|42|18|22|N|||thingB||4|42|19|13|N|||coinA||4|42|20|10|N|||slaveA||4|42|20|10|N|||slaveA||4|42|20|21|N|||personA||4|42|20|28|N|||SadduceeA||4|42|21|2|N|||containerA||4|42|22|3|N|||apostleA||4|42|22|3|N|||apostleA||4|42|22|47|N|||discipleA||4|42|22|50|N|||discipleA||4|42|22|58|N|||personA||4|42|22|58|N|||personA||4|42|22|59|N|manA|sayA|||4|42|22|70|N|||leaderA||4|42|22|71|N|||leaderA||4|42|23|17|N|||prisonerA||4|42|23|33|N|||man/AcriminalA||4|42|23|35|N|||leaderA||4|42|23|36|N|||soldierA||4|42|23|39|N|||man/AcriminalA||4|42|24|5|N|||angelA||4|42|24|18|N|||discipleA||4|44|1|12|N|mountainA|beF|||4|44|1|21|N|||manA||4|44|1|24|N|||apostleA||4|44|1|26|N|||manA||4|49|2|14|N|||groupA||4|49|2|15|N|||groupA||4|49|2|15|N|||groupA||4|49|2|15|N|||bodyA||4|49|3|6|N|||groupA||4|49|3|6|N|||bodyA||4|49|4|3|N|||bodyA||4|49|4|3|N|||groupA||4|49|4|5|N|||LordA||4|49|4|6|N|||GodA||4|49|4|25|N|||bodyA||4|49|4|26|N|||dayA||4|49|5|30|N|||bodyA||4|49|5|31|N|||bodyA||4|50|1|23|N|||choiceA||4|50|1|27|N|||SpiritA||4|50|1|27|N|||personA||4|50|2|2|N|||spiritA||4|50|3|13|N|||thingB||4|50|4|2|N|||thingB||4|50|4|3|N|||thingB||4|51|2|11|N|||weekA||4|56|1|6|N|||womanA||4|56|1|6|N|||womanA||4|56|1|16|N|||thingB||7|1|1|5|N|MelissaA|sleepA|||7|3|4|7|N|||monthA||7|3|4|7|N|||roosterA||,4,,0,,7,,1
173667,10,,80,,,0,the number,,,,CA_____,"4,8,1,4|(NPp|Naomi|)|(VP|live|)|(NPd|in|Moab|)|(NPN|for|(APA|10|)|year|)|(NPN|with|son|(NPN|of|Naomi|)|)|~Naomi lived in Moab for 10 years.",4|1|16|3|N|||yearA||4|1|18|32|N|personA|beE|||4|1|18|32|N|||personA||4|1|24|10|N|||camelA||4|1|24|22|N|braceletA|weighA|||4|1|24|22|N|||shekelA||4|1|24|55|N|||dayA||4|1|24|57|N|||dayA||4|1|31|7|N|||timesA||4|1|31|41|N|||timesA||4|1|32|15|N|||bullA||4|1|32|15|N|||donkeyA||4|1|42|3|N|||brotherA||4|1|42|3|N|||brotherA||4|1|42|4|N|||brotherA||4|1|45|23|N|||donkeyA||4|1|45|23|N|||donkeyA||4|2|18|21|N|||personA||4|2|18|25|N|||personA||4|2|20|1|N|||commandmentA||4|6|15|57|N|||townA||4|6|17|5|N|tribeA|receiveA|||4|6|21|5|N|||townA||4|6|21|26|N|||townA||4|6|22|14|N|||leaderA||4|7|6|27|N|||servantA||4|7|12|11|N|||yearA||4|7|20|10|N|||manA||4|8|1|4|N|familyA|liveA|||4|8|4|2|N|||manA||4|8|4|2|N|||manA||4|8|4|2|N|||manA||4|8|4|4|N|||leaderA||4|8|4|9|N|||manA||4|8|4|11|N|||manA||4|9|1|8|N|||sonA||4|9|17|17|N|||loafA||4|9|17|18|N|||pieceA||4|9|25|5|N|||manA||4|9|25|38|N|||dayA||4|10|15|16|N|||slaveA||4|10|15|16|N|||slaveA||4|10|15|16|N|||slaveA||4|10|18|15|N|||soldierA||4|10|19|43|N|||tribeA||4|10|20|3|N|||slaveA||4|16|4|12|N|||timeA||4|17|9|12|N|||sonA||4|17|9|13|N|||sonA||4|17|9|14|N|||sonA||4|27|1|12|N|||dayA||4|27|1|13|N|||dayA||4|27|1|14|N|||dayA||4|27|1|14|N|||dayA||4|27|1|15|N|||dayA||4|27|7|7|N|||hornA||4|27|7|8|N|||hornA||4|27|7|20|N|||hornA||4|27|7|24|N|||hornA||4|27|7|24|N|||kingA||4|27|7|24|N|||kingA||4|41|10|41|N|||follower/AdiscipleA||4|41|10|41|N|||follower/AdiscipleA||4|41|12|19|N|||||4|41|13|25|N|||||4|41|13|25|N|||||4|42|14|19|N|||oxA||4|42|15|8|N|||coinA||4|42|17|12|N|||personA||4|42|17|12|N|||personA||4|42|17|15|N|||personA||4|42|17|17|N|||personA||4|42|19|13|N|||manA||4|42|19|16|N|||coinA||4|42|19|17|N|||cityA||4|42|19|24|N|||coinA||4|42|19|25|N|||coinA||7|3|4|5|N|||dayA||7|3|4|5|N|||dayA||7|3|5|9|N|||dayA||,4,,0,,7,,1
173669,1000,,26,,,0,the number,,,,CA_____,,4|2|18|21|N|||personA||4|2|18|25|N|||personA||4|6|3|4|N|personA|walkA|||4|6|23|10|N|||enemyA||4|7|9|49|N|manA|liveA|||4|7|15|15|N|||manA||4|7|15|16|N|||manA||4|7|20|10|N|||manA||4|7|20|10|N|||manA||4|9|8|12|N|||manA||4|9|13|2|N|||manA||4|9|18|7|N|||soldierA||4|9|18|8|N|SaulA|killA|||4|9|18|13|N|||soldierA||4|9|21|11|N|||enemyA||4|9|22|7|N|||soldierA||4|9|25|2|N|||goatA||4|9|29|2|N|||soldierA||4|9|29|5|N|||soldierA||4|10|8|4|N|||chariotA||4|10|10|6|N|||soldierA||4|10|18|1|N|||manA||4|10|18|4|N|||soldierA||4|10|19|17|N|||personA||4|27|5|1|N|||officialA||4|27|5|1|N|||officialA||,4,,0,,7,,1
173671,1005,,,,,0,the number,,,,,,,4,,0,,,,0
173673,105,,1,,,0,the number,,,,CA_____,,4|1|5|6|N|||yearA||,4,,0,,7,,1
173675,1052,,1,,,0,the number,,,,,,4|16|7|40|N|||priestA||,4,,0,,,,0
173676,109,,1,,,0,the number,,,,CA_____,,4|44|1|20|N|Holy-SpiritA|writeA|||,4,,0,,7,,1
173678,11,,20,,,0,the number,,,,CA_____,"4,40,28,16|(NPp|(APA|11|)|disciple|)|(VP|go|)|(NPd|Galilee|)|~The eleven disciples went to Galilee.",4|1|32|22|N|||sonA||4|1|37|9|N|||starA||4|6|15|51|N|||townA||4|7|21|3|N|IsraelA|haveF|||4|40|2|15|N|personA|seeA|||4|40|4|6|N|||||4|41|9|13|N|personA|seeA|||4|41|11|17|N|||||4|41|13|14|N|personA|seeA|||4|41|13|14|N|||||4|41|16|14|N|||discipleA||4|41|16|14|N|||discipleA||4|41|16|14|N|||discipleA||4|41|16|14|N|||discipleA||4|41|16|14|N|||discipleA||4|42|24|9|N|||apostleA||4|42|24|13|N|villageA|beF|||4|42|24|33|N|||apostleA||4|42|24|34|N|||apostleA||4|44|1|26|N|||apostleA||,4,,0,,7,,1
173680,1100,,1,,,0,the number,,,,,,4|16|7|72|N|||kilogramA||,4,,0,,,,0
173682,114,,2,,,0,the number,,,,,,4|2|25|10|N|||centimeterA||4|2|25|17|N|||centimeterA||,4,,0,,,,0
