ID,Mappings,Expansion Rule,Expansion Rule BreakPoint,Collocation Correction Rule,Comment,Comment Fonts,Expansion Rule Status
1,1,,0,,,,11100
2,2,,0,,,,0
3,3,,0,,,,0
4,4,,0,,,,0
5,6,,0,,,,0
6,7,,0,,,,0
7,9,,0,,,,0
8,10,,0,,,,0
9,10,,0,,,,0
10,10,,0,,,,0
11,11,,0,,,,0
12,12,,0,,,,
13,13,,0,|persecute-A|||79,  ,,0
15,14,,0,,,,0
16,15,,0,,,,0
17,16,,0,,,,0
18,17,,0,,,,0
19,18,,0,,,,
20,19,,0,,  ,,0
21,19,,0,,,,0
22,20,,0,,,,0
24,22,,0,,,,0
25,24,,0,,,,11100
26,25,,0,,,,
28,27,,0,,,,0
29,28,,0,,,,0
31,30,,0,,,,0
32,32,,0,,,,11100
33,33,,0,,,,0
34,34,,0,,,,0
35,35,,0,,,,0
37,38,,0,,,,0
38,39,,0,,,,0
39,40,,0,,,,0
40,41,,0,,,,0
41,42,,0,,,,11100
42,43,,0,,,,0
43,44,,0,,,,0
44,45,,0,|attack-A|||92|stare-A|||108|pray-A|||73,  ,,0
45,48,,0,,,,11100
46,49,,0,,,,0
47,50,,0,,,,0
48,51,,0,,,,0
49,53,,0,,,,11100
50,54,,0,,,,0
51,55,,0,,,,0
52,56,,0,,,,0
53,57,,0,,,,
54,5,,0,,,,0
55,,,0,,,,0
56,58,,0,,,,0
57,59,,0,,,,0
59,60,,0,|become-A||troubled-A|33No Degree|punish-A|||79No Degree|reward-A|||33No Degree|suffer-A|||33No Degree|bless-A|||33No Degree|love-A|||99No Degree|hate-A|||75No Degree|love-B|||99No Degree|help-A|||75No Degree|want-B|||68No Degree|work-A|||75No Degree|like-A|||75No Degree|cry-A|||75|increase-A|||33|complain-A|||75|respect-A|||106|attack-B|||105|oppose-A|||105|believe-A|||44|terrify-A|||33|rebuke-A|||110|insult-A|||40|desire-B|||33|praise-A|||33|mourn-A|||33|shake-A|||79|shake-B|||79|warn-D|||102|honor-A|||33|warn-A|||102|sleep-A|||87|amaze-A|||33|think-A|||75|hurt-B|||79|love-A|||99|beg-C|||107|beg-A|||107|weep-A|||22|say-A|||111|try-A|||26|be-D|||33,  ,,0
60,61,,0,,,,0
61,63,,0,,,,0
62,64,,0,,,,0
63,65,,0,,,,0
64,66,,0,,,,0
65,67,,0,,,,0
66,68,,0,,,,0
68,70,,0,,,,0
69,71,,0,,,,0
70,73,,0,,,,0
71,74,,0,,,,
72,75,,0,,,,
73,76,,0,,,,0
74,77,,0,,,,0
75,78,,0,,,,0
76,79,,0,,,,0
77,80,,0,,,,0
78,,,0,,,,
79,82,,0,,,,0
80,83,,0,,,,0
81,84,,0,,,,0
82,85,,0,,,,0
84,89,,0,,,,0
85,88,,0,,,,0
86,90,,0,,,,0
87,91,,0,,,,0
88,93,,0,,,,0
89,94,,0,,,,
90,95,,0,,,,0
91,96,,0,,,,0
92,97,,0,,,,0
93,98,,0,,,,0
94,100,,0,,,,0
95,102,,0,,,,11100
96,103,,0,,,,0
97,,,0,,,,
99,105,,0,,,,0
100,106,,0,,,,11100
101,107,,0,,,,0
102,108,,0,,,,11100
103,109,,0,,,,0
104,110,,0,,,,0
105,111,,0,,,,0
106,68,,0,,,,0
107,69,,0,,,,0
108,70,,0,,,,0
110,71,,0,,,,0
111,72,,0,,,,0
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,,,,,,,
161,,,,,,,
162,,,,,,,
163,,,,,,,
165,,,,,,,
166,,,,,,,
167,,,,,,,
168,,,,,,,
169,,,,,,,
170,,,,,,,
171,,,,,,,
173,,,,,,,
174,,,,,,,
175,,,,,,,
