ID,Book,AlternativeAnalyses
1,Genesis,
2,Exodus,
3,Leviticus,
4,Numbers,
5,Deuteronomy,
6,Joshua,
7,Judges,
8,Ruth,
9,Samuel 1,
10,Samuel 2,
11,Kings 1,
12,Kings 2,
13,Chronicles 1,
14,Chronicles 2,
15,Ezra,
16,Nehemiah,
17,Esther,
18,Job,
19,Psalms,
20,Proverbs,
21,Ecclesiastes,
22,Song of Solomon,
23,Isaiah,
24,Jeremiah,
25,Lamentations,
26,Ezekiel,
27,Daniel,
28,Hosea,
29,Joel,
30,Amos,
31,Obadiah,
32,Jonah,
33,Micah,
34,Nahum,
35,Habbakuk,
36,Zephaniah,
37,Haggai,
38,Zachariah,
39,Malachi,
40,Matthew,
41,Mark,
42,Luke,"11,52&1,0;1,1;2,0;3,0;4,0^11,54&1,0;1,1^"
43,John,
44,Acts,
45,Romans,
46,Corinthians 1,
47,Corinthians 2,
48,Galatians,
49,Ephesians,
50,Philippians,
51,Colossians,
52,Thessalonians 1,
53,Thessalonians 2,
54,Timothy 1,
55,Timothy 2,
56,Titus,
57,Philemon,
58,Hebrews,
59,James,
60,Peter 1,
61,Peter 2,
62,John 1,
63,John 2,
64,John 3,
65,Jude,
66,Revelation,
