ID,SyntacticCategory,View,ColumnName,ColumnWidth
1,0,0,Type,100
2,1,1,Comments,348
3,1,1,Sample Sentences,548
4,2,1,Comments,752
5,2,1,Sample Sentences,1020
6,1,3,Common/Proper,112
7,4,1,Comments,416
8,4,1,Sample Sentences,484
9,4,3,Location in Clause,130
10,3,3,Type,176
11,3,1,Comments,360
12,3,1,Sample Sentences,540
13,3,3,Has Comparative/Superlative Forms,198
14,0,0,Comments,300
15,1,3,Gender,98
16,2,4,Past,198
17,2,4,Perfect Participle,206
18,2,4,Participle,202
19,2,4,Third Singular Present,260
20,1,4,Plural,360
21,1,3,Type of Relative Clause,164
22,8,1,Glosses,222
23,0,0,Capitals,50
24,1,3,Count/Mass,108
25,4,3,Has Comparative/Superlative Forms,188
26,4,2,Comparative,164
27,4,2,Superlative,172
28,2,1,Glosses,190
29,5,1,Glosses,370
30,1,2,Stems,258
31,1,4,Stems,350
32,7,1,Glosses,322
33,7,2,Stems,246
34,7,1,Comments,574
35,7,1,Sample Sentences,678
36,1,2,Plural,360
37,1,1,Glosses,262
38,2,4,Stems,370
39,8,3,Location in Clause,182
40,8,1,Comments,734
41,8,1,Sample Sentences,734
42,5,1,Comments,770
43,5,1,Sample Sentences,770
44,1,4,Glosses,632
45,8,2,Stems,196
46,6,1,Comments,770
47,6,1,Sample Sentences,770
48,0,1,Comments,770
49,0,1,Sample Sentences,770
