ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,Habakkuk 1:1,,,,,,,,
2,Habakkuk 1:2,,,,,,,,
3,Habakkuk 1:3,,,,,,,,
4,Habakkuk 1:4,,,,,,,,
5,Habakkuk 1:5,,,,,,,,
6,Habakkuk 1:6,,,,,,,,
7,Habakkuk 1:7,,,,,,,,
8,Habakkuk 1:8,,,,,,,,
9,Habakkuk 1:9,,,,,,,,
10,Habakkuk 1:10,,,,,,,,
11,Habakkuk 1:11,,,,,,,,
12,Habakkuk 1:12,,,,,,,,
13,Habakkuk 1:13,,,,,,,,
14,Habakkuk 1:14,,,,,,,,
15,Habakkuk 1:15,,,,,,,,
16,Habakkuk 1:16,,,,,,,,
17,Habakkuk 1:17,,,,,,,,
18,Habakkuk 2:1,,,,,,,,
19,Habakkuk 2:2,,,,,,,,
20,Habakkuk 2:3,,,,,,,,
21,Habakkuk 2:4,,,,,,,,
22,Habakkuk 2:5,,,,,,,,
23,Habakkuk 2:6,,,,,,,,
24,Habakkuk 2:7,,,,,,,,
25,Habakkuk 2:8,,,,,,,,
26,Habakkuk 2:9,,,,,,,,
27,Habakkuk 2:10,,,,,,,,
28,Habakkuk 2:11,,,,,,,,
29,Habakkuk 2:12,,,,,,,,
30,Habakkuk 2:13,,,,,,,,
31,Habakkuk 2:14,,,,,,,,
32,Habakkuk 2:15,,,,,,,,
33,Habakkuk 2:16,,,,,,,,
34,Habakkuk 2:17,,,,,,,,
35,Habakkuk 2:18,,,,,,,,
36,Habakkuk 2:19,,,,,,,,
37,Habakkuk 2:20,,,,,,,,
38,Habakkuk 3:1,,,,,,,,
39,Habakkuk 3:2,,,,,,,,
40,Habakkuk 3:3,,,,,,,,
41,Habakkuk 3:4,,,,,,,,
42,Habakkuk 3:5,,,,,,,,
43,Habakkuk 3:6,,,,,,,,
44,Habakkuk 3:7,,,,,,,,
45,Habakkuk 3:8,,,,,,,,
46,Habakkuk 3:9,,,,,,,,
47,Habakkuk 3:10,,,,,,,,
48,Habakkuk 3:11,,,,,,,,
49,Habakkuk 3:12,,,,,,,,
50,Habakkuk 3:13,,,,,,,,
51,Habakkuk 3:14,,,,,,,,
52,Habakkuk 3:15,,,,,,,,
53,Habakkuk 3:16,,,,,,,,
54,Habakkuk 3:17,,,,,,,,
55,Habakkuk 3:18,,,,,,,,
56,Habakkuk 3:19,,,,,,,,
