ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,Joel 1:1,,,,, ,,,
2,Joel 1:2,,,,,,,,
3,Joel 1:3,,,,,,,,
4,Joel 1:4,,,,,,,,
5,Joel 1:5,,,,,,,,
6,Joel 1:6,,,,,,,,
7,Joel 1:7,,,,,,,,
8,Joel 1:8,,,,,,,,
9,Joel 1:9,,,,,,,,
10,Joel 1:10,,,,,,,,
11,Joel 1:11,,,,,,,,
12,Joel 1:12,,,,,,,,
13,Joel 1:13,,,,,,,,
14,Joel 1:14,,,,,,,,
15,Joel 1:15,,,,,,,,
16,Joel 1:16,,,,,,,,
17,Joel 1:17,,,,,,,,
18,Joel 1:18,,,,,,,,
19,Joel 1:19,,,,,,,,
20,Joel 1:20,,,,,,,,
21,Joel 2:1,,,,,,,,
22,Joel 2:2,,,,,,,,
23,Joel 2:3,,,,,,,,
24,Joel 2:4,,,,,,,,
25,Joel 2:5,,,,,,,,
26,Joel 2:6,,,,,,,,
27,Joel 2:7,,,,,,,,
28,Joel 2:8,,,,,,,,
29,Joel 2:9,,,,,,,,
30,Joel 2:10,,,,,,,,
31,Joel 2:11,,,,,,,,
32,Joel 2:12,,,,,,,,
33,Joel 2:13,,,,,,,,
34,Joel 2:14,,,,,,,,
35,Joel 2:15,,,,,,,,
36,Joel 2:16,,,,,,,,
37,Joel 2:17,,,,,,,,
38,Joel 2:18,,,,,,,,
39,Joel 2:19,,,,,,,,
40,Joel 2:20,,,,,,,,
41,Joel 2:21,,,,,,,,
42,Joel 2:22,,,,,,,,
43,Joel 2:23,,,,,,,,
44,Joel 2:24,,,,,,,,
45,Joel 2:25,,,,,,,,
46,Joel 2:26,,,,,,,,
47,Joel 2:27,,,,,,,,
48,Joel 2:28,,,,,,,,
49,Joel 2:29,,,,,,,,
50,Joel 2:30,,,,,,,,
51,Joel 2:31,,,,,,,,
52,Joel 2:32,,,,,,,,
53,Joel 3:1,,,,,,,,
54,Joel 3:2,,,,,,,,
55,Joel 3:3,,,,,,,,
56,Joel 3:4,,,,,,,,
57,Joel 3:5,,,,,,,,
58,Joel 3:6,,,,,,,,
59,Joel 3:7,,,,,,,,
60,Joel 3:8,,,,,,,,
61,Joel 3:9,,,,,,,,
62,Joel 3:10,,,,,,,,
63,Joel 3:11,,,,,,,,
64,Joel 3:12,,,,,,,,
65,Joel 3:13,,,,,,,,
66,Joel 3:14,,,,,,,,
67,Joel 3:15,,,,,,,,
68,Joel 3:16,,,,,,,,
69,Joel 3:17,,,,,,,,
70,Joel 3:18,,,,,,,,
71,Joel 3:19,,,,,,,,
72,Joel 3:20,,,,,,,,
73,Joel 3:21,,,,,,,,
