ID,Roots,Glosses,Occurrences,Comments,LN Base,LN Sense,LN Gloss,LN Definition,LN Note,LN Tag,Categories,Examples,Exhaustive Examples,Level,Expansion Rule,Expansion Rule Status,Generic Thing-Thing Relationships,ParentID,Brief Gloss,Linguists Assistant
677190,1-Chronicles,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677192,1-John,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677193,1-Kings,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677195,1-Samuel,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677196,1-Thessalonians,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677198,12PM,,2,,,0,the time,,,,,,4|41|15|33|becomeA|N4|41|15|33|beB|S,4,,0,,,,0
677199,2-Chronicles,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677201,2-John,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677202,2-Kings,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677204,2PM,,0,,,0,the time,,,,o,,,4,,0,,60,,1
677205,2-Samuel,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677207,2-Timothy,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677208,3-John,,0,,,0,the name of the Bible book,,,,,,,4,,0,,,,0
677210,3PM,,4,,,0,the time,,,,o,,4|41|15|33|becomeA|N4|41|15|33|beB|S4|41|15|34|cry-outB|N4|42|23|44|beD|N,4,,0,,60,,1
677212,5PM,,0,,,0,the time,,,,o,,,4,,0,,60,,1
677214,9AM,,2,,,0,the time,,,,o,,4|41|15|25|beN|S4|41|15|25|beB|S,4,,0,,60,,1
677215,Aaron,,162,,,0,Moses' brother,,,,M,,4|2|4|14||X4|2|4|14|beW|A4|2|4|14|comeA|A4|2|4|14|meetB|A4|2|4|14|meetB|A4|2|4|14|beD|A4|2|4|15|speakA|d4|2|4|15|tellC|d4|2|4|15|sayB|A4|2|4|15|helpB|P4|2|4|15|speakA|A4|2|4|16|speakA|A4|2|4|16|speakA|d4|2|4|16|speakA|A4|2|4|27|sayA|d4|2|4|27|goA|A4|2|4|27|meetB|A4|2|4|27|meetB|A4|2|4|27|kissA|A4|2|4|28|tellC|d4|2|4|28|tellC|d4|2|4|29|returnA|A4|2|4|29|speakA|A4|2|4|30|tellC|A4|2|4|31|tellA|A4|2|5|1|speakA|A4|2|5|1|speakA|A4|2|5|1|goA|A4|2|5|1|sayA|A4|2|5|3|sayA|A4|2|5|4|sayA|d4|2|5|4|wantA|D4|2|5|20|waitD|A4|2|5|20|meetB|A4|2|5|21|sayA|d4|2|6|13|talkA|d4|2|6|13|commandA|P4|2|6|13|leadA|A4|2|6|20|birthA|P4|2|6|23|marryA|A4|2|6|23|birthA|B4|2|6|25|haveB|A4|2|6|26|tellE|d4|2|6|27|talkA|A4|2|6|27|tellB|A4|2|7|1||X4|2|7|2|tellB|A4|2|7|6|obeyA|A4|2|7|7|speakA|A4|2|7|7|beS|A4|2|7|8||X4|2|7|8|talkA|d4|2|7|9|tellB|P4|2|7|9|throwD|A4|2|7|9||X4|2|7|10|goA|A4|2|7|10|doA|A4|2|7|10|commandA|P4|2|7|10|doA|A4|2|7|10|throwD|A4|2|7|10||X4|2|7|12||X4|2|7|13|listenA|P4|2|7|19|tellB|P4|2|7|19|holdA|A4|2|7|19||X4|2|7|19|holdA|A4|2|7|19||X4|2|7|20|obeyA|A4|2|7|20|liftA|A4|2|7|20||X4|2|7|20|hitC|A4|2|7|20||X4|2|7|22|listenA|P4|2|7|23|doA|A4|2|8|5|tellB|P4|2|8|5|holdA|A4|2|8|5||X4|2|8|6|raiseA|A4|2|8|6||X4|2|8|8|callA|P4|2|8|12|leaveB|A4|2|8|15|listenA|P4|2|8|16|sayA|d4|2|8|16|liftA|A4|2|8|16||X4|2|8|16|hitA|A4|2|8|16||X4|2|8|17|liftA|A4|2|8|17||X4|2|8|17|hitA|A4|2|8|17||X4|2|8|19|listenA|P4|2|8|25|callA|P4|2|8|25|sayA|d4|2|9|8|sayA|d4|2|9|10|getA|A4|2|9|10|goA|A4|2|9|12|listenA|P4|2|9|27|callA|P4|2|9|27|sayA|d4|2|10|3|goA|A4|2|10|8|bringA|P4|2|10|8|sayA|d4|2|10|11|leaveA|A4|2|10|16|callA|P4|2|11|9|listenA|P4|2|11|10|doA|A4|2|12|1|speakA|d4|2|12|28|sayB|A4|2|12|31|callA|P4|2|12|31|sayA|d4|2|12|43|sayA|d4|2|12|50|speakA|d4|2|15|20||X4|2|16|2|complainA|d4|2|16|3|sayA|d4|2|16|6|sayA|A4|2|16|8|complainA|d4|2|16|9|sayA|d4|2|16|9|sayA|A4|2|16|10|speakA|A4|2|16|33|sayA|d4|2|16|33|getA|A4|2|16|33|putA|A4|2|16|33|putA|A4|2|16|34|obeyA|A4|2|16|34|putA|A4|2|17|10|climbA|A4|2|17|12|bringA|A4|2|17|12|raiseA|A4|2|17|12|standA|A4|2|17|12|holdC|A4|2|18|12|eatA|A4|2|19|24|bringB|P4|2|24|1|comeA|A4|2|24|9|climbA|A4|2|24|14|beI|A4|2|24|14|goA|d4|6|21|4||X4|6|21|4|beL|A4|6|21|10||X4|6|21|13||X4|6|21|13|beL|A4|6|21|13||X4|6|21|16||X4|6|21|16||X4|6|21|17||X4|6|21|18||X4|6|21|19||X4|6|24|5|sendA|P4|6|24|33||X4|7|20|28||X4|9|2|27||X4|9|12|6|choose/AappointA|P4|9|12|8|sendA|P4|9|12|8|helpA|A4|9|12|8|leadA|A4|9|12|8|bringA|A4|42|1|5||X4|42|1|5|beL|A4|42|1|5||X,4,,0,,13,,0
677217,abba,,2,,,0,an Aramaic word meaning 'father',,,,,,4|41|14|36||D4|41|14|36|beB|A,4,,0,,,,0
677219,Abdon,,11,,,0,a man's name in Judges 12:13,,,,M,,4|6|21|30|beK|S4|7|12|13|becomeC|A4|7|12|13|leadB|A4|7|12|13|beM|A4|7|12|13|beT|A4|7|12|14|haveB|A4|7|12|14|leadB|A4|7|12|15|dieA|A4|7|12|15|beM|A4|7|12|15||X4|7|12|15||X,4,,0,,13,,0
677221,Abednego,,22,,,0,Azariah's Babylonian name,,,,M,,4|27|1|7|nameA|S4|27|2|49|rewardA|P4|27|2|49|allowA|P4|27|2|49|governA|A4|27|3|12|beK|S4|27|3|13|callA|P4|27|3|14|beV|D4|27|3|16|sayA|A4|27|3|19||X4|27|3|19|changeB|P4|27|3|20|tieA|P4|27|3|20|throwB|P4|27|3|21|wearA|A4|27|3|21|tieA|P4|27|3|22|throwB|P4|27|3|23|fallA|A4|27|3|23|tieB|A4|27|3|26|serveA|D4|27|3|26|come-outA|A4|27|3|28|serveA|A4|27|3|29||X4|27|3|30|becomeC|A,4,,0,,13,,0
677222,Abel,,18,,,0,brother of Cain,,,,M,,4|1|4|1|killA|P4|1|4|2||X4|1|4|2|growB|A4|1|4|2|careA|A4|1|4|4|bringA|A4|1|4|4|killA|A4|1|4|4||X4|1|4|4|cut-offA|A4|1|4|4|bringA|A4|1|4|4||X4|1|4|4||X4|1|4|8||X4|1|4|8|goA|A4|1|4|8|beF|A4|1|4|9||X4|1|4|25||X4|1|4|25|killA|P4|42|11|51|liveB|A,4,,0,,13,,0
677224,Abel-Keramim,,1,,,0,the name of a city in Judges 11:33,,,,G,,4|7|11|33|beF|S,4,,0,,50,,0
677226,Abel-Mizraim,,2,,,0,the name of a place in Gen. 50:11,,,,G,,4|1|50|11|callB|S4|1|50|11|meanB|A,4,,0,,,,0
677228,Abiasaph,,1,,,0,a man's name in Exodus 6:24,,,,,,4|2|6|24||X,4,,0,,,,0
678164,fever,,7,,,0,a fever,,,,o,,4|41|1|30|haveE|S4|41|1|31|haveE|S4|42|4|38|haveE|S4|42|4|39|orderA|P4|42|4|39|leaveB|A7|3|4|3|haveE|S7|3|4|4|haveE|S,1,,0,,111,,1
