ID,Reference,Verse,AnalyzedVerse,Notes,NoteFonts,KJV,Manual Analysis,AnalyzersBestAnalysis,Comments
1,Revelations 1:1,,,,,,,,
2,Revelations 1:2,,,,,,,,
3,Revelations 1:3,,,,,,,,
4,Revelations 1:4,,,,,,,,
5,Revelations 1:5,,,,,,,,
6,Revelations 1:6,,,,,,,,
7,Revelations 1:7,,,,,,,,
8,Revelations 1:8,,,,,,,,
9,Revelations 1:9,,,,,,,,
10,Revelations 1:10,,,,,,,,
11,Revelations 1:11,,,,,,,,
12,Revelations 1:12,,,,,,,,
13,Revelations 1:13,,,,,,,,
14,Revelations 1:14,,,,,,,,
15,Revelations 1:15,,,,,,,,
16,Revelations 1:16,,,,,,,,
17,Revelations 1:17,,,,,,,,
18,Revelations 1:18,,,,,,,,
19,Revelations 1:19,,,,,,,,
20,Revelations 1:20,,,,,,,,
21,Revelations 2:1,,,,,,,,
22,Revelations 2:2,,,,,,,,
23,Revelations 2:3,,,,,,,,
24,Revelations 2:4,,,,,,,,
25,Revelations 2:5,,,,,,,,
26,Revelations 2:6,,,,,,,,
27,Revelations 2:7,,,,,,,,
28,Revelations 2:8,,,,,,,,
29,Revelations 2:9,,,,,,,,
30,Revelations 2:10,,,,,,,,
31,Revelations 2:11,,,,,,,,
32,Revelations 2:12,,,,,,,,
33,Revelations 2:13,,,,,,,,
34,Revelations 2:14,,,,,,,,
35,Revelations 2:15,,,,,,,,
36,Revelations 2:16,,,,,,,,
37,Revelations 2:17,,,,,,,,
38,Revelations 2:18,,,,,,,,
39,Revelations 2:19,,,,,,,,
40,Revelations 2:20,,,,,,,,
41,Revelations 2:21,,,,,,,,
42,Revelations 2:22,,,,,,,,
43,Revelations 2:23,,,,,,,,
44,Revelations 2:24,,,,,,,,
45,Revelations 2:25,,,,,,,,
46,Revelations 2:26,,,,,,,,
47,Revelations 2:27,,,,,,,,
48,Revelations 2:28,,,,,,,,
49,Revelations 2:29,,,,,,,,
50,Revelations 3:1,,,,,,,,
51,Revelations 3:2,,,,,,,,
52,Revelations 3:3,,,,,,,,
53,Revelations 3:4,,,,,,,,
54,Revelations 3:5,,,,,,,,
55,Revelations 3:6,,,,,,,,
56,Revelations 3:7,,,,,,,,
57,Revelations 3:8,,,,,,,,
58,Revelations 3:9,,,,,,,,
59,Revelations 3:10,,,,,,,,
60,Revelations 3:11,,,,,,,,
61,Revelations 3:12,,,,,,,,
62,Revelations 3:13,,,,,,,,
63,Revelations 3:14,,,,,,,,
64,Revelations 3:15,,,,,,,,
65,Revelations 3:16,,,,,,,,
66,Revelations 3:17,,,,,,,,
67,Revelations 3:18,,,,,,,,
68,Revelations 3:19,,,,,,,,
69,Revelations 3:20,,,,,,,,
70,Revelations 3:21,,,,,,,,
71,Revelations 3:22,,,,,,,,
72,Revelations 4:1,,,,,,,,
73,Revelations 4:2,,,,,,,,
74,Revelations 4:3,,,,,,,,
75,Revelations 4:4,,,,,,,,
76,Revelations 4:5,,,,,,,,
77,Revelations 4:6,,,,,,,,
78,Revelations 4:7,,,,,,,,
79,Revelations 4:8,,,,,,,,
80,Revelations 4:9,,,,,,,,
81,Revelations 4:10,,,,,,,,
82,Revelations 4:11,,,,,,,,
83,Revelations 5:1,,,,,,,,
84,Revelations 5:2,,,,,,,,
85,Revelations 5:3,,,,,,,,
86,Revelations 5:4,,,,,,,,
87,Revelations 5:5,,,,,,,,
88,Revelations 5:6,,,,,,,,
89,Revelations 5:7,,,,,,,,
90,Revelations 5:8,,,,,,,,
91,Revelations 5:9,,,,,,,,
92,Revelations 5:10,,,,,,,,
93,Revelations 5:11,,,,,,,,
94,Revelations 5:12,,,,,,,,
95,Revelations 5:13,,,,,,,,
96,Revelations 5:14,,,,,,,,
97,Revelations 6:1,,,,,,,,
98,Revelations 6:2,,,,,,,,
99,Revelations 6:3,,,,,,,,
100,Revelations 6:4,,,,,,,,
101,Revelations 6:5,,,,,,,,
102,Revelations 6:6,,,,,,,,
103,Revelations 6:7,,,,,,,,
104,Revelations 6:8,,,,,,,,
105,Revelations 6:9,,,,,,,,
106,Revelations 6:10,,,,,,,,
107,Revelations 6:11,,,,,,,,
108,Revelations 6:12,,,,,,,,
109,Revelations 6:13,,,,,,,,
110,Revelations 6:14,,,,,,,,
111,Revelations 6:15,,,,,,,,
112,Revelations 6:16,,,,,,,,
113,Revelations 6:17,,,,,,,,
114,Revelations 7:1,,,,,,,,
