ID,Chapter,RestructuringRules,DescriptiveRules
1,Nouns 1,4,12
2,Verbs 1,10,22
3,Adjectives 1,14,26
4,Adverbs 1,15,30
5,Adpositions 1,25,32
6,Pronouns 1,26,42
7,Noun Phrases 1,34,43
8,Clauses 1,82,62
9,Discourse 1,109,71
10,Theta Grids 1,314,73
11,Luke 1,326,83
12,Luke 2,332,85
13,Luke 3,339,86
14,Luke 4,344,87
15,Luke 5,346,90
16,Luke 6,348,91
17,Luke 7,351,91
18,Luke 8,351,93
19,Luke 9,352,95
20,Luke 10,352,96
21,Luke 11,356,98
22,Luke 12,360,101
23,Luke 13,360,103
24,Luke 14,362,104
25,Ruth 1,364,104
26,Ruth 2,364,105
27,Ruth 3,364,105
28,Ruth 4,365,105
29,Esther 1,366,105
30,Esther 2,367,105
31,Esther 3,367,105
32,Esther 4,368,106
33,Esther 5,368,106
34,Esther 6,368,106
35,Esther 7,368,106
36,Esther 8,368,106
37,Esther 9,368,106
38,Esther 10,368,106
39,Nahum 1,369,106
40,Nahum 2,369,106
41,Nahum 3,369,106
42,Daniel 1,370,106
43,Daniel 2,370,106
44,Daniel 3,372,108
45,Daniel 4,372,108
46,Daniel 5,372,108
47,Daniel 6,374,108
48,Daniel 7,374,108
49,Daniel 8,376,108
50,Daniel 9,377,109
51,Daniel 10,377,109
52,Daniel 11,377,109
53,Daniel 12,378,109
54,Genesis 1,379,113
55,Genesis 2,379,113
56,Genesis 3,380,113
57,Genesis 4,383,113
58,Genesis 5,383,113
59,Genesis 6,387,114
60,Genesis 7,387,114
61,Genesis 8,387,114
62,Genesis 9,388,115
63,Genesis 10,389,115
64,Genesis 11,389,115
65,Genesis 12,390,115
66,Genesis 13,390,115
67,Genesis 14,391,115
68,Genesis 15,392,115
69,Genesis 16,392,116
70,Genesis 17,394,116
71,Genesis 18,395,116
72,Genesis 19,397,116
73,Genesis 20,398,116
74,Genesis 21,400,116
75,Genesis 22,403,116
76,Genesis 23,403,116
77,Genesis 24,405,116
78,Genesis 25,405,116
79,Genesis 26,405,116
80,Genesis 27,406,116
81,Genesis 28,406,116
82,Genesis 29,406,116
83,Genesis 30,407,116
84,Genesis 31,409,116
85,Genesis 32,411,116
86,Genesis 33,411,116
87,Genesis 34,413,116
88,Genesis 35,413,116
89,Genesis 36,413,116
90,Genesis 37,414,116
91,Genesis 38,415,116
92,Genesis 39,416,116
93,Genesis 40,418,116
94,Genesis 41,419,116
95,Genesis 42,420,117
96,Genesis 43,420,117
97,Genesis 44,420,117
98,Genesis 45,420,117
99,Genesis 46,420,117
100,Genesis 47,422,117
101,Genesis 48,422,117
102,Genesis 49,423,117
103,Genesis 50,423,117
104,Infected Eye 1,423,117
105,Avian Influenza 1,423,117
106,Avian Influenza 2,423,117
107,Avian Influenza 3,423,117
108,Avian Influenza 4,423,117
109,Avian Influenza 5,423,117
110,Kande's Story 1,423,117
111,Kande's Story 2,423,117
112,Kande's Story 3,423,117
113,Kande's Story 4,423,117
114,Kande's Story 5,423,117
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
