ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics
32,1,Common Transfer Rules Copied from the Library,Copied from the Library:  Set Surface Realization of First and Second Person pronouns to Pronoun,1,  Convert all Nouns tagged as First and Second Person to Pronouns.   Pronouns 1:1 I saw Mary.-*-,-*-,"{~|c-(~|n-.~|N-,,,,,12AB,N,,,,,,,,,,,,,,)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0.~|N-,,,,,12,P,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,0-*-,,o00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,o00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
535,2,Common Transfer Rules Copied from the Library,  Copied from Library:  Change Negative Moods to Affirmative Moods with Negative Polarity,1,  Verbs 1:15 Change Unlikely Potential to Probable Potential with Negative Polarity.  Verbs 1:16 Change Impossible Potential to Definite Potential with Negative Polarity.  Verbs 1:19 Change 'should not' Obligation to 'should' Obligation with Negative Polarity.  Verbs 1:20 Change Forbidden Obligation to 'must' Obligation with Negative Polarity.-*-  -*-  -*-  -*-  -*-,-*--*--*--*--*-,"{~|c-(~|v-.~|V-,,d,,,,,,,,,,,,,,,)~|}~|-*-{~|c-(~|v-.~|V-,,e,,,,,,,,,,,,,,,)~|}~|-*-{~|c-(~|v-.~|V-,,h,,,,,,,,,,,,,,,)~|}~|-*-{~|c-(~|v-.~|V-,,i,,,,,,,,,,,,,,,)~|}~|-*-{~|c-(~|v-.~|V-,,j,,,,,,,,,,,,,,,)~|}~|-*-","{~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-,,b,,N,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-,,a,,N,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-,,g,,N,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-,,f,,N,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|v-^~|-1~|0.~|V-,,c,,N,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,"|4,1,2,17^4,1,3,1^4,1,3,3^4,1,9,4^4,1,13,8^4,1,13,9^4,1,20,9^4,1,21,10^4,1,24,3^4,1,24,8^4,1,26,11^4,1,28,1^4,1,29,7^4,1,31,29^4,1,31,36^4,1,31,52^4,1,34,7^4,1,34,30^4,1,37,21^4,1,37,26^4,1,37,27^4,1,41,36^4,1,43,6^4,1,44,22^4,1,44,30^4,2,8,28^4,2,10,24^4,2,10,26^4,2,12,5^4,2,12,16^4,2,12,19^4,2,12,43^4,2,12,48^4,2,13,7^4,2,14,5^4,2,16,23^4,2,16,29^4,2,18,21^4,2,19,12^4,2,19,15^4,2,19,21^4,2,19,23^4,2,19,24^4,2,20,3^4,2,20,4^4,2,20,5^4,2,20,7^4,2,20,10^4,6,9,19^4,6,20,3^4,6,20,5^4,6,20,9^4,6,22,24^4,6,23,7^4,7,2,2^4,7,6,10^4,7,9,28^4,7,9,38^4,7,13,4^4,7,13,7^4,7,13,14^4,7,14,3^4,7,19,24^4,8,3,14^4,9,5,7^4,9,6,7^4,9,11,12^4,9,13,19^4,9,14,24^4,9,14,28^4,9,17,26^4,9,17,32^4,9,18,18^4,9,18,23^4,9,19,4^4,9,19,5^4,9,24,6^4,9,24,9^4,9,27,5^4,9,29,4^4,9,29,9^4,9,30,23^4,10,1,14^4,10,3,24^4,10,3,33^4,10,13,2^4,10,13,12^4,10,13,25^4,10,14,24^4,10,16,10^4,10,18,3^4,10,18,20^4,10,21,4^4,10,21,17^4,10,24,10^4,17,1,19^4,27,3,29^4,27,6,7^4,27,6,12^4,32,3,7^4,32,4,4^4,32,4,9^4,42,1,15^4,42,3,19^4,42,6,2^4,42,6,41^4,42,6,42^4,42,7,39^4,42,9,23^4,42,17,31^4,42,18,1^4,42,18,15^4,42,20,22^4,42,21,21^4,42,22,26^4,42,22,46^4,42,22,48^4,42,22,52^4,42,23,2^",-*--*--*--*--*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
4133,2,Complex Object Insertion Rules - Group 1,"  ""bridegroom"" a man that will marry a woman soon -> bridegroom",1,"  Luke 5:34  While a man that will marry a woman soon is with his friends, ...-*-","14,78-*-","{~|c-(~|n-Aman~|N-[~|c-(~|n-,A,,,,,,,,,,,,Aman~|N-)~|(~|v-Amarry~|V-)~|(~|n-,P,,,,,,,,,,,,Awoman~|N-)~|(~|d-Asoon~|a-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aman~|N-^~|Delete~|0Abridegroom~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Aman~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Amarry~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Awoman~|N-^~|Delete~|0)~|^~|Delete~|0(~|d-^~|Delete~|0Asoon~|a-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Amarry,",,2,"|4,42,5,34^4,42,5,35^",000-*-,,No,No,0,0000000000000000000000000,1Abridegroom
4134,1,Complex Object Insertion Rules - Group 1,"  ""bull"" a male cow",1,  Judges 6:25  -*-,"15,15-*-",{~|c-(~|n-(~|j-Amale~|A-)~|Acow~|N-)~|}~|-*-,"{~|c-^~|-1~|0(~|n-^~|-1~|0Abull~|N-S,D,A,n,K,3,N,N,^5|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1(~|j-^~|Delete~|0Amale~|A-^~|Delete~|0)~|^~|Delete~|0Acow~|N-^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,"|4,7,6,25^4,7,6,26^4,7,6,28^",0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Abull
4135,1,Complex Object Insertion Rules - Group 1,"  ""butter"" solid food that X makes from milk",1,  -*-,-*-,"{~|c-(~|n-,,,,,,,,,,,,,(~|j-Asolid~|A-)~|Afood~|N-[~|c-(~|n-,A,(Aperson)~|N-)~|(~|v-Amake~|V-)~|(~|n-,P,Afood~|N-)~|(~|n-,s,Amilk~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,,,,,,,,,,,,^~|-1~|0Abutter~|N-S,D,A,n,K,3,N,^5|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1(~|j-^~|Delete~|0Asolid~|A-^~|Delete~|0)~|^~|Delete~|0Afood~|N-^~|Delete~|0[~|c-^~|Delete~|0(~|n-,A,^~|Delete~|0(Aperson)~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Amake~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,^~|Delete~|0Afood~|N-^~|Delete~|0)~|^~|Delete~|0(~|n-,s,^~|Delete~|0Amilk~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Afood,",,2,,0000-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Abutter
4136,1,Complex Object Insertion Rules - Group 1,"  ""calf"" a baby cow, a young cow",1,  -*-  Genesis 18:7-*-,-*--*-,{~|c-(~|n-Acow~|N-(~|n-A-Generic Genitive~|P-Cbaby~|N-)~|)~|}~|-*-{~|c-(~|n-(~|j-Ayoung~|A-)~|Acow~|N-)~|}~|-*-,"{~|c-^~|-1~|0(~|n-^~|-1~|0Acalf~|N-S,D,A,n,K,3,N,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1Acow~|N-^~|Delete~|0(~|n-^~|Delete~|0A-Generic Genitive~|P-^~|Delete~|0Cbaby~|N-^~|Delete~|0)~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0(~|j-^~|Delete~|0Ayoung~|A-^~|Delete~|0)~|^~|Delete~|0Acow~|N-^~|Delete~|0Acalf~|N-S,D,A,n,K,3,N,N,^5|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,"|4,9,6,7^4,9,6,10^",00-*-0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Acalf
4137,1,Complex Object Insertion Rules - Group 1,"  ""camel"" a big animal of the desert [(optional) that is able to carry X]",1,  -*-,-*-,"{~|c-(~|n-,,,,,,,,,,,,,(~|j-Abig~|A-)~|Aanimal~|N-(~|n-,N,A-Generic Genitive~|P-Adesert~|N-)~|&[~|c-&(~|n-,A,&Aanimal~|N-&)~|&(~|v-&Dbe~|V-&)~|&(~|j-&Aable~|A-&[~|c-&(~|n-,A,&Aanimal~|N-&)~|&(~|v-&Acarry~|V-&)~|&(~|n-,P,&(Aperson)~|N-&)~|&]~|&)~|&]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,,,,,,,,,,,,^~|-1~|0Acamel~|N-S,D,A,n,K,3,N,^5|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1(~|j-^~|Delete~|0Abig~|A-^~|Delete~|0)~|^~|Delete~|0Aanimal~|N-^~|Delete~|0(~|n-,N,^~|Delete~|0A-Generic Genitive~|P-^~|Delete~|0Adesert~|N-^~|Delete~|0)~|^~|Delete~|0&[~|c-^~|Delete~|0&(~|n-,A,^~|Delete~|0&Aanimal~|N-^~|Delete~|0&)~|^~|Delete~|0&(~|v-^~|Delete~|0&Dbe~|V-^~|Delete~|0&)~|^~|Delete~|0&(~|j-^~|Delete~|0&Aable~|A-^~|Delete~|0&[~|c-^~|Delete~|0&(~|n-,A,^~|Delete~|0&Aanimal~|N-^~|Delete~|0&)~|^~|Delete~|0&(~|v-^~|Delete~|0&Acarry~|V-^~|Delete~|0&)~|^~|Delete~|0&(~|n-,P,^~|Delete~|0&(Aperson)~|N-^~|Delete~|0&)~|^~|Delete~|0&]~|^~|Delete~|0&)~|^~|Delete~|0&]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Aanimal,",,2,,00000-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Acamel
4139,2,Complex Object Insertion Rules - Group 1,"  ""cemetery"" place where people bury people that died -> cemetery",1,  Luke 8:27  This man lived at the place where people bury people that died.-*-,-*-,"{~|c-(~|n-Aplace~|N-[~|c-T,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,Aperson~|N-)~|(~|v-Abury~|V-)~|(~|n-,P,,,,,,,,,,,,Aperson~|N-)~|(~|n-.~|P-Aplace~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0Aplace~|N-^~|Delete~|0Acemetery~|N-S,D,A,n,K,3,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1[~|c-T,,,,,,,,,,,,,,,,,,,,,,,^~|Delete~|0(~|n-,A,,,,,,,,,,,,^~|Delete~|0Aperson~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Abury~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,P,,,,,,,,,,,,^~|Delete~|0Aperson~|N-^~|Delete~|0)~|^~|Delete~|0(~|n-^~|Delete~|0.~|P-^~|Delete~|0Aplace~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Abury,",,2,"|4,42,8,27^",0000-*-,,No,No,0,0000000000000000000000000,1Acemetery
4140,1,Complex Object Insertion Rules - Group 1,"  ""chariot"" a vehicle [that has two wheels] [and that is pulled by horses] OR a war wagon",1,  Bible stories 12:16 And the king caused [Joseph to ride a royal vehicle [that had two wheels] [and was pulled by horses]].-*-  -*-,-*--*-,"{~|c-(~|n-,P,Avehicle~|N-[~|c-(~|n-,A,Avehicle~|N-)~|(~|v-Fhave~|V-)~|(~|n-,S,(~|j-A2~|A-)~|Awheel~|N-)~|]~|&[~|c-&(~|n-,A,&Ahorse~|N-&)~|&(~|v-&Apull~|V-&)~|&(~|n-,P,&Avehicle~|N-&)~|&]~|)~|}~|-*-{~|c-(~|n-,,,,,,,,,,,,,Awagon~|N-(~|n-,N,,,,,,,,,,,,A-Generic Genitive~|P-Awar~|N-)~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-,P,^~|-1~|0Achariot~|N-S,D,A,n,K,3,N,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1Avehicle~|N-^~|Delete~|0[~|c-^~|Delete~|0(~|n-,A,^~|Delete~|0Avehicle~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Fhave~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,S,^~|Delete~|0(~|j-^~|Delete~|0A2~|A-^~|Delete~|0)~|^~|Delete~|0Awheel~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0&[~|c-^~|Delete~|0&(~|n-,A,^~|Delete~|0&Ahorse~|N-^~|Delete~|0&)~|^~|Delete~|0&(~|v-^~|Delete~|0&Apull~|V-^~|Delete~|0&)~|^~|Delete~|0&(~|n-,P,^~|Delete~|0&Avehicle~|N-^~|Delete~|0&)~|^~|Delete~|0&]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-,,,,,,,,,,,,,^~|-1~|0Achariot~|N-S,D,A,n,K,3,N,N,^2|Number,Participant Tracking,Polarity,Proximity,Person,~|Insert~|1Awagon~|N-^~|Delete~|0(~|n-,N,,,,,,,,,,,,^~|Delete~|0A-Generic Genitive~|P-^~|Delete~|0Awar~|N-^~|Delete~|0)~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Avehicle,Awagon,",,2,,00000-*-00-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Achariot
4141,1,Complex Object Insertion Rules - Group 1,"  ""chasm"" a deep valley that has steep sides",1,  Luke 16:26  -*-,"14,14-*-","{~|c-(~|n-,A,(~|j-Adeep~|A-)~|Avalley~|N-[~|c-(~|n-,A,Avalley~|N-)~|(~|v-Fhave~|V-)~|(~|n-,S,(~|j-Asteep~|A-)~|Aside~|N-)~|]~|)~|}~|-*-","{~|c-^~|-1~|0(~|n-,A,^~|-1~|0Achasm~|N-S,D,A,n,K,3,N,N,^5|Number,Participant Tracking,Polarity,Proximity,Person,Surface Realization,Participant Status,~|Insert~|1(~|j-^~|Delete~|0Adeep~|A-^~|Delete~|0)~|^~|Delete~|0Avalley~|N-^~|Delete~|0[~|c-^~|Delete~|0(~|n-,A,^~|Delete~|0Avalley~|N-^~|Delete~|0)~|^~|Delete~|0(~|v-^~|Delete~|0Fhave~|V-^~|Delete~|0)~|^~|Delete~|0(~|n-,S,^~|Delete~|0(~|j-^~|Delete~|0Asteep~|A-^~|Delete~|0)~|^~|Delete~|0Aside~|N-^~|Delete~|0)~|^~|Delete~|0]~|^~|Delete~|0)~|^~|-1~|0}~|^~|-1~|0-*-","Avalley,",,2,"|4,42,16,26^",000-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1Achasm
