ID,SyntacticCategory,GroupName,RulesName,FirstWordPOS,SecondWordPOS,DeleteAmbiguousWord,Environment,Concepts,Status,Comment,CommentFonts,NameFonts,References,GrammarTopics
1,1,Noun-Verb Combinations,"If Noun-Verb preceded by an Article or Demonstrative, delete the Verb",1,2,1,definite_article;indefinite_article;plural_indefinite_article;near_demonstrative;remote_demonstrative;remote_demonstrative_relativizer_complementizer(Adjective)Ambiguous-POS,,1,Definite Article: Daniel 3:4  I will read the command(N/V).    Indefinite Article: Daniel 3:10 The king made a command(N/V).  Near Demonstrative:  Daniel 3:11 People who do not obey this command(N/V) ...  Remote Demonstrative:  Daniel 5:17 You may give those rewards(N/V) to another person.  Remote-Demonstrative-Relativizer-Complmentizer:  Daniel 1:11 Daniel spoke to that guard(N/V).,,,,
5,1,Noun-Adjective Combinations,'be kind(N/Adj) to ...',1,3,0,"Verb(""be"") Ambiguous-POS Adposition(""to"")",kind,1,Daniel 9:17  Be kind to your holy place.,,,,
6,1,Adverb-Adposition Combinations,"If Adverb-Adposition followed by a Noun, delete the Adverb",4,5,0,Ambiguous-POS (definite_article;indefinite_article) Noun,,1,Daniel 1:1 when(Adv/Adp) Jehoiakim ... 3:5 when(Adv/Adp) the people hear ...,,,,
9,1,Noun-Verb Combinations,"If Noun-Verb preceded by Negative Verb Polarity, delete the Noun",1,2,0,negative_verb_polarity Ambiguous-POS,,1,Daniel 3:12  These men do not honor(N/V) ...,,,,
10,1,Noun-Verb Combinations,"If Noun-Verb preceded by a Verb, Adjective, Adposition or Conjunction, delete the Verb",1,2,1,"Verb;Adposition(~""to"");Adjective;Conjunction(first_person_pronoun_singular;first_person_pronoun_plural;second_person_pronoun)Ambiguous-POS",,1,"Preceded by a Verb:  Daniel 3:2  people that collect tax(N/V) ...   Preceded by an Adjective:  Daniel 1:7 The official gave new names(N/V) to the men.   Preceded by a Conjunction:  Because we don't allow coordinate VPs in these propositions, if there's a Conjunction preceding the Noun/Verb, the word must be a Noun.  Daniel 2:37 God has given wealth and honor(N/V) to you.  The Adposition can't be 'to' as in Ruth 2:22 continue to work(N/V) ...  Daniel 1:17  Daniel understood all kinds of dreams(N/V).  Skip over first person pronouns as in Daniel 2:5 ""my dream"" = ""king of first_person_pronoun dream""  ",,,,
11,1,Noun-Adjective Combinations,"If Noun-Adjective 'half' followed by 'of', Delete the Noun",1,3,0,"Ambiguous-POS Adposition(""of"")",half,1,Kande's Story 3:11  We must give half of the crops that we harvest ...,,,,
12,1,Noun-Adjective Combinations,"If Noun-Adjective preceded by an Intensifier, Delete the Noun",1,3,0,intensifier Ambiguous-POS,,1,Daniel 6:3  The king knew that Daniel did his work very well(N/Adj/Adv).,,,,
13,1,Adjective-Adposition Combinations,"If Adjective-Adposition followed by a Definite Article, Delete the Adjective",3,5,0,Ambiguous-POS definite_article,,1,Daniel 1:4 Asphenaz taught them about(Adj/Adp) the ...,,,,
14,1,Noun-Verb Combinations,"If Noun-Verb preceded by an Adposition, delete the Verb",1,2,1,"Adposition(~""to"")(first_person_pronoun_singular;first_person_pronoun_plural;second_person_pronoun)Ambiguous-POS",,0,"Daniel 1:17  Daniel understood all kinds of dreams(N/V).  Skip over first person pronouns as in Daniel 2:5 ""my dream"" = ""king of first_person_pronoun dream""  Exclude 'to' as in Ruth 2:22  ""It is good that you continue to work(N/V) ...""  The 'to' indicates an infinitive due to 'continue.'",,,,
15,1,Noun-Verb Combinations,"If Noun-Verb preceded by 'must' Mood, delete the Noun",1,2,0,must_mood;must_not_mood Ambiguous-POS,,1,Daniel 3:5 You must honor(N/V) ...  Avian Influenza 5:3  You must not put(N/V) ...,,,,
