ID,SyntacticCategory,GroupName,RulesName,TriggerWord,LocationOfDestinationWord,RuleType,SkipWords,DestinationSyntacticCategory,Features,Status,Comment,CommentFonts,NameFonts,References,GrammarTopics
59,1,Adjective and Adverb Degree,Superlative Adjectives,superlative_degree,1,0,,3,"S,,,,,,",1,Daniel 9:24 God will anoint the most holy person.,,,,
60,1,Aspect,Habitual Aspect,habitual_aspect,1,0,,2,",H,,,,,,,,,,,,,,,",1,"Ruth 2:2 When people harvest grain, they regularly drop some grain.",,,,
62,1,Polarity,Emphatic Affirmative Polarity,emphatic_affirmative,1,0,,2,",,,,E,,,,,,,,,,,,",1,Ruth 3:18  Boaz will definitely talk to that man today.,,,,
63,1,Mood,'could' Mood,could_mood,1,0,,2,",,I,,,,,,,,,,,,,,",1,Daniel 2:35  'so that people could not see them.'  'could' isn't really a Mood; it occurs in 'so that' adverbial clauses.  So this rule will delete it and set the verb's Mood to Indicative.,,,"4,27,2,35^",
64,1,Mood,'may' Mood,may_mood,1,0,,2,"E,,l,,,,,,,,,,,,,,",1,Daniel 5:17  You may keep those gifts.,,,,
65,1,Mood,'probably' Mood,probably_mood,1,0,,2,",,b,,,,,,,,,,,,,,",1,Verbs 1:13 John will probably walk.,,,,
66,1,Mood,'probably not' Mood,probably_not_mood,1,0,,2,",,d,,,,,,,,,,,,,,",1,Verbs 1:15 John will probably not walk.,,,,
67,1,Adjective and Adverb Degree,'least' Adjectives,least_degree,1,0,,3,"l,,,,,,",1,Luke 9:48  The person that is the least important ...,,,,
68,1,Adjective and Adverb Degree,Superlative Adverbs,superlative_degree,1,0,,4,"S,,,,,",1,Adverbs 1:3 John walked most quickly.,,,,
69,1,Subordinate Clauses,Subject Complement Clauses,subject_complement,0,0,,8,,0,Clauses 1:66 It pleased Mary that John read a book.,,,,
70,1,Specifiers,Change what-Interrogative to Participant Tracking Interrogative,what-interrogative,0,0,,1,",Q,,,,,,,,,,,,,,,",1,Daniel 2:3  I want to know what this dream means.,,,,
71,1,Specifiers,Change interrogative to Interrogative Participant Tracking,interrogative,1,0,,1,",Q,,,,,,,,,,,,,,,",1,Clauses 1:98  Which book did John read?,,,,
72,1,Adjective and Adverb Degree,Adverb 'too' Degree,too_degree,1,0,,4,"T,,,,,",1,Adverbs 1:5 John walked too quickly.,,,,
