ID,SyntacticCategory,GroupName,RulesName,Input,Output,Status,Comment,CommentFonts,NameFonts,References,GrammarTopics,RuleType,PunctuationTable
1,1,Punctuation,"  Change '“' to '""'",“,"""",1,  Change Word's opening quotation mark to a standard opening quotation mark.,,,,,,
5,1,Combine Words with Dashes,  'in-order-to', in order to , in-order-to ,1,  ,,,"4,27,1,5^4,27,1,6^4,27,2,13^4,27,2,16^4,27,2,38^4,27,2,40^4,27,3,3^4,27,3,12^4,27,3,27^4,27,3,28^",,,
7,1,Expressions,  change 'because of' to 'because', because of , because ,1,  ,,,"4,27,2,1^",,,
8,1,"Forms of ""to be""","  change 'is', 'am' and 'are' to 'be time^present_tense'", is ; am ; are , be time^present_tense ,1,  ,,,"4,27,1,10^4,27,2,5^4,27,2,6^4,27,2,9^4,27,2,10^4,27,2,11^4,27,2,20^4,27,2,22^4,27,2,23^4,27,2,25^4,27,2,26^4,27,2,27^4,27,2,28^4,27,2,29^4,27,2,30^4,27,2,35^4,27,2,37^4,27,2,38^4,27,2,39^4,27,2,40^4,27,2,41^4,27,2,43^4,27,2,44^",,,
13,1,Punctuation,"  Change '“' to '""'",“,"""",1,  Change Word's opening quotation mark to a standard opening quotation mark.,,,,,,
16,1,Combine Words with Dashes,  'in-front-of', in front of , in-front-of ,1,  ,,,"4,27,2,2^4,27,2,31^4,27,2,46^4,27,3,3^",,,
17,1,Articles and Demonstratives,  Change 'a/an' to 'a^indefinite_article', a ; an , a^indefinite_article ,1,  ,,,"4,27,1,1^4,27,1,11^4,27,1,21^4,27,2,10^4,27,2,11^4,27,2,16^4,27,2,19^4,27,2,22^4,27,2,25^4,27,2,31^4,27,2,34^4,27,2,35^4,27,2,37^4,27,2,39^4,27,2,40^4,27,2,43^4,27,2,44^4,27,2,45^4,27,3,1^4,27,3,6^4,27,3,10^4,27,3,11^4,27,3,15^",,,
18,1,Articles and Demonstratives,  Change 'some' to 'some^plural_indefinite_article', some , some^plural_indefinite_article ,1,  ,,,"4,27,1,2^4,27,2,9^4,27,3,8^4,27,3,12^4,27,3,13^4,27,5,2^4,27,5,13^",,,
19,1,Articles and Demonstratives,  Change 'the' to 'the^definite_article', the , the^definite_article ,1,  ,,,"4,27,1,1^4,27,1,2^4,27,1,3^4,27,1,4^4,27,1,5^4,27,1,6^4,27,1,7^4,27,1,8^4,27,1,9^4,27,1,10^4,27,1,11^4,27,1,12^4,27,1,13^4,27,1,14^4,27,1,15^4,27,1,16^4,27,1,18^4,27,1,19^4,27,1,20^4,27,1,21^4,27,2,1^4,27,2,2^4,27,2,3^4,27,2,4^",,,
20,1,Articles and Demonstratives,  Change 'this/these' to 'this^near_demonstrative', this ; these , this^near_demonstrative ,1,  ,,,"4,27,1,2^4,27,1,4^4,27,1,5^4,27,1,6^4,27,1,7^4,27,1,14^4,27,1,15^4,27,1,16^4,27,1,17^4,27,1,19^4,27,1,20^4,27,2,1^4,27,2,3^4,27,2,11^4,27,2,18^4,27,2,25^4,27,2,27^4,27,2,28^4,27,2,29^4,27,2,30^4,27,2,36^4,27,2,38^4,27,2,40^",,,
