ID,SyntacticCategory,FormName,RulesName,RuleType,Modification,RulesParsing,BaseForm,Morpheme,Status,Comment,InfixParsing,CommentFonts,TableComments,NameFonts,GrammarTopics,ExtraMorpheme,TriggerWords
1,1,Plural,  Add suffix s-Plural for Countable nouns,0,1,",,,C,",Stem,s,1,"   books, chairs, windows, doors, etc.",,"4,34",,"14,14",1,Plural,
2,2,Past,  Add suffix ed-Past Tense,0,1,,Stem,ed,1,"   walked, talked, looked, etc.",,"4,27",,"14,15",9,Past Tense,
3,2,Perfect,  Select the Past form,2,0,,Past,,1,"   The past participle is generally identical to the past tense form (I have studied, lived, lifted, etc.), but many verbs have suppletive past participles (e.g., I have eaten, sung, written, etc.).",,"71,101,164,191",,,10|9,,
4,2,Participle,  Add suffix ing-Participle,0,1,,Stem,ing,1,"   eating, sleeping, walking, etc.",,"4,30",,"14,16",,Participle,
5,2,Third Singular Present,  Add suffix s-Third Singular Present,0,1,,Stem,s,1,"   John walks, sleeps, eats, etc.",,"4,29",,"14,14",9,Third Singular Present,
6,2,Third Singular Present,  Change sh+s[Third Singular Present] to sh+es,1,3,"2011s^es^sh,ch,ss,x^",Current entry,Third Singular Present,1,"   finishes, washes, teaches, blesses, mixes",,"4,44",,"10,11,13,13,42,43,45,46",32,es,
7,2,Past,"  When verb stem ends with CVC, reduplicate final C before adding -ed",1,3,"*0101ed^^C,|V,|C,|||^0",Current entry,Past Tense,1,"  committed, controlled, dipped, dropped, grabbed, hugged, planned, plotted, regretted, stopped, tripped, whipped, wrapped   There are exceptions: delivered, entered, gathered, honored    This rule shouldn't apply when the final consonant is r as in covered; we don't want coverred.",,"3,125,148,184,243,244,251,257,274,281",,"67,69",32,,
8,2,Participle,"  When verb stem ends with CVC, reduplicate final C before adding -ing",1,3,"*0101ing^^C,|V,|C,|||^0",Current entry,Participle,1,  stopping,,"3,10",,"67,70",32,,
9,2,Past,"  When verb stem ends with e,  delete the -e before adding -ed",1,3,0111ed^^e^,Current entry,Past Tense,1,  continued,,"3,11",,"28,30,43,44,60,62",33,,
10,2,Participle,"  When Verb stem ends with -e, delete the -e before adding -ing",1,3,0111ing^^e^,Current entry,Participle,1,  continuing,,"3,12",,"29,31,43,44,60,63",33,,
12,3,Superlative,  Add suffix est-Superlative,0,1,",Y,",Stem,est,1,"   biggest, tallest, prettiest, etc.",,"4,31",,"14,16",14,Superlative,
13,3,Comparative,  Add word more-Degree,0,4,",y,",Stem,more,1,"   more interested, most interested",,"4,35",,"12,15",16,Degree,
14,3,Superlative,  Add word most-Degree,0,4,",y,",Stem,most,1,   most interested,,"4,18",,"12,15",14,Degree,
15,3,Comparative,"  When an Adjective stem ends with CVC, reduplicate the final C before adding -er",1,3,"*0101er^^C,|V,|C,|||^0",Current entry,Comparative,1,  bigger,,"3,8",,"79,81",32,,
16,3,Superlative,"  When an Adjective stem ends with CVC, reduplicate the final C before adding -est",1,3,"*0101est^^C,|V,|C,|||^0",Current entry,Superlative,1,  biggest,,"3,9",,"79,82",32,,
17,2,Past,  Change final y to i before adding -ed,1,3,0111ed^^y^i,Current entry,Past Tense,0,  studied,,"3,9",,"16,16,21,21,37,39",33,,
18,2,Third Singular Present,  Change y+s[Third Singular Present] to i+es,1,3,2111s^es^y^i,Current entry,Third Singular Present,1,   studies,,"4,10",,"10,10,12,12,41,41,43,44",33,es,
19,1,Plural,  Change y+s[Plural] to i+es,1,3,2111s^es^y^i,Current entry,Plural,1,   enemies,,"4,10",,"10,10,12,12,25,25,27,28",33,es,
20,1,Plural,  Change sh+s[Plural] to sh+es,1,3,"2011s^es^s,x,sh,ch^",Current entry,Plural,1,"   buses, taxes, bushes, churches",,"4,8,11,15,18,33",,"10,11,13,13,26,27,29,30",32,es,
21,3,Comparative,  Change y+er[Comparative] to i+er,1,3,0111er^^y^i,Current entry,Comparative,1,   angrier,,"4,10",,"10,10,12,13,31,31,33,34",33,,
