ID,TimeStamp,RuleType,SyntacticCategory,GroupNumber,RuleNumber,Comment,CommentFonts
2436,4/21/2022 7:47:07 PM,10,1,5,15,,
2437,4/23/2022 8:13:47 AM,12,0,2,65,,
2438,4/23/2022 8:17:00 AM,10,1,5,15,,
2439,4/25/2022 2:20:47 PM,15,1,2,43,,
2440,4/25/2022 2:45:27 PM,9,1,1,9,,
2441,4/25/2022 2:47:32 PM,9,1,1,9,,
2442,4/25/2022 3:35:20 PM,15,1,4,6,,
2443,4/26/2022 9:35:09 AM,15,1,4,33,,
2444,4/26/2022 2:58:48 PM,15,1,6,2,,
2445,4/27/2022 8:25:57 AM,15,1,3,53,,
2446,4/27/2022 9:12:35 AM,15,1,4,53,,
2447,4/27/2022 10:44:45 AM,15,1,3,28,,
2448,4/27/2022 11:40:13 AM,15,1,3,28,,
2449,4/27/2022 11:48:38 AM,15,1,2,63,,
2450,4/27/2022 11:49:33 AM,15,1,2,51,,
2451,4/27/2022 1:16:19 PM,4,2,1,1,,
2452,4/27/2022 1:42:52 PM,12,0,9,29,,
2453,4/27/2022 1:44:46 PM,12,0,9,29,,
2454,4/27/2022 1:46:24 PM,12,0,9,29,,
2455,4/27/2022 2:11:22 PM,15,1,2,57,,
2456,4/27/2022 2:13:14 PM,15,1,2,57,,
2457,4/27/2022 2:30:54 PM,15,1,4,54,,
2458,4/27/2022 2:31:41 PM,15,1,4,14,,
2459,4/27/2022 2:32:33 PM,15,1,4,14,,
2460,4/27/2022 4:25:37 PM,9,1,1,9,,
2461,4/27/2022 4:40:32 PM,9,1,1,9,,
2462,4/28/2022 8:28:48 AM,13,1,1,9,,
2463,4/28/2022 10:50:01 AM,12,0,4,48,,
2464,5/3/2022 9:45:37 AM,4,2,1,1,,
2465,5/3/2022 10:26:20 AM,12,0,11,2,,
2466,5/3/2022 10:28:29 AM,4,2,1,1,,
2467,5/3/2022 10:36:12 AM,15,1,4,12,,
2468,5/3/2022 10:36:30 AM,15,1,4,13,,
2469,5/3/2022 10:48:45 AM,12,0,7,36,,
2470,5/3/2022 10:57:10 AM,10,1,10,2,,
2471,5/3/2022 11:12:07 AM,15,1,4,31,,
2472,5/3/2022 11:56:02 AM,15,1,2,43,,
2473,5/3/2022 11:57:51 AM,15,1,2,43,,
2474,5/3/2022 1:27:52 PM,12,0,5,30,,
2475,5/3/2022 1:28:43 PM,12,0,5,30,,
2476,5/3/2022 1:31:44 PM,12,0,5,30,,
2477,5/3/2022 1:33:35 PM,10,1,6,4,,
2478,5/3/2022 1:40:52 PM,10,1,6,4,,
2479,5/3/2022 1:42:09 PM,10,1,6,4,,
2396,3/22/2022 2:57:38 PM,12,1,2,72,,
2397,3/22/2022 3:19:19 PM,12,0,15,64,,
2398,3/22/2022 3:21:23 PM,12,0,15,64,,
2399,3/22/2022 3:24:27 PM,12,0,14,34,,
2400,3/22/2022 3:30:56 PM,15,1,2,62,,
2401,3/24/2022 1:03:05 PM,4,2,1,1,,
2402,3/30/2022 1:33:46 PM,8,105,2,12,,
2403,3/30/2022 1:34:35 PM,8,105,2,12,,
2404,3/30/2022 1:38:16 PM,10,1,6,7,,
2405,3/30/2022 1:39:02 PM,10,1,6,7,,
2406,3/30/2022 1:39:53 PM,10,1,6,7,,
2407,3/30/2022 1:49:40 PM,4,2,1,1,,
2408,3/30/2022 1:50:13 PM,4,2,1,1,,
2409,3/30/2022 1:56:51 PM,4,2,1,1,,
2410,3/30/2022 2:01:54 PM,4,2,1,1,,
2411,3/30/2022 2:02:49 PM,4,2,1,1,,
2412,3/30/2022 3:36:23 PM,15,1,4,28,,
2413,3/30/2022 3:37:08 PM,15,1,4,28,,
2414,4/5/2022 4:22:11 PM,15,1,2,63,,
2415,4/6/2022 8:26:28 AM,12,1,5,83,,
2416,4/6/2022 8:26:38 AM,12,1,5,83,,
2417,4/6/2022 9:38:53 AM,15,1,4,52,,
2418,4/6/2022 9:40:26 AM,15,1,4,13,,
2419,4/6/2022 9:56:03 AM,15,1,4,14,,
2420,4/8/2022 4:35:02 PM,7,1,4,1,,
2421,4/8/2022 4:36:19 PM,7,1,4,1,,
2422,4/8/2022 4:37:59 PM,7,1,4,1,,
2423,4/8/2022 4:39:53 PM,7,1,4,1,,
2424,4/11/2022 8:13:18 AM,12,1,10,92,,
2425,4/14/2022 11:58:32 AM,10,4,4,2,,
2428,4/16/2022 10:09:07 AM,10,1,3,3,,
2429,4/18/2022 11:47:52 AM,12,0,8,10,,
2430,4/18/2022 11:48:49 AM,12,0,8,10,,
2431,4/19/2022 11:23:06 AM,12,0,9,21,,
2432,4/21/2022 9:59:35 AM,15,1,4,34,,
2433,4/21/2022 7:16:42 PM,12,1,4,81,,
2434,4/21/2022 7:17:48 PM,12,0,9,62,,
2480,5/4/2022 9:03:40 AM,10,1,2,5,,
2491,5/4/2022 10:16:48 AM,13,1,1,3,,
2492,5/4/2022 10:19:33 AM,13,1,1,3,,
2493,5/9/2022 9:03:48 AM,10,1,6,16,,
2494,5/9/2022 9:12:22 AM,10,1,6,16,,
2395,3/11/2022 7:46:00 PM,4,2,1,1,,
2426,4/14/2022 1:26:48 PM,4,2,1,1,,
2427,4/14/2022 1:48:08 PM,10,1,3,3,,
2435,4/21/2022 7:24:20 PM,12,1,10,99,,
2481,5/4/2022 9:26:40 AM,15,1,3,54,,
2482,5/4/2022 9:27:50 AM,15,1,3,32,,
2483,5/4/2022 9:28:33 AM,12,0,11,58,,
2484,5/4/2022 9:29:01 AM,15,1,3,32,,
2485,5/4/2022 9:41:14 AM,15,1,4,3,,
2486,5/4/2022 9:41:49 AM,15,1,4,3,,
2487,5/4/2022 9:42:51 AM,15,1,4,31,,
2488,5/4/2022 9:46:25 AM,4,2,1,1,,
2489,5/4/2022 10:01:28 AM,10,1,1,6,,
2490,5/4/2022 10:15:48 AM,13,1,1,3,,
