ID,InputFeatures,OutputFeatures,Comment,CommentFonts,References,Status
1,"Y,,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","P,,,",  Nouns 1:1  A man walked.,"14,26",,1
2,"P,,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","p,,,",  Verbs 1:2  John walks.,"14,24",,1
3,"Z,,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","F,,,",  Verbs 1:3  John will walk.,"14,28",,1
4,",H,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",H,,",  Verbs 1:4  John regularly walked.,"14,35",,1
5,",C,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",C,,",  Verbs 1:5  John finished walking.,"14,35",,1
6,",N,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",N,,",  Verbs 1:6  John started walking.,"14,34",,1
7,",c,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",c,,",  Verbs 1:7  John stopped walking.,"14,34",,1
8,",o,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",o,,",  Verbs 1:8  John continued walking.,"14,36",,1
9,",G,,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","p,G,,",  Verbs 1:9  John always walks.,"14,31",,1
10,",,I,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,I,",  ,,,1
11,",,a,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,a,",  Verbs 1:11 John will definitely walk.,"14,39",,1
12,",,b,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,b,",  Verbs 1:12  John will probably walk.,"15,38",,1
14,",,f,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,f,",  ,,,1
15,"Y,,f,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","P,,f,","  Luke 2:1  All the people had to go ...  I turned this row and row 16 off because 'must' Obligation shouldn't set the Target Tense and Form value.  'must' can occur with any tense, so row 14 handles all tenses.","13,40",,0
16,"Z,,f,,,,,,,,,,,,,,,^,,,,,,^,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","F,,f,",  Genesis 11:4:5  We will have to move to other regions.,"18,56",,0
