ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics,ExtraInfo
1,5,Text Preprocessors,  Set Adverbial Clause Type,1,  -*-,-*-,"{~|c-E,,,,,,,,,,,,,,,,,,,,,,,,Aafter,Aalthough,Abecause,Abefore,Aby,Aeven-if,Aeven-though,Aif,Bif,Cif,Ain,Ain-order-to,Ainstead,Binstead,Ajust-like,Amore-than,Asince,Aso,Bso,Cso,Aunless,Auntil,Awhen,Awhenever,Awhile,Bwhen~|P-}~|-*-","{~|c-Amore-than,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,$Athan,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,$Aif,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,$Bif,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,$Cif,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,$Aalthough,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,$Aeven-though,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,$Aeven-if,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,$Aby,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,$Ain-order-to,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,$Abecause,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,$Aso,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,$Cso,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,$Bso,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,$Ajust-like,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,$Ainstead,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,$Aafter,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q,$Abefore,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,$Asince,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,$Auntil,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,$Awhen,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,$Awhenever,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,$Awhile,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,$Aunless,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,$Awith-the-result-that,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,$Binstead,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,$Bwhen,1;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,$^~|-1~|0Aafter,Aalthough,Abecause,Abefore,Aby,Aeven-if,Aeven-though,Aif,Bif,Cif,Ain,Ain-order-to,Ainstead,Binstead,Ajust-like,Amore-than,Asince,Aso,Bso,Cso,Aunless,Auntil,Awhen,Awhenever,Awhile,Bwhen~|P-^~|~|0}~|^~|-1~|0-*-","Aafter,Aalthough,Abecause,Abefore,Aby,Aeven-if,Aeven-though,Aif,Bif,Cif,Ain,Ain-order-to,Ainstead,Binstead,Ajust-like,Amore-than,Asince,Aso,Bso,Cso,Aunless,Auntil,Awhen,Awhenever,Awhile,Bwhen,",,2,,-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,
2,105,Text Preprocessors,  Set Stative Clause Type,1,  -*-  -*-,-*--*-,"{~|c-(~|v-Bbe,Cbe,Dbe,Ebe,Fbe,Gbe,Hbe,Ibe,Jbe,Kbe,Lbe,Mbe,Nbe,Obe,Pbe,Qbe,Rbe,Sbe,Tbe,Ube,Vbe~|V-)~|}~|-*-{~|c-(~|v-.~|V-)~|}~|-*-","{~|c-Bbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,$Cbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,$Dbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,$Ebe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,$Fbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,$Gbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,$Hbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,$Ibe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,$Jbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,$Kbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,$Lbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,$Mbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,$Nbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,$Obe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,$Pbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,$Qbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,$Rbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,$Sbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,$Tbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,$Ube,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,,$Vbe,2;#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,$^~|~|0(~|v-,,,,,,^~|~|0Bbe,Cbe,Dbe,Ebe,Fbe,Gbe,Hbe,Ibe,Jbe,Kbe,Lbe,Mbe,Nbe,Obe,Pbe,Qbe,Rbe,Sbe,Tbe,Ube,Vbe~|V-,,,,,,,,,,,,,,,,,^~|~|0)~|^~|~|0}~|^~|~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,^~|-1~|0(~|v-^~|-1~|0.~|V-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,-*--*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,
3,105,Text Preprocessors,  Voice,1,  -*-  -*-,-*--*-,"{~|c-,,!p,,,,,,,,,,,,,,,,,,,,,}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,.,,,}~|-*-","{~|c-,,!p,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,^~|-1~|0}~|^~|-1~|0-*-",,,-1,,-*--*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,
4,101,Text Preprocessors,  Initialize Grammatical Relations without Voice,0,"  Built by TBTA. Set Participant to Subject.-*-  Set Patient to Object.-*-  Set Addressee to Addressee.-*-  For all NPs at the same level as the PV, set their grammatical relations to Oblique.-*-  Initialize all Unspecified Grammatical Relations to No Grammatical Relation-*-",-*--*--*--*--*-,"{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|n-,P,,,,,,,,,,,,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|n-,D,,,,,,,,,,,,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|v-)~|(~|n-,,,,,,,,,,,,N,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|n-,,,,,,,,,,,,.,)~|}~|-*-","{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,A,,,,,,,,,,,S,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,P,,,,,,,,,,,O,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,D,,,,,,,,,,,A,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|v-^~|-1~|0)~|^~|-1~|0(~|n-,,,,,,,,,,,,Q,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,,,,,,,,,,,,N,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,-*--*--*--*--*-,,0000000000000000000000000,0000000000000000000000000,0,0001100000000000000000000,0001100000000000000000000,
5,101,Text Preprocessors,  Initialize Grammatical Relations with Voice,1,  Set Participants of active propositions to Subject.-*-  Set Patients of active propositions to Objects.-*-  Set Addressee to Addressee.-*-  Destination becomes Indirect Object for certain verbs as long as it's not the Topic NP.-*-  Patients in Passive clauses become Subjects.-*-  Set all NPs that are at the same level as the VP to Oblique-*-  Initialize all Unspecified grammatical relations to Oblique.-*-,-*--*--*--*--*--*--*-,"{~|c-,,p,,,,,,,,,,,,,,,,,,,,,(~|n-,A,,,,,,,,,,,,)~|}~|-*-{~|c-,,p,,,,,,,,,,,,,,,,,,,,,(~|n-,P,,,,,,,,,,,,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|n-,D,,,,,,,,,,,,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|v-Agive~|V-)~|(~|n-,d,,,,,,,,,,,,)~|}~|-*-{~|c-,,P,,,,,,,,,,,,,,,,,,,,,(~|n-,P,,,,,,,,,,,,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|v-)~|(~|n-,,,,,,,,,,,,N,)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|n-,,,,,,,,,,,,.,)~|}~|-*-","{~|c-,,p,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,A,,,,,,,,,,,S,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,p,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,P,,,,,,,,,,,O,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,D,,,,,,,,,,,A,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|v-^~|-1~|0Agive~|V-^~|~|0)~|^~|-1~|0(~|n-,d,,,,,,,,,,,I,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,P,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,P,,,,,,,,,,,S,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|v-^~|-1~|0)~|^~|-1~|0(~|n-,,,,,,,,,,,,Q,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,,,,,,,,,,,,N,^~|-1~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,2,,-*--*--*--*--*--*--*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000111000000000000000,
6,1,Text Preprocessors,  Tag all Relativized NPs,1,"  Clauses 1:33 The man whose book John read saw Mary.  This structure is executed last to prevent tagging two NPs as relativized in situtations like Matt. 7:24  The man who built HIS house on the rock ...  There are two nouns in the relative clause that are coreferential with the head noun.  Since we're much less likely to relativize a possessor than we are the other grammatical relations, search for all the others first, and save this one as a last resort.-*-  This structure sets the Patient/Destination NP back to Not Relativized if the verb is reflexive.  Matt. 12:25  Every kingdom that fights itself will be destroyed.-*-  Note that the NP that will be tagged as Relativized is before the other noun.  This is to accomodate situations where two relative clauses modify the same noun.  Jn. 1:40-*-    Phil 4:9  Continue to do the things that you saw me do.    Don't do this if the relativized thing was already found in the relative clause.  Matt. 5:10  God will bless the people that are persecuted because they are righteous.   Matt. 26:50  Do the thing that you came in order to do.-*-    Ruth 2:18  She gave the food that she was not able to eat to Naomi. -*-      Philippians 3:19  These people are proud of things that they should be ashamed of. -*-","16,53,162,204-*-114,164-*--*-15,61,158,230,233,233,247,288-*-16,72-*-25,89-*-","{~|c-(~|n-[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,*(~|n-,,,,Y,,,,,,,,,*)~|(~|n-(~|n-.~|N-)~|)~|]~|.~|N-)~|}~|-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,(~|n-,Pd,,,Y,,,,,,,,,.~|N-)~|(~|v-.~|V-,,,r,,,,,,,,,,,,,,)~|(~|n-,A,,,Y,,,,,,,,,.~|N-)~|}~|-*-{~|c-(~|n-[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,(~|n-.~|N-)~|]~|.~|N-)~|}~|-*-{~|c-(~|n-[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,*(~|n-,,,,Y,,,,,,,,,*)~|[~|c-EP,,,,,,,,,,,,,,,,,,,,,,,(~|n-.~|N-)~|]~|]~|.~|N-)~|}~|-*-{~|c-(~|n-[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,(~|j-[~|c-p,,,,,,,,,,,,,,,,,,,,,,,(~|n-.~|N-)~|]~|)~|]~|.~|N-)~|}~|-*-{~|c-(~|n-[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,(~|j-(~|n-.~|N-)~|)~|]~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-^~|-1~|0[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0*(~|n-,,,,Y,,,,,,,,,^~|-1~|0*)~|^~|-1~|0(~|n-^~|-1~|0(~|n-,,,,Y,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0)~|^~|-1~|0]~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,Pd,,,N,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0(~|v-^~|-1~|0.~|V-,,,r,,,,,,,,,,,,,,^~|~|0)~|^~|-1~|0(~|n-,A,,,Y,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,,,,Y,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0]~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0*(~|n-,,,,Y,,,,,,,,,^~|-1~|0*)~|^~|-1~|0[~|c-EP,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,,,,Y,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0]~|^~|-1~|0]~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|j-^~|-1~|0[~|c-p,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|n-,,,,Y,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0]~|^~|-1~|0)~|^~|-1~|0]~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-{~|c-^~|-1~|0(~|n-^~|-1~|0[~|c-Tt,,,,,,,,,,,,,,,,,,,,,,,^~|-1~|0(~|j-^~|-1~|0(~|n-,,,,Y,,,,,,,,,^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0)~|^~|-1~|0]~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-",,,-1,,11-*-11-*-11-*-11-*-11-*-11-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,
7,0,Text Preprocessors,,0,,,,,,,-1,,,,,,0,0000000000000000000000000,,
8,0,Text Preprocessors,,0,,,,,,,-1,,,,,,0,0000000000000000000000000,,
9,0,Text Preprocessors,,0,  ,,,,,,-1,,,,,,0,0000000000000000000000000,,
10,0,Text Preprocessors,,0,,,,,,,-1,,,,,,0,0000000000000000000000000,,
