ID,SyntacticCategory,GroupName,RulesName,Status,Comment,CommentFonts,InputStructures,OutputStructures,TriggerWord,NameFonts,SourceLanguage,References,SSDS,UserDefinedInsertions,IgnorePhrasalEmbedding,IgnoreClausalEmbedding,IncludePreviousVerse,ContinueExecution,GrammarTopics,Unnecessary
1,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 1-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A1~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A1~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A1,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
2,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for .1-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A.1~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A.1~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A.1,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
3,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 10-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A10~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A10~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A10,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
4,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 100-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A100~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A100~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A100,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
5,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 10000-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A10000~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A10000~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A10000,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
6,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 11-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A11~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A11~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A11,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
7,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 12-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A12~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A12~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A12,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
8,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 127-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A127~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A127~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A127,",,2,,,,0000000000000000000000000,0000000000000000000000000,0,0000000000000000000000000,,1
9,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 133-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A133~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A133~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A133,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
10,3,Theta Grid Adjustments for Object Attributes 1-A through careless-A,  Theta Grid Adjustment for 137-A,0,  Attributive Construction-*-,-*-,"{~|c-(~|n-,,(~|j-,A,A137~|A-)~|.~|N-)~|}~|-*-","{~|c-^~|-1~|0(~|n-,,^~|-1~|0(~|j-,A,^~|-1~|0A137~|A-^~|~|0)~|^~|-1~|0.~|N-^~|~|0)~|^~|-1~|0}~|^~|-1~|0-*-","A137,",,2,,0-*-,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,1
