ID,Reference,Verse,Notes,NoteFonts,Residue
1,1 Kings 1:1,"King David was very old. Although David's servants put blankets over him, he felt cold.King David was very old. Although David's servants put blankets over him, he felt cold.~!~(NP (NP _ King ) David ) (VP was ) (AdjP very[Pre-Adjective] old ) . [ although (NP (NP _ David+`s[Saxon_Genitive] ) servant+s[Plural] ) (VP put ) (NP blanket+s[Plural] ) (NP over him ) , ] (NP he ) (VP felt ) (AdjP cold ) . ",,,
2,1 Kings 1:2,"So David's servants said to him, “Allow us to find a young woman who hasn't sexed with a man. Then that woman will serve you and care of you. She'll lie beside you, who are our master. Then you'll be able to feel warm.”So David's servants said to him, “Allow us to search for a young virgin. Then that woman will serve you and take care of you. She'll lie beside you, who are our master. Then you'll be able to feel warm.”~!~so (NP (NP _ David+`s[Saxon_Genitive] ) servant+s[Plural] ) (VP said ) (NP to him ) [ ,_“ (NP ) (VP allow ) (NP us ) [ (NP ) (VP to[Pre-Verbal] search ) (NP for a[Pre-Nominal] (AdjP young ) virgin ) ] ] . then (NP that[Pre-Nominal] woman ) (VP will[Pre-Verbal] serve ) (NP you ) [ and (NP ) (VP take care[Verbal_Adjective_in_VP] ) (NP of you ) ] . (NP she ) (VP will[Pre-Verbal] lie ) (NP beside you [ , (NP who ) (NP (NP ) ) (VP are ) (NP (NP _ our ) master ) , ] ) . then (NP you ) (VP will[Pre-Verbal] be ) (AdjP able [ (NP ) (VP to[Pre-Verbal] feel ) (AdjP warm ) ] ) . ” ",,,
3,1 Kings 1:3,"So the king's servants searched for a beautiful young woman throughout all of Israel and found Abishag, who was from Shunem. Then they brought Abishag to the king.So the king's servants searched for a beautiful young woman throughout all of Israel and found Abishag, who was from the town named Shunem. Then they brought Abishag to the king.~!~so (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) servant+s[Plural] ) (VP search+ed[Past_Tense] ) (NP for a[Pre-Nominal] (AdjP beautiful ) (AdjP young ) woman ) (NP throughout (AdjP all of ) Israel ) [ and (NP ) (VP found ) (NP Abishag [ , (NP who ) (NP (NP ) ) (VP was ) (NP from the[Pre-Nominal] town (NP named Shunem ) ) , ] ) ] . then (NP they ) (VP brought ) (NP Abishag ) (NP to the[Pre-Nominal] king ) . ",,,
4,1 Kings 1:4,The girl was very beautiful. She cared of the king and served him. But the king didn't sex with that girl.That woman was very beautiful. She took care of the king and served him. But the king didn't sleep with that woman.~!~(NP that[Pre-Nominal] woman ) (VP was ) (AdjP very[Pre-Adjective] beautiful ) . (NP she ) (VP took care[Verbal_Adjective_in_VP] ) (NP of the[Pre-Nominal] king ) [ and (NP ) (VP serv+ed[Past_Tense] ) (NP him ) ] . but (NP the[Pre-Nominal] king ) (VP didn`t[Pre-Verbal] sleep ) (NP with that[Pre-Nominal] woman ) . ,,,
6,1 Kings 1:6,"When Adonijah wanted to do something, his father allowed him to do it. Adonijah's father never asked him, “Why do you do these things?” Adonijah was very handsome. And when Absalom died, Adonijah also became David's oldest alive son.When Adonijah wanted to do something, his father allowed him to do it. Adonijah's father never asked him, “Why do you do these things?” Adonijah also was very handsome. After Absalom was born, Adonijah was born. <<And when Absalom died, Adonijah became David's oldest living son.>>~!~[ when (NP Adonijah ) (VP want+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] do ) (NP a[Pre-Nominal] thing ) ] , ] (NP (NP _ his ) father ) (VP allow+ed[Past_Tense] ) (NP him ) [ (NP ) (VP to[Pre-Verbal] do ) (NP it ) ] . (NP (NP _ Adonijah+`s[Saxon_Genitive] ) father ) (VP (AdvP never ) ask+ed[Past_Tense] ) (NP him ) [ ,_“ (NP (AdvP why ) ) (VP do[CP-VP] ) (NP you ) (VP do ) (NP these[Pre-Nominal] thing+s[Plural] ) ? ” ] . (NP Adonijah ) (VP (AdvP also ) was ) (AdjP very[Pre-Adjective] handsome ) . [ after (NP Absalom ) (VP was born[Verbal_Adjective_in_VP] ) , ] (NP Adonijah ) (VP was born[Verbal_Adjective_in_VP] ) . <<[Opening_Implicit_Marker] and [ when (NP Absalom ) (VP di+ed[Past_Tense] ) , ] (NP Adonijah ) (VP became ) (NP (NP _ David+`s[Saxon_Genitive] ) (AdjP old+est[Superlative] ) (AdjP living ) son ) . >>[Closing_Implicit_Marker] ",,,
7,1 Kings 1:7,"Adonijah talked to Joab, who was Zeruiah's son. Adonijah also talked to the priest named Abiathar. Joab and Abiathar agreed to help Adonijah.Adonijah talked to Joab, who was Zeruiah's son. Adonijah also talked to the priest named Abiathar. Joab and Abiathar agreed to help Adonijah <<become the king>>.~!~(NP Adonijah ) (VP talk+ed[Past_Tense] ) (NP to Joab [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Zeruiah+`s[Saxon_Genitive] ) son ) , ] ) . (NP Adonijah ) (VP (AdvP also ) talk+ed[Past_Tense] ) (NP to the[Pre-Nominal] priest (NP named Abiathar ) ) . (NP Joab ) (NP and Abiathar ) (VP agre+ed[Past_Tense] ) [ (NP ) (NP ) (VP to[Pre-Verbal] help ) (NP Adonijah ) [ <<[Opening_Implicit_Marker] (NP ) (VP become ) (NP the[Pre-Nominal] king ) >>[Closing_Implicit_Marker] ] ] . ",,,
8,1 Kings 1:8,"But the priest named Zadok, Benaiah, who was Jehoiada's son, Nathan, who was a prophet, Shimei, Rei, and the special soldiers who guarded David didn't agree to help Adonijah.But the priest named Zadok, Benaiah, who was Jehoiada's son, Nathan, who was a prophet, Shimei, and the special soldiers who guarded David didn't agree to help Adonijah.~!~but (NP the[Pre-Nominal] priest (NP named Zadok ) , ) (NP Benaiah [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Jehoiada+`s[Saxon_Genitive] ) son ) , ] , ) (NP Nathan [ , (NP who ) (NP (NP ) ) (VP was ) (NP a[Pre-Nominal] prophet ) , ] , ) (NP Shimei , ) (NP , ) (NP and the[Pre-Nominal] (AdjP special ) soldier+s[Plural] [ who[Relativizer] (NP ) (VP guard+ed[Past_Tense] ) (NP David ) ] ) (VP didn`t[Pre-Verbal] agree ) [ (NP ) (NP ) (NP ) (NP ) (NP ) (NP ) (VP to[Pre-Verbal] help ) (NP Adonijah ) ] . ",,,
9,1 Kings 1:9,"Adonijah gave sheep, cows, and fat calves to God at the stone named Zoheleth near En Rogel so-that the priest could kill them. Adonijah invited all of his younger brothers, who were David's other sons, and all of the royal officials of Judah to come to the meeting.Adonijah gave sheep, oxen, and fat calves to God at the Stone of Zoheleth, which was near En Rogel, so that the priest could kill them. Adonijah invited all of his brothers, who were David's other sons, and all of the royal officials of Judah to come to that meeting.~!~(NP Adonijah ) (VP gave ) (NP sheep , ) (NP oxen , ) (NP and (AdjP fat ) calves ) (NP to God ) (NP at the[Pre-Nominal] Stone_of_Zoheleth [ , (NP which ) (NP (NP ) ) (VP was ) (NP near En_Rogel ) , ] ) [ so_that (NP the[Pre-Nominal] priest ) (VP could[Pre-Verbal] kill ) (NP them ) ] . (NP Adonijah ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) (NP _ his ) brother+s[Plural] [ , (NP who ) (NP (NP ) ) (VP were ) (NP (NP David+`s[Saxon_Genitive] ) (AdjP other ) son+s[Plural] ) , ] ) (NP and (AdjP all of ) the[Pre-Nominal] (AdjP royal ) official+s[Plural] (NP of Judah ) ) [ (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] meeting ) ] . ",,,
10,1 Kings 1:10,"But Adonijah didn't invite Nathan, who told God's messages to people, Benaiah, the special soldiers who guarded David, or Solomon, who was his younger brother, to come to the meeting.But Adonijah didn't invite Nathan, who was a prophet, Benaiah, the special soldiers who guarded David, or Solomon, who was his brother, to come to that meeting.~!~but (NP Adonijah ) (VP didn`t[Pre-Verbal] invite ) (NP Nathan [ , (NP who ) (NP (NP ) ) (VP was ) (NP a[Pre-Nominal] prophet ) , ] , ) (NP Benaiah , ) (NP the[Pre-Nominal] (AdjP special ) soldier+s[Plural] [ who[Relativizer] (NP ) (VP guard+ed[Past_Tense] ) (NP David ) ] , ) (NP or Solomon [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ his ) brother ) , ] ) [ (NP ) (NP ) (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] meeting ) ] . ",,,
11,1 Kings 1:11,"Nathan asked Bathsheba, who was Solomon's mother, “Did you hear that Adonijah, who is Haggith's son, has said that he is the king? And David, who is the true king, doesn't know that Adonijah has done this thing.Nathan asked Bathsheba, who was Solomon's mother, “Did you hear that Adonijah, who is Haggith's son, has said that he is the king? And our master David doesn't know that Adonijah has done this.~!~(NP Nathan ) (VP ask+ed[Past_Tense] ) (NP Bathsheba [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Solomon+`s[Saxon_Genitive] ) mother ) , ] ) [ ,_“ (VP did[CP-VP] ) (NP you ) (VP hear ) [ that[Complementizer] (NP Adonijah [ , (NP who ) (NP (NP ) ) (VP is ) (NP (NP _ Haggith+`s[Saxon_Genitive] ) son ) , ] ) (VP has[Pre-Verbal] said ) [ that[Complementizer] (NP he ) (VP is ) (NP the[Pre-Nominal] king ) ] ] ? ] . and (NP (NP _ (NP _ our ) master ) David ) (VP doesn`t[Pre-Verbal] know ) [ that[Complementizer] (NP Adonijah ) (VP has[Pre-Verbal] done ) (NP this[Pre-Nominal] ) ] . ",,,
