ID,Reference,Verse,Notes,NoteFonts,Residue
5,2 Samuel 1:5,"David said to that young man, “How do you know that Saul and his son Jonathan are dead?”~!~(NP David ) (VP said ) (NP to that[Pre-Nominal] (AdjP young ) man ) [ ,_“ (NP (AdvP how ) ) (VP do[CP-VP] ) (NP you ) (VP know ) [ that[Complementizer] (NP Saul ) (NP and (NP _ his ) son (NP Jonathan ) ) (VP are ) (AdjP dead ) ] ? ” ] . David said to that young man, “How do you know that Saul and his son Jonathan are dead?”~!~(NP David ) (VP said ) (NP to that[Pre-Nominal] (AdjP young ) man ) [ ,_“ (NP (AdvP how ) ) (VP do[CP-VP] ) (NP you ) (VP know ) [ that[Complementizer] (NP Saul ) (NP and (NP _ his ) son (NP Jonathan ) ) (VP are ) (AdjP dead ) ] ? ” ] . ",,,
10,2 Samuel 1:10,So I went to Saul and killed him. I knew that those Philistines will kill Saul soon. Then I took the crown that was on Saul's head. And I also took the bracelet that was on Saul's arm. And I brought that crown and that bracelet to you. You're my master.”~!~so (NP I ) (VP went ) (NP to Saul ) [ and (NP ) (VP kill+ed[Past_Tense] ) (NP him ) ] . (NP I ) (VP knew ) [ that[Complementizer] (NP those[Pre-Nominal] Philistine+s[Plural] ) (VP will[Pre-Verbal] kill ) (NP Saul ) (AdvP soon ) ] . then (NP I ) (VP took ) (NP the[Pre-Nominal] crown [ that[Relativizer] (NP ) (VP was ) (NP on (NP _ Saul+`s[Saxon_Genitive] ) head ) ] ) . and (NP I ) (VP (AdvP also ) took ) (NP the[Pre-Nominal] bracelet [ that[Relativizer] (NP ) (VP was ) (NP on (NP _ Saul+`s[Saxon_Genitive] ) arm ) ] ) . and (NP I ) (VP brought ) (NP that[Pre-Nominal] crown ) (NP and that[Pre-Nominal] bracelet ) (NP to you ) . (NP you ) (VP are ) (NP (NP _ my ) master ) . ” So I went to Saul and killed him. I knew that those Philistines will kill Saul soon. Then I took the crown that was on Saul's head. And I also took the bracelet that was on Saul's arm. And I brought that crown and that bracelet to you. You're my master.”~!~so (NP I ) (VP went ) (NP to Saul ) [ and (NP ) (VP kill+ed[Past_Tense] ) (NP him ) ] . (NP I ) (VP knew ) [ that[Complementizer] (NP those[Pre-Nominal] Philistine+s[Plural] ) (VP will[Pre-Verbal] kill ) (NP Saul ) (AdvP soon ) ] . then (NP I ) (VP took ) (NP the[Pre-Nominal] crown [ that[Relativizer] (NP ) (VP was ) (NP on (NP _ Saul+`s[Saxon_Genitive] ) head ) ] ) . and (NP I ) (VP (AdvP also ) took ) (NP the[Pre-Nominal] bracelet [ that[Relativizer] (NP ) (VP was ) (NP on (NP _ Saul+`s[Saxon_Genitive] ) arm ) ] ) . and (NP I ) (VP brought ) (NP that[Pre-Nominal] crown ) (NP and that[Pre-Nominal] bracelet ) (NP to you ) . (NP you ) (VP are ) (NP (NP _ my ) master ) . ” ,,,
16,2 Samuel 1:16,"Before that soldier killed that Amalekite, David said to that Amalekite, “You admitted that you killed the LORD's king. You said, “I killed the king, whom the LORD chose.””~!~[ before (NP that[Pre-Nominal] soldier ) (VP kill+ed[Past_Tense] ) (NP that[Pre-Nominal] Amalekite ) , ] (NP David ) (VP said ) (NP to that[Pre-Nominal] Amalekite ) [ ,_“ (NP you ) (VP admitt+ed[Past_Tense] ) [ that[Complementizer] (NP you ) (VP kill+ed[Past_Tense] ) (NP (NP _ the[Pre-Nominal] LORD+`s[Saxon_Genitive] ) king ) ] ] . (NP you ) (VP said ) [ ,_“ (NP I ) (VP kill+ed[Past_Tense] ) (NP the[Pre-Nominal] king [ , (NP whom ) (NP (NP ) ) (NP the[Pre-Nominal] LORD ) (VP chose ) , ” ] ) ] . ” Before that soldier killed that Amalekite, David said to that Amalekite, “You admitted that you killed the LORD's king. You said, “I killed the king, whom the LORD chose.””~!~[ before (NP that[Pre-Nominal] soldier ) (VP kill+ed[Past_Tense] ) (NP that[Pre-Nominal] Amalekite ) , ] (NP David ) (VP said ) (NP to that[Pre-Nominal] Amalekite ) [ ,_“ (NP you ) (VP admitt+ed[Past_Tense] ) [ that[Complementizer] (NP you ) (VP kill+ed[Past_Tense] ) (NP (NP _ the[Pre-Nominal] LORD+`s[Saxon_Genitive] ) king ) ] ] . (NP you ) (VP said ) [ ,_“ (NP I ) (VP kill+ed[Past_Tense] ) (NP the[Pre-Nominal] king [ , (NP whom ) (NP (NP ) ) (NP the[Pre-Nominal] LORD ) (VP chose ) , ” ] ) ] . ” ",,,
21,2 Samuel 1:21,I hope that dew and rain won't fall on the mountains of Gilboa. And I hope that it doesn't rain on the fields of Gilboa. The enemy destroyed the king's shield at Gilboa. Saul's shield is on that mountain. No person rubs Saul's shield with oil now.~!~(NP I ) (VP hope ) [ that[Complementizer] (NP dew ) (NP and rain ) (VP won`t[Pre-Verbal] fall ) (NP on the[Pre-Nominal] mountain+s[Plural] (NP of Gilboa ) ) ] . and (NP I ) (VP hope ) [ that[Complementizer] (NP it ) (VP doesn`t[Pre-Verbal] rain ) (NP on the[Pre-Nominal] field+s[Plural] (NP of Gilboa ) ) ] . (NP the[Pre-Nominal] enemy ) (VP destroy+ed[Past_Tense] ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) shield ) (NP at Gilboa ) . (NP (NP _ Saul+`s[Saxon_Genitive] ) shield ) (VP is ) (NP on that[Pre-Nominal] mountain ) . (NP no[Pre-Nominal] person ) (VP rub+s[Third_Singular_Present] ) (NP (NP _ Saul+`s[Saxon_Genitive] ) shield ) (NP with oil ) (AdvP now ) . I hope that dew and rain won't fall on the mountains of Gilboa. And I hope that it doesn't rain on the fields of Gilboa. The enemy destroyed the king's shield at Gilboa. Saul's shield is on that mountain. No person rubs Saul's shield with oil now.~!~(NP I ) (VP hope ) [ that[Complementizer] (NP dew ) (NP and rain ) (VP won`t[Pre-Verbal] fall ) (NP on the[Pre-Nominal] mountain+s[Plural] (NP of Gilboa ) ) ] . and (NP I ) (VP hope ) [ that[Complementizer] (NP it ) (VP doesn`t[Pre-Verbal] rain ) (NP on the[Pre-Nominal] field+s[Plural] (NP of Gilboa ) ) ] . (NP the[Pre-Nominal] enemy ) (VP destroy+ed[Past_Tense] ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) shield ) (NP at Gilboa ) . (NP (NP _ Saul+`s[Saxon_Genitive] ) shield ) (VP is ) (NP on that[Pre-Nominal] mountain ) . (NP no[Pre-Nominal] person ) (VP rub+s[Third_Singular_Present] ) (NP (NP _ Saul+`s[Saxon_Genitive] ) shield ) (NP with oil ) (AdvP now ) . ,,,
26,2 Samuel 1:26,"Jonathan, you're my brother. I'm very sad because you died. You were my special friend. You loved me dearly. You loved me more than women.~!~(NP Jonathan , ) (NP you ) (VP are ) (NP (NP _ my ) brother ) . (NP I ) (VP am ) (AdjP very[Pre-Adjective] sad ) [ because (NP you ) (VP di+ed[Past_Tense] ) ] . (NP you ) (VP were ) (NP (NP _ my ) (AdjP special ) friend ) . (NP you ) (VP lov+ed[Past_Tense] ) (NP me ) (AdvP dearly ) . (NP you ) (VP lov+ed[Past_Tense] ) (NP me ) [ more_than (NP women ) ] . Jonathan, you're my brother. I'm very sad because you died. You were my special friend. You loved me dearly. You loved me more than women.~!~(NP Jonathan , ) (NP you ) (VP are ) (NP (NP _ my ) brother ) . (NP I ) (VP am ) (AdjP very[Pre-Adjective] sad ) [ because (NP you ) (VP di+ed[Past_Tense] ) ] . (NP you ) (VP were ) (NP (NP _ my ) (AdjP special ) friend ) . (NP you ) (VP lov+ed[Past_Tense] ) (NP me ) (AdvP dearly ) . (NP you ) (VP lov+ed[Past_Tense] ) (NP me ) [ more_than (NP women ) ] . ",,,
32,2 Samuel 2:5,"So David sent messengers to the men who were living in Jabesh Gilead. The messengers said to those men, “Saul was your master. When you buried Saul's body, you were kind to him. David hopes that the LORD will bless you.~!~so (NP David ) (VP sent ) (NP messenger+s[Plural] ) (NP to the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Jabesh_Gilead ) ] ) . (NP the[Pre-Nominal] messenger+s[Plural] ) (VP said ) (NP to those[Pre-Nominal] men ) [ ,_“ (NP Saul ) (VP was ) (NP (NP _ your ) master ) ] . [ when (NP you ) (VP bur+ied[Past_Tense] ) (NP (NP _ Saul+`s[Saxon_Genitive] ) body ) , ] (NP you ) (VP were ) (AdjP kind (NP to him ) ) . (NP David ) (VP hope+s[Third_Singular_Present] ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] bless ) (NP you ) ] . So David sent messengers to the men who were living in Jabesh Gilead. The messengers said to those men, “Saul was your master. When you buried Saul's body, you were kind to him. David hopes that the LORD will bless you.~!~so (NP David ) (VP sent ) (NP messenger+s[Plural] ) (NP to the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Jabesh_Gilead ) ] ) . (NP the[Pre-Nominal] messenger+s[Plural] ) (VP said ) (NP to those[Pre-Nominal] men ) [ ,_“ (NP Saul ) (VP was ) (NP (NP _ your ) master ) ] . [ when (NP you ) (VP bur+ied[Past_Tense] ) (NP (NP _ Saul+`s[Saxon_Genitive] ) body ) , ] (NP you ) (VP were ) (AdjP kind (NP to him ) ) . (NP David ) (VP hope+s[Third_Singular_Present] ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] bless ) (NP you ) ] . ",,,
37,2 Samuel 2:10,"When Ish-Bosheth became the king of Israel, he was forty years old. He ruled Israel for two years. But the people who were living in Judah followed David.~!~[ when (NP Ish-Bosheth ) (VP became ) (NP the[Pre-Nominal] king (NP of Israel ) ) , ] (NP he ) (VP was ) (AdjP (NP (AdjP forty ) year+s[Plural] ) old ) . (NP he ) (VP rul+ed[Past_Tense] ) (NP Israel ) (NP for (AdjP two ) year+s[Plural] ) . but (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Judah ) ] ) (VP follow+ed[Past_Tense] ) (NP David ) . When Ish-Bosheth became the king of Israel, he was forty years old. He ruled Israel for two years. But the people who were living in Judah followed David.~!~[ when (NP Ish-Bosheth ) (VP became ) (NP the[Pre-Nominal] king (NP of Israel ) ) , ] (NP he ) (VP was ) (AdjP (NP (AdjP forty ) year+s[Plural] ) old ) . (NP he ) (VP rul+ed[Past_Tense] ) (NP Israel ) (NP for (AdjP two ) year+s[Plural] ) . but (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Judah ) ] ) (VP follow+ed[Past_Tense] ) (NP David ) . ",,,
42,2 Samuel 2:15,Then the young men stood up. Abner chose twelve men who were soldiers for Saul's son Ish-Bosheth. And Joab chose twelve men who were soldiers for David.~!~then (NP the[Pre-Nominal] (AdjP young ) men ) (VP stood up[Adposition_in_VP] ) . (NP Abner ) (VP chose ) (NP (AdjP twelve ) men [ who[Relativizer] (NP ) (VP were ) (NP soldier+s[Plural] ) (NP for (NP _ Saul+`s[Saxon_Genitive] ) son (NP Ish-Bosheth ) ) ] ) . and (NP Joab ) (VP chose ) (NP (AdjP twelve ) men [ who[Relativizer] (NP ) (VP were ) (NP soldier+s[Plural] ) (NP for David ) ] ) . Then the young men stood up. Abner chose twelve men who were soldiers for Saul's son Ish-Bosheth. And Joab chose twelve men who were soldiers for David.~!~then (NP the[Pre-Nominal] (AdjP young ) men ) (VP stood up[Adposition_in_VP] ) . (NP Abner ) (VP chose ) (NP (AdjP twelve ) men [ who[Relativizer] (NP ) (VP were ) (NP soldier+s[Plural] ) (NP for (NP _ Saul+`s[Saxon_Genitive] ) son (NP Ish-Bosheth ) ) ] ) . and (NP Joab ) (VP chose ) (NP (AdjP twelve ) men [ who[Relativizer] (NP ) (VP were ) (NP soldier+s[Plural] ) (NP for David ) ] ) . ,,,
48,2 Samuel 2:21,"Then Abner said to Asahel, “Stop chasing me. Fight another man. Take that man's sword away.” But Asahel continued chasing Abner.~!~then (NP Abner ) (VP said ) (NP to Asahel ) [ ,_“ (NP ) (VP stop[Pre-Verbal] chas+ing[Participle] ) (NP me ) ] . (NP ) (VP fight ) (NP (AdjP another ) man ) . (NP ) (VP take ) (NP (NP _ that[Pre-Nominal] man+`s[Saxon_Genitive] ) sword away[Verbal_Adposition_moved_to_Direct_Object] ) . ” but (NP Asahel ) (VP continued[Pre-Verbal] chas+ing[Participle] ) (NP Abner ) . Then Abner said to Asahel, “Stop chasing me. Fight another man. Take that man's sword away.” But Asahel continued chasing Abner.~!~then (NP Abner ) (VP said ) (NP to Asahel ) [ ,_“ (NP ) (VP stop[Pre-Verbal] chas+ing[Participle] ) (NP me ) ] . (NP ) (VP fight ) (NP (AdjP another ) man ) . (NP ) (VP take ) (NP (NP _ that[Pre-Nominal] man+`s[Saxon_Genitive] ) sword away[Verbal_Adposition_moved_to_Direct_Object] ) . ” but (NP Asahel ) (VP continued[Pre-Verbal] chas+ing[Participle] ) (NP Abner ) . ",,,
53,2 Samuel 2:26,"Then Abner shouted to Joab, “Will we kill each other? If we continue fighting each other, all of the people will become angry. Tell your soldiers to stop chasing other Israelites.”~!~then (NP Abner ) (VP shout+ed[Past_Tense] ) (NP to Joab ) [ ,_“ (VP will[CP-VP] ) (NP we ) (VP kill ) (NP each_other ) ? ] . [ if (NP we ) (VP continue[Pre-Verbal] fight+ing[Participle] ) (NP each_other ) , ] (NP (AdjP all of ) the[Pre-Nominal] people ) (VP will[Pre-Verbal] become ) (AdjP angry ) . (NP ) (VP tell ) (NP (NP _ your ) soldier+s[Plural] ) [ (NP ) (VP to_stop[Pre-Verbal] chas+ing[Participle] ) (NP (AdjP other ) Israelite+s[Plural] ) ] . ” Then Abner shouted to Joab, “Will we kill each other? If we continue fighting each other, all of the people will become angry. Tell your soldiers to stop chasing other Israelites.”~!~then (NP Abner ) (VP shout+ed[Past_Tense] ) (NP to Joab ) [ ,_“ (VP will[CP-VP] ) (NP we ) (VP kill ) (NP each_other ) ? ] . [ if (NP we ) (VP continue[Pre-Verbal] fight+ing[Participle] ) (NP each_other ) , ] (NP (AdjP all of ) the[Pre-Nominal] people ) (VP will[Pre-Verbal] become ) (AdjP angry ) . (NP ) (VP tell ) (NP (NP _ your ) soldier+s[Plural] ) [ (NP ) (VP to_stop[Pre-Verbal] chas+ing[Participle] ) (NP (AdjP other ) Israelite+s[Plural] ) ] . ” ",,,
