ID,Reference,Verse,Notes,NoteFonts,Residue
1,2 Thessalonians 1:1,"I'm Paul. Timothy, Silas, and I are writing this letter to the group of Christians who live in the city named Thessalonica. God, who is our Father, has united you with himself and Jesus Christ, who is our Lord.~!~(NP I ) (VP am ) (NP Paul ) . (NP Timothy , ) (NP Silas , ) (NP and I ) (VP are writ+ing[Participle] ) (NP this[Proximity] letter ) (NP to (NP the[Article] group of ) Christian+s[Plural] [ who[Relativizer] (NP ) (VP live ) (NP in the[Article] city (NP named Thessalonica ) ) ] ) . (NP God [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Father ) , ] ) (VP has unit+ed[Past_Tense] ) (NP you ) (NP with himself ) (NP and Jesus (NP _ Christ ) [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Lord ) , ] ) . ",,,
2,2 Thessalonians 1:2,"I pray that God, who is our Father, and Jesus Christ, who is our Lord, will treat you kindly. And I pray that God, who is our Father, and Jesus Christ, who is our Lord, will cause you to be peaceful.~!~(NP I ) (VP pray ) [ that[Complementizer] (NP God [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Father ) , ] ) (NP and Jesus (NP _ Christ ) [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Lord ) , ] ) (VP will[INFL] treat ) (NP you ) (AdvP kindly ) ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP God [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Father ) , ] ) (NP and Jesus (NP _ Christ ) [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Lord ) , ] ) (VP will[INFL] cause ) (NP you ) [ (NP ) (VP to[INFL] be ) (AdjP peaceful ) ] ] . ",,,
4,2 Thessalonians 1:4,"You were treated by people badly and are suffering. But you have decided to continue following God. And you continue trusting in God. So when we tell other Christians about you, we are proud of you.~!~(NP you ) (VP were[Pre-Verbal] treat+ed[Past_Tense] ) (NP by people ) (AdvP badly ) [ and (NP ) (VP are[Pre-Verbal] suffering ) ] . but (NP you ) (VP have[Pre-Verbal] decid+ed[Past_Tense] ) [ (NP ) (VP to_continue[Pre-Verbal] follow+ing[Participle] ) (NP God ) ] . and (NP you ) (VP continue[Pre-Verbal] trust+ing[Participle] ) (NP in God ) . so [ when (NP we ) (VP tell ) (NP (AdjP other ) Christian+s[Plural] ) (NP about you ) , ] (NP we ) (VP are ) (AdjP proud (NP of you ) ) . ",,,
5,2 Thessalonians 1:5,"You have suffered for God's kingdom. These things prove that when God judges people, he is just. And God will allow you to enter his kingdom.~!~(NP you ) (VP have suffered ) (NP for (NP _ God+`s[Saxon_Genitive] ) kingdom ) . (NP these[Proximity] thing+s[Plural] ) (VP prove ) [ that[Complementizer] [ when (NP God ) (VP judge+s[Third_Singular_Present] ) (NP people ) , ] (NP he ) (VP is ) (AdjP just ) ] . and (NP God ) (VP will[INFL] allow ) (NP you ) [ (NP ) (VP to[INFL] enter ) (NP (NP _ his ) kingdom ) ] . ",,,
6,2 Thessalonians 1:6,God is just and will treat badly the people who are treating you badly.~!~(NP God ) (VP is ) (AdjP just ) [ and (NP ) (VP will[INFL] treat ) (AdvP badly ) (NP the[Article] people [ who[Relativizer] (NP ) (VP are treat+ing[Participle] ) (NP you ) (AdvP badly ) ] ) ] . ,,,
7,2 Thessalonians 1:7,The Lord Jesus will come from heaven with his powerful angels. And people will see fire surrounding Jesus. Certain people are treating you badly now. But at that time you and we'll stop suffering.~!~(NP (NP _ the[Article] Lord ) Jesus ) (VP will[INFL] come ) (NP from heaven ) (NP with (NP _ his ) (AdjP powerful ) angel+s[Plural] ) . and (NP people ) (VP will[INFL] see ) (NP fire ) [ (NP ) (VP surround+ing[Participle] ) (NP Jesus ) ] . (NP (AdjP certain ) people ) (VP are treat+ing[Participle] ) (NP you ) (AdvP badly ) (AdvP now ) . but at_that_time (NP you ) (NP and we ) (VP will[INFL] stop suffering ) . ,,,
8,2 Thessalonians 1:8,"God's good message is about the Lord Jesus. But some people refuse to obey this message. When Jesus comes, he'll punish those people. And he'll punish the people who refuse to honor God.~!~(NP (NP _ God+`s[Saxon_Genitive] ) (AdjP good ) message ) (VP is ) (NP about (NP _ the[Article] Lord ) Jesus ) . but (NP some[Article] people ) (VP refuse ) [ (NP ) (VP to[INFL] obey ) (NP this[Proximity] message ) ] . [ when (NP Jesus ) (VP come+s[Third_Singular_Present] ) , ] (NP he ) (VP will[INFL] punish ) (NP those[Proximity] people ) . and (NP he ) (VP will[INFL] punish ) (NP the[Article] people [ who[Relativizer] (NP ) (VP refuse ) [ (NP ) (VP to[INFL] honor ) (NP God ) ] ] ) . ",,,
10,2 Thessalonians 1:10,"Jesus Christ will come to the earth. Then people will praise Jesus Christ because Jesus Christ did great things for his special people. And at that time the Christians will be amazed by Jesus. When we came to you, we told you about Jesus Christ. And you believed in Jesus Christ.~!~(NP Jesus (NP _ Christ ) ) (VP will[INFL] come ) (NP to the[Article] earth ) . then (NP people ) (VP will[INFL] praise ) (NP Jesus (NP _ Christ ) ) [ because (NP Jesus (NP _ Christ ) ) (VP did ) (NP (AdjP great ) thing+s[Plural] ) (NP for (NP _ his ) (AdjP special ) people ) ] . and at_that_time (NP the[Article] Christian+s[Plural] ) (VP will[INFL] be amaz+ed[Past_Tense] ) (NP by Jesus ) . [ when (NP we ) (VP came ) (NP to you ) , ] (NP we ) (VP told ) (NP you ) (NP about Jesus (NP _ Christ ) ) . and (NP you ) (VP believ+ed[Past_Tense] ) (NP in Jesus (NP _ Christ ) ) . ",,,
11,2 Thessalonians 1:11,"So we always pray for you. Some people act during their lives well. We pray that God, who chose you, will decide that you have also acted during your lives well. You want do good things because you trust in God. And we pray that God, who is powerful, will help you do those good things.~!~so (NP we ) (VP (AdvP always ) pray ) (NP for you ) . (NP some[Article] people ) (VP act ) (NP during (NP _ their ) lives ) (AdvP well ) . (NP we ) (VP pray ) [ that[Complementizer] (NP God [ , (NP who ) (NP ) (VP chose ) (NP you ) , ] ) (VP will[Pre-Verbal] decide ) [ that[Complementizer] (NP you ) (VP have[Pre-Verbal] (AdvP also ) act+ed[Past_Tense] ) (NP during (NP _ your ) lives ) (AdvP well ) ] ] . (NP you ) (VP want ) (VP do ) (NP (AdjP good ) thing+s[Plural] ) [ because (NP you ) (VP trust ) (NP in God ) ] . and (NP we ) (VP pray ) [ that[Complementizer] (NP God [ , (NP who ) (NP ) (VP is ) (AdjP powerful ) , ] ) (VP will[Pre-Verbal] help ) (NP you ) [ (NP ) (VP do ) (NP those[Proximity] (AdjP good ) thing+s[Plural] ) ] ] . ",,,
13,2 Thessalonians 2:1,Title: Paul talks about the bad person who will appear before Jesus returns to the earth. We'll write now to you about the time when the Lord Jesus will return to the earth. At that time God will gather us so that we would be with Jesus.~!~Title:[Proposition_Label] (NP Paul ) (VP talk+s[Third_Singular_Present] ) (NP about the[Pre-Nominal] (AdjP bad ) person [ who[Relativizer] (NP ) (VP will[Pre-Verbal] appear ) [ before (NP Jesus ) (VP return+s[Third_Singular_Present] ) (NP to the[Pre-Nominal] earth ) ] ] ) . (NP we ) (VP will[Pre-Verbal] write ) (AdvP now ) (NP to you ) (NP about the[Pre-Nominal] time [ when[Relativizer] (NP (NP _ the[Pre-Nominal] Lord ) Jesus ) (VP will[Pre-Verbal] return ) (NP to the[Pre-Nominal] earth ) (NP ) ] ) . at_that_time (NP God ) (VP will[Pre-Verbal] gather ) (NP us ) [ so_that (NP we ) (VP would[Pre-Verbal] be ) (NP with Jesus ) ] . ,,,
