ID,Reference,Verse,Notes,NoteFonts,Residue
1,Acts 1:1,"Title: Luke writes another book. Theophilus, the first book that I write was part of all of the things that Jesus does and all of the things that he teaches.~!~Title:[Proposition_Label] (NP Luke ) (VP write+s[Third_Singular_Present] ) (NP (AdjP another ) book ) . (NP Theophilus , ) (NP the[Pre-Nominal] (AdjP first ) book [ that[Relativizer] (NP I ) (VP write ) (NP ) ] ) (VP was ) (NP part_of (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP Jesus ) (VP does ) (NP ) ] ) (NP and (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP he ) (VP teach+es[Third_Singular_Present] ) (NP ) ] ) . ",,,
3,Acts 1:3,"After Jesus died, God raised him from the dead. Then Jesus showed the apostles that he was alive. He proved to the disciples many times that he was alive. After Jesus was raised from the dead, he was on the earth for forty days. The apostles saw Jesus many times during those forty days. And Jesus spoke to the disciples about God's kingdom during those forty days.",,,
4,Acts 1:4,"One day while Jesus was eating with the apostles, he told them to stay in Jerusalem. He said to the apostles, “Wait here until you receive the gift that the Father promised you that he would send to you. Remember that previously I told you about this gift.~!~one_day [ while (NP Jesus ) (VP was[Pre-Verbal] eat+ing[Participle] ) (NP with the[Pre-Nominal] apostle+s[Plural] ) , ] (NP he ) (VP told ) (NP them ) [ (NP ) (VP to[Pre-Verbal] stay ) (NP in Jerusalem ) ] . (NP he ) (VP said ) (NP to the[Pre-Nominal] apostle+s[Plural] ) [ ,_“ (NP ) (VP wait ) (NP here ) [ until (NP you ) (VP receive ) (NP the[Pre-Nominal] gift [ that[Relativizer] (NP the[Pre-Nominal] Father ) (VP promis+ed[Past_Tense] ) (NP you ) [ that[Complementizer] (NP he ) (VP would[Pre-Verbal] send ) (NP ) (NP to you ) ] ] ) ] ] . (NP ) (VP remember ) [ that[Complementizer] (AdvP previously ) (NP I ) (VP told ) (NP you ) (NP about this[Pre-Nominal] gift ) ] . ",,,
6,Acts 1:6,"Title: Jesus is carried to heaven. One day the apostles were with Jesus and asked him, “Lord, will you give the kingdom of Israel to the Israelites now?”~!~Title:[Proposition_Label] (NP Jesus ) (VP is[Pre-Verbal] carr+ied[Past_Tense] ) (NP to heaven ) . one_day (NP the[Pre-Nominal] apostle+s[Plural] ) (VP were ) (NP with Jesus ) [ and (NP ) (VP ask+ed[Past_Tense] ) (NP him ) [ ,_“ (NP Lord , ) (VP will[CP-VP] ) (NP you ) (VP give ) (NP the[Pre-Nominal] kingdom (NP of Israel ) ) (NP to the[Pre-Nominal] Israelite+s[Plural] ) (AdvP now ) ? ” ] ] . ",,,
7,Acts 1:7,"Jesus said to the apostles, “The Father has many authority. Only the Father is able to choose the days when these things will happen. You aren't able to know the dates when these things will happen.~!~(NP Jesus ) (VP said ) (NP to the[Pre-Nominal] apostle+s[Plural] ) [ ,_“ (NP the[Pre-Nominal] Father ) (VP has ) (NP (AdjP many ) authority ) ] . (NP (AdjP only ) the[Pre-Nominal] Father ) (VP is ) (AdjP able [ (NP ) (VP to[Pre-Verbal] choose ) (NP the[Pre-Nominal] days [ when[Relativizer] (NP these[Pre-Nominal] thing+s[Plural] ) (VP will[Pre-Verbal] happen ) (NP ) ] ) ] ) . (NP you ) (VP aren`t ) (AdjP able [ (NP ) (VP to[Pre-Verbal] know ) (NP the[Pre-Nominal] date+s[Plural] [ when[Relativizer] (NP these[Pre-Nominal] thing+s[Plural] ) (VP will[Pre-Verbal] happen ) (NP ) ] ) ] ) . ",,,
9,Acts 1:9,"After Jesus said these things, he was lifted from the earth to the sky. Jesus entered a cloud while the apostles watched him be lifted. Then the apostles were not able to see Jesus.",,,
10,Acts 1:10,The apostles were staring at the sky where Jesus went. Suddenly two men who were wearing white clothes were standing beside the apostles.,,,
11,Acts 1:11,"These men said, “Men who are from Galilee, why are you standing here? Why are you looking at the sky? You saw Jesus carrying to heaven. Jesus will return from the sky to the earth.”~!~(NP these[Pre-Nominal] men ) (VP said ) [ ,_“ (NP men [ who[Relativizer] (NP ) (VP are ) (NP from Galilee ) ] , ) (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP stand+ing[Participle] ) (NP here ) ? ] . (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP look+ing[Participle] ) (NP at the[Pre-Nominal] sky ) ? . (NP you ) (VP saw ) [ (NP Jesus ) (VP carry+ing[Participle] ) (NP to heaven ) ] . (NP Jesus ) (VP will[Pre-Verbal] return ) (NP from the[Pre-Nominal] sky ) (NP to the[Pre-Nominal] earth ) . ” ",,,
12,Acts 1:12,Title: A new apostle is chosen. Then the apostles returned from the Mount of Olives to Jerusalem. This mountain is about one half mile from Jerusalem.,,,
13,Acts 1:13,"After the apostles entered the city, they went to the room where they were staying. They were Peter, John, James, Andrew, Philip, Thomas, Bartholomew, Matthew, James, who was Alphaeus' son, Simon, whom people called ‘Zealot’, and Judas, who was James' son.~!~[ after (NP the[Pre-Nominal] apostle+s[Plural] ) (VP entered ) (NP the[Pre-Nominal] city ) , ] (NP they ) (VP went ) (NP to the[Pre-Nominal] room [ where[Relativizer] (NP they ) (VP were[Pre-Verbal] stay+ing[Participle] ) (NP ) ] ) . (NP they ) (VP were ) (NP Peter , ) (NP John , ) (NP James , ) (NP Andrew , ) (NP Philip , ) (NP Thomas , ) (NP Bartholomew , ) (NP Matthew , ) (NP James [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Alphaeus+`[Saxon_Genitive] ) son ) , ] , ) (NP Simon [ , (NP whom ) (NP (NP ) ) (NP people ) (VP call+ed[Past_Tense] ) (NP ‘ Zealot ’ ) , ] , ) (NP and Judas [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ James+`[Saxon_Genitive] ) son ) , ] ) . ",,,
