ID,Reference,Verse,Notes,NoteFonts,Residue
1,Colossians 1:1,I'm Paul. God chose me to be an apostle of Jesus Christ. And Timothy is my friend who believes in Jesus.~!~(NP I ) (VP am ) (NP Paul ) . (NP God ) (VP chose ) (NP me ) [ (NP ) (VP to[Pre-Verbal] be ) (NP an[Pre-Nominal] apostle (NP of _ Jesus (NP _ Christ ) ) ) ] . and (NP Timothy ) (VP is ) (NP (NP _ my ) friend [ who[Relativizer] (NP ) (VP believe+s[Third_Singular_Present] ) (NP in Jesus ) ] ) . ,,,
2,Colossians 1:2,"We are writing this letter to God's people who are in Colosse. And we are writing this letter to our faithful friends who believe in Christ and belong to him. We ask God, who is our Father, to treat you kindly. And we ask God to help you be peaceful.~!~(NP we ) (VP are writ+ing[Participle] ) (NP this[Proximity] letter ) (NP to (NP _ God+`s[Saxon_Genitive] ) people [ who[Relativizer] (NP ) (VP are ) (NP in Colosse ) ] ) . and (NP we ) (VP are writ+ing[Participle] ) (NP this[Proximity] letter ) (NP to (NP _ our ) (AdjP faithful ) friend+s[Plural] [ who[Relativizer] (NP ) (VP believe ) (NP in Christ ) ] [ and (NP ) (VP belong ) (NP to him ) ] ) . (NP we ) (VP ask ) (NP God [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Father ) , ] ) [ (NP ) (VP to[INFL] treat ) (NP you ) (AdvP kindly ) ] . and (NP we ) (VP ask ) (NP God ) [ (NP ) (VP to[INFL] help ) (NP you ) [ (NP ) (VP be ) (AdjP peaceful ) ] ] . ",,,
3,Colossians 1:3,"We are always praying for you. And when we pray for you, we thank God. God is the father of our Lord, who is Jesus Christ.~!~(NP we ) (VP are[Pre-Verbal] (AdvP always ) pray+ing[Participle] ) (NP for you ) . and [ when (NP we ) (VP pray ) (NP for you ) , ] (NP we ) (VP thank ) (NP God ) . (NP God ) (VP is ) (NP the[Article] father (NP of _ (NP _ our ) Lord [ , (NP who ) (NP ) (VP is ) (NP Jesus (NP _ Christ ) ) , ] ) ) . ",,,
5,Colossians 1:5,"You do these things because you expect God to do wonderful things for you. And God will certainly do these wonderful things for you. When you heard God's good message, you learned about these things. And God's message is the true message.",,,
6,Colossians 1:6,People who live in many other places that are on the earth also heard God's good message. More people are believing God's good message there. And more people are living there like God wants them to live. These things are also happening among you since you heard God's good message. And you truly understand that God treats us kindly since you heard his good message.~!~(NP people [ who[Relativizer] (NP ) (VP live ) (NP in (AdjP many ) (AdjP other ) place+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP on the[Article] earth ) ] ) ] (AdvP also ) ) (VP heard ) (NP (NP _ God+`s[Saxon_Genitive] ) (AdjP good ) message ) . (NP (AdjP more ) people ) (VP are[Pre-Verbal] believ+ing[Participle] ) (NP (NP _ God+`s[Saxon_Genitive] ) (AdjP good ) message ) (NP there ) . and (NP (AdjP more ) people ) (VP are[Pre-Verbal] liv+ing[Participle] ) (NP there ) [ like (NP God ) (VP want+s[Third_Singular_Present] ) (NP them ) [ (NP ) (VP to[Pre-Verbal] live ) ] ] . (NP these[Proximity] thing+s[Plural] ) (VP are[Pre-Verbal] (AdvP also ) happening ) (NP among you ) [ since (NP you ) (VP heard ) (NP (NP _ God+`s[Saxon_Genitive] ) (AdjP good ) message ) ] . and (NP you ) (VP (AdvP truly ) understand ) [ that[Complementizer] (NP God ) (VP treat+s[Third_Singular_Present] ) (NP us ) (AdvP kindly ) ] [ since (NP you ) (VP heard ) (NP (NP _ his ) (AdjP good ) message ) ] . ,,,
7,Colossians 1:7,"You heard about these things from Epaphras, whom we love. Epaphras faithfully serves Christ with us. Epaphras is our representative for you.",,,
8,Colossians 1:8,And Epaphras told us that the Holy Spirit caused you to love other Christians greatly.,,,
10,Colossians 1:10,We pray to God about these things so that you could live like you should live. Then you'll completely please God. You'll do many good things and learn new things that are about God.~!~(NP we ) (VP pray ) (NP to God ) (NP about these[Proximity] thing+s[Plural] ) [ so_that (NP you ) (VP could[Mood] live ) [ like (NP you ) (VP should[Mood] live ) ] ] . then (NP you ) (VP will[INFL] (AdvP completely ) please ) (NP God ) . (NP you ) (VP will[INFL] do ) (NP (AdjP many ) (AdjP good ) thing+s[Plural] ) [ and (NP ) (VP learn ) (NP (AdjP new ) thing+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP about God ) ] ) ] . ,,,
11,Colossians 1:11,"We pray that God, who is extremely powerful, will cause you to be faithful, patient, and happy.",,,
12,Colossians 1:12,And we pray that you'll thank the Father. The Father caused you to be able to live in heaven with him forever.~!~and (NP we ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] thank ) (NP the[Article] Father ) ] . (NP the[Article] Father ) (VP caus+ed[Past_Tense] ) (NP you ) [ (NP ) (VP to[INFL] be ) (AdjP able [ (NP ) (VP to[INFL] live ) (NP in heaven ) (NP with him ) (AdvP forever ) ] ) ] . ,,,
13,Colossians 1:13,"Title: Jesus Christ is greater than all things. Earlier Satan and demons ruled us. But the Father saved us from Satan and demons. And the Son, whom the Father loves, rules us now.~!~Title:[Proposition_Label] (NP Jesus (NP _ Christ ) ) (VP is ) (AdjP great+er[Comparative] (NP than[Comparison_Marker] (AdjP all ) thing+s[Plural] ) ) . (AdvP earlier ) (NP Satan ) (NP and demon+s[Plural] ) (VP rul+ed[Past_Tense] ) (NP us ) . but (NP the[Article] Father ) (VP sav+ed[Past_Tense] ) (NP us ) (NP from Satan ) (NP and demon+s[Plural] ) . and (NP the[Article] Son [ , (NP whom ) (NP the[Article] Father ) (VP love+s[Third_Singular_Present] ) (NP ) , ] ) (VP rule+s[Third_Singular_Present] ) (NP us ) (AdvP now ) . ",,,
14,Colossians 1:14,The Father released us from sin and death through the Son and forgave through him the bad things that we did.~!~(NP the[Pre-Nominal] Father ) (VP releas+ed[Past_Tense] ) (NP us ) (NP from sin ) (NP and death ) (NP through the[Pre-Nominal] Son ) [ and (NP ) (VP forgave ) (NP through him ) (NP the[Pre-Nominal] (AdjP bad ) thing+s[Plural] [ that[Relativizer] (NP we ) (VP did ) (NP ) ] ) ] . ,,,
16,Colossians 1:16,"God created all things through the Son. These things that God created include things that are in heaven, things that are on the earth, things that people are able to see, and things that people aren't able to see. These things include angels who rule other angels, demons who rule other demons, angels who are powerful, demons who are powerful, angels who have authority, and demons who have authority.~!~(NP God ) (VP creat+ed[Past_Tense] ) (NP (AdjP all ) thing+s[Plural] ) (NP through the[Article] Son ) . (NP these[Proximity] thing+s[Plural] [ that[Relativizer] (NP God ) (VP creat+ed[Past_Tense] ) (NP ) ] ) (VP include ) (NP thing+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in heaven ) ] , ) (NP thing+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP on the[Article] earth ) ] , ) (NP thing+s[Plural] [ that[Relativizer] (NP people ) (VP are ) (AdjP able [ (NP ) (VP to[Pre-Verbal] see ) (NP ) ] ) ] , ) (NP and thing+s[Plural] [ that[Relativizer] (NP people ) (VP aren`t ) (AdjP able [ (NP ) (VP to[Pre-Verbal] see ) (NP ) ] ) ] ) . (NP these[Proximity] thing+s[Plural] ) (VP include ) (NP angel+s[Plural] [ who[Relativizer] (NP ) (VP rule ) (NP (AdjP other ) angel+s[Plural] ) ] , ) (NP demon+s[Plural] [ who[Relativizer] (NP ) (VP rule ) (NP (AdjP other ) demon+s[Plural] ) ] , ) (NP angel+s[Plural] [ who[Relativizer] (NP ) (VP are ) (AdjP powerful ) ] , ) (NP demon+s[Plural] [ who[Relativizer] (NP ) (VP are ) (AdjP powerful ) ] , ) (NP angel+s[Plural] [ who[Relativizer] (NP ) (VP have ) (NP authority ) ] , ) (NP and demon+s[Plural] [ who[Relativizer] (NP ) (VP have ) (NP authority ) ] ) . ",,,
17,Colossians 1:17,"Before all of these things that God created existed, the Son existed. And all of these things exist because of the Son.",,,
