ID,Reference,Verse,Notes,NoteFonts,Residue
1,Daniel 1:1,"Title: Daniel serves King Nebuchadnezzar. A man named Nebuchadnezzar was the king of Babylon. Another man named Jehoiakim was the king of Judah. During the third year when Jehoiakim was the king of Judah, Nebuchadnezzar and his army came to Jerusalem and surrounded it. Then they attacked Jerusalem.~!~Title:[Proposition_Label] (NP Daniel ) (VP serve+s[Third_Singular_Present] ) (NP (NP _ King ) Nebuchadnezzar ) . (NP a[Pre-Nominal] man (NP named Nebuchadnezzar ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Babylon ) ) . (NP (AdjP another ) man (NP named Jehoiakim ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Judah ) ) . (NP during the[Pre-Nominal] (AdjP third ) year [ when[Relativizer] (NP Jehoiakim ) (VP was ) (NP the[Pre-Nominal] king (NP of Judah ) ) (NP ) ] , ) (NP Nebuchadnezzar ) (NP and (NP _ his ) army ) (VP came ) (NP to Jerusalem ) [ and (NP ) (NP ) (VP surround+ed[Past_Tense] ) (NP it ) ] . then (NP they ) (NP ) (VP attack+ed[Past_Tense] ) (NP Jerusalem ) . Title: Daniel serves King Nebuchadnezzar. A man named Nebuchadnezzar was the king of Babylon. Another man named Jehoiakim was the king of Judah. During the third year when Jehoiakim was the king of Judah, Nebuchadnezzar and his army came to Jerusalem and surrounded it. Then they attacked Jerusalem <<and defeated Jehoiakim and his army>>.A man named Nebuchadnezzar was the king of Babylon. Another man named Jehoiakim was the king of Judah. When Jehoiakim had been the king of Judah for about three years, Nebuchadnezzar and his army went to Jerusalem. Then they attacked Jerusalem and defeated Jehoiakim and his army.~!~(NP a[Pre-Nominal] man (NP named Nebuchadnezzar ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Babylon ) ) . (NP (AdjP another ) man (NP named Jehoiakim ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Judah ) ) . [ when (NP Jehoiakim ) (VP had_been ) (NP the[Pre-Nominal] king (NP of Judah ) ) (NP for (AdjP (AdjP about ) three ) year+s[Plural] ) , ] (NP Nebuchadnezzar ) (NP and (NP _ his ) army ) (VP went ) (NP to Jerusalem ) . then (NP they ) (NP ) (VP attack+ed[Past_Tense] ) (NP Jerusalem ) [ and (NP ) (NP ) (VP defeat+ed[Past_Tense] ) (NP Jehoiakim ) (NP and (NP _ his ) army ) ] . ",,,
2,Daniel 1:2,"The Lord allowed Nebuchadnezzar to capture Jehoiakim, who was the king of Judah. The Lord also allowed Nebuchadnezzar to take many valuable things from his temple. So Nebuchadnezzar and his soldiers carried those valuable things to the temple of his god, which was in Babylon. Then Nebuchadnezzar put those valuable things in the treasury of his god.~!~(NP the[Pre-Nominal] Lord ) (VP allow+ed[Past_Tense] ) (NP Nebuchadnezzar ) [ (NP ) (VP to[Pre-Verbal] capture ) (NP Jehoiakim [ , (NP who ) (NP (NP ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Judah ) ) , ] ) ] . (NP the[Pre-Nominal] Lord ) (VP (AdvP also ) allow+ed[Past_Tense] ) (NP Nebuchadnezzar ) [ (NP ) (VP to[Pre-Verbal] take ) (NP (AdjP many ) (AdjP valuable ) thing+s[Plural] ) (NP from (NP _ his ) temple ) ] . so (NP Nebuchadnezzar ) (NP and (NP _ his ) soldier+s[Plural] ) (VP carr+ied[Past_Tense] ) (NP those[Pre-Nominal] (AdjP valuable ) thing+s[Plural] ) (NP to the[Pre-Nominal] temple (NP of (NP _ his ) god ) [ , (NP which ) (NP (NP ) ) (VP was ) (NP in Babylon ) , ] ) . then (NP Nebuchadnezzar ) (VP put ) (NP those[Pre-Nominal] (AdjP valuable ) thing+s[Plural] ) (NP in the[Pre-Nominal] treasury (NP of _ (NP _ his ) god ) ) . The Lord allowed Nebuchadnezzar to capture Jehoiakim, who was the king of Judah, and many other Israelites. The Lord also allowed Nebuchadnezzar to take many valuable things from his temple <<that was in Jerusalem>>. So Nebuchadnezzar and his soldiers carried those valuable things from Jerusalem to the temple of his god, which was in Babylon. Then Nebuchadnezzar put those valuable things in the treasury of his god. <<And Nebuchadnezzar and his soldiers also brought many Israelites to Babylon.>>~!~(NP the[Pre-Nominal] Lord ) (VP allow+ed[Past_Tense] ) (NP Nebuchadnezzar ) [ (NP ) (VP to[Pre-Verbal] capture ) (NP Jehoiakim [ , (NP who ) (NP (NP ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Judah ) ) , ] ) (NP and (AdjP many ) (AdjP other ) Israelite+s[Plural] ) ] . (NP the[Pre-Nominal] Lord ) (VP (AdvP also ) allow+ed[Past_Tense] ) (NP Nebuchadnezzar ) [ (NP ) (VP to[Pre-Verbal] take ) (NP (AdjP many ) (AdjP valuable ) thing+s[Plural] ) (NP from (NP _ his ) temple [ <<[Opening_Implicit_Marker] that[Relativizer] (NP ) (VP was ) (NP in Jerusalem ) >>[Closing_Implicit_Marker] ] ) ] . so (NP Nebuchadnezzar ) (NP and (NP _ his ) soldier+s[Plural] ) (VP carr+ied[Past_Tense] ) (NP those[Pre-Nominal] (AdjP valuable ) thing+s[Plural] ) (NP from Jerusalem ) (NP to the[Pre-Nominal] temple (NP of (NP _ his ) god ) [ , (NP which ) (NP (NP ) ) (VP was ) (NP in Babylon ) , ] ) . then (NP Nebuchadnezzar ) (VP put ) (NP those[Pre-Nominal] (AdjP valuable ) thing+s[Plural] ) (NP in the[Pre-Nominal] treasury (NP of _ (NP _ his ) god ) ) . <<[Opening_Implicit_Marker] and (NP Nebuchadnezzar ) (NP and (NP _ his ) soldier+s[Plural] ) (VP (AdvP also ) brought ) (NP (AdjP many ) Israelite+s[Plural] ) (NP to Babylon ) . >>[Closing_Implicit_Marker] God allowed Nebuchadnezzar to capture Jehoiakim and many Jews. God also allowed Nebuchadnezzar to take many valuable things from the temple that was in Jerusalem. So Nebuchadnezzar took many Jews to Babylon and also took these valuable things there. Then he put these valuable things in the temple of his god.~!~(NP God ) (VP allow+ed[Past_Tense] ) (NP Nebuchadnezzar ) [ (NP ) (VP to[Pre-Verbal] capture ) (NP Jehoiakim ) (NP and (AdjP many ) Jew+s[Plural] ) ] . (NP God ) (VP (AdvP also ) allow+ed[Past_Tense] ) (NP Nebuchadnezzar ) [ (NP ) (VP to[Pre-Verbal] take ) (NP (AdjP many ) (AdjP valuable ) thing+s[Plural] ) (NP from the[Pre-Nominal] temple [ that[Relativizer] (NP ) (VP was ) (NP in Jerusalem ) ] ) ] . so (NP Nebuchadnezzar ) (VP took ) (NP (AdjP many ) Jew+s[Plural] ) (NP to Babylon ) [ and (NP ) (VP (AdvP also ) took ) (NP these[Pre-Nominal] (AdjP valuable ) thing+s[Plural] ) (NP there ) ] . then (NP he ) (VP put ) (NP these[Pre-Nominal] (AdjP valuable ) thing+s[Plural] ) (NP in the[Pre-Nominal] temple (NP of (NP _ his ) god ) ) . ",,,
3,Daniel 1:3,A man named Ashpenaz was Nebuchadnezzar's chief official. One day Nebuchadnezzar ordered Ashpenaz to bring some Israelites to him. Nebuchadnezzar wanted young men who were the sons of the king of Judah and the sons of the officials of Judah to serve him.~!~(NP a[Pre-Nominal] man (NP named Ashpenaz ) ) (VP was ) (NP (NP _ Nebuchadnezzar+`s[Saxon_Genitive] ) (AdjP chief ) official ) . one_day (NP Nebuchadnezzar ) (VP ordered ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP some[Pre-Nominal] Israelite+s[Plural] ) (NP to him ) ] . (NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP (AdjP young ) men [ who[Relativizer] (NP ) (VP were ) (NP the[Article] son+s[Plural] (NP of _ the[Pre-Nominal] king (NP of Judah ) ) ) (NP and the[Article] son+s[Plural] (NP of _ the[Pre-Nominal] official+s[Plural] (NP of Judah ) ) ) ] ) [ (NP ) (VP to[Pre-Verbal] serve ) (NP him ) ] . A man named Ashpenaz was Nebuchadnezzar's chief official. One day Nebuchadnezzar ordered Ashpenaz to bring some Israelites to him. Nebuchadnezzar wanted young men who were the sons of the king of Judah and the sons of the officials of Judah to serve him.A man named Ashpenaz was Nebuchadnezzar's chief official. One day Nebuchadnezzar ordered Ashpenaz to bring some Jews to him. Nebuchadnezzar wanted Ashpenaz to bring young men who were the sons of the king of Judah and the sons of the officials of Judah.~!~(NP a[Pre-Nominal] man (NP named Ashpenaz ) ) (VP was ) (NP (NP _ Nebuchadnezzar+`s[Saxon_Genitive] ) (AdjP chief ) official ) . one_day (NP Nebuchadnezzar ) (VP ordered ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP some[Pre-Nominal] Jew+s[Plural] ) (NP to him ) ] . (NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP (AdjP young ) men [ who[Relativizer] (NP ) (VP were ) (NP the[Article] son+s[Plural] (NP of _ the[Pre-Nominal] king (NP of Judah ) ) ) (NP and the[Article] son+s[Plural] (NP of _ the[Pre-Nominal] official+s[Plural] (NP of Judah ) ) ) ] ) ] . ,,,
4,Daniel 1:4,Nebuchadnezzar wanted Ashpenaz to bring young men who were healthy and handsome. And Nebuchadnezzar wanted Ashpenaz to bring young men who were wise and learned many things quickly. Nebuchadnezzar wanted young men who were able to serve him in his palace. So he ordered Ashpenaz to teach the language of Babylon to those young men. Ashpenaz also taught those young men about the books that people who lived in Babylon wrote.~!~(NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP (AdjP young ) men [ who[Relativizer] (NP ) (VP were ) (AdjP healthy ) (AdjP and handsome ) ] ) ] . and (NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP (AdjP young ) men [ who[Relativizer] (NP ) (VP were ) (AdjP wise ) ] [ and (NP ) (VP learn+ed[Past_Tense] ) (NP (AdjP many ) thing+s[Plural] ) (AdvP quickly ) ] ) ] . (NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP (AdjP young ) men [ who[Relativizer] (NP ) (VP were ) (AdjP able [ (NP ) (VP to[Pre-Verbal] serve ) (NP him ) (NP in (NP _ his ) palace ) ] ) ] ) . so (NP he ) (VP ordered ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] teach ) (NP the[Pre-Nominal] language (NP of Babylon ) ) (NP to those[Pre-Nominal] (AdjP young ) men ) ] . (NP Ashpenaz ) (VP (AdvP also ) taught ) (NP those[Pre-Nominal] (AdjP young ) men ) (NP about the[Pre-Nominal] book+s[Plural] [ that[Relativizer] (NP people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in Babylon ) ] ) (VP wrote ) (NP ) ] ) . Nebuchadnezzar wanted Ashpenaz to bring young men who were healthy and handsome. And Nebuchadnezzar wanted Ashpenaz to bring young men who were wise and learned many things quickly. Nebuchadnezzar wanted young men who were able to serve him in his palace. So he ordered Ashpenaz to teach the language of Babylon to those young men. Ashpenaz also taught those young men about the books that people who lived in Babylon wrote.Nebuchadnezzar wanted Ashpenaz to bring men who were healthy and. And Nebuchadnezzar wanted Ashpenaz to bring men who were wise and men who learned many things quickly. Nebuchadnezzar wanted these young men to serve him in his palace. So he ordered Ashpenaz to teach the language of Babylon to these young men. Ashpenaz also taught these young men about the books that people who were living in Babylon wrote.~!~(NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP men [ who[Relativizer] (NP ) (VP were ) (AdjP healthy ) (AdjP and ) ] ) ] . and (NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] bring ) (NP men [ who[Relativizer] (NP ) (VP were ) (AdjP wise ) ] ) (NP and men [ who[Relativizer] (NP ) (VP learn+ed[Past_Tense] ) (NP (AdjP many ) thing+s[Plural] ) (AdvP quickly ) ] ) ] . (NP Nebuchadnezzar ) (VP want+ed[Past_Tense] ) (NP these[Pre-Nominal] (AdjP young ) men ) [ (NP ) (VP to[Pre-Verbal] serve ) (NP him ) (NP in (NP _ his ) palace ) ] . so (NP he ) (VP ordered ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] teach ) (NP the[Pre-Nominal] language (NP of Babylon ) ) (NP to these[Pre-Nominal] (AdjP young ) men ) ] . (NP Ashpenaz ) (VP (AdvP also ) taught ) (NP these[Pre-Nominal] (AdjP young ) men ) (NP about the[Pre-Nominal] book+s[Plural] [ that[Relativizer] (NP people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Babylon ) ] ) (VP wrote ) (NP ) ] ) . ,,,
5,Daniel 1:5,The king gave those young men food and wine that was prepared for him each day. He told Ashpenaz to teach those young men for three years. Then those young men were able to start serving the king.~!~(NP the[Pre-Nominal] king ) (VP gave ) (NP those[Pre-Nominal] (AdjP young ) men ) (NP food ) (NP and wine [ that[Relativizer] (NP ) (VP was[Pre-Verbal] prepar+ed[Past_Tense] ) (NP for him ) ] ) (NP (AdjP each ) day ) . (NP he ) (VP told ) (NP Ashpenaz ) [ (NP ) (VP to[Pre-Verbal] teach ) (NP those[Pre-Nominal] (AdjP young ) men ) (NP for (AdjP three ) year+s[Plural] ) ] . then (NP those[Pre-Nominal] (AdjP young ) men ) (VP were ) (AdjP able [ (NP ) (VP to_start[Pre-Verbal] serv+ing[Participle] ) (NP the[Pre-Nominal] king ) ] ) . The king gave those young men food and wine that was prepared for him each day. He told Ashpenaz to teach those young men for three years. Then those young men were able to start serving the king.The king allowed these young men to eat his food. And he allowed these young men to drink his wine. These young men studied for three years to serve the king.~!~(NP the[Pre-Nominal] king ) (VP allow+ed[Past_Tense] ) (NP these[Pre-Nominal] (AdjP young ) men ) [ (NP ) (VP to[Pre-Verbal] eat ) (NP (NP _ his ) food ) ] . and (NP he ) (VP allow+ed[Past_Tense] ) (NP these[Pre-Nominal] (AdjP young ) men ) [ (NP ) (VP to[Pre-Verbal] drink ) (NP (NP _ his ) wine ) ] . (NP these[Pre-Nominal] (AdjP young ) men ) (VP stud+ied[Past_Tense] ) (NP for (AdjP three ) year+s[Plural] ) [ to (NP ) (VP serve ) (NP the[Pre-Nominal] king ) ] . ,,,
6,Daniel 1:6,"Some of the men that Ashpenaz chose were from Judah. Those men's names were Daniel, Hananiah, Mishael, and Azariah.~!~(NP (AdjP some of ) the[Pre-Nominal] men [ that[Relativizer] (NP Ashpenaz ) (VP chose ) (NP ) ] ) (VP were ) (NP from Judah ) . (NP (NP _ those[Pre-Nominal] men+`s[Saxon_Genitive] ) name+s[Plural] ) (VP were ) (NP Daniel , ) (NP Hananiah , ) (NP Mishael , ) (NP and Azariah ) . <<So Ashpenaz chose some young Israelite men to serve Nebuchadnezzar.>> Some of the men that Ashpenaz chose were from Judah. Those men's names were Daniel, Hananiah, Mishael, and Azariah.Daniel, Hananiah, Mishael, and Azariah were young men that Nebuchadnezzar brought from Judah. These four men were among the young men who were chosen by the officials to serve the king.~!~(NP Daniel , ) (NP Hananiah , ) (NP Mishael , ) (NP and Azariah ) (VP were ) (NP (AdjP young ) men [ that[Relativizer] (NP Nebuchadnezzar ) (VP brought ) (NP ) (NP from Judah ) ] ) . (NP these[Pre-Nominal] (AdjP four ) men ) (VP were ) (NP among the[Pre-Nominal] (AdjP young ) men [ who[Relativizer] (NP ) (VP were[Pre-Verbal] chosen ) (NP by the[Pre-Nominal] official+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] serve ) (NP the[Pre-Nominal] king ) ] ] ) . ",,,
7,Daniel 1:7,The chief official gave new names to those four young men. He named Daniel Belteshazzar and named Hananiah Shadrach. And the chief official named Mishael Meshach and named Azariah Abednego.~!~(NP the[Pre-Nominal] (AdjP chief ) official ) (VP gave ) (NP (AdjP new ) name+s[Plural] ) (NP to those[Pre-Nominal] (AdjP four ) (AdjP young ) men ) . (NP he ) (VP nam+ed[Past_Tense] ) (NP Daniel ) (NP Belteshazzar ) [ and (NP ) (VP nam+ed[Past_Tense] ) (NP Hananiah ) (NP Shadrach ) ] . and (NP the[Pre-Nominal] (AdjP chief ) official ) (VP nam+ed[Past_Tense] ) (NP Mishael ) (NP Meshach ) [ and (NP ) (VP nam+ed[Past_Tense] ) (NP Azariah ) (NP Abednego ) ] . The chief official gave new names to those four young men. He named Daniel Belteshazzar and named Hananiah Shadrach. And the chief official named Mishael Meshach and named Azariah Abednego.The chief official gave new names to these four young men. He named Daniel Belteshazzar and named Hananiah Shadrach. And the chief official named Mishael Meshach and named Azariah Abednego.~!~(NP the[Pre-Nominal] (AdjP chief ) official ) (VP gave ) (NP (AdjP new ) name+s[Plural] ) (NP to these[Pre-Nominal] (AdjP four ) (AdjP young ) men ) . (NP he ) (VP nam+ed[Past_Tense] ) (NP Daniel ) (NP Belteshazzar ) [ and (NP ) (VP nam+ed[Past_Tense] ) (NP Hananiah ) (NP Shadrach ) ] . and (NP the[Pre-Nominal] (AdjP chief ) official ) (VP nam+ed[Past_Tense] ) (NP Mishael ) (NP Meshach ) [ and (NP ) (VP nam+ed[Past_Tense] ) (NP Azariah ) (NP Abednego ) ] . ,,,
8,Daniel 1:8,But Daniel decided to not eat the king's food because he didn't want to become unclean. And he decided to not drink the king's wine because he didn't want to become unclean. So he asked the chief official to allow him not to eat the king's food and not to drink his wine.~!~but (NP Daniel ) (VP decid+ed[Past_Tense] ) [ (NP ) (VP to_not[Pre-Verbal] eat ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) food ) ] [ because (NP he ) (VP didn`t[Pre-Verbal] want ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP unclean ) ] ] . and (NP he ) (VP decid+ed[Past_Tense] ) [ (NP ) (VP to_not[Pre-Verbal] drink ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) wine ) ] [ because (NP he ) (VP didn`t[Pre-Verbal] want ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP unclean ) ] ] . so (NP he ) (VP ask+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP chief ) official ) [ (NP ) (VP to[Pre-Verbal] allow ) (NP him ) [ (NP ) (VP not_to[Pre-Verbal] eat ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) food ) ] [ and (NP ) (VP not_to[Pre-Verbal] drink ) (NP (NP _ his ) wine ) ] ] . But Daniel decided to not eat the king's food because he didn't want to become unclean. And he decided to not drink the king's wine because he didn't want to become unclean. So he asked the chief official to allow him not to eat the king's food and not to drink his wine.But Daniel knew that God didn't want him to eat the king's food. And Daniel knew that God didn't want him to drink the king's wine. So Daniel asked the chief official to allow him not to eat the king's food. Daniel also asked the chief official to allow him not to drink the king's wine.~!~but (NP Daniel ) (VP knew ) [ that[Complementizer] (NP God ) (VP didn`t[Pre-Verbal] want ) (NP him ) [ (NP ) (VP to[Pre-Verbal] eat ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) food ) ] ] . and (NP Daniel ) (VP knew ) [ that[Complementizer] (NP God ) (VP didn`t[Pre-Verbal] want ) (NP him ) [ (NP ) (VP to[Pre-Verbal] drink ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) wine ) ] ] . so (NP Daniel ) (VP ask+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP chief ) official ) [ (NP ) (VP to[Pre-Verbal] allow ) (NP him ) [ (NP ) (VP not_to[Pre-Verbal] eat ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) food ) ] ] . (NP Daniel ) (VP (AdvP also ) ask+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP chief ) official ) [ (NP ) (VP to[Pre-Verbal] allow ) (NP him ) [ (NP ) (VP not_to[Pre-Verbal] drink ) (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) wine ) ] ] . ,,,
9,Daniel 1:9,God caused the chief official to like Daniel and to be kind to him.~!~(NP God ) (VP caus+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP chief ) official ) [ (NP ) (VP to[Pre-Verbal] like ) (NP Daniel ) ] [ and (NP ) (VP to[Pre-Verbal] be ) (AdjP kind (NP to him ) ) ] . God caused the chief official to like Daniel and to be kind to him.God had caused the chief official to like Daniel. And God caused the chief official to agree with Daniel.~!~(NP God ) (VP had[Pre-Verbal] caus+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP chief ) official ) [ (NP ) (VP to[Pre-Verbal] like ) (NP Daniel ) ] . and (NP God ) (VP caus+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP chief ) official ) [ (NP ) (VP to[Pre-Verbal] agree ) (NP with Daniel ) ] . ,,,
10,Daniel 1:10,"But the chief official said to Daniel, “I'm afraid of my master, who is the king. The king decided that you'll eat his food and his wine. The king might see that you're less healthy than the other young men. Then the king will kill me because of you.”~!~but (NP the[Pre-Nominal] (AdjP chief ) official ) (VP said ) (NP to Daniel ) [ ,_“ (NP I ) (VP am ) (AdjP afraid (NP of (NP _ my ) master [ , (NP who ) (NP (NP ) ) (VP is ) (NP the[Pre-Nominal] king ) , ] ) ) ] . (NP the[Pre-Nominal] king ) (VP decid+ed[Past_Tense] ) [ that[Complementizer] (NP you ) (VP will[Pre-Verbal] eat ) (NP (NP _ his ) food ) (NP and (NP _ his ) wine ) ] . (NP the[Pre-Nominal] king ) (VP might[Pre-Verbal] see ) [ that[Complementizer] (NP you ) (VP are ) (AdjP less[Pre-Adjective] healthy (NP than[Comparison_Marker] the[Pre-Nominal] (AdjP other ) (AdjP young ) men ) ) ] . then (NP the[Pre-Nominal] king ) (VP will[Pre-Verbal] kill ) (NP me ) (NP because_of you ) . ” But the chief official said to Daniel, “I'm afraid of my master, who is the king. The king decided that you'll eat his food and his wine. The king might see that you're less healthy than the other young men. Then the king will kill me because of you.”But the chief official said to Daniel, “I'm afraid of the king, who is giving food and wine to you. The king might see that you're less healthy than the other young men. Then the king will kill me.”~!~but (NP the[Pre-Nominal] (AdjP chief ) official ) (VP said ) (NP to Daniel ) [ ,_“ (NP I ) (VP am ) (AdjP afraid (NP of the[Pre-Nominal] king [ , (NP who ) (NP (NP ) ) (VP is[Pre-Verbal] giv+ing[Participle] ) (NP food ) (NP and wine ) (NP to you ) , ] ) ) ] . (NP the[Pre-Nominal] king ) (VP might[Pre-Verbal] see ) [ that[Complementizer] (NP you ) (VP are ) (AdjP less[Pre-Adjective] healthy (NP than[Comparison_Marker] the[Pre-Nominal] (AdjP other ) (AdjP young ) men ) ) ] . then (NP the[Pre-Nominal] king ) (VP will[Pre-Verbal] kill ) (NP me ) . ” ",,,
