ID,Reference,Verse,Notes,NoteFonts,Residue
1,Ephesians 1:1,“I'm Paul. God chose me to take the message of Jesus Christ to many people. I'm writing this letter now to the Christians who live in Ephesus.~!~“ (NP I ) (VP am ) (NP Paul ) . (NP God ) (VP chose ) (NP me ) [ (NP ) (VP to[INFL] take ) (NP the[Article] message (NP of _ Jesus (NP _ Christ ) ) ) (NP to (AdjP many ) people ) ] . (NP I ) (VP am writ+ing[Participle] ) (NP this[Proximity] letter ) (AdvP now ) (NP to the[Article] Christian+s[Plural] [ who[Relativizer] (NP ) (VP live ) (NP in Ephesus ) ] ) . ,,,
4,Ephesians 1:4,"Before God started creating the earth, he chose to unite us with Christ. And before God started creating the earth, he chose to make us become his special people. And before God started creating the earth, he chose to treat us like he treats people who aren't guilty of doing bad things. He did these things because he loves us.~!~[ before (NP God ) (VP started[Pre-Verbal] creat+ing[Participle] ) (NP the[Article] earth ) , ] (NP he ) (VP chose ) [ (NP ) (VP to[Pre-Verbal] unite ) (NP us ) (NP with Christ ) ] . and [ before (NP God ) (VP started[Pre-Verbal] creat+ing[Participle] ) (NP the[Article] earth ) , ] (NP he ) (VP chose ) [ (NP ) (VP to[Pre-Verbal] make ) (NP us ) [ (NP ) (VP become ) (NP (NP _ his ) (AdjP special ) people ) ] ] . and [ before (NP God ) (VP started[Pre-Verbal] creat+ing[Participle] ) (NP the[Article] earth ) , ] (NP he ) (VP chose ) [ (NP ) (VP to[Pre-Verbal] treat ) (NP us ) [ like (NP he ) (VP treat+s[Third_Singular_Present] ) (NP people [ who[Relativizer] (NP ) (VP aren`t ) (AdjP guilty [ of[Complementizer] (NP ) (VP do+ing[Participle] ) (NP (AdjP bad ) thing+s[Plural] ) ] ) ] ) ] ] . (NP he ) (VP did ) (NP these[Proximity] thing+s[Plural] ) [ because (NP he ) (VP love+s[Third_Singular_Present] ) (NP us ) ] . ",,,
5,Ephesians 1:5,"Before God started creating the earth, he decided to cause us to become his children. Because of the things that Christ did, he caused us to become his children. And he caused us to become his children because he wanted to cause us to become his children.",,,
8,Ephesians 1:8,So God treated us extremely kindly. He is extremely wise and knows all things.,,,
11,Ephesians 1:11,"God chose to unite us with Christ. Before God started creating the earth, he decided to unite us with Christ because he wanted to unite us with Christ.",,,
12,Ephesians 1:12,"God decided that we, who trusted in Christ first, will live to praise him, who has a lot of glory.",,,
15,Ephesians 1:15,Title: Paul prays to God for the Christians who live in Ephesus. “I heard that you're trusting in the Lord Jesus. And I heard that you love all of God's special people.,,,
17,Ephesians 1:17,"God is the God of Jesus Christ, who is our Lord. And he is the Father, who has a lot of glory. I pray that God will cause you to be wise. And I pray that God will cause you to know the things that he wants you to know. And I pray that you'll know about God.~!~(NP God ) (VP is ) (NP the[Article] God (NP of _ Jesus (NP _ Christ ) [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Lord ) , ] ) ) . and (NP he ) (VP is ) (NP the[Article] Father [ , (NP who ) (NP ) (VP has ) (NP (AdjP a_lot_of ) glory ) , ] ) . (NP I ) (VP pray ) [ that[Complementizer] (NP God ) (VP will[INFL] cause ) (NP you ) [ (NP ) (VP to[INFL] be ) (AdjP wise ) ] ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP God ) (VP will[INFL] cause ) (NP you ) [ (NP ) (VP to[INFL] know ) (NP the[Article] thing+s[Plural] [ that[Relativizer] (NP he ) (VP want+s[Third_Singular_Present] ) (NP you ) [ (NP ) (VP to[INFL] know ) (NP ) ] ] ) ] ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] know ) (NP about God ) ] . ",,,
18,Ephesians 1:18,I pray that you'll understand the things that God wants you to know. God called you so that you would be his people. I pray that you'll expect your life that is with God to be good. And I pray that you'll know that the things that God will give to his special people will have a lot of glory. And I pray that you'll know that the things that God will give to his special people will be extremely valuable.~!~(NP I ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] understand ) (NP the[Article] thing+s[Plural] [ that[Relativizer] (NP God ) (VP want+s[Third_Singular_Present] ) (NP you ) [ (NP ) (VP to[INFL] know ) (NP ) ] ] ) ] . (NP God ) (VP call+ed[Past_Tense] ) (NP you ) [ so_that (NP you ) (VP would[Mood] be ) (NP (NP _ his ) people ) ] . (NP I ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] expect ) (NP (NP _ your ) life [ that[Relativizer] (NP ) (VP is ) (NP with God ) ] ) [ (NP ) (VP to[INFL] be ) (AdjP good ) ] ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] know ) [ that[Complementizer] (NP the[Article] thing+s[Plural] [ that[Relativizer] (NP God ) (VP will[INFL] give ) (NP ) (NP to (NP _ his ) (AdjP special ) people ) ] ) (VP will[INFL] have ) (NP (AdjP a_lot_of ) glory ) ] ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] know ) [ that[Complementizer] (NP the[Article] thing+s[Plural] [ that[Relativizer] (NP God ) (VP will[INFL] give ) (NP ) (NP to (NP _ his ) (AdjP special ) people ) ] ) (VP will[INFL] be ) (AdjP extremely[Degree] valuable ) ] ] . ,,,
19,Ephesians 1:19,I pray that you'll know that God is extremely powerful. And I pray that you'll know that God is able to do powerful things to help you. God is able to use his power to help the Christians.~!~(NP I ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] know ) [ that[Complementizer] (NP God ) (VP is ) (AdjP extremely[Degree] powerful ) ] ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP you ) (VP will[INFL] know ) [ that[Complementizer] (NP God ) (VP is ) (AdjP able [ (NP ) (VP to[INFL] do ) (NP (AdjP powerful ) thing+s[Plural] ) [ to (NP ) (VP help ) (NP you ) ] ] ) ] ] . (NP God ) (VP is ) (AdjP able [ (NP ) (VP to[INFL] use ) (NP (NP _ his ) power ) ] ) [ to (NP ) (VP help ) (NP the[Article] Christian+s[Plural] ) ] . ,,,
