ID,Reference,Verse,Notes,NoteFonts,Residue
1,Esther 1:1,Title: King Xerxes becomes angry with Queen Vashti. A man named Xerxes was the king of many countries. King Xerxes ruled the people who were living in 127 countries. He ruled all of the countries that were between India and Cush.~!~Title:[Proposition_Label] (NP (NP _ King ) Xerxes ) (VP become+s[Third_Singular_Present] ) (AdjP angry (NP with (NP _ Queen ) Vashti ) ) . (NP a[Pre-Nominal] man (NP named Xerxes ) ) (VP was ) (NP the[Pre-Nominal] king (NP of (AdjP many ) countri+es[Plural] ) ) . (NP (NP _ King ) Xerxes ) (VP rul+ed[Past_Tense] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (AdjP 127 ) countri+es[Plural] ) ] ) . (NP he ) (VP rul+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] countri+es[Plural] [ that[Relativizer] (NP ) (VP were ) (NP between India (NP and Cush ) ) ] ) . Title: King Xerxes becomes angry with Queen Vashti. A man named Xerxes was the king of many countries. King Xerxes ruled the people who were living in 127 countries. He ruled all of the countries that were between India and Cush.~!~Title:[Proposition_Label] (NP (NP _ King ) Xerxes ) (VP become+s[Third_Singular_Present] ) (AdjP angry (NP with (NP _ Queen ) Vashti ) ) . (NP a[Pre-Nominal] man (NP named Xerxes ) ) (VP was ) (NP the[Pre-Nominal] king (NP of (AdjP many ) countri+es[Plural] ) ) . (NP (NP _ King ) Xerxes ) (VP rul+ed[Past_Tense] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (AdjP 127 ) countri+es[Plural] ) ] ) . (NP he ) (VP rul+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] countri+es[Plural] [ that[Relativizer] (NP ) (VP were ) (NP between India (NP and Cush ) ) ] ) . Title: King Xerxes becomes angry with Queen Vashti. A man named Xerxes was the king of many countries. King Xerxes ruled the people who were living in 127 countries. He ruled all of the countries that were between India and Cush.~!~Title:[Proposition_Label] (NP (NP _ King ) Xerxes ) (VP become+s[Third_Singular_Present] ) (AdjP angry (NP with (NP _ Queen ) Vashti ) ) . (NP a[Pre-Nominal] man (NP named Xerxes ) ) (VP was ) (NP the[Pre-Nominal] king (NP of (AdjP many ) countri+es[Plural] ) ) . (NP (NP _ King ) Xerxes ) (VP rul+ed[Past_Tense] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (AdjP 127 ) countri+es[Plural] ) ] ) . (NP he ) (VP rul+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] countri+es[Plural] [ that[Relativizer] (NP ) (VP were ) (NP between India (NP and Cush ) ) ] ) . ,,,
2,Esther 1:2,At that time King Xerxes was living in his palace that was in a city named Susa.~!~at_that_time (NP (NP _ King ) Xerxes ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ his ) palace [ that[Relativizer] (NP ) (VP was ) (NP in a[Pre-Nominal] city (NP named Susa ) ) ] ) . At that time King Xerxes was living in his palace that was in a city named Susa.~!~at_that_time (NP (NP _ King ) Xerxes ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ his ) palace [ that[Relativizer] (NP ) (VP was ) (NP in a[Pre-Nominal] city (NP named Susa ) ) ] ) . At that time King Xerxes was living in his palace that was in a city named Susa.~!~at_that_time (NP (NP _ King ) Xerxes ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ his ) palace [ that[Relativizer] (NP ) (VP was ) (NP in a[Pre-Nominal] city (NP named Susa ) ) ] ) . ,,,
3,Esther 1:3,"When King Xerxes had been the king for about three years, he invited all of the rulers and all of the officials to come to a feast. He also invited the leaders of Persia, the leaders of Media, all of the princes, and all of the powerful people who were living in his kingdom to come to that feast.~!~[ when (NP (NP _ King ) Xerxes ) (VP had_been ) (NP the[Pre-Nominal] king ) (NP for (AdjP (AdjP about ) three ) year+s[Plural] ) , ] (NP he ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] ruler+s[Plural] ) (NP and (AdjP all of ) the[Pre-Nominal] official+s[Plural] ) [ (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to a[Pre-Nominal] feast ) ] . (NP he ) (VP (AdvP also ) invit+ed[Past_Tense] ) (NP the[Pre-Nominal] leader+s[Plural] (NP of Persia ) , ) (NP the[Pre-Nominal] leader+s[Plural] (NP of Media ) , ) (NP (AdjP all of ) the[Pre-Nominal] prince+s[Plural] , ) (NP and (AdjP all of ) the[Pre-Nominal] (AdjP powerful ) people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ his ) kingdom ) ] ) [ (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . When King Xerxes had been the king for about three years, he invited all of the rulers and all of the officials to come to a feast. He also invited the leaders of Persia, the leaders of Media, all of the princes, and all of the powerful people who were living in his kingdom to come to that feast.~!~[ when (NP (NP _ King ) Xerxes ) (VP had_been ) (NP the[Pre-Nominal] king ) (NP for (AdjP (AdjP about ) three ) year+s[Plural] ) , ] (NP he ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] ruler+s[Plural] ) (NP and (AdjP all of ) the[Pre-Nominal] official+s[Plural] ) [ (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to a[Pre-Nominal] feast ) ] . (NP he ) (VP (AdvP also ) invit+ed[Past_Tense] ) (NP the[Pre-Nominal] leader+s[Plural] (NP of Persia ) , ) (NP the[Pre-Nominal] leader+s[Plural] (NP of Media ) , ) (NP (AdjP all of ) the[Pre-Nominal] prince+s[Plural] , ) (NP and (AdjP all of ) the[Pre-Nominal] (AdjP powerful ) people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ his ) kingdom ) ] ) [ (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . When King Xerxes had been the king for about three years, he invited all of the rulers and all of the officials to come to a feast. He also invited the leaders of Persia, the leaders of Media, all of the princes, and all of the powerful people who were living in his kingdom to come to that feast.~!~[ when (NP (NP _ King ) Xerxes ) (VP had_been ) (NP the[Pre-Nominal] king ) (NP for (AdjP (AdjP about ) three ) year+s[Plural] ) , ] (NP he ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] ruler+s[Plural] ) (NP and (AdjP all of ) the[Pre-Nominal] official+s[Plural] ) [ (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to a[Pre-Nominal] feast ) ] . (NP he ) (VP (AdvP also ) invit+ed[Past_Tense] ) (NP the[Pre-Nominal] leader+s[Plural] (NP of Persia ) , ) (NP the[Pre-Nominal] leader+s[Plural] (NP of Media ) , ) (NP (AdjP all of ) the[Pre-Nominal] prince+s[Plural] , ) (NP and (AdjP all of ) the[Pre-Nominal] (AdjP powerful ) people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ his ) kingdom ) ] ) [ (NP ) (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . ",,,
4,Esther 1:4,For 180 days King Xerxes showed his great wealth to all of the people who were at that feast. He also showed those people that he was very great.~!~(NP for (AdjP 180 ) days ) (NP (NP _ King ) Xerxes ) (VP show+ed[Past_Tense] ) (NP (NP _ his ) (AdjP great ) wealth ) (NP to (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP at that[Pre-Nominal] feast ) ] ) . (NP he ) (VP (AdvP also ) show+ed[Past_Tense] ) (NP those[Pre-Nominal] people ) [ that[Complementizer] (NP he ) (VP was ) (AdjP very[Pre-Adjective] great ) ] . For 180 days King Xerxes showed his great wealth to all of the people who were at that feast. He also showed those people that he was very great.~!~(NP for (AdjP 180 ) days ) (NP (NP _ King ) Xerxes ) (VP show+ed[Past_Tense] ) (NP (NP _ his ) (AdjP great ) wealth ) (NP to (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP at that[Pre-Nominal] feast ) ] ) . (NP he ) (VP (AdvP also ) show+ed[Past_Tense] ) (NP those[Pre-Nominal] people ) [ that[Complementizer] (NP he ) (VP was ) (AdjP very[Pre-Adjective] great ) ] . For 180 days King Xerxes showed his great wealth to all of the people who were at that feast. He also showed those people that he was very great.~!~(NP for (AdjP 180 ) days ) (NP (NP _ King ) Xerxes ) (VP show+ed[Past_Tense] ) (NP (NP _ his ) (AdjP great ) wealth ) (NP to (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP at that[Pre-Nominal] feast ) ] ) . (NP he ) (VP (AdvP also ) show+ed[Past_Tense] ) (NP those[Pre-Nominal] people ) [ that[Complementizer] (NP he ) (VP was ) (AdjP very[Pre-Adjective] great ) ] . ,,,
5,Esther 1:5,"After that feast ended, King Xerxes invited all of the people who were living in Susa to come to another feast. That feast was in the garden that was at Xerxes' palace. King Xerxes invited the powerful people who were living in Susa to come to that feast. And he also invited the people who weren't important to come to that feast. He celebrated for seven days with those people.~!~[ after (NP that[Pre-Nominal] feast ) (VP end+ed[Past_Tense] ) , ] (NP (NP _ King ) Xerxes ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Susa ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to (AdjP another ) feast ) ] . (NP that[Pre-Nominal] feast ) (VP was ) (NP in the[Pre-Nominal] garden [ that[Relativizer] (NP ) (VP was ) (NP at (NP _ Xerxes+~[Saxon_Genitive] ) palace ) ] ) . (NP (NP _ King ) Xerxes ) (VP invit+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP powerful ) people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Susa ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . and (NP he ) (VP (AdvP also ) invit+ed[Past_Tense] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were not[Post-Verbal] ) (AdjP important ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . (NP he ) (VP celebrat+ed[Past_Tense] ) (NP for (AdjP seven ) days ) (NP with those[Pre-Nominal] people ) . After that feast ended, King Xerxes invited all of the people who were living in Susa to come to another feast. That feast was in the garden that was at Xerxes' palace. King Xerxes invited the powerful people who were living in Susa to come to that feast. And he also invited the people who weren't important to come to that feast. He celebrated for seven days with those people.~!~[ after (NP that[Pre-Nominal] feast ) (VP end+ed[Past_Tense] ) , ] (NP (NP _ King ) Xerxes ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Susa ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to (AdjP another ) feast ) ] . (NP that[Pre-Nominal] feast ) (VP was ) (NP in the[Pre-Nominal] garden [ that[Relativizer] (NP ) (VP was ) (NP at (NP _ Xerxes+~[Saxon_Genitive] ) palace ) ] ) . (NP (NP _ King ) Xerxes ) (VP invit+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP powerful ) people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Susa ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . and (NP he ) (VP (AdvP also ) invit+ed[Past_Tense] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were not[Post-Verbal] ) (AdjP important ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . (NP he ) (VP celebrat+ed[Past_Tense] ) (NP for (AdjP seven ) days ) (NP with those[Pre-Nominal] people ) . After that feast ended, King Xerxes invited all of the people who were living in Susa to come to another feast. That feast was in the garden that was at Xerxes' palace. King Xerxes invited the powerful people who were living in Susa to come to that feast. And he also invited the people who were not important to come to that feast. He celebrated for seven days with those people.~!~[ after (NP that[Pre-Nominal] feast ) (VP end+ed[Past_Tense] ) , ] (NP (NP _ King ) Xerxes ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Susa ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to (AdjP another ) feast ) ] . (NP that[Pre-Nominal] feast ) (VP was ) (NP in the[Pre-Nominal] garden [ that[Relativizer] (NP ) (VP was ) (NP at (NP _ Xerxes+`[Saxon_Genitive] ) palace ) ] ) . (NP (NP _ King ) Xerxes ) (VP invit+ed[Past_Tense] ) (NP the[Pre-Nominal] (AdjP powerful ) people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Susa ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . and (NP he ) (VP (AdvP also ) invit+ed[Past_Tense] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were not[Post-Verbal] ) (AdjP important ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . (NP he ) (VP celebrat+ed[Past_Tense] ) (NP for (AdjP seven ) days ) (NP with those[Pre-Nominal] people ) . ",,,
6,Esther 1:6,"Before the guests came to the garden, the king's servants hung white curtains and blue curtains there. They attached the curtains to marble pillars using silver rings. They also put gold couches and silver couches in the garden. The garden floor was made of marble, shells, and valuable gems.~!~[ before (NP the[Pre-Nominal] guest+s[Plural] ) (VP came ) (NP to the[Pre-Nominal] garden ) , ] (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) servant+s[Plural] ) (VP hung ) (NP (AdjP white ) curtain+s[Plural] ) (NP and (AdjP blue ) curtain+s[Plural] ) (NP there ) . (NP they ) (VP attach+ed[Past_Tense] ) (NP the[Pre-Nominal] curtain+s[Plural] ) (NP to (NP _ marble ) pillar+s[Plural] ) (NP using (NP _ silver ) ring+s[Plural] ) . (NP they ) (VP (AdvP also ) put ) (NP (NP _ gold ) couch+es[Plural] ) (NP and (NP _ silver ) couch+es[Plural] ) (NP in the[Pre-Nominal] garden ) . (NP the[Pre-Nominal] (NP _ garden ) floor ) (VP was ) (NP made_of marble , ) (NP shell+s[Plural] , ) (NP and (AdjP valuable ) gem+s[Plural] ) . Before the guests came to the garden, the king's servants hung white curtains and blue curtains there. They attached the curtains to marble pillars using silver rings. They also put gold couches and silver couches in the garden. The garden floor was made of marble, shells, and valuable gems.~!~[ before (NP the[Pre-Nominal] guest+s[Plural] ) (VP came ) (NP to the[Pre-Nominal] garden ) , ] (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) servant+s[Plural] ) (VP hung ) (NP (AdjP white ) curtain+s[Plural] ) (NP and (AdjP blue ) curtain+s[Plural] ) (NP there ) . (NP they ) (VP attach+ed[Past_Tense] ) (NP the[Pre-Nominal] curtain+s[Plural] ) (NP to (NP _ marble ) pillar+s[Plural] ) (NP using (NP _ silver ) ring+s[Plural] ) . (NP they ) (VP (AdvP also ) put ) (NP (NP _ gold ) couch+es[Plural] ) (NP and (NP _ silver ) couch+es[Plural] ) (NP in the[Pre-Nominal] garden ) . (NP the[Pre-Nominal] (NP _ garden ) floor ) (VP was ) (NP made_of marble , ) (NP shell+s[Plural] , ) (NP and (AdjP valuable ) gem+s[Plural] ) . Before the guests came to the garden, the king's servants hung white curtains and blue curtains there. They attached the curtains to marble pillars using silver rings. They also put gold couches and silver couches in the garden. The garden floor was made of marble, shells, and valuable gems.~!~[ before (NP the[Pre-Nominal] guest+s[Plural] ) (VP came ) (NP to the[Pre-Nominal] garden ) , ] (NP (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) servant+s[Plural] ) (VP hung ) (NP (AdjP white ) curtain+s[Plural] ) (NP and (AdjP blue ) curtain+s[Plural] ) (NP there ) . (NP they ) (VP attach+ed[Past_Tense] ) (NP the[Pre-Nominal] curtain+s[Plural] ) (NP to (NP _ marble ) pillar+s[Plural] ) (NP using (NP _ silver ) ring+s[Plural] ) . (NP they ) (VP (AdvP also ) put ) (NP (NP _ gold ) couch+es[Plural] ) (NP and (NP _ silver ) couch+es[Plural] ) (NP in the[Pre-Nominal] garden ) . (NP the[Pre-Nominal] (NP _ garden ) floor ) (VP was ) (NP made_of marble , ) (NP shell+s[Plural] , ) (NP and (AdjP valuable ) gem+s[Plural] ) . ",,,
7,Esther 1:7,The guests drank wine from gold cups. There were many kinds of cups. King Xerxes gave a lot of wine to the people because he was very generous.~!~(NP the[Pre-Nominal] guest+s[Plural] ) (VP drank ) (NP wine ) (NP from (NP _ gold ) cup+s[Plural] ) . (NP there[Existential_Expletive] ) (VP (VP were ) ) (NP (NP (AdjP many ) kind+s[Plural] of ) cup+s[Plural] ) . (NP (NP _ King ) Xerxes ) (VP gave ) (NP (AdjP a_lot_of ) wine ) (NP to the[Pre-Nominal] people ) [ because (NP he ) (VP was ) (AdjP very[Pre-Adjective] generous ) ] . The guests drank wine from gold cups. There were many kinds of cups. King Xerxes gave a lot of wine to the people because he was very generous.~!~(NP the[Pre-Nominal] guest+s[Plural] ) (VP drank ) (NP wine ) (NP from (NP _ gold ) cup+s[Plural] ) . (NP there[Existential_Expletive] ) (VP (VP were ) ) (NP (NP (AdjP many ) kind+s[Plural] of ) cup+s[Plural] ) . (NP (NP _ King ) Xerxes ) (VP gave ) (NP (AdjP a_lot_of ) wine ) (NP to the[Pre-Nominal] people ) [ because (NP he ) (VP was ) (AdjP very[Pre-Adjective] generous ) ] . The guests drank wine from gold cups. There were many kinds of cups. King Xerxes gave a lot of wine to the people because he was very generous.~!~(NP the[Pre-Nominal] guest+s[Plural] ) (VP drank ) (NP wine ) (NP from (NP _ gold ) cup+s[Plural] ) . (NP there[Existential_Expletive] ) (VP (VP were ) ) (NP (NP (AdjP many ) kind+s[Plural] of ) cup+s[Plural] ) . (NP (NP _ King ) Xerxes ) (VP gave ) (NP (AdjP a_lot_of ) wine ) (NP to the[Pre-Nominal] people ) [ because (NP he ) (VP was ) (AdjP very[Pre-Adjective] generous ) ] . ,,,
8,Esther 1:8,King Xerxes commanded the servants to give a lot of wine to all of the people. So all of the people drank a lot of wine.~!~(NP (NP _ King ) Xerxes ) (VP command+ed[Past_Tense] ) (NP the[Pre-Nominal] servant+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] give ) (NP (AdjP a_lot_of ) wine ) (NP to (AdjP all of ) the[Pre-Nominal] people ) ] . so (NP (AdjP all of ) the[Pre-Nominal] people ) (VP drank ) (NP (AdjP a_lot_of ) wine ) . King Xerxes commanded the servants to give a lot of wine to all of the people. So all of the people drank a lot of wine.~!~(NP (NP _ King ) Xerxes ) (VP command+ed[Past_Tense] ) (NP the[Pre-Nominal] servant+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] give ) (NP (AdjP a_lot_of ) wine ) (NP to (AdjP all of ) the[Pre-Nominal] people ) ] . so (NP (AdjP all of ) the[Pre-Nominal] people ) (VP drank ) (NP (AdjP a_lot_of ) wine ) . King Xerxes commanded the servants to give a lot of wine to all of the people. So all of the people drank a lot of wine.~!~(NP (NP _ King ) Xerxes ) (VP command+ed[Past_Tense] ) (NP the[Pre-Nominal] servant+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] give ) (NP (AdjP a_lot_of ) wine ) (NP to (AdjP all of ) the[Pre-Nominal] people ) ] . so (NP (AdjP all of ) the[Pre-Nominal] people ) (VP drank ) (NP (AdjP a_lot_of ) wine ) . ,,,
9,Esther 1:9,Queen Vashti also had a feast. She invited all of the women who were living in the king's palace to come to that feast.~!~(NP (NP _ Queen ) Vashti (AdvP also ) ) (VP had ) (NP a[Pre-Nominal] feast ) . (NP she ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] women [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) palace ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . Queen Vashti also had a feast. She invited all of the women who were living in the king's palace to come to that feast.~!~(NP (NP _ Queen ) Vashti (AdvP also ) ) (VP had ) (NP a[Pre-Nominal] feast ) . (NP she ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] women [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) palace ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . Queen Vashti also had a feast. She invited all of the women who were living in the king's palace to come to that feast.~!~(NP (NP _ Queen ) Vashti (AdvP also ) ) (VP had ) (NP a[Pre-Nominal] feast ) . (NP she ) (VP invit+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] women [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ the[Pre-Nominal] king+`s[Saxon_Genitive] ) palace ) ] ) [ (NP ) (VP to[Pre-Verbal] come ) (NP to that[Pre-Nominal] feast ) ] . ,,,
10,Esther 1:10,"After seven days King Xerxes was very happy because he drank a lot of wine. Seven eunuchs served King Xerxes. So King Xerxes called those seven eunuchs. Those eunuchs' names were Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carcas.~!~(NP after (AdjP seven ) days ) (NP (NP _ King ) Xerxes ) (VP was ) (AdjP very[Pre-Adjective] happy ) [ because (NP he ) (VP drank ) (NP (AdjP a_lot_of ) wine ) ] . (NP (AdjP seven ) eunuchs ) (VP serv+ed[Past_Tense] ) (NP (NP _ King ) Xerxes ) . so (NP (NP _ King ) Xerxes ) (VP call+ed[Past_Tense] ) (NP those[Pre-Nominal] (AdjP seven ) eunuchs ) . (NP (NP _ those[Pre-Nominal] eunuchs+~[Saxon_Genitive] ) name+s[Plural] ) (VP were ) (NP Mehuman , ) (NP Biztha , ) (NP Harbona , ) (NP Bigtha , ) (NP Abagtha , ) (NP Zethar , ) (NP and Carcas ) . After seven days King Xerxes was very happy because he drank a lot of wine. Seven eunuchs served King Xerxes. <<They took care of Xerxes' wives.>> So King Xerxes called those seven eunuchs. Those eunuchs' names were Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carcas.~!~(NP after (AdjP seven ) days ) (NP (NP _ King ) Xerxes ) (VP was ) (AdjP very[Pre-Adjective] happy ) [ because (NP he ) (VP drank ) (NP (AdjP a_lot_of ) wine ) ] . (NP (AdjP seven ) eunuchs ) (VP serv+ed[Past_Tense] ) (NP (NP _ King ) Xerxes ) . <<[Opening_Implicit_Marker] (NP they ) (VP took care[Verbal_Adjective_in_VP] ) (NP of (NP _ Xerxes+~[Saxon_Genitive] ) wives ) . >>[Closing_Implicit_Marker] so (NP (NP _ King ) Xerxes ) (VP call+ed[Past_Tense] ) (NP those[Pre-Nominal] (AdjP seven ) eunuchs ) . (NP (NP _ those[Pre-Nominal] eunuchs+~[Saxon_Genitive] ) name+s[Plural] ) (VP were ) (NP Mehuman , ) (NP Biztha , ) (NP Harbona , ) (NP Bigtha , ) (NP Abagtha , ) (NP Zethar , ) (NP and Carcas ) . After seven days King Xerxes was very happy because he drank a lot of wine. Seven men who didn't have served King Xerxes. They took care of Xerxes' wives. So King Xerxes called those seven men. Those men's names were Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carcas.~!~(NP after (AdjP seven ) days ) (NP (NP _ King ) Xerxes ) (VP was ) (AdjP very[Pre-Adjective] happy ) [ because (NP he ) (VP drank ) (NP (AdjP a_lot_of ) wine ) ] . (NP (AdjP seven ) men [ who[Relativizer] (NP ) (VP didn`t[Pre-Verbal] have ) (NP ) ] ) (VP serv+ed[Past_Tense] ) (NP (NP _ King ) Xerxes ) . (NP they ) (VP took care[Verbal_Adjective_in_VP] ) (NP of (NP _ Xerxes+`[Saxon_Genitive] ) wives ) . so (NP (NP _ King ) Xerxes ) (VP call+ed[Past_Tense] ) (NP those[Pre-Nominal] (AdjP seven ) men ) . (NP (NP _ those[Pre-Nominal] men+`s[Saxon_Genitive] ) name+s[Plural] ) (VP were ) (NP Mehuman , ) (NP Biztha , ) (NP Harbona , ) (NP Bigtha , ) (NP Abagtha , ) (NP Zethar , ) (NP and Carcas ) . ",,,
