ID,Reference,Verse,Notes,NoteFonts,Residue
2,Exodus 1:2,"Jacob had sons named Reuben, Simeon, Levi, and Judah.~!~(NP Jacob ) (VP had ) (NP son+s[Plural] (NP named Reuben , ) (NP Simeon , ) (NP Levi , ) (NP and Judah ) ) . Jacob had sons named Reuben, Simeon, Levi, and Judah.~!~(NP Jacob ) (VP had ) (NP son+s[Plural] (NP named Reuben , ) (NP Simeon , ) (NP Levi , ) (NP and Judah ) ) . Jacob had sons named Reuben, Simeon, Levi, and Judah.~!~(NP Jacob ) (VP had ) (NP son+s[Plural] (NP named Reuben , ) (NP Simeon , ) (NP Levi , ) (NP and Judah ) ) . ",,,
4,Exodus 1:4,"Jacob also had sons named Dan, Naphtali, Gad, and Asher.~!~(NP Jacob ) (VP (AdvP also ) had ) (NP son+s[Plural] (NP named Dan , ) (NP Naphtali , ) (NP Gad , ) (NP and Asher ) ) . Jacob also had sons named Dan, Naphtali, Gad, and Asher.~!~(NP Jacob ) (VP (AdvP also ) had ) (NP son+s[Plural] (NP named Dan , ) (NP Naphtali , ) (NP Gad , ) (NP and Asher ) ) . Jacob also had sons named Dan, Naphtali, Gad, and Asher.~!~(NP Jacob ) (VP (AdvP also ) had ) (NP son+s[Plural] (NP named Dan , ) (NP Naphtali , ) (NP Gad , ) (NP and Asher ) ) . ",,,
6,Exodus 1:6,"After many years Joseph, all of his brothers, and all of their wives died.~!~(NP after (AdjP many ) year+s[Plural] ) (NP Joseph , ) (NP (AdjP all of ) (NP _ his ) brother+s[Plural] , ) (NP and (AdjP all of ) (NP _ their ) wives ) (VP di+ed[Past_Tense] ) . After many years Joseph, all of his brothers, and all of their wives died.~!~(NP after (AdjP many ) year+s[Plural] ) (NP Joseph , ) (NP (AdjP all of ) (NP _ his ) brother+s[Plural] , ) (NP and (AdjP all of ) (NP _ their ) wives ) (VP di+ed[Past_Tense] ) . After many years Joseph, all of his brothers, and all of their wives died.~!~(NP after (AdjP many ) year+s[Plural] ) (NP Joseph , ) (NP (AdjP all of ) (NP _ his ) brother+s[Plural] , ) (NP and (AdjP all of ) (NP _ their ) wives ) (VP di+ed[Past_Tense] ) . ",,,
7,Exodus 1:7,But Jacob's descendants gave birth to many babies. So there were many Israelites. They lived throughout Egypt.~!~but (NP (NP _ Jacob+`s[Saxon_Genitive] ) descendant+s[Plural] ) (VP gave ) (NP birth ) (NP to (AdjP many ) babi+es[Plural] ) . so (NP there[Existential_Expletive] ) (VP (VP were ) ) (NP (AdjP many ) Israelite+s[Plural] ) . (NP they ) (VP liv+ed[Past_Tense] ) (NP throughout Egypt ) . But Jacob's descendants gave birth to many babies. So there were many Israelites. They lived throughout Egypt.~!~but (NP (NP _ Jacob+`s[Saxon_Genitive] ) descendant+s[Plural] ) (VP gave ) (NP birth ) (NP to (AdjP many ) babi+es[Plural] ) . so (NP there[Existential_Expletive] ) (VP (VP were ) ) (NP (AdjP many ) Israelite+s[Plural] ) . (NP they ) (VP liv+ed[Past_Tense] ) (NP throughout Egypt ) . But Jacob's descendants gave birth to many babies. So there were many Israelites. They lived throughout Egypt.~!~but (NP (NP _ Jacob+`s[Saxon_Genitive] ) descendant+s[Plural] ) (VP gave ) (NP birth ) (NP to (AdjP many ) babi+es[Plural] ) . so (NP there[Existential_Expletive] ) (VP (VP were ) ) (NP (AdjP many ) Israelite+s[Plural] ) . (NP they ) (VP liv+ed[Past_Tense] ) (NP throughout Egypt ) . ,,,
9,Exodus 1:9,"One day that king said to the Egyptians, “There are too many Israelites. The Israelites' power is greater than our power.~!~one_day (NP that[Pre-Nominal] king ) (VP said ) (NP to the[Pre-Nominal] Egyptian+s[Plural] ) [ ,_“ (NP there[Existential_Expletive] ) (VP (VP are ) ) (NP (AdjP too[Pre-Adjective] many ) Israelite+s[Plural] ) ] . (NP (NP _ the[Pre-Nominal] Israelite+s[Plural]+~[Saxon_Genitive] ) power ) (VP is ) (AdjP great+er[Comparative] (NP than[Comparison_Marker] (NP _ our ) power ) ) . One day that king said to the Egyptians, “There are too many Israelites. The Israelites' power is greater than our power.~!~one_day (NP that[Pre-Nominal] king ) (VP said ) (NP to the[Pre-Nominal] Egyptian+s[Plural] ) [ ,_“ (NP there[Existential_Expletive] ) (VP (VP are ) ) (NP (AdjP too[Pre-Adjective] many ) Israelite+s[Plural] ) ] . (NP (NP _ the[Pre-Nominal] Israelite+s[Plural]+`[Saxon_Genitive] ) power ) (VP is ) (AdjP great+er[Comparative] (NP than[Comparison_Marker] (NP _ our ) power ) ) . One day that king said to the Egyptians, “There are too many Israelites. The Israelites' power is greater than our power.~!~one_day (NP that[Pre-Nominal] king ) (VP said ) (NP to the[Pre-Nominal] Egyptian+s[Plural] ) [ ,_“ (NP there[Existential_Expletive] ) (VP (VP are ) ) (NP (AdjP too[Pre-Adjective] many ) Israelite+s[Plural] ) ] . (NP (NP _ the[Pre-Nominal] Israelite+s[Plural]+`[Saxon_Genitive] ) power ) (VP is ) (AdjP great+er[Comparative] (NP than[Comparison_Marker] (NP _ our ) power ) ) . ",,,
19,Exodus 1:19,"Those nurses said to the king, “Israelite women are stronger than Egyptian women. So before we arrive at the house of an Israelite woman, she gives birth to her baby.”~!~(NP those[Pre-Nominal] nurse+s[Plural] ) (VP said ) (NP to the[Pre-Nominal] king ) [ ,_“ (NP (NP _ Israelite ) women ) (VP are ) (AdjP strong+er[Comparative] (NP than[Comparison_Marker] (NP _ Egyptian ) women ) ) ] . so [ before (NP we ) (VP arrive ) (NP at the[Pre-Nominal] house (NP of _ an[Pre-Nominal] (NP _ Israelite ) woman ) ) , ] (NP she ) (VP give+s[Third_Singular_Present] ) (NP birth ) (NP to (NP _ her ) baby ) . ” Those nurses said to the king, “Israelite women are stronger than Egyptian women. So before we arrive at the house of an Israelite woman, she gives birth to her baby.”~!~(NP those[Pre-Nominal] nurse+s[Plural] ) (VP said ) (NP to the[Pre-Nominal] king ) [ ,_“ (NP (NP _ Israelite ) women ) (VP are ) (AdjP strong+er[Comparative] (NP than[Comparison_Marker] (NP _ Egyptian ) women ) ) ] . so [ before (NP we ) (VP arrive ) (NP at the[Pre-Nominal] house (NP of _ an[Pre-Nominal] (NP _ Israelite ) woman ) ) , ] (NP she ) (VP give+s[Third_Singular_Present] ) (NP birth ) (NP to (NP _ her ) baby ) . ” Those nurses said to the king, “Israelite women are stronger than Egyptian women. So before we arrive at the house of an Israelite woman, she gives birth to her baby.”~!~(NP those[Pre-Nominal] nurse+s[Plural] ) (VP said ) (NP to the[Pre-Nominal] king ) [ ,_“ (NP (NP _ Israelite ) women ) (VP are ) (AdjP strong+er[Comparative] (NP than[Comparison_Marker] (NP _ Egyptian ) women ) ) ] . so [ before (NP we ) (VP arrive ) (NP at the[Pre-Nominal] house (NP of _ an[Pre-Nominal] (NP _ Israelite ) woman ) ) , ] (NP she ) (VP give+s[Third_Singular_Present] ) (NP birth ) (NP to (NP _ her ) baby ) . ” ",,,
22,Exodus 1:22,"So the king ordered the Egyptians to kill all of the baby Hebrew boys. He said to the Egyptians, “Whenever an Israelite woman gives birth to a baby boy, you have to throw him into the Nile river. But you may allow the baby girls to live.”~!~so (NP the[Pre-Nominal] king ) (VP ordered ) (NP the[Pre-Nominal] Egyptian+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] kill ) (NP (AdjP all of ) the[Pre-Nominal] (NP baby ) (NP _ Hebrew ) boys ) ] . (NP he ) (VP said ) (NP to the[Pre-Nominal] Egyptian+s[Plural] ) [ ,_“ [ whenever (NP an[Pre-Nominal] (NP _ Israelite ) woman ) (VP give+s[Third_Singular_Present] ) (NP birth ) (NP to a[Pre-Nominal] (NP baby ) boy ) , ] (NP you ) (VP have_to[Pre-Verbal] throw ) (NP him ) (NP into the[Pre-Nominal] (NP Nile ) river ) ] . but (NP you ) (VP may[Pre-Verbal] allow ) (NP the[Pre-Nominal] (NP baby ) girl+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] live ) ] . ” So the king ordered the Egyptians to kill all of the baby Hebrew boys. He said to the Egyptians, “Whenever an Israelite woman gives birth to a baby boy, you have to throw him into the Nile river. But you may allow the baby girls to live.”~!~so (NP the[Pre-Nominal] king ) (VP ordered ) (NP the[Pre-Nominal] Egyptian+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] kill ) (NP (AdjP all of ) the[Pre-Nominal] (NP baby ) (NP _ Hebrew ) boys ) ] . (NP he ) (VP said ) (NP to the[Pre-Nominal] Egyptian+s[Plural] ) [ ,_“ [ whenever (NP an[Pre-Nominal] (NP _ Israelite ) woman ) (VP give+s[Third_Singular_Present] ) (NP birth ) (NP to a[Pre-Nominal] (NP baby ) boy ) , ] (NP you ) (VP have_to[Pre-Verbal] throw ) (NP him ) (NP into the[Pre-Nominal] (NP Nile ) river ) ] . but (NP you ) (VP may[Pre-Verbal] allow ) (NP the[Pre-Nominal] (NP baby ) girl+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] live ) ] . ” So the king ordered the Egyptians to kill all of the baby Hebrew boys. He said to the Egyptians, “When an Israelite woman gives birth to a baby boy, you have to throw him into the Nile river. But you may allow the baby girls to live.”~!~so (NP the[Pre-Nominal] king ) (VP ordered ) (NP the[Pre-Nominal] Egyptian+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] kill ) (NP (AdjP all of ) the[Pre-Nominal] (NP baby ) (NP _ Hebrew ) boys ) ] . (NP he ) (VP said ) (NP to the[Pre-Nominal] Egyptian+s[Plural] ) [ ,_“ [ when (NP an[Pre-Nominal] (NP _ Israelite ) woman ) (VP give+s[Third_Singular_Present] ) (NP birth ) (NP to a[Pre-Nominal] (NP baby ) boy ) , ] (NP you ) (VP have_to[Pre-Verbal] throw ) (NP him ) (NP into the[Pre-Nominal] (NP Nile ) river ) ] . but (NP you ) (VP may[Pre-Verbal] allow ) (NP the[Pre-Nominal] (NP baby ) girl+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] live ) ] . ” ",,,
29,Exodus 2:7,"Then the baby's sister went to the princess and said, “Do you want me to search for a Hebrew mother who will take care of this baby for you?”~!~then (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) sister ) (VP went ) (NP to the[Pre-Nominal] princess ) [ and (NP ) (VP said ) [ ,_“ (VP do[CP-VP] ) (NP you ) (VP want ) (NP me ) [ (NP ) (VP to[Pre-Verbal] search ) (NP for a[Pre-Nominal] (NP _ Hebrew ) mother [ who[Relativizer] (NP ) (VP will[Pre-Verbal] take care[Verbal_Adjective_in_VP] ) (NP of this[Pre-Nominal] baby ) (NP for you ) ] ) ] ? ” ] ] . Then the baby's sister went to the princess and said, “Do you want me to search for a Hebrew mother who will take care of this baby for you?”~!~then (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) sister ) (VP went ) (NP to the[Pre-Nominal] princess ) [ and (NP ) (VP said ) [ ,_“ (VP do[CP-VP] ) (NP you ) (VP want ) (NP me ) [ (NP ) (VP to[Pre-Verbal] search ) (NP for a[Pre-Nominal] (NP _ Hebrew ) mother [ who[Relativizer] (NP ) (VP will[Pre-Verbal] take care[Verbal_Adjective_in_VP] ) (NP of this[Pre-Nominal] baby ) (NP for you ) ] ) ] ? ” ] ] . Then the baby's older sister went to the princess and said, “Do you want me to search for a Hebrew mother who will take care of this baby for you?”~!~then (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) older[Lexical_Adjective] sister ) (VP went ) (NP to the[Pre-Nominal] princess ) [ and (NP ) (VP said ) [ ,_“ (VP do[CP-VP] ) (NP you ) (VP want ) (NP me ) [ (NP ) (VP to[Pre-Verbal] search ) (NP for a[Pre-Nominal] (NP _ Hebrew ) mother [ who[Relativizer] (NP ) (VP will[Pre-Verbal] take care[Verbal_Adjective_in_VP] ) (NP of this[Pre-Nominal] baby ) (NP for you ) ] ) ] ? ” ] ] . ",,,
30,Exodus 2:8,"The princess said, “Yes. Go and find a mother.” So the baby's sister went to his mother. Then the baby's sister brought his mother to the princess.~!~(NP the[Pre-Nominal] princess ) (VP said ) [ ,_“ yes ] . (NP ) (VP go ) [ and (NP ) (VP find ) (NP a[Pre-Nominal] mother ) ” ] . so (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) sister ) (VP went ) (NP to (NP _ his ) mother ) . then (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) sister ) (VP brought ) (NP (NP _ his ) mother ) (NP to the[Pre-Nominal] princess ) . The princess said, “Yes. Go and find a mother.” So the baby's sister went to his mother. Then the baby's sister brought his mother to the princess.~!~(NP the[Pre-Nominal] princess ) (VP said ) [ ,_“ yes ] . (NP ) (VP go ) [ and (NP ) (VP find ) (NP a[Pre-Nominal] mother ) ” ] . so (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) sister ) (VP went ) (NP to (NP _ his ) mother ) . then (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) sister ) (VP brought ) (NP (NP _ his ) mother ) (NP to the[Pre-Nominal] princess ) . The princess said, “Yes. Go and find a mother.” So the baby's older sister went to his mother and brought her to the princess.~!~(NP the[Pre-Nominal] princess ) (VP said ) [ ,_“ yes ] . (NP ) (VP go ) [ and (NP ) (VP find ) (NP a[Pre-Nominal] mother ) ” ] . so (NP (NP _ the[Pre-Nominal] baby+`s[Saxon_Genitive] ) older[Lexical_Adjective] sister ) (VP went ) (NP to (NP _ his ) mother ) [ and (NP ) (VP brought ) (NP her ) (NP to the[Pre-Nominal] princess ) ] . ",,,
32,Exodus 2:10,"When the boy was old a few years, the mother took him to the princess. And that boy became the princess' son. The princess named that boy Moses because she pulled that boy out of the Nile River.~!~[ when (NP the[Pre-Nominal] boy ) (VP was ) (AdjP old (NP a_few[Pre-Nominal] year+s[Plural] ) ) , ] (NP the[Pre-Nominal] mother ) (VP took ) (NP him ) (NP to the[Pre-Nominal] princess ) . and (NP that[Pre-Nominal] boy ) (VP became ) (NP (NP _ the[Pre-Nominal] princess+~[Saxon_Genitive] ) son ) . (NP the[Pre-Nominal] princess ) (VP nam+ed[Past_Tense] ) (NP that[Pre-Nominal] boy ) (NP Moses ) [ because (NP she ) (VP pull+ed[Past_Tense] ) (NP that[Pre-Nominal] boy ) (NP out_of[Adposition_in_VP] the[Pre-Nominal] Nile[First_Word_of_Compound_Noun] River ) ] . When the boy was old a few years, the mother took him to the princess. And that boy became the princess' son. The princess named that boy Moses because she pulled that boy out of the Nile River. Footnote: The word 'Moses' sounds like 'pull out of' in Hebrew.~!~[ when (NP the[Pre-Nominal] boy ) (VP was ) (AdjP old (NP a_few[Pre-Nominal] year+s[Plural] ) ) , ] (NP the[Pre-Nominal] mother ) (VP took ) (NP him ) (NP to the[Pre-Nominal] princess ) . and (NP that[Pre-Nominal] boy ) (VP became ) (NP (NP _ the[Pre-Nominal] princess+`[Saxon_Genitive] ) son ) . (NP the[Pre-Nominal] princess ) (VP nam+ed[Past_Tense] ) (NP that[Pre-Nominal] boy ) (NP Moses ) [ because (NP she ) (VP pull+ed[Past_Tense] ) (NP that[Pre-Nominal] boy ) (NP out_of[Adposition_in_VP] the[Pre-Nominal] Nile[First_Word_of_Compound_Noun] River ) ] . Footnote:[Proposition_Label] (NP the[Pre-Nominal] word (NP ` Moses ~ ) ) (VP sound+s[Third_Singular_Present] like[Adposition_in_VP] [ ` (VP pull out_of[Adposition_in_VP] ) ~ ] ) (NP in Hebrew ) . When the boy was old a few years, the mother took him to the princess. And that boy became the princess' son. The princess named that boy Moses because she pulled that boy out of the Nile river. Footnote: The word ‘Moses’ sounds like ‘pull out of’ in Hebrew.~!~[ when (NP the[Pre-Nominal] boy ) (VP was ) (AdjP old (NP a_few[Pre-Nominal] year+s[Plural] ) ) , ] (NP the[Pre-Nominal] mother ) (VP took ) (NP him ) (NP to the[Pre-Nominal] princess ) . and (NP that[Pre-Nominal] boy ) (VP became ) (NP (NP _ the[Pre-Nominal] princess+`[Saxon_Genitive] ) son ) . (NP the[Pre-Nominal] princess ) (VP nam+ed[Past_Tense] ) (NP that[Pre-Nominal] boy ) (NP Moses ) [ because (NP she ) (VP pull+ed[Past_Tense] ) (NP that[Pre-Nominal] boy out_of[Verbal_Adposition_moved_to_Direct_Object] ) (NP the[Pre-Nominal] (NP Nile ) river ) ] . Footnote:[Proposition_Label] (NP the[Pre-Nominal] word (NP ‘ Moses ’ ) ) (VP sound+s[Third_Singular_Present] like[Adposition_in_VP] [ ‘ (VP pull out_of[Verbal_Adposition_moved_to_Direct_Object] ) ’ ] ) (NP in Hebrew ) . ",,,
