ID,Reference,Verse,Notes,NoteFonts,Residue
1,Genesis 1:1,In the beginning God created the heavens and the earth.~!~(NP in the[Pre-Nominal] beginning ) (NP God ) (VP creat+ed[Past_Tense] ) (NP the[Pre-Nominal] heaven+s[Plural] ) (NP and the[Pre-Nominal] earth ) . In the beginning God created the heavens and the earth.~!~(NP in the[Pre-Nominal] beginning ) (NP God ) (VP creat+ed[Past_Tense] ) (NP the[Pre-Nominal] heaven+s[Plural] ) (NP and the[Pre-Nominal] earth ) . God started creating the heavens and the earth.~!~(NP God ) (VP started[Pre-Verbal] creat+ing[Participle] ) (NP the[Pre-Nominal] heaven+s[Plural] ) (NP and the[Pre-Nominal] earth ) . ,  ,,
3,Genesis 1:3,"Then God said, “Let there be light.” Then there was light.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light ) (VP ) ” ] . then (NP there[Existential_Expletive] ) (VP (VP was ) ) (NP light ) . Then God said, “Let there be light.” Then there was light.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light ) (VP ) ” ] . then (NP there[Existential_Expletive] ) (VP (VP was ) ) (NP light ) . Then God said, “Let there be light.” Then there was light.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light ) (VP ) ” ] . then (NP there[Existential_Expletive] ) (VP (VP was ) ) (NP light ) . ",  ,,
5,Genesis 1:5,God called the light 'day' and called the darkness 'night'. That evening and that morning were the first day.~!~(NP God ) (VP call+ed[Past_Tense] ) (NP the[Pre-Nominal] light ) (NP ` day ~ ) [ and (NP ) (VP call+ed[Past_Tense] ) (NP the[Pre-Nominal] darkness ) (NP ` night ~ ) ] . (NP that[Pre-Nominal] evening ) (NP and that[Pre-Nominal] morning ) (VP were ) (NP the[Pre-Nominal] (AdjP first ) day ) . God called the light 'day' and called the darkness 'night'. Literal Alternate: That evening and that morning were the first day. Dynamic Alternate: God did these things on the first day.~!~(NP God ) (VP call+ed[Past_Tense] ) (NP the[Pre-Nominal] light ) (NP ` day ~ ) [ and (NP ) (VP call+ed[Past_Tense] ) (NP the[Pre-Nominal] darkness ) (NP ` night ~ ) ] . Literal_Alternate:[Proposition_Label] (NP that[Pre-Nominal] evening ) (NP and that[Pre-Nominal] morning ) (VP were ) (NP the[Pre-Nominal] (AdjP first ) day ) . Dynamic_Alternate:[Proposition_Label] (NP God ) (VP did ) (NP these[Pre-Nominal] thing+s[Plural] ) (NP on the[Pre-Nominal] (AdjP first ) day ) . God called the light ‘day’ and called the darkness ‘night’. He did these things on the first day.~!~(NP God ) (VP call+ed[Past_Tense] ) (NP the[Pre-Nominal] light ) (NP ‘ day ’ ) [ and (NP ) (VP call+ed[Past_Tense] ) (NP the[Pre-Nominal] darkness ) (NP ‘ night ’ ) ] . _ (NP he ) (VP did ) (NP these[Pre-Nominal] thing+s[Plural] ) (NP on the[Pre-Nominal] (AdjP first ) day ) . ,,,
6,Genesis 1:6,"Then God said, “Let there be a vault that will be between the water. That vault will separate the water that is below it from the water that is above it.”~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP a[Pre-Nominal] vault [ that[Relativizer] (NP ) (VP will[Pre-Verbal] be ) (NP between the[Pre-Nominal] water ) ] ) (VP ) ] . (NP that[Pre-Nominal] vault ) (VP will[Pre-Verbal] separate ) (NP the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP below it ) ] ) (NP from the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP above it ) ] ) . ” Then God said, “Let there be a vault that will be between the water. That vault will separate the water that is below it from the water that is above it.”~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP a[Pre-Nominal] vault [ that[Relativizer] (NP ) (VP will[Pre-Verbal] be ) (NP between the[Pre-Nominal] water ) ] ) (VP ) ] . (NP that[Pre-Nominal] vault ) (VP will[Pre-Verbal] separate ) (NP the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP below it ) ] ) (NP from the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP above it ) ] ) . ” Then God said, “Let there be a place that will separate the water that is below there from the water that is above there.”~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP a[Pre-Nominal] place [ that[Relativizer] (NP ) (VP will[Pre-Verbal] separate ) (NP the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP below there ) ] ) (NP from the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP above there ) ] ) ] ) (VP ) ” ] . ",,,
8,Genesis 1:8,God called that vault 'sky'. That evening and that morning were the second day.~!~(NP God ) (VP call+ed[Past_Tense] ) (NP that[Pre-Nominal] vault ) (NP ` sky ~ ) . (NP that[Pre-Nominal] evening ) (NP and that[Pre-Nominal] morning ) (VP were ) (NP the[Pre-Nominal] (AdjP second ) day ) . God called that vault 'sky'. Literal Alternate: That evening and that morning were the second day. Dynamic Alternate: God did these things on the second day.~!~(NP God ) (VP call+ed[Past_Tense] ) (NP that[Pre-Nominal] vault ) (NP ` sky ~ ) . Literal_Alternate:[Proposition_Label] (NP that[Pre-Nominal] evening ) (NP and that[Pre-Nominal] morning ) (VP were ) (NP the[Pre-Nominal] (AdjP second ) day ) . Dynamic_Alternate:[Proposition_Label] (NP God ) (VP did ) (NP these[Pre-Nominal] thing+s[Plural] ) (NP on the[Pre-Nominal] (AdjP second ) day ) . God called that place ‘sky’. He did these things on the second day.~!~(NP God ) (VP call+ed[Past_Tense] ) (NP that[Pre-Nominal] place ) (NP ‘ sky ’ ) . _ (NP he ) (VP did ) (NP these[Pre-Nominal] thing+s[Plural] ) (NP on the[Pre-Nominal] (AdjP second ) day ) . ,,,
9,Genesis 1:9,"Then God said, “Let the water that is under the sky be gathered. And let dry ground appear.” And it was so.~!~then (NP God ) (VP said ) [ ,_“ (VP let[CP-VP] ) (NP the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP under the[Pre-Nominal] sky ) ] ) (VP be[Pre-Verbal] gathered ) ] . and (VP let[CP-VP] ) (NP (AdjP dry ) ground ) (VP appear ) . ” and_it_was_so . Then God said, “Let the water that is under the sky be gathered. And let dry ground appear.” And it was so.~!~then (NP God ) (VP said ) [ ,_“ (VP let[CP-VP] ) (NP the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP under the[Pre-Nominal] sky ) ] ) (VP be[Pre-Verbal] gathered ) ] . and (VP let[CP-VP] ) (NP (AdjP dry ) ground ) (VP appear ) . ” and_it_was_so . Then God said, “I'll gather the water that is under the sky. Then dry places will appear.” And so God caused dry places to appear.~!~then (NP God ) (VP said ) [ ,_“ (NP I ) (VP will[Pre-Verbal] gather ) (NP the[Pre-Nominal] water [ that[Relativizer] (NP ) (VP is ) (NP under the[Pre-Nominal] sky ) ] ) ] . then (NP (AdjP dry ) place+s[Plural] ) (VP will[Pre-Verbal] appear ) . ” and_so (NP God ) (VP caus+ed[Past_Tense] ) (NP (AdjP dry ) place+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] appear ) ] . ",,,
11,Genesis 1:11,"Then God said, “Let the earth produce plants. And those plants will produce seeds. And trees will produce fruit that contains seeds. Each seed will produce a plant. And that plant will be the same kind of plant that produced the seed.” And it was so.~!~then (NP God ) (VP said ) [ ,_“ (VP let[CP-VP] ) (NP the[Pre-Nominal] earth ) (VP produce ) (NP plant+s[Plural] ) ] . and (NP those[Pre-Nominal] plant+s[Plural] ) (VP will[Pre-Verbal] produce ) (NP seed+s[Plural] ) . and (NP tree+s[Plural] ) (VP will[Pre-Verbal] produce ) (NP fruit [ that[Relativizer] (NP ) (VP contain+s[Third_Singular_Present] ) (NP seed+s[Plural] ) ] ) . (NP (AdjP each ) seed ) (VP will[Pre-Verbal] produce ) (NP a[Pre-Nominal] plant ) . and (NP that[Pre-Nominal] plant ) (VP will[Pre-Verbal] be ) (NP the[Pre-Nominal] (AdjP same ) kind (NP of plant [ that[Relativizer] (NP ) (VP produc+ed[Past_Tense] ) (NP the[Pre-Nominal] seed ) ] ) ) . ” and_it_was_so . Then God said, “Let the earth produce plants. And those plants will produce seeds. And trees will produce fruit that contains seeds. Each seed will produce a plant. And that plant will be the same kind of plant that produced the seed.” And it was so.Then God said, “Let plants grow on the earth. And let all of these plants produce seeds. Certain plants will produce seeds that are grain. Other plants will produce seeds that are inside their fruit. Each seed will produce a plant. And that plant will be the same kind of plant that produced the seed.” And so God created plants.~!~then (NP God ) (VP said ) [ ,_“ (VP let[CP-VP] ) (NP plant+s[Plural] ) (VP grow ) (NP on the[Pre-Nominal] earth ) ] . and (VP let[CP-VP] ) (NP (AdjP all of ) these[Pre-Nominal] plant+s[Plural] ) (VP produce ) (NP seed+s[Plural] ) . (NP (AdjP certain ) plant+s[Plural] ) (VP will[Pre-Verbal] produce ) (NP seed+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP grain ) ] ) . (NP (AdjP other ) plant+s[Plural] ) (VP will[Pre-Verbal] produce ) (NP seed+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP inside (NP _ their ) fruit ) ] ) . (NP (AdjP each ) seed ) (VP will[Pre-Verbal] produce ) (NP a[Pre-Nominal] plant ) . and (NP that[Pre-Nominal] plant ) (VP will[Pre-Verbal] be ) (NP the[Pre-Nominal] (AdjP same ) kind (NP of plant [ that[Relativizer] (NP ) (VP produc+ed[Past_Tense] ) (NP the[Pre-Nominal] seed ) ] ) ) . ” and_so (NP God ) (VP creat+ed[Past_Tense] ) (NP plant+s[Plural] ) . ",,,
12,Genesis 1:12,So the earth started producing plants. Each plant produced seeds. And each seed produced a plant. And that plant was the same kind of plant that had produced the seed. And trees produced fruit that contained seeds. Each seed produced a tree. And that tree was the same kind of tree that had produced the seed. God looked at those plants and knew that they were good.~!~so (NP the[Pre-Nominal] earth ) (VP started[Pre-Verbal] produc+ing[Participle] ) (NP plant+s[Plural] ) . (NP (AdjP each ) plant ) (VP produc+ed[Past_Tense] ) (NP seed+s[Plural] ) . and (NP (AdjP each ) seed ) (VP produc+ed[Past_Tense] ) (NP a[Pre-Nominal] plant ) . and (NP that[Pre-Nominal] plant ) (VP was ) (NP the[Pre-Nominal] (AdjP same ) kind (NP of plant [ that[Relativizer] (NP ) (VP had[Pre-Verbal] produc+ed[Past_Tense] ) (NP the[Pre-Nominal] seed ) ] ) ) . and (NP tree+s[Plural] ) (VP produc+ed[Past_Tense] ) (NP fruit [ that[Relativizer] (NP ) (VP contain+ed[Past_Tense] ) (NP seed+s[Plural] ) ] ) . (NP (AdjP each ) seed ) (VP produc+ed[Past_Tense] ) (NP a[Pre-Nominal] tree ) . and (NP that[Pre-Nominal] tree ) (VP was ) (NP the[Pre-Nominal] (AdjP same ) kind (NP of tree [ that[Relativizer] (NP ) (VP had[Pre-Verbal] produc+ed[Past_Tense] ) (NP the[Pre-Nominal] seed ) ] ) ) . (NP God ) (VP look+ed[Past_Tense] ) (NP at those[Pre-Nominal] plant+s[Plural] ) [ and (NP ) (VP knew ) [ that[Complementizer] (NP they ) (VP were ) (AdjP good ) ] ] . So the earth started producing plants. Each plant produced seeds. And each seed produced a plant. And that plant was the same kind of plant that had produced the seed. And trees produced fruit that contained seeds. Each seed produced a tree. And that tree was the same kind of tree that had produced the seed. God looked at those plants and knew that they were good.So plants started growing on the earth. Certain plants produced grain. And other plants produced fruit. Each seed produced a plant. And that plant was the same kind of plant that had produced the seed. God looked at those plants and knew that they were good.~!~so (NP plant+s[Plural] ) (VP started[Pre-Verbal] grow+ing[Participle] ) (NP on the[Pre-Nominal] earth ) . (NP (AdjP certain ) plant+s[Plural] ) (VP produc+ed[Past_Tense] ) (NP grain ) . and (NP (AdjP other ) plant+s[Plural] ) (VP produc+ed[Past_Tense] ) (NP fruit ) . (NP (AdjP each ) seed ) (VP produc+ed[Past_Tense] ) (NP a[Pre-Nominal] plant ) . and (NP that[Pre-Nominal] plant ) (VP was ) (NP the[Pre-Nominal] (AdjP same ) kind (NP of plant [ that[Relativizer] (NP ) (VP had[Pre-Verbal] produc+ed[Past_Tense] ) (NP the[Pre-Nominal] seed ) ] ) ) . (NP God ) (VP look+ed[Past_Tense] ) (NP at those[Pre-Nominal] plant+s[Plural] ) [ and (NP ) (VP knew ) [ that[Complementizer] (NP they ) (VP were ) (AdjP good ) ] ] . ,,,
14,Genesis 1:14,"Then God said, “Let there be lights in the heavens. These lights will separate day from night. And let these lights mark days, seasons, and years.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light+s[Plural] ) (VP ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] . (NP these[Pre-Nominal] light+s[Plural] ) (VP will[Pre-Verbal] separate ) (NP day ) (NP from night ) . and (VP let[CP-VP] ) (NP these[Pre-Nominal] light+s[Plural] ) (VP mark ) (NP days , ) (NP season+s[Plural] , ) (NP and year+s[Plural] ) . Then God said, “Let there be lights in the heavens. These lights will separate day from night. And let these lights mark days, seasons, and years.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light+s[Plural] ) (VP ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] . (NP these[Pre-Nominal] light+s[Plural] ) (VP will[Pre-Verbal] separate ) (NP day ) (NP from night ) . and (VP let[CP-VP] ) (NP these[Pre-Nominal] light+s[Plural] ) (VP mark ) (NP days , ) (NP season+s[Plural] , ) (NP and year+s[Plural] ) . Then God said, “Let there be lights in the heavens. These lights will separate day from night. And let these lights mark days, seasons, and years.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light+s[Plural] ) (VP ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] . (NP these[Pre-Nominal] light+s[Plural] ) (VP will[Pre-Verbal] separate ) (NP day ) (NP from night ) . and (VP let[CP-VP] ) (NP these[Pre-Nominal] light+s[Plural] ) (VP mark ) (NP days , ) (NP season+s[Plural] , ) (NP and year+s[Plural] ) . ",,,
15,Genesis 1:15,Let these lights that are in the heavens shine on the earth.” And it was so.~!~(VP let[CP-VP] ) (NP these[Pre-Nominal] light+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] ) (VP shine ) (NP on the[Pre-Nominal] earth ) . ” and_it_was_so . Let these lights that are in the heavens shine on the earth.” And it was so.~!~(VP let[CP-VP] ) (NP these[Pre-Nominal] light+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] ) (VP shine ) (NP on the[Pre-Nominal] earth ) . ” and_it_was_so . Let these lights shine on the earth.” And so God made those lights.~!~(VP let[CP-VP] ) (NP these[Pre-Nominal] light+s[Plural] ) (VP shine ) (NP on the[Pre-Nominal] earth ) . ” and_so (NP God ) (VP made ) (NP those[Pre-Nominal] light+s[Plural] ) . ,,,
