ID,Reference,Verse,Notes,NoteFonts,Residue
1,Jonah 1:1,"Title: Jonah runs away from the LORD. One day the LORD spoke to Jonah, who was Amittai's son.~!~Title:[Proposition_Label] (NP Jonah ) (VP run+s[Third_Singular_Present] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) . one_day (NP the[Pre-Nominal] LORD ) (VP spoke ) (NP to Jonah [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Amittai+`s[Saxon_Genitive] ) son ) , ] ) . Title: Jonah runs away from the LORD. One day the LORD spoke to Jonah, who was Amittai's son.~!~Title:[Proposition_Label] (NP Jonah ) (VP run+s[Third_Singular_Present] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) . one_day (NP the[Pre-Nominal] LORD ) (VP spoke ) (NP to Jonah [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Amittai+`s[Saxon_Genitive] ) son ) , ] ) . Title: Jonah runs away from Yahweh. One day Yahweh spoke to Jonah. Jonah was Amittai's son.~!~Title:[Proposition_Label] (NP Jonah ) (VP run+s[Third_Singular_Present] away[Adposition_in_VP] ) (NP from Yahweh ) . one_day (NP Yahweh ) (VP spoke ) (NP to Jonah ) . (NP Jonah ) (VP was ) (NP (NP _ Amittai+`s[Saxon_Genitive] ) son ) . ",,,
2,Jonah 1:2,"The LORD said to Jonah, “Go to the great city named Nineveh and preach to the people who are living there. I know that those people do evil things often.”~!~(NP the[Pre-Nominal] LORD ) (VP said ) (NP to Jonah ) [ ,_“ (NP ) (VP go ) (NP to the[Pre-Nominal] (AdjP great ) city (NP named Nineveh ) ) ] [ and (NP ) (VP preach ) (NP to the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are[Pre-Verbal] liv+ing[Participle] ) (NP there ) ] ) ] . (NP I ) (VP know ) [ that[Complementizer] (NP those[Pre-Nominal] people ) (VP do ) (NP (AdjP evil ) thing+s[Plural] ) (AdvP often ) ] . ” The LORD said to Jonah, “Go to the great city named Nineveh and preach to the people who are living there. <<Tell those people to stop doing evil things.>> I know that those people do evil things often.”~!~(NP the[Pre-Nominal] LORD ) (VP said ) (NP to Jonah ) [ ,_“ (NP ) (VP go ) (NP to the[Pre-Nominal] (AdjP great ) city (NP named Nineveh ) ) ] [ and (NP ) (VP preach ) (NP to the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are[Pre-Verbal] liv+ing[Participle] ) (NP there ) ] ) ] . <<[Opening_Implicit_Marker] (NP ) (VP tell ) (NP those[Pre-Nominal] people ) [ (NP ) (VP to_stop[Pre-Verbal] do+ing[Participle] ) (NP (AdjP evil ) thing+s[Plural] ) ] . >>[Closing_Implicit_Marker] (NP I ) (VP know ) [ that[Complementizer] (NP those[Pre-Nominal] people ) (VP do ) (NP (AdjP evil ) thing+s[Plural] ) (AdvP often ) ] . ” Yahweh said to Jonah, “Go to the great city named Nineveh. Tell the people who are living in Nineveh to stop doing evil things. I know that those people do evil things often.”~!~(NP Yahweh ) (VP said ) (NP to Jonah ) [ ,_“ (NP ) (VP go ) (NP to the[Pre-Nominal] (AdjP great ) city (NP named Nineveh ) ) ] . (NP ) (VP tell ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are[Pre-Verbal] liv+ing[Participle] ) (NP in Nineveh ) ] ) [ (NP ) (VP to_stop[Pre-Verbal] do+ing[Participle] ) (NP (AdjP evil ) thing+s[Plural] ) ] . (NP I ) (VP know ) [ that[Complementizer] (NP those[Pre-Nominal] people ) (VP do ) (NP (AdjP evil ) thing+s[Plural] ) (AdvP often ) ] . ” ",,,
3,Jonah 1:3,But Jonah ran away from the LORD. Jonah decided to go to Tarshish. So he went to Joppa and found a ship that will go to Tarshish. He paid fare to that ship's owner. Then Jonah boarded that ship. And the ship started going to Tarshish. Jonah was running away from the LORD.~!~but (NP Jonah ) (VP ran away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) . (NP Jonah ) (VP decid+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] go ) (NP to Tarshish ) ] . so (NP he ) (VP went ) (NP to Joppa ) [ and (NP ) (VP found ) (NP a[Pre-Nominal] ship [ that[Relativizer] (NP ) (VP will[Pre-Verbal] go ) (NP to Tarshish ) ] ) ] . (NP he ) (VP paid ) (NP fare ) (NP to (NP that[Pre-Nominal] ship+`s[Saxon_Genitive] ) owner ) . then (NP Jonah ) (VP board+ed[Past_Tense] ) (NP that[Pre-Nominal] ship ) . and (NP the[Pre-Nominal] ship ) (VP started[Pre-Verbal] go+ing[Participle] ) (NP to Tarshish ) . (NP Jonah ) (VP was[Pre-Verbal] runn+ing[Participle] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) . But Jonah ran away from the LORD. Jonah decided to go to Tarshish. So he went to Joppa and found a ship that will go to Tarshish. He paid fare to that ship's owner. Then Jonah boarded that ship. And the ship started going to Tarshish. Jonah was running away from the LORD.~!~but (NP Jonah ) (VP ran away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) . (NP Jonah ) (VP decid+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] go ) (NP to Tarshish ) ] . so (NP he ) (VP went ) (NP to Joppa ) [ and (NP ) (VP found ) (NP a[Pre-Nominal] ship [ that[Relativizer] (NP ) (VP will[Pre-Verbal] go ) (NP to Tarshish ) ] ) ] . (NP he ) (VP paid ) (NP fare ) (NP to (NP that[Pre-Nominal] ship+`s[Saxon_Genitive] ) owner ) . then (NP Jonah ) (VP board+ed[Past_Tense] ) (NP that[Pre-Nominal] ship ) . and (NP the[Pre-Nominal] ship ) (VP started[Pre-Verbal] go+ing[Participle] ) (NP to Tarshish ) . (NP Jonah ) (VP was[Pre-Verbal] runn+ing[Participle] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) . But Jonah ran away from Yahweh. Jonah decided to go to Tarshish. So he went to Joppa and found a ship that will go to Tarshish. He paid money to the man who owned that ship. Then Jonah boarded that ship. And the ship started going to Tarshish. Jonah was running away from Yahweh.~!~but (NP Jonah ) (VP ran away[Adposition_in_VP] ) (NP from Yahweh ) . (NP Jonah ) (VP decid+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] go ) (NP to Tarshish ) ] . so (NP he ) (VP went ) (NP to Joppa ) [ and (NP ) (VP found ) (NP a[Pre-Nominal] ship [ that[Relativizer] (NP ) (VP will[Pre-Verbal] go ) (NP to Tarshish ) ] ) ] . (NP he ) (VP paid ) (NP money ) (NP to the[Pre-Nominal] man [ who[Relativizer] (NP ) (VP own+ed[Past_Tense] ) (NP that[Pre-Nominal] ship ) ] ) . then (NP Jonah ) (VP board+ed[Past_Tense] ) (NP that[Pre-Nominal] ship ) . and (NP the[Pre-Nominal] ship ) (VP started[Pre-Verbal] go+ing[Participle] ) (NP to Tarshish ) . (NP Jonah ) (VP was[Pre-Verbal] runn+ing[Participle] away[Adposition_in_VP] ) (NP from Yahweh ) . ,,,
4,Jonah 1:4,But the LORD caused a strong wind to blow on the Mediterranean Sea. And that wind caused a very big storm. The men who were on that ship were afraid that that storm might break it into pieces.~!~but (NP the[Pre-Nominal] LORD ) (VP caus+ed[Past_Tense] ) (NP a[Pre-Nominal] (AdjP strong ) wind ) [ (NP ) (VP to[Pre-Verbal] blow ) (NP on the[Pre-Nominal] Mediterranean[First_Word_of_Compound_Noun] Sea ) ] . and (NP that[Pre-Nominal] wind ) (VP caus+ed[Past_Tense] ) (NP a[Pre-Nominal] (AdjP very[Pre-Adjective] big ) storm ) . (NP the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were ) (NP on that[Pre-Nominal] ship ) ] ) (VP were ) (AdjP afraid [ that[Complementizer] (NP that[Pre-Nominal] storm ) (VP might[Pre-Verbal] break ) (NP it ) (NP into piece+s[Plural] ) ] ) . But the LORD caused a strong wind to blow on the Mediterranean Sea. And that wind caused a very big storm. The men who were on that ship were afraid that that storm might break it into pieces.~!~but (NP the[Pre-Nominal] LORD ) (VP caus+ed[Past_Tense] ) (NP a[Pre-Nominal] (AdjP strong ) wind ) [ (NP ) (VP to[Pre-Verbal] blow ) (NP on the[Pre-Nominal] Mediterranean[First_Word_of_Compound_Noun] Sea ) ] . and (NP that[Pre-Nominal] wind ) (VP caus+ed[Past_Tense] ) (NP a[Pre-Nominal] (AdjP very[Pre-Adjective] big ) storm ) . (NP the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were ) (NP on that[Pre-Nominal] ship ) ] ) (VP were ) (AdjP afraid [ that[Complementizer] (NP that[Pre-Nominal] storm ) (VP might[Pre-Verbal] break ) (NP it ) (NP into piece+s[Plural] ) ] ) . But Yahweh caused a strong wind to blow on the Mediterranean Sea. And that wind caused a very big storm. The men who were on that ship were afraid that that storm might break it into pieces.~!~but (NP Yahweh ) (VP caus+ed[Past_Tense] ) (NP a[Pre-Nominal] (AdjP strong ) wind ) [ (NP ) (VP to[Pre-Verbal] blow ) (NP on the[Pre-Nominal] Mediterranean[First_Word_of_Compound_Noun] Sea ) ] . and (NP that[Pre-Nominal] wind ) (VP caus+ed[Past_Tense] ) (NP a[Pre-Nominal] (AdjP very[Pre-Adjective] big ) storm ) . (NP the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were ) (NP on that[Pre-Nominal] ship ) ] ) (VP were ) (AdjP afraid [ that[Complementizer] (NP that[Pre-Nominal] storm ) (VP might[Pre-Verbal] break ) (NP it ) (NP into piece+s[Plural] ) ] ) . ,,,
5,Jonah 1:5,All of the men who worked on that ship were afraid. Each man cried out to his god. Those men asked their gods to help them. They threw the heavy things out of the ship into the sea so that the ship would become lighter. But Jonah had gone inside that ship and lay down. And he slept.~!~(NP (AdjP all of ) the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP work+ed[Past_Tense] ) (NP on that[Pre-Nominal] ship ) ] ) (VP were ) (AdjP afraid ) . (NP (AdjP each ) man ) (VP cr+ied[Past_Tense] out[Adposition_in_VP] ) (NP to (NP _ his ) god ) . (NP those[Pre-Nominal] men ) (VP ask+ed[Past_Tense] ) (NP (NP _ their ) god+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] help ) (NP them ) ] . (NP they ) (VP threw ) (NP the[Pre-Nominal] (AdjP heavy ) thing+s[Plural] ) (NP out_of the[Pre-Nominal] ship ) (NP into the[Pre-Nominal] sea ) [ so_that (NP the[Pre-Nominal] ship ) (VP would[Pre-Verbal] become ) (AdjP light+er[Comparative] ) ] . but (NP Jonah ) (VP had[Pre-Verbal] gone ) (NP inside that[Pre-Nominal] ship ) [ and (NP ) (VP lay down[Adposition_in_VP] ) ] . and (NP he ) (VP slept ) . All of the men who worked on that ship were afraid. Each man cried out to his god. Those men asked their gods to help them. <<Heavy things were on that ship.>> Those men threw the heavy things out of the ship into the sea so that the ship would become lighter. But Jonah had gone inside that ship and lay down. And he slept.~!~(NP (AdjP all of ) the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP work+ed[Past_Tense] ) (NP on that[Pre-Nominal] ship ) ] ) (VP were ) (AdjP afraid ) . (NP (AdjP each ) man ) (VP cr+ied[Past_Tense] out[Adposition_in_VP] ) (NP to (NP _ his ) god ) . (NP those[Pre-Nominal] men ) (VP ask+ed[Past_Tense] ) (NP (NP _ their ) god+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] help ) (NP them ) ] . <<[Opening_Implicit_Marker] (NP (AdjP heavy ) thing+s[Plural] ) (VP were ) (NP on that[Pre-Nominal] ship ) . >>[Closing_Implicit_Marker] (NP those[Pre-Nominal] men ) (VP threw ) (NP the[Pre-Nominal] (AdjP heavy ) thing+s[Plural] ) (NP out_of the[Pre-Nominal] ship ) (NP into the[Pre-Nominal] sea ) [ so_that (NP the[Pre-Nominal] ship ) (VP would[Pre-Verbal] become ) (AdjP light+er[Comparative] ) ] . but (NP Jonah ) (VP had[Pre-Verbal] gone ) (NP inside that[Pre-Nominal] ship ) [ and (NP ) (VP lay down[Adposition_in_VP] ) ] . and (NP he ) (VP slept ) . All of the men who worked on that ship were afraid. Each man cried out to his god. Those men asked their gods to help them. Heavy things were on that ship. Those men threw the heavy things out of the ship into the sea so that the ship would become lighter. But Jonah had gone inside that ship and lay down. And he slept.~!~(NP (AdjP all of ) the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP work+ed[Past_Tense] ) (NP on that[Pre-Nominal] ship ) ] ) (VP were ) (AdjP afraid ) . (NP (AdjP each ) man ) (VP cr+ied[Past_Tense] out[Adposition_in_VP] ) (NP to (NP _ his ) god ) . (NP those[Pre-Nominal] men ) (VP ask+ed[Past_Tense] ) (NP (NP _ their ) god+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] help ) (NP them ) ] . (NP (AdjP heavy ) thing+s[Plural] ) (VP were ) (NP on that[Pre-Nominal] ship ) . (NP those[Pre-Nominal] men ) (VP threw ) (NP the[Pre-Nominal] (AdjP heavy ) thing+s[Plural] ) (NP out_of the[Pre-Nominal] ship ) (NP into the[Pre-Nominal] sea ) [ so_that (NP the[Pre-Nominal] ship ) (VP would[Pre-Verbal] become ) (AdjP light+er[Comparative] ) ] . but (NP Jonah ) (VP had[Pre-Verbal] gone ) (NP inside that[Pre-Nominal] ship ) [ and (NP ) (VP lay down[Adposition_in_VP] ) ] . and (NP he ) (VP slept ) . ,,,
6,Jonah 1:6,"The captain of the ship came to Jonah and said to him, “Why are you sleeping? Get up and pray to your god! Ask your god to help us. Perhaps your god will hear your prayer. Then we won't die.”~!~(NP the[Pre-Nominal] captain (NP of the[Pre-Nominal] ship ) ) (VP came ) (NP to Jonah ) [ and (NP ) (VP said ) (NP to him ) [ ,_“ (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP sleep+ing[Participle] ) ? ] ] . (NP ) (VP get up[Adposition_in_VP] ) [ and (NP ) (VP pray ) (NP to (NP _ your ) god ) ! ] . (NP ) (VP ask ) (NP (NP _ your ) god ) [ (NP ) (VP to[Pre-Verbal] help ) (NP us ) ] . (AdvP perhaps ) (NP (NP _ your ) god ) (VP will[Pre-Verbal] hear ) (NP (NP _ your ) prayer ) . then (NP we ) (VP won`t[Pre-Verbal] die ) . ” The captain of the ship came to Jonah and said to him, “Why are you sleeping? Get up and pray to your god! Ask your god to help us. Perhaps your god will hear your prayer. Then we won't die.”~!~(NP the[Pre-Nominal] captain (NP of the[Pre-Nominal] ship ) ) (VP came ) (NP to Jonah ) [ and (NP ) (VP said ) (NP to him ) [ ,_“ (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP sleep+ing[Participle] ) ? ] ] . (NP ) (VP get up[Adposition_in_VP] ) [ and (NP ) (VP pray ) (NP to (NP _ your ) god ) ! ] . (NP ) (VP ask ) (NP (NP _ your ) god ) [ (NP ) (VP to[Pre-Verbal] help ) (NP us ) ] . (AdvP perhaps ) (NP (NP _ your ) god ) (VP will[Pre-Verbal] hear ) (NP (NP _ your ) prayer ) . then (NP we ) (VP won`t[Pre-Verbal] die ) . ” The captain of the ship came to Jonah and said to him, “Why are you sleeping? Get up and pray to your god! Ask your god to help us. Perhaps your god will hear your prayer. Then we won't die.”~!~(NP the[Pre-Nominal] captain (NP of the[Pre-Nominal] ship ) ) (VP came ) (NP to Jonah ) [ and (NP ) (VP said ) (NP to him ) [ ,_“ (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP sleep+ing[Participle] ) ? ] ] . (NP ) (VP get up[Adposition_in_VP] ) [ and (NP ) (VP pray ) (NP to (NP _ your ) god ) ! ] . (NP ) (VP ask ) (NP (NP _ your ) god ) [ (NP ) (VP to[Pre-Verbal] help ) (NP us ) ] . (AdvP perhaps ) (NP (NP _ your ) god ) (VP will[Pre-Verbal] hear ) (NP (NP _ your ) prayer ) . then (NP we ) (VP won`t[Pre-Verbal] die ) . ” ",,,
7,Jonah 1:7,"Then the men who were working on that ship said to each other, “A person who is on this ship is causing this problem. Let's cast lots. The lots will choose the person who is causing this trouble.” So the men cast the lots. And the lots chose Jonah.~!~then (NP the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were[Pre-Verbal] work+ing[Participle] ) (NP on that[Pre-Nominal] ship ) ] ) (VP said ) (NP to each_other ) [ ,_“ (NP a[Pre-Nominal] person [ who[Relativizer] (NP ) (VP is ) (NP on this[Pre-Nominal] ship ) ] ) (VP is[Pre-Verbal] caus+ing[Participle] ) (NP this[Pre-Nominal] problem ) ] . (NP ) (VP let`s[Pre-Verbal] cast ) (NP lot+s[Plural] ) . (NP the[Pre-Nominal] lot+s[Plural] ) (VP will[Pre-Verbal] choose ) (NP the[Pre-Nominal] person [ who[Relativizer] (NP ) (VP is[Pre-Verbal] caus+ing[Participle] ) (NP this[Pre-Nominal] trouble ) ] ) . ” so (NP the[Pre-Nominal] men ) (VP cast ) (NP the[Pre-Nominal] lot+s[Plural] ) . and (NP the[Pre-Nominal] lot+s[Plural] ) (VP chose ) (NP Jonah ) . Then the men who were working on that ship said to each other, “A person who is on this ship is causing this problem. Let's cast lots. The lots will choose the person who is causing this trouble.” So the men cast the lots. And the lots chose Jonah.~!~then (NP the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were[Pre-Verbal] work+ing[Participle] ) (NP on that[Pre-Nominal] ship ) ] ) (VP said ) (NP to each_other ) [ ,_“ (NP a[Pre-Nominal] person [ who[Relativizer] (NP ) (VP is ) (NP on this[Pre-Nominal] ship ) ] ) (VP is[Pre-Verbal] caus+ing[Participle] ) (NP this[Pre-Nominal] problem ) ] . (NP ) (VP let`s[Pre-Verbal] cast ) (NP lot+s[Plural] ) . (NP the[Pre-Nominal] lot+s[Plural] ) (VP will[Pre-Verbal] choose ) (NP the[Pre-Nominal] person [ who[Relativizer] (NP ) (VP is[Pre-Verbal] caus+ing[Participle] ) (NP this[Pre-Nominal] trouble ) ] ) . ” so (NP the[Pre-Nominal] men ) (VP cast ) (NP the[Pre-Nominal] lot+s[Plural] ) . and (NP the[Pre-Nominal] lot+s[Plural] ) (VP chose ) (NP Jonah ) . Then the men who were working on that ship said to each other, “A person who is on this ship is causing this problem. Let's use lots. The lots will choose the person who is causing this trouble.” So the men used the lots. And the lots chose Jonah.~!~then (NP the[Pre-Nominal] men [ who[Relativizer] (NP ) (VP were[Pre-Verbal] work+ing[Participle] ) (NP on that[Pre-Nominal] ship ) ] ) (VP said ) (NP to each_other ) [ ,_“ (NP a[Pre-Nominal] person [ who[Relativizer] (NP ) (VP is ) (NP on this[Pre-Nominal] ship ) ] ) (VP is[Pre-Verbal] caus+ing[Participle] ) (NP this[Pre-Nominal] problem ) ] . (NP ) (VP let`s[Pre-Verbal] use ) (NP lot+s[Plural] ) . (NP the[Pre-Nominal] lot+s[Plural] ) (VP will[Pre-Verbal] choose ) (NP the[Pre-Nominal] person [ who[Relativizer] (NP ) (VP is[Pre-Verbal] caus+ing[Participle] ) (NP this[Pre-Nominal] trouble ) ] ) . ” so (NP the[Pre-Nominal] men ) (VP us+ed[Past_Tense] ) (NP the[Pre-Nominal] lot+s[Plural] ) . and (NP the[Pre-Nominal] lot+s[Plural] ) (VP chose ) (NP Jonah ) . ",,,
8,Jonah 1:8,"Then those men asked Jonah, “Tell us about your sin. Which job do you do? And from which country do you come? In which country do you live? And who are your people?”~!~then (NP those[Pre-Nominal] men ) (VP ask+ed[Past_Tense] ) (NP Jonah ) [ ,_“ (NP ) (VP tell ) (NP us ) (NP about (NP _ your ) sin ) ] . (NP (NP which[Pre-Nominal] job ) ) (VP do[CP-VP] ) (NP you ) (VP do ) ? . and (NP (NP from which[Pre-Nominal] country ) ) (VP do[CP-VP] ) (NP you ) (VP come ) ? . (NP (NP in which[Pre-Nominal] country ) ) (VP do[CP-VP] ) (NP you ) (VP live ) ? . and (NP (NP who ) ) (VP are[CP-VP] ) (NP (NP _ your ) people ) (VP ) ? . ” Then those men asked Jonah, “Tell us about your sin. Which job do you do? And from which country do you come? In which country do you live? And who are your people?”~!~then (NP those[Pre-Nominal] men ) (VP ask+ed[Past_Tense] ) (NP Jonah ) [ ,_“ (NP ) (VP tell ) (NP us ) (NP about (NP _ your ) sin ) ] . (NP (NP which[Pre-Nominal] job ) ) (VP do[CP-VP] ) (NP you ) (VP do ) ? . and (NP (NP from which[Pre-Nominal] country ) ) (VP do[CP-VP] ) (NP you ) (VP come ) ? . (NP (NP in which[Pre-Nominal] country ) ) (VP do[CP-VP] ) (NP you ) (VP live ) ? . and (NP (NP who ) ) (VP are[CP-VP] ) (NP (NP _ your ) people ) (VP ) ? . ” Then those men asked Jonah, “Tell us about the very bad thing that you did. Which job do you do? And from which country do you come? In which country do you live? And who are your people?”~!~then (NP those[Pre-Nominal] men ) (VP ask+ed[Past_Tense] ) (NP Jonah ) [ ,_“ (NP ) (VP tell ) (NP us ) (NP about the[Pre-Nominal] (AdjP very[Pre-Adjective] bad ) thing [ that[Relativizer] (NP you ) (VP did ) (NP ) ] ) ] . (NP (NP which[Pre-Nominal] job ) ) (VP do[CP-VP] ) (NP you ) (VP do ) ? . and (NP (NP from which[Pre-Nominal] country ) ) (VP do[CP-VP] ) (NP you ) (VP come ) ? . (NP (NP in which[Pre-Nominal] country ) ) (VP do[CP-VP] ) (NP you ) (VP live ) ? . and (NP (NP who ) ) (VP are[CP-VP] ) (NP (NP _ your ) people ) (VP ) ? . ” ",,,
9,Jonah 1:9,"Then Jonah answered those men, “I'm a Hebrew and worship the LORD, who is the God of heaven. The LORD made the sea and the dry land.”~!~then (NP Jonah ) (VP answer+ed[Past_Tense] ) (NP those[Pre-Nominal] men ) [ ,_“ (NP I ) (VP am ) (NP a[Pre-Nominal] Hebrew ) ] [ and (NP ) (VP worship ) (NP the[Pre-Nominal] LORD [ , (NP who ) (NP (NP ) ) (VP is ) (NP the[Pre-Nominal] God (NP of heaven ) ) , ] ) ] . (NP the[Pre-Nominal] LORD ) (VP made ) (NP the[Pre-Nominal] sea ) (NP and the[Pre-Nominal] (AdjP dry ) land ) . ” Then Jonah answered those men, “I'm a Hebrew and worship the LORD, who is the God of heaven. The LORD made the sea and the dry land.”~!~then (NP Jonah ) (VP answer+ed[Past_Tense] ) (NP those[Pre-Nominal] men ) [ ,_“ (NP I ) (VP am ) (NP a[Pre-Nominal] Hebrew ) ] [ and (NP ) (VP worship ) (NP the[Pre-Nominal] LORD [ , (NP who ) (NP (NP ) ) (VP is ) (NP the[Pre-Nominal] God (NP of heaven ) ) , ] ) ] . (NP the[Pre-Nominal] LORD ) (VP made ) (NP the[Pre-Nominal] sea ) (NP and the[Pre-Nominal] (AdjP dry ) land ) . ” Then Jonah answered those men, “I'm a Hebrew and worship Yahweh, who is the God of heaven. Yahweh made the sea and the dry land.”~!~then (NP Jonah ) (VP answer+ed[Past_Tense] ) (NP those[Pre-Nominal] men ) [ ,_“ (NP I ) (VP am ) (NP a[Pre-Nominal] Hebrew ) ] [ and (NP ) (VP worship ) (NP Yahweh [ , (NP who ) (NP (NP ) ) (VP is ) (NP the[Pre-Nominal] God (NP of heaven ) ) , ] ) ] . (NP Yahweh ) (VP made ) (NP the[Pre-Nominal] sea ) (NP and the[Pre-Nominal] (AdjP dry ) land ) . ” ",,,
10,Jonah 1:10,"Those men found out that Jonah was running away from the LORD. So they became terrified. Then they asked Jonah, “Why are you running away from the LORD?”~!~(NP those[Pre-Nominal] men ) (VP found out[Adposition_in_VP] ) [ that[Complementizer] (NP Jonah ) (VP was[Pre-Verbal] runn+ing[Participle] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) ] . so (NP they ) (VP became ) (AdjP terrified ) . then (NP they ) (VP ask+ed[Past_Tense] ) (NP Jonah ) [ ,_“ (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP runn+ing[Participle] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) ? ] . ” Those men found out that Jonah was running away from the LORD. So they became terrified. Then they asked Jonah, “Why are you running away from the LORD?”~!~(NP those[Pre-Nominal] men ) (VP found out[Adposition_in_VP] ) [ that[Complementizer] (NP Jonah ) (VP was[Pre-Verbal] runn+ing[Participle] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) ] . so (NP they ) (VP became ) (AdjP terrified ) . then (NP they ) (VP ask+ed[Past_Tense] ) (NP Jonah ) [ ,_“ (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP runn+ing[Participle] away[Adposition_in_VP] ) (NP from the[Pre-Nominal] LORD ) ? ] . ” Those men found out that Jonah was running away from Yahweh. So they became terrified. Then they asked Jonah, “Why are you running away from Yahweh?”~!~(NP those[Pre-Nominal] men ) (VP found out[Adposition_in_VP] ) [ that[Complementizer] (NP Jonah ) (VP was[Pre-Verbal] runn+ing[Participle] away[Adposition_in_VP] ) (NP from Yahweh ) ] . so (NP they ) (VP became ) (AdjP terrified ) . then (NP they ) (VP ask+ed[Past_Tense] ) (NP Jonah ) [ ,_“ (NP (AdvP why ) ) (VP are[CP-VP] ) (NP you ) (VP runn+ing[Participle] away[Adposition_in_VP] ) (NP from Yahweh ) ? ] . ” ",,,
