ID,Reference,Verse,Notes,NoteFonts,Residue
1,Judges 1:1,"Title: The men of Judah fight the Canaanites. After Joshua died, the Israelites prayed to the LORD. They asked the LORD, “Which tribe should fight the Canaanites first?”~!~Title:[Proposition_Label] (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fight ) (NP the[Pre-Nominal] Canaanite+s[Plural] ) . [ after (NP Joshua ) (VP di+ed[Past_Tense] ) , ] (NP the[Pre-Nominal] Israelite+s[Plural] ) (VP pray+ed[Past_Tense] ) (NP to the[Pre-Nominal] LORD ) . (NP they ) (VP ask+ed[Past_Tense] ) (NP the[Pre-Nominal] LORD ) [ ,_“ (NP (NP which[Pre-Nominal] tribe ) ) (VP should[CP-VP] ) (VP fight ) (NP the[Pre-Nominal] Canaanite+s[Plural] ) (AdvP first ) ? ” ] . Title: The men of Judah fight the Canaanites. After Joshua died, the Israelites prayed to the LORD. They asked the LORD, “Which tribe should fight the Canaanites first?”~!~Title:[Proposition_Label] (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fight ) (NP the[Pre-Nominal] Canaanite+s[Plural] ) . [ after (NP Joshua ) (VP di+ed[Past_Tense] ) , ] (NP the[Pre-Nominal] Israelite+s[Plural] ) (VP pray+ed[Past_Tense] ) (NP to the[Pre-Nominal] LORD ) . (NP they ) (VP ask+ed[Past_Tense] ) (NP the[Pre-Nominal] LORD ) [ ,_“ (NP (NP which[Pre-Nominal] tribe ) ) (VP should[CP-VP] ) (VP fight ) (NP the[Pre-Nominal] Canaanite+s[Plural] ) (AdvP first ) ? ” ] . Title: The men of Judah fight the Canaanites. After Joshua died, the Israelites prayed to Yahweh. They asked Yahweh, “Which tribe should fight the Canaanites first?”~!~Title:[Proposition_Label] (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fight ) (NP the[Pre-Nominal] Canaanite+s[Plural] ) . [ after (NP Joshua ) (VP di+ed[Past_Tense] ) , ] (NP the[Pre-Nominal] Israelite+s[Plural] ) (VP pray+ed[Past_Tense] ) (NP to Yahweh ) . (NP they ) (VP ask+ed[Past_Tense] ) (NP Yahweh ) [ ,_“ (NP (NP which[Pre-Nominal] tribe ) ) (VP should[CP-VP] ) (VP fight ) (NP the[Pre-Nominal] Canaanite+s[Plural] ) (AdvP first ) ? ” ] . ",,,
6,Judges 1:6,"Then Adoni-Bezek ran from the men of Judah. But the men of Judah chased Adoni-Bezek. When those men caught Adoni-Bezek, they cut his thumbs and his big toes off.~!~then (NP Adoni-Bezek ) (VP ran ) (NP from the[Pre-Nominal] men (NP of Judah ) ) . but (NP the[Pre-Nominal] men (NP of Judah ) ) (VP chas+ed[Past_Tense] ) (NP Adoni-Bezek ) . [ when (NP those[Pre-Nominal] men ) (VP caught ) (NP Adoni-Bezek ) , ] (NP they ) (VP cut ) (NP (NP _ his ) thumb+s[Plural] ) (NP and (NP _ his ) (AdjP big ) toe+s[Plural] off[Verbal_Adposition_moved_to_Direct_Object] ) . Then Adoni-Bezek ran from the men of Judah. But the men of Judah chased Adoni-Bezek. When those men caught Adoni-Bezek, they cut his thumbs and his big toes off.~!~then (NP Adoni-Bezek ) (VP ran ) (NP from the[Pre-Nominal] men (NP of Judah ) ) . but (NP the[Pre-Nominal] men (NP of Judah ) ) (VP chas+ed[Past_Tense] ) (NP Adoni-Bezek ) . [ when (NP those[Pre-Nominal] men ) (VP caught ) (NP Adoni-Bezek ) , ] (NP they ) (VP cut ) (NP (NP _ his ) thumb+s[Plural] ) (NP and (NP _ his ) (AdjP big ) toe+s[Plural] off[Verbal_Adposition_moved_to_Direct_Object] ) . Then Adoni-Bezek ran from the men of Judah. But the men of Judah chased Adoni-Bezek. When those men caught Adoni-Bezek, they cut off his thumbs and his big toes.~!~then (NP Adoni-Bezek ) (VP ran ) (NP from the[Pre-Nominal] men (NP of Judah ) ) . but (NP the[Pre-Nominal] men (NP of Judah ) ) (VP chas+ed[Past_Tense] ) (NP Adoni-Bezek ) . [ when (NP those[Pre-Nominal] men ) (VP caught ) (NP Adoni-Bezek ) , ] (NP they ) (VP cut off[Adposition_in_VP] ) (NP (NP _ his ) thumb+s[Plural] ) (NP and (NP _ his ) (AdjP big ) toe+s[Plural] ) . ",,,
7,Judges 1:7,"Then Adoni-Bezek said, “I cut 70 kings' thumbs and their big toes off. Then those kings ate small pieces of food that fell from my table. But God is punishing me now because I did those bad things.” The men of Judah took Adoni-Bezek to Jerusalem. Later Adoni-Bezek died in Jerusalem.~!~then (NP Adoni-Bezek ) (VP said ) [ ,_“ (NP I ) (VP cut ) (NP (NP _ (AdjP 70 ) king+s[Plural]+~[Saxon_Genitive] ) thumb+s[Plural] ) (NP and (NP _ their ) (AdjP big ) toe+s[Plural] off[Verbal_Adposition_moved_to_Direct_Object] ) ] . then (NP those[Pre-Nominal] king+s[Plural] ) (VP ate ) (NP (NP (AdjP small ) piece+s[Plural] of ) food [ that[Relativizer] (NP ) (VP fell ) (NP from (NP _ my ) table ) ] ) . but (NP God ) (VP is[Pre-Verbal] punish+ing[Participle] ) (NP me ) (AdvP now ) [ because (NP I ) (VP did ) (NP those[Pre-Nominal] (AdjP bad ) thing+s[Plural] ) ] . ” (NP the[Pre-Nominal] men (NP of Judah ) ) (VP took ) (NP Adoni-Bezek ) (NP to Jerusalem ) . (AdvP later ) (NP Adoni-Bezek ) (VP di+ed[Past_Tense] ) (NP in Jerusalem ) . Then Adoni-Bezek said, “I cut 70 kings' thumbs and their big toes off. Then those kings ate small pieces of food that fell from my table. But God is punishing me now because I did those bad things.” The men of Judah took Adoni-Bezek to Jerusalem. Later Adoni-Bezek died in Jerusalem.~!~then (NP Adoni-Bezek ) (VP said ) [ ,_“ (NP I ) (VP cut ) (NP (NP _ (AdjP 70 ) king+s[Plural]+~[Saxon_Genitive] ) thumb+s[Plural] ) (NP and (NP _ their ) (AdjP big ) toe+s[Plural] off[Verbal_Adposition_moved_to_Direct_Object] ) ] . then (NP those[Pre-Nominal] king+s[Plural] ) (VP ate ) (NP (NP (AdjP small ) piece+s[Plural] of ) food [ that[Relativizer] (NP ) (VP fell ) (NP from (NP _ my ) table ) ] ) . but (NP God ) (VP is[Pre-Verbal] punish+ing[Participle] ) (NP me ) (AdvP now ) [ because (NP I ) (VP did ) (NP those[Pre-Nominal] (AdjP bad ) thing+s[Plural] ) ] . ” (NP the[Pre-Nominal] men (NP of Judah ) ) (VP took ) (NP Adoni-Bezek ) (NP to Jerusalem ) . (AdvP later ) (NP Adoni-Bezek ) (VP di+ed[Past_Tense] ) (NP in Jerusalem ) . Then Adoni-Bezek said, “I cut off 70 kings' thumbs and their big toes. Then those kings ate small pieces of food that fell from my table. But God is punishing me now because I did those bad things.” The men of Judah took Adoni-Bezek to Jerusalem. Later Adoni-Bezek died in Jerusalem.~!~then (NP Adoni-Bezek ) (VP said ) [ ,_“ (NP I ) (VP cut off[Adposition_in_VP] ) (NP (NP _ (AdjP 70 ) king+s[Plural]+`[Saxon_Genitive] ) thumb+s[Plural] ) (NP and (NP _ their ) (AdjP big ) toe+s[Plural] ) ] . then (NP those[Pre-Nominal] king+s[Plural] ) (VP ate ) (NP (NP (AdjP small ) piece+s[Plural] of ) food [ that[Relativizer] (NP ) (VP fell ) (NP from (NP _ my ) table ) ] ) . but (NP God ) (VP is[Pre-Verbal] punish+ing[Participle] ) (NP me ) (AdvP now ) [ because (NP I ) (VP did ) (NP those[Pre-Nominal] (AdjP bad ) thing+s[Plural] ) ] . ” (NP the[Pre-Nominal] men (NP of Judah ) ) (VP took ) (NP Adoni-Bezek ) (NP to Jerusalem ) . (AdvP later ) (NP Adoni-Bezek ) (VP di+ed[Past_Tense] ) (NP in Jerusalem ) . ",,,
8,Judges 1:8,Then the men of Judah fought the people who were living in Jerusalem. They captured that city and killed with their swords the people who were living there. Then they burned that city.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fought ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Jerusalem ) ] ) . (NP they ) (VP captur+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) [ and (NP ) (VP kill+ed[Past_Tense] ) (NP with (NP _ their ) sword+s[Plural] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP there ) ] ) ] . then (NP they ) (VP burn+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) . Then the men of Judah fought the people who were living in Jerusalem. They captured that city and killed with their swords the people who were living there. Then they burned that city.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fought ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Jerusalem ) ] ) . (NP they ) (VP captur+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) [ and (NP ) (VP kill+ed[Past_Tense] ) (NP with (NP _ their ) sword+s[Plural] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP there ) ] ) ] . then (NP they ) (VP burn+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) . Then the men of Judah fought the people who were living in Jerusalem. They captured that city and killed with their swords the people who were living there. Then they burned that city.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fought ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Jerusalem ) ] ) . (NP they ) (VP captur+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) [ and (NP ) (VP kill+ed[Past_Tense] ) (NP with (NP _ their ) sword+s[Plural] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP there ) ] ) ] . then (NP they ) (VP burn+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) . ,,,
10,Judges 1:10,"Then the men of Judah fought the Canaanites who were living in Hebron. Previously people called Hebron 'Kiriath-Arba'. The men of Judah killed Sheshai, Ahiman, and Talmai.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fought ) (NP the[Pre-Nominal] Canaanite+s[Plural] [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Hebron ) ] ) . (AdvP previously ) (NP people ) (VP call+ed[Past_Tense] ) (NP Hebron ) (NP ` Kiriath-Arba ~ ) . (NP the[Pre-Nominal] men (NP of Judah ) ) (VP kill+ed[Past_Tense] ) (NP Sheshai , ) (NP Ahiman , ) (NP and Talmai ) . Then the men of Judah fought the Canaanites who were living in Hebron. Previously people called Hebron 'Kiriath-Arba'. The men of Judah killed Sheshai, Ahiman, and Talmai.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fought ) (NP the[Pre-Nominal] Canaanite+s[Plural] [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Hebron ) ] ) . (AdvP previously ) (NP people ) (VP call+ed[Past_Tense] ) (NP Hebron ) (NP ` Kiriath-Arba ~ ) . (NP the[Pre-Nominal] men (NP of Judah ) ) (VP kill+ed[Past_Tense] ) (NP Sheshai , ) (NP Ahiman , ) (NP and Talmai ) . Then the men of Judah fought the Canaanites who were living in Hebron. Previously people called Hebron ‘Kiriath-Arba’. The men of Judah killed Sheshai, Ahiman, and Talmai.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fought ) (NP the[Pre-Nominal] Canaanite+s[Plural] [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in Hebron ) ] ) . (AdvP previously ) (NP people ) (VP call+ed[Past_Tense] ) (NP Hebron ) (NP ‘ Kiriath-Arba ’ ) . (NP the[Pre-Nominal] men (NP of Judah ) ) (VP kill+ed[Past_Tense] ) (NP Sheshai , ) (NP Ahiman , ) (NP and Talmai ) . ",,,
11,Judges 1:11,Title: Caleb gives land to his daughter. Then the men of Judah left Hebron. They fought the people who were living in a city named Debir.~!~Title:[Proposition_Label] (NP Caleb ) (VP give+s[Third_Singular_Present] ) (NP land ) (NP to (NP _ his ) daughter ) . then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP left ) (NP Hebron ) . (NP they ) (VP fought ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in a[Pre-Nominal] city (NP named Debir ) ) ] ) . Title: Caleb gives land to his daughter. Then the men of Judah left Hebron. They fought the people who were living in a city named Debir. Footnote: Previously people called Debir 'Kiriath-Sepher'.~!~Title:[Proposition_Label] (NP Caleb ) (VP give+s[Third_Singular_Present] ) (NP land ) (NP to (NP _ his ) daughter ) . then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP left ) (NP Hebron ) . (NP they ) (VP fought ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in a[Pre-Nominal] city (NP named Debir ) ) ] ) . Footnote:[Proposition_Label] (AdvP previously ) (NP people ) (VP call+ed[Past_Tense] ) (NP Debir ) (NP ` Kiriath-Sepher ~ ) . Title: Caleb gives land to his daughter. Then the men of Judah left Hebron. They fought the people who were living in a city named Debir. Footnote: Previously people called Debir ‘Kiriath-Sepher’.~!~Title:[Proposition_Label] (NP Caleb ) (VP give+s[Third_Singular_Present] ) (NP land ) (NP to (NP _ his ) daughter ) . then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP left ) (NP Hebron ) . (NP they ) (VP fought ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in a[Pre-Nominal] city (NP named Debir ) ) ] ) . Footnote:[Proposition_Label] (AdvP previously ) (NP people ) (VP call+ed[Past_Tense] ) (NP Debir ) (NP ‘ Kiriath-Sepher ’ ) . ,,,
13,Judges 1:13,"So a man named Othniel, who was Kenaz's son, defeated that city. Kenaz was Caleb's brother. Then Caleb allowed Othniel to marry his daughter Aksah.~!~so (NP a[Pre-Nominal] man (NP named Othniel ) [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Kenaz+`s[Saxon_Genitive] ) son ) , ] ) (VP defeat+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) . (NP Kenaz ) (VP was ) (NP (NP _ Caleb+`s[Saxon_Genitive] ) brother ) . then (NP Caleb ) (VP allow+ed[Past_Tense] ) (NP Othniel ) [ (NP ) (VP to[Pre-Verbal] marry ) (NP (NP _ his ) daughter (NP Aksah ) ) ] . So a man named Othniel, who was Kenaz's son, defeated that city. Kenaz was Caleb's brother. Then Caleb allowed Othniel to marry his daughter Aksah.~!~so (NP a[Pre-Nominal] man (NP named Othniel ) [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Kenaz+`s[Saxon_Genitive] ) son ) , ] ) (VP defeat+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) . (NP Kenaz ) (VP was ) (NP (NP _ Caleb+`s[Saxon_Genitive] ) brother ) . then (NP Caleb ) (VP allow+ed[Past_Tense] ) (NP Othniel ) [ (NP ) (VP to[Pre-Verbal] marry ) (NP (NP _ his ) daughter (NP Aksah ) ) ] . So a man named Othniel, who was Kenaz's son, defeated that city. Kenaz was Caleb's younger brother. Then Caleb allowed Othniel to marry his daughter named Aksah.~!~so (NP a[Pre-Nominal] man (NP named Othniel ) [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Kenaz+`s[Saxon_Genitive] ) son ) , ] ) (VP defeat+ed[Past_Tense] ) (NP that[Pre-Nominal] city ) . (NP Kenaz ) (VP was ) (NP (NP _ Caleb+`s[Saxon_Genitive] ) younger[Lexical_Adjective] brother ) . then (NP Caleb ) (VP allow+ed[Past_Tense] ) (NP Othniel ) [ (NP ) (VP to[Pre-Verbal] marry ) (NP (NP _ his ) daughter (NP named Aksah ) ) ] . ",,,
16,Judges 1:16,Title: The men of Judah fight other Canaanites. The Kenites were Moses' father-in-law's descendants. The Kenites and the men of Judah left Jericho to live in the desert that the tribe of Judah owned. So the Kenites lived with the people who were there. That place was in southern Judah. It was near a city named Arad.~!~Title:[Proposition_Label] (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fight ) (NP (AdjP other ) Canaanite+s[Plural] ) . (NP the[Pre-Nominal] Kenite+s[Plural] ) (VP were ) (NP (NP _ (NP _ Moses+~[Saxon_Genitive] ) father-in-law+`s[Saxon_Genitive] ) descendant+s[Plural] ) . (NP the[Pre-Nominal] Kenite+s[Plural] ) (NP and the[Pre-Nominal] men (NP of Judah ) ) (VP left ) (NP Jericho ) [ to (NP ) (VP live ) (NP in the[Pre-Nominal] desert [ that[Relativizer] (NP the[Pre-Nominal] tribe (NP of Judah ) ) (VP own+ed[Past_Tense] ) (NP ) ] ) ] . so (NP the[Pre-Nominal] Kenite+s[Plural] ) (VP liv+ed[Past_Tense] ) (NP with the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP there ) ] ) . (NP that[Pre-Nominal] place ) (VP was ) (NP in (AdjP southern ) Judah ) . (NP it ) (VP was ) (NP near a[Pre-Nominal] city (NP named Arad ) ) . Title: The men of Judah fight other Canaanites. The Kenites were Moses' father-in-law's descendants. The Kenites and the men of Judah left Jericho to live in the desert that the tribe of Judah owned. So the Kenites lived with the people who were there. That place was in southern Judah. It was near a city named Arad. Footnote: Some people called Jericho 'the city of palm trees'.~!~Title:[Proposition_Label] (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fight ) (NP (AdjP other ) Canaanite+s[Plural] ) . (NP the[Pre-Nominal] Kenite+s[Plural] ) (VP were ) (NP (NP _ (NP _ Moses+~[Saxon_Genitive] ) father-in-law+`s[Saxon_Genitive] ) descendant+s[Plural] ) . (NP the[Pre-Nominal] Kenite+s[Plural] ) (NP and the[Pre-Nominal] men (NP of Judah ) ) (VP left ) (NP Jericho ) [ to (NP ) (VP live ) (NP in the[Pre-Nominal] desert [ that[Relativizer] (NP the[Pre-Nominal] tribe (NP of Judah ) ) (VP own+ed[Past_Tense] ) (NP ) ] ) ] . so (NP the[Pre-Nominal] Kenite+s[Plural] ) (VP liv+ed[Past_Tense] ) (NP with the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP there ) ] ) . (NP that[Pre-Nominal] place ) (VP was ) (NP in (AdjP southern ) Judah ) . (NP it ) (VP was ) (NP near a[Pre-Nominal] city (NP named Arad ) ) . Footnote:[Proposition_Label] (NP some[Pre-Nominal] people ) (VP call+ed[Past_Tense] ) (NP Jericho ) (NP ` the[Pre-Nominal] city (NP of palm[First_Word_of_Compound_Noun] tree+s[Plural] ) ~ ) . Title: The men of Judah fight other Canaanites. The Kenites were Moses' father-in-law's descendants. The Kenites and the men of Judah left Jericho to live in the desert that the tribe of Judah owned. So the Kenites lived with the people who were there. That place was in southern Judah. It was near a city named Arad. Footnote: Some people called Jericho ‘the city of palm trees’.~!~Title:[Proposition_Label] (NP the[Pre-Nominal] men (NP of Judah ) ) (VP fight ) (NP (AdjP other ) Canaanite+s[Plural] ) . (NP the[Pre-Nominal] Kenite+s[Plural] ) (VP were ) (NP (NP _ (NP _ Moses+`[Saxon_Genitive] ) father-in-law+`s[Saxon_Genitive] ) descendant+s[Plural] ) . (NP the[Pre-Nominal] Kenite+s[Plural] ) (NP and the[Pre-Nominal] men (NP of Judah ) ) (VP left ) (NP Jericho ) [ to (NP ) (VP live ) (NP in the[Pre-Nominal] desert [ that[Relativizer] (NP the[Pre-Nominal] tribe (NP of Judah ) ) (VP own+ed[Past_Tense] ) (NP ) ] ) ] . so (NP the[Pre-Nominal] Kenite+s[Plural] ) (VP liv+ed[Past_Tense] ) (NP with the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP there ) ] ) . (NP that[Pre-Nominal] place ) (VP was ) (NP in (AdjP southern ) Judah ) . (NP it ) (VP was ) (NP near a[Pre-Nominal] city (NP named Arad ) ) . Footnote:[Proposition_Label] (NP some[Pre-Nominal] people ) (VP call+ed[Past_Tense] ) (NP Jericho ) (NP ‘ the[Pre-Nominal] city (NP of palm[First_Word_of_Compound_Noun] tree+s[Plural] ) ’ ) . ,,,
18,Judges 1:18,"Then the men of Judah captured cities named Gaza, Ashkelon, and Ekron and captured all of the regions that were near those cities.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP captur+ed[Past_Tense] ) (NP citi+es[Plural] (NP named Gaza , ) (NP Ashkelon , ) (NP and Ekron ) ) [ and (NP ) (VP captur+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] region+s[Plural] [ that[Relativizer] (NP ) (VP were ) (NP near those[Pre-Nominal] citi+es[Plural] ) ] ) ] . Then the men of Judah captured cities named Gaza, Ashkelon, and Ekron and captured all of the regions that were near those cities.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP captur+ed[Past_Tense] ) (NP citi+es[Plural] (NP named Gaza , ) (NP Ashkelon , ) (NP and Ekron ) ) [ and (NP ) (VP captur+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] region+s[Plural] [ that[Relativizer] (NP ) (VP were ) (NP near those[Pre-Nominal] citi+es[Plural] ) ] ) ] . Then the men of Judah captured cities named Gaza, Ashkelon, and Ekron and captured all of the regions that were near those cities.~!~then (NP the[Pre-Nominal] men (NP of Judah ) ) (VP captur+ed[Past_Tense] ) (NP citi+es[Plural] (NP named Gaza , ) (NP Ashkelon , ) (NP and Ekron ) ) [ and (NP ) (VP captur+ed[Past_Tense] ) (NP (AdjP all of ) the[Pre-Nominal] region+s[Plural] [ that[Relativizer] (NP ) (VP were ) (NP near those[Pre-Nominal] citi+es[Plural] ) ] ) ] . ",,,
20,Judges 1:20,Previously Moses promised Caleb that the LORD would give Hebron to Caleb. So Caleb went to Hebron. Then he forced Anak's three sons to leave that city.~!~(AdvP previously ) (NP Moses ) (VP promis+ed[Past_Tense] ) (NP Caleb ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP would[Pre-Verbal] give ) (NP Hebron ) (NP to Caleb ) ] . so (NP Caleb ) (VP went ) (NP to Hebron ) . then (NP he ) (VP forc+ed[Past_Tense] ) (NP (NP _ Anak+`s[Saxon_Genitive] ) (AdjP three ) son+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] leave ) (NP that[Pre-Nominal] city ) ] . Previously Moses promised Caleb that the LORD would give Hebron to Caleb. So Caleb went to Hebron. Then he forced Anak's three sons to leave that city.~!~(AdvP previously ) (NP Moses ) (VP promis+ed[Past_Tense] ) (NP Caleb ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP would[Pre-Verbal] give ) (NP Hebron ) (NP to Caleb ) ] . so (NP Caleb ) (VP went ) (NP to Hebron ) . then (NP he ) (VP forc+ed[Past_Tense] ) (NP (NP _ Anak+`s[Saxon_Genitive] ) (AdjP three ) son+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] leave ) (NP that[Pre-Nominal] city ) ] . Previously Moses promised Caleb that Yahweh would give Hebron to Caleb. So Caleb went to Hebron. Then he forced Anak's three sons to leave that city.~!~(AdvP previously ) (NP Moses ) (VP promis+ed[Past_Tense] ) (NP Caleb ) [ that[Complementizer] (NP Yahweh ) (VP would[Pre-Verbal] give ) (NP Hebron ) (NP to Caleb ) ] . so (NP Caleb ) (VP went ) (NP to Hebron ) . then (NP he ) (VP forc+ed[Past_Tense] ) (NP (NP _ Anak+`s[Saxon_Genitive] ) (AdjP three ) son+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] leave ) (NP that[Pre-Nominal] city ) ] . ,,,
