ID,Reference,Verse,Notes,NoteFonts,Residue
1,Luke 1:1,Many people have written about the things that God did for us.~!~(NP (AdjP many ) people ) (VP have[Pre-Verbal] written ) (NP about the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP God ) (VP did ) (NP ) (NP for us ) ] ) . Many people have written about the things that God did for us.~!~(NP (AdjP many ) people ) (VP have[Pre-Verbal] written ) (NP about the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP God ) (VP did ) (NP ) (NP for us ) ] ) . ,,,
2,Luke 1:2,Those people wrote about the things that they saw. They saw Jesus and heard him speaking. Then they taught other people about Jesus.~!~(NP those[Pre-Nominal] people ) (VP wrote ) (NP about the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP they ) (VP saw ) (NP ) ] ) . (NP they ) (VP saw ) (NP Jesus ) [ and (NP ) (VP heard ) (NP him ) [ (NP ) (VP speak+ing[Participle] ) ] ] . then (NP they ) (VP taught ) (NP (AdjP other ) people ) (NP about Jesus ) . Those people wrote about the things that they saw. They saw Jesus and heard him speaking. Then they taught other people about Jesus.~!~(NP those[Pre-Nominal] people ) (VP wrote ) (NP about the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP they ) (VP saw ) (NP ) ] ) . (NP they ) (VP saw ) (NP Jesus ) [ and (NP ) (VP heard ) (NP him ) [ (NP ) (VP speak+ing[Participle] ) ] ] . then (NP they ) (VP taught ) (NP (AdjP other ) people ) (NP about Jesus ) . ,,,
3,Luke 1:3,"I have studied carefully all of the books that those people wrote. I'll write now about all of the things that Jesus did. Theophilus, I'll describe to you all of the things that Jesus did.~!~(NP I ) (VP have[Pre-Verbal] stud+ied[Past_Tense] ) (AdvP carefully ) (NP (AdjP all of ) the[Pre-Nominal] book+s[Plural] [ that[Relativizer] (NP those[Pre-Nominal] people ) (VP wrote ) (NP ) ] ) . (NP I ) (VP will[Pre-Verbal] write ) (AdvP now ) (NP about (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP Jesus ) (VP did ) (NP ) ] ) . (NP Theophilus , ) (NP I ) (VP will[Pre-Verbal] describe ) (NP to you ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP Jesus ) (VP did ) (NP ) ] ) . I have studied carefully all of the books that those people wrote. I'll write now about all of the things that Jesus did. Theophilus, I'll describe to you all of the things that Jesus did.~!~(NP I ) (VP have[Pre-Verbal] stud+ied[Past_Tense] ) (AdvP carefully ) (NP (AdjP all of ) the[Pre-Nominal] book+s[Plural] [ that[Relativizer] (NP those[Pre-Nominal] people ) (VP wrote ) (NP ) ] ) . (NP I ) (VP will[Pre-Verbal] write ) (AdvP now ) (NP about (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP Jesus ) (VP did ) (NP ) ] ) . (NP Theophilus , ) (NP I ) (VP will[Pre-Verbal] describe ) (NP to you ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP Jesus ) (VP did ) (NP ) ] ) . ",,,
5,Luke 1:5,"When Herod was the king of Judea, a man named Zechariah was a priest. Zechariah was a descendant of Aaron, who was a priest. Zechariah was in the tribe of Abijah. Zechariah's wife's name was Elizabeth. Elizabeth also was Aaron's descendant.~!~[ when (NP Herod ) (VP was ) (NP the[Pre-Nominal] king (NP of Judea ) ) , ] (NP a[Pre-Nominal] man (NP named Zechariah ) ) (VP was ) (NP a[Pre-Nominal] priest ) . (NP Zechariah ) (VP was ) (NP a[Pre-Nominal] descendant (NP of _ Aaron [ , (NP who ) (NP (NP ) ) (VP was ) (NP a[Pre-Nominal] priest ) , ] ) ) . (NP Zechariah ) (VP was ) (NP in the[Pre-Nominal] tribe (NP of Abijah ) ) . (NP (NP _ (NP _ Zechariah+`s[Saxon_Genitive] ) wife+`s[Saxon_Genitive] ) name ) (VP was ) (NP Elizabeth ) . (NP Elizabeth (AdvP also ) ) (VP was ) (NP (NP _ Aaron+`s[Saxon_Genitive] ) descendant ) . When Herod was the king of Judea, a man named Zechariah was a priest. Zechariah was a descendant of Aaron, who was a priest. Zechariah was in the tribe of Abijah. Zechariah's wife's name was Elizabeth. Elizabeth also was Aaron's descendant.~!~[ when (NP Herod ) (VP was ) (NP the[Pre-Nominal] king (NP of Judea ) ) , ] (NP a[Pre-Nominal] man (NP named Zechariah ) ) (VP was ) (NP a[Pre-Nominal] priest ) . (NP Zechariah ) (VP was ) (NP a[Pre-Nominal] descendant (NP of _ Aaron [ , (NP who ) (NP (NP ) ) (VP was ) (NP a[Pre-Nominal] priest ) , ] ) ) . (NP Zechariah ) (VP was ) (NP in the[Pre-Nominal] tribe (NP of Abijah ) ) . (NP (NP _ (NP _ Zechariah+`s[Saxon_Genitive] ) wife+`s[Saxon_Genitive] ) name ) (VP was ) (NP Elizabeth ) . (NP Elizabeth (AdvP also ) ) (VP was ) (NP (NP _ Aaron+`s[Saxon_Genitive] ) descendant ) . ",,,
6,Luke 1:6,God knew that Zechariah and Elizabeth were good people. Zechariah and Elizabeth always obeyed God's laws and always obeyed his commandments carefully.~!~(NP God ) (VP knew ) [ that[Complementizer] (NP Zechariah ) (NP and Elizabeth ) (VP were ) (NP (AdjP good ) people ) ] . (NP Zechariah ) (NP and Elizabeth ) (VP (AdvP always ) obey+ed[Past_Tense] ) (NP (NP _ God+`s[Saxon_Genitive] ) law+s[Plural] ) [ and (NP ) (NP ) (VP (AdvP always ) obey+ed[Past_Tense] ) (NP (NP _ his ) commandment+s[Plural] ) (AdvP carefully ) ] . God knew that Zechariah and Elizabeth were good people. Zechariah and Elizabeth always obeyed God's laws and always obeyed his commandments carefully.~!~(NP God ) (VP knew ) [ that[Complementizer] (NP Zechariah ) (NP and Elizabeth ) (VP were ) (NP (AdjP good ) people ) ] . (NP Zechariah ) (NP and Elizabeth ) (VP (AdvP always ) obey+ed[Past_Tense] ) (NP (NP _ God+`s[Saxon_Genitive] ) law+s[Plural] ) [ and (NP ) (NP ) (VP (AdvP always ) obey+ed[Past_Tense] ) (NP (NP _ his ) commandment+s[Plural] ) (AdvP carefully ) ] . ,,,
7,Luke 1:7,But Zechariah and Elizabeth didn't have a child. Elizabeth wasn't able to give birth to a child. At that time Zechariah and Elizabeth were very old. They were too old to give birth to a child.~!~but (NP Zechariah ) (NP and Elizabeth ) (VP didn`t[Pre-Verbal] have ) (NP a[Pre-Nominal] child ) . (NP Elizabeth ) (VP was not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] give ) (NP birth ) (NP to a[Pre-Nominal] child ) ] ) . at_that_time (NP Zechariah ) (NP and Elizabeth ) (VP were ) (AdjP very[Pre-Adjective] old ) . (NP they ) (NP ) (VP were ) (AdjP too[Pre-Adjective] old ) [ to (NP ) (VP give ) (NP birth ) (NP to a[Pre-Nominal] child ) ] . But Zechariah and Elizabeth didn't have a child. Elizabeth wasn't able to give birth to a child. At that time Zechariah and Elizabeth were very old. They were too old to give birth to a child.~!~but (NP Zechariah ) (NP and Elizabeth ) (VP didn`t[Pre-Verbal] have ) (NP a[Pre-Nominal] child ) . (NP Elizabeth ) (VP was not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] give ) (NP birth ) (NP to a[Pre-Nominal] child ) ] ) . at_that_time (NP Zechariah ) (NP and Elizabeth ) (VP were ) (AdjP very[Pre-Adjective] old ) . (NP they ) (NP ) (VP were ) (AdjP too[Pre-Adjective] old ) [ to (NP ) (VP give ) (NP birth ) (NP to a[Pre-Nominal] child ) ] . ,,,
8,Luke 1:8,One day Zechariah and some other priests were serving God at the temple. So Zechariah was in the temple.~!~one_day (NP Zechariah ) (NP and some[Pre-Nominal] (AdjP other ) priest+s[Plural] ) (VP were[Pre-Verbal] serv+ing[Participle] ) (NP God ) (NP at the[Pre-Nominal] temple ) . so (NP Zechariah ) (VP was ) (NP in the[Pre-Nominal] temple ) . One day Zechariah and some other priests were serving God at the temple. So Zechariah was in the temple.~!~one_day (NP Zechariah ) (NP and some[Pre-Nominal] (AdjP other ) priest+s[Plural] ) (VP were[Pre-Verbal] serv+ing[Participle] ) (NP God ) (NP at the[Pre-Nominal] temple ) . so (NP Zechariah ) (VP was ) (NP in the[Pre-Nominal] temple ) . ,,,
10,Luke 1:10,Many people were outside the temple while Zechariah was in the holy room. They were praying while Zechariah burned the incense.~!~(NP (AdjP many ) people ) (VP were ) (NP outside the[Pre-Nominal] temple ) [ while (NP Zechariah ) (VP was ) (NP in the[Pre-Nominal] (AdjP holy ) room ) ] . (NP they ) (VP were[Pre-Verbal] pray+ing[Participle] ) [ while (NP Zechariah ) (VP burn+ed[Past_Tense] ) (NP the[Pre-Nominal] incense ) ] . Many people were outside the temple while Zechariah was in the holy room. They were praying while Zechariah burned the incense.~!~(NP (AdjP many ) people ) (VP were ) (NP outside the[Pre-Nominal] temple ) [ while (NP Zechariah ) (VP was ) (NP in the[Pre-Nominal] (AdjP holy ) room ) ] . (NP they ) (VP were[Pre-Verbal] pray+ing[Participle] ) [ while (NP Zechariah ) (VP burn+ed[Past_Tense] ) (NP the[Pre-Nominal] incense ) ] . ,,,
11,Luke 1:11,Suddenly one angel appeared in the holy room while Zechariah was in there. The angel stood at the right side of the altar.~!~(AdvP suddenly ) (NP (AdjP one ) angel ) (VP appear+ed[Past_Tense] ) (NP in the[Pre-Nominal] (AdjP holy ) room ) [ while (NP Zechariah ) (VP was ) (NP in there ) ] . (NP the[Pre-Nominal] angel ) (VP stood ) (NP at the[Pre-Nominal] (AdjP right ) side (NP of the[Pre-Nominal] altar ) ) . Suddenly one angel appeared in the holy room while Zechariah was in there. The angel stood at the right side of the altar.~!~(AdvP suddenly ) (NP (AdjP one ) angel ) (VP appear+ed[Past_Tense] ) (NP in the[Pre-Nominal] (AdjP holy ) room ) [ while (NP Zechariah ) (VP was ) (NP in there ) ] . (NP the[Pre-Nominal] angel ) (VP stood ) (NP at the[Pre-Nominal] (AdjP right ) side (NP of the[Pre-Nominal] altar ) ) . ,,,
12,Luke 1:12,Zechariah was terrified when he saw the angel.~!~(NP Zechariah ) (VP was ) (AdjP terrified ) [ when (NP he ) (VP saw ) (NP the[Pre-Nominal] angel ) ] . Zechariah was terrified when he saw the angel.~!~(NP Zechariah ) (VP was ) (AdjP terrified ) [ when (NP he ) (VP saw ) (NP the[Pre-Nominal] angel ) ] . ,,,
