ID,Reference,Verse,Notes,NoteFonts,Residue
1,Malachi 1:1,,,,
2,Malachi 1:2,,,,
3,Malachi 1:3,,,,
4,Malachi 1:4,,,,
5,Malachi 1:5,,,,
6,Malachi 1:6,,,,
7,Malachi 1:7,,,,
8,Malachi 1:8,,,,
9,Malachi 1:9,,,,
10,Malachi 1:10,,,,
11,Malachi 1:11,,,,
12,Malachi 1:12,,,,
13,Malachi 1:13,,,,
14,Malachi 1:14,,,,
15,Malachi 2:1,,,,
16,Malachi 2:2,,,,
17,Malachi 2:3,,,,
18,Malachi 2:4,,,,
19,Malachi 2:5,,,,
20,Malachi 2:6,,,,
21,Malachi 2:7,,,,
22,Malachi 2:8,,,,
23,Malachi 2:9,,,,
24,Malachi 2:10,,,,
25,Malachi 2:11,,,,
26,Malachi 2:12,,,,
27,Malachi 2:13,,,,
28,Malachi 2:14,,,,
29,Malachi 2:15,,,,
30,Malachi 2:16,,,,
31,Malachi 2:17,,,,
32,Malachi 3:1,,,,
33,Malachi 3:2,,,,
34,Malachi 3:3,,,,
35,Malachi 3:4,,,,
36,Malachi 3:5,,,,
37,Malachi 3:6,,,,
38,Malachi 3:7,,,,
39,Malachi 3:8,,,,
41,Malachi 3:10,,,,
46,Malachi 3:15,,,,
51,Malachi 4:2,,,,
40,Malachi 3:9,,,,
42,Malachi 3:11,,,,
43,Malachi 3:12,,,,
44,Malachi 3:13,,,,
45,Malachi 3:14,,,,
47,Malachi 3:16,,,,
48,Malachi 3:17,,,,
49,Malachi 3:18,,,,
50,Malachi 4:1,,,,
52,Malachi 4:3,,,,
53,Malachi 4:4,,,,
54,Malachi 4:5,,,,
55,Malachi 4:6,,,,
