ID,Reference,Verse,Notes,NoteFonts,Residue
1,Mark 1:1,"Title: John the Baptist prepares people so that they would believe in Jesus. The gospel that is about Jesus Christ, who is God's Son, begins here.~!~Title:[Proposition_Label] (NP John (NP the[Pre-Nominal] Baptist ) ) (VP prepare+s[Third_Singular_Present] ) (NP people ) [ so_that (NP they ) (VP would[Pre-Verbal] believe ) (NP in Jesus ) ] . (NP the[Pre-Nominal] gospel [ that[Relativizer] (NP ) (VP is ) (NP about Jesus (NP _ Christ ) [ , (NP who ) (NP (NP ) ) (VP is ) (NP (NP _ God+`s[Saxon_Genitive] ) Son ) , ] ) ] ) (VP begin+s[Third_Singular_Present] ) (NP here ) . Title: John the Baptist prepares people so that they would believe in Jesus. The gospel that is about Jesus Christ, who is God's Son, begins here.",,,
4,Mark 1:4,"John the Baptist came to the wilderness. He told those people that they should be baptized. Whenever a person is baptized, people know that he repented. Then God will forgive that person's sins.<<The messenger that Isaiah talked about was John the Baptist.>> John the Baptist came to the wilderness. <<And many people came to see John.>> John told those people that they should be baptized in water. Whenever a person is baptized in water, people know that he repented. Then God will forgive that person's sins.~!~<<[Opening_Implicit_Marker] (NP the[Pre-Nominal] messenger [ that[Relativizer] (NP Isaiah ) (VP talk+ed[Past_Tense] ) (NP about ) ] ) (VP was ) (NP John (NP the[Pre-Nominal] Baptist ) ) . >>[Closing_Implicit_Marker] (NP John (NP the[Pre-Nominal] Baptist ) ) (VP came ) (NP to the[Pre-Nominal] wilderness ) . <<[Opening_Implicit_Marker] and (NP (AdjP many ) people ) (VP came ) [ to (NP ) (VP see ) (NP John ) ] . >>[Closing_Implicit_Marker] (NP John ) (VP told ) (NP those[Pre-Nominal] people ) [ that[Complementizer] (NP they ) (VP should_be[Pre-Verbal] baptiz+ed[Past_Tense] ) (NP in water ) ] . [ whenever (NP a[Pre-Nominal] person ) (VP is[Pre-Verbal] baptiz+ed[Past_Tense] ) (NP in water ) , ] (NP people ) (VP know ) [ that[Complementizer] (NP he ) (VP repent+ed[Past_Tense] ) ] . then (NP God ) (VP will[Pre-Verbal] forgive ) (NP (NP _ that[Pre-Nominal] person+`s[Saxon_Genitive] ) sin+s[Plural] ) . ",,,
6,Mark 1:6,John wore clothes made of camel's hairs and wore a leather belt around his waist. He ate locusts and wild honey.~!~(NP John ) (VP wore ) (NP clothes (NP made_of (NP _ camel+`s[Saxon_Genitive] ) hair+s[Plural] ) ) [ and (NP ) (VP wore ) (NP a[Pre-Nominal] (NP _ leather ) belt ) (NP around (NP _ his ) waist ) ] . (NP he ) (VP ate ) (NP locust+s[Plural] ) (NP and (AdjP wild ) honey ) . John wore clothes made of camel's hairs and wore a leather belt around his waist. He ate locusts and wild honey. <<He found that food in the wilderness.>>,,,
9,Mark 1:9,"Title: John baptizes Jesus. In those days Jesus came from Nazareth, which was in Galilee. And he was baptized in the Jordan River by John.~!~Title:[Proposition_Label] (NP John ) (VP baptize+s[Third_Singular_Present] ) (NP Jesus ) . in_those_days (NP Jesus ) (VP came ) (NP from Nazareth [ , (NP which ) (NP (NP ) ) (VP was ) (NP in Galilee ) , ] ) . and (NP he ) (VP was[Pre-Verbal] baptiz+ed[Past_Tense] ) (NP in the[Pre-Nominal] Jordan[First_Word_of_Compound_Noun] River ) (NP by John ) . Title: John baptizes Jesus in water. In those days Jesus came from <<the town named>> Nazareth, which was in <<the region named>> Galilee, to John. And Jesus was baptized in the Jordan River by John.~!~Title:[Proposition_Label] (NP John ) (VP baptize+s[Third_Singular_Present] ) (NP Jesus ) (NP in water ) . in_those_days (NP Jesus ) (VP came ) (NP from (NP <<[Opening_Implicit_Marker] the[Pre-Nominal] town named >>[Closing_Implicit_Marker] ) Nazareth [ , (NP which ) (NP (NP ) ) (VP was ) (NP in (NP <<[Opening_Implicit_Marker] the[Pre-Nominal] region named >>[Closing_Implicit_Marker] ) Galilee ) , ] ) (NP to John ) . and (NP Jesus ) (VP was[Pre-Verbal] baptiz+ed[Past_Tense] ) (NP in the[Pre-Nominal] Jordan[First_Word_of_Compound_Noun] River ) (NP by John ) . ",,,
11,Mark 1:11,"A voice spoke from the sky and said, “You're my Son, whom I love dearly. I'm very pleased with you.”~!~(NP a[Pre-Nominal] voice ) (VP spoke ) (NP from the[Pre-Nominal] sky ) [ and (NP ) (VP said ) [ ,_“ (NP you ) (VP are ) (NP (NP _ my ) Son [ , (NP whom ) (NP (NP ) ) (NP I ) (VP love ) (AdvP dearly ) , ] ) ] ] . (NP I ) (VP am ) (AdjP very[Pre-Adjective] pleased (NP with you ) ) . ” A voice spoke from the sky and said, “You're my Son, whom I love dearly. I'm very pleased with you.”~!~(NP a[Pre-Nominal] voice ) (VP spoke ) (NP from the[Pre-Nominal] sky ) [ and (NP ) (VP said ) [ ,_“ (NP you ) (VP are ) (NP (NP _ my ) Son [ , (NP whom ) (NP (NP ) ) (NP I ) (VP love ) (AdvP dearly ) , ] ) ] ] . (NP I ) (VP am ) (AdjP very[Pre-Adjective] pleased (NP with you ) ) . ” ",,,
12,Mark 1:12,Title: Satan tempts Jesus. The Holy Spirit immediately took Jesus to the wilderness.~!~Title:[Proposition_Label] (NP Satan ) (VP tempt+s[Third_Singular_Present] ) (NP Jesus ) . (NP the[Pre-Nominal] Holy_Spirit ) (VP (AdvP immediately ) took ) (NP Jesus ) (NP to the[Pre-Nominal] wilderness ) . Title: Satan tempts Jesus. The Holy Spirit immediately took Jesus from the Jordan River to the wilderness.~!~Title:[Proposition_Label] (NP Satan ) (VP tempt+s[Third_Singular_Present] ) (NP Jesus ) . (NP the[Pre-Nominal] Holy_Spirit ) (VP (AdvP immediately ) took ) (NP Jesus ) (NP from the[Pre-Nominal] Jordan[First_Word_of_Compound_Noun] River ) (NP to the[Pre-Nominal] wilderness ) . ,,,
17,Mark 1:17,"Jesus said to Simon and Andrew, “Come and follow me. I'll teach you how to gather people instead of gathering fish.”~!~(NP Jesus ) (VP said ) (NP to Simon ) (NP and Andrew ) [ ,_“ (NP ) (VP come ) ] [ and (NP ) (VP follow ) (NP me ) ] . (NP I ) (VP will[Pre-Verbal] teach ) (NP you ) [ how[Complementizer] (NP ) (VP to[Pre-Verbal] gather ) (NP people ) ] [ instead_of (NP ) (VP gathering ) (NP fish ) ] . ” Jesus said to Simon and Andrew, “Come and follow me. <<Previously you gathered fish.>> I'll teach you how to gather people instead of gathering fish. <<Then those people will follow me.”>>~!~(NP Jesus ) (VP said ) (NP to Simon ) (NP and Andrew ) [ ,_“ (NP ) (VP come ) ] [ and (NP ) (VP follow ) (NP me ) ] . <<[Opening_Implicit_Marker] (AdvP previously ) (NP you ) (VP gathered ) (NP fish ) . >>[Closing_Implicit_Marker] (NP I ) (VP will[Pre-Verbal] teach ) (NP you ) [ how[Complementizer] (NP ) (VP to[Pre-Verbal] gather ) (NP people ) ] [ instead_of (NP ) (VP gathering ) (NP fish ) ] . <<[Opening_Implicit_Marker] then (NP those[Pre-Nominal] people ) (VP will[Pre-Verbal] follow ) (NP me ) . ” >>[Closing_Implicit_Marker] ",,,
18,Mark 1:18,Simon and Andrew immediately left their nets and followed Jesus.~!~(NP Simon ) (NP and Andrew ) (VP (AdvP immediately ) left ) (NP (NP their ) net+s[Plural] ) [ and (NP ) (NP ) (VP follow+ed[Past_Tense] ) (NP Jesus ) ] . Simon and Andrew immediately left their nets and followed Jesus.,,,
20,Mark 1:20,Jesus immediately called James and John. So James and John left their father named Zebedee and followed Jesus. Zebedee stayed in the boat with the men that he hired.~!~(NP Jesus ) (VP (AdvP immediately ) call+ed[Past_Tense] ) (NP James ) (NP and John ) . so (NP James ) (NP and John ) (VP left ) (NP (NP their ) father (NP named Zebedee ) ) [ and (NP ) (NP ) (VP follow+ed[Past_Tense] ) (NP Jesus ) ] . (NP Zebedee ) (VP stay+ed[Past_Tense] ) (NP in the[Pre-Nominal] boat ) (NP with the[Pre-Nominal] men [ that[Relativizer] (NP he ) (VP hir+ed[Past_Tense] ) (NP ) ] ) . Jesus immediately called James and John. So James and John left their father named Zebedee and followed Jesus. Zebedee stayed in the boat with the men that he hired.~!~(NP Jesus ) (VP (AdvP immediately ) call+ed[Past_Tense] ) (NP James ) (NP and John ) . so (NP James ) (NP and John ) (VP left ) (NP (NP their ) father (NP named Zebedee ) ) [ and (NP ) (NP ) (VP follow+ed[Past_Tense] ) (NP Jesus ) ] . (NP Zebedee ) (VP stay+ed[Past_Tense] ) (NP in the[Pre-Nominal] boat ) (NP with the[Pre-Nominal] men [ that[Relativizer] (NP he ) (VP hir+ed[Past_Tense] ) (NP ) ] ) . ,,,
21,Mark 1:21,Title: Jesus orders an unclean spirit to leave a man. Then Jesus and those men went to Capernaum. The next Sabbath Jesus went into the synagogue and started teaching.Title: Jesus orders an unclean spirit to leave a man. Then Jesus and those men went to <<the town named>> Capernaum. The next Sabbath Jesus went into the synagogue and started teaching God's message to the people who were there. Footnote: The Sabbath is the day when Jews rest and they worship God on.~!~Title:[Proposition_Label] (NP Jesus ) (VP order+s[Third_Singular_Present] ) (NP an[Pre-Nominal] (AdjP unclean ) spirit ) [ (NP ) (VP to[Pre-Verbal] leave ) (NP a[Pre-Nominal] man ) ] . then (NP Jesus ) (NP and those[Pre-Nominal] men ) (VP went ) (NP to (NP <<[Opening_Implicit_Marker] the[Pre-Nominal] town named >>[Closing_Implicit_Marker] ) Capernaum ) . (NP the[Pre-Nominal] (AdjP next ) Sabbath ) (NP Jesus ) (VP went ) (NP into the[Pre-Nominal] synagogue ) [ and (NP ) (VP started[Pre-Verbal] teach+ing[Participle] ) (NP (NP _ God+`s[Saxon_Genitive] ) message ) (NP to the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP there ) ] ) ] . Footnote:[Proposition_Label] (NP the[Pre-Nominal] Sabbath ) (VP is ) (NP the[Pre-Nominal] day [ when[Relativizer] (NP Jew+s[Plural] ) (VP rest ) (NP ) ] [ and (NP they ) (VP worship ) (NP God ) (NP on ) ] ) . ,,,
