ID,Reference,Verse,Notes,NoteFonts,Residue
1,Matthew 1:1,"Title: Matthew writes Jesus' genealogy. This genealogy is the genealogy of Jesus Christ. Jesus was David's descendant and Abraham's descendant.~!~Title:[Proposition_Label] (NP Matthew ) (VP write+s[Third_Singular_Present] ) (NP (NP _ Jesus+~[Saxon_Genitive] ) genealogy ) . (NP this[Pre-Nominal] genealogy ) (VP is ) (NP the[Article] genealogy (NP of _ Jesus (NP _ Christ ) ) ) . (NP Jesus ) (VP was ) (NP (NP _ David+`s[Saxon_Genitive] ) descendant ) (NP and (NP _ Abraham+`s[Saxon_Genitive] ) descendant ) . Title: Matthew writes Jesus' genealogy. This genealogy is the genealogy of Jesus Christ. Jesus was a descendant of David <<, who was the king of Israel,>> and a descendant of Abraham <<, who was the Jews' ancestor>>. Study Footnote: The Greek word 'Christ' is like the Hebrew word 'Messiah'. Those words mean 'the person that God anointed to become the leader who saved his people'.",,,
2,Matthew 1:2,Abraham was Isaac's father. Isaac was Jacob's father. And Jacob was the father of Judah and his brothers.~!~(NP Abraham ) (VP was ) (NP (NP _ Isaac+`s[Saxon_Genitive] ) father ) . (NP Isaac ) (VP was ) (NP (NP _ Jacob+`s[Saxon_Genitive] ) father ) . and (NP Jacob ) (VP was ) (NP the[Pre-Nominal] father (NP of _ Judah ) (NP and _ (NP _ his ) brother+s[Plural] ) ) . Abraham was Isaac's father. Isaac was Jacob's father. And Jacob was the father of Judah and his brothers.~!~(NP Abraham ) (VP was ) (NP (NP _ Isaac+`s[Saxon_Genitive] ) father ) . (NP Isaac ) (VP was ) (NP (NP _ Jacob+`s[Saxon_Genitive] ) father ) . and (NP Jacob ) (VP was ) (NP the[Pre-Nominal] father (NP of _ Judah ) (NP and _ (NP _ his ) brother+s[Plural] ) ) . ,,,
4,Matthew 1:4,Ram was Amminadab's father. Amminadab was Nahshon's father. And Nahshon was Salmon's father.~!~(NP Ram ) (VP was ) (NP (NP _ Amminadab+`s[Saxon_Genitive] ) father ) . (NP Amminadab ) (VP was ) (NP (NP _ Nahshon+`s[Saxon_Genitive] ) father ) . and (NP Nahshon ) (VP was ) (NP (NP _ Salmon+`s[Saxon_Genitive] ) father ) . Ram was Amminadab's father. Amminadab was Nahshon's father. And Nahshon was Salmon's father.~!~(NP Ram ) (VP was ) (NP (NP _ Amminadab+`s[Saxon_Genitive] ) father ) . (NP Amminadab ) (VP was ) (NP (NP _ Nahshon+`s[Saxon_Genitive] ) father ) . and (NP Nahshon ) (VP was ) (NP (NP _ Salmon+`s[Saxon_Genitive] ) father ) . ,,,
5,Matthew 1:5,Salmon was Boaz's father. Boaz's mother was Rahab. Boaz was Obed's father. Obed's mother was Ruth. Obed was Jesse's father.~!~(NP Salmon ) (VP was ) (NP (NP _ Boaz+`s[Saxon_Genitive] ) father ) . (NP (NP _ Boaz+`s[Saxon_Genitive] ) mother ) (VP was ) (NP Rahab ) . (NP Boaz ) (VP was ) (NP (NP _ Obed+`s[Saxon_Genitive] ) father ) . (NP (NP _ Obed+`s[Saxon_Genitive] ) mother ) (VP was ) (NP Ruth ) . (NP Obed ) (VP was ) (NP (NP _ Jesse+`s[Saxon_Genitive] ) father ) . Salmon was Boaz's father. Boaz's mother was Rahab. Boaz was Obed's father. Obed's mother was Ruth. Obed was Jesse's father.~!~(NP Salmon ) (VP was ) (NP (NP _ Boaz+`s[Saxon_Genitive] ) father ) . (NP (NP _ Boaz+`s[Saxon_Genitive] ) mother ) (VP was ) (NP Rahab ) . (NP Boaz ) (VP was ) (NP (NP _ Obed+`s[Saxon_Genitive] ) father ) . (NP (NP _ Obed+`s[Saxon_Genitive] ) mother ) (VP was ) (NP Ruth ) . (NP Obed ) (VP was ) (NP (NP _ Jesse+`s[Saxon_Genitive] ) father ) . ,,,
7,Matthew 1:7,Solomon was Rehoboam's father. Rehoboam was Abijah's father. And Abijah was Asa's father.~!~(NP Solomon ) (VP was ) (NP (NP _ Rehoboam+`s[Saxon_Genitive] ) father ) . (NP Rehoboam ) (VP was ) (NP (NP _ Abijah+`s[Saxon_Genitive] ) father ) . and (NP Abijah ) (VP was ) (NP (NP _ Asa+`s[Saxon_Genitive] ) father ) . Solomon was Rehoboam's father. Rehoboam was Abijah's father. And Abijah was Asa's father.~!~(NP Solomon ) (VP was ) (NP (NP _ Rehoboam+`s[Saxon_Genitive] ) father ) . (NP Rehoboam ) (VP was ) (NP (NP _ Abijah+`s[Saxon_Genitive] ) father ) . and (NP Abijah ) (VP was ) (NP (NP _ Asa+`s[Saxon_Genitive] ) father ) . ,,,
10,Matthew 1:10,Hezekiah was Manasseh's father. Manasseh was Amon's father. And Amon was Josiah's father.~!~(NP Hezekiah ) (VP was ) (NP (NP _ Manasseh+`s[Saxon_Genitive] ) father ) . (NP Manasseh ) (VP was ) (NP (NP _ Amon+`s[Saxon_Genitive] ) father ) . and (NP Amon ) (VP was ) (NP (NP _ Josiah+`s[Saxon_Genitive] ) father ) . Hezekiah was Manasseh's father. Manasseh was Amon's father. And Amon was Josiah's father.~!~(NP Hezekiah ) (VP was ) (NP (NP _ Manasseh+`s[Saxon_Genitive] ) father ) . (NP Manasseh ) (VP was ) (NP (NP _ Amon+`s[Saxon_Genitive] ) father ) . and (NP Amon ) (VP was ) (NP (NP _ Josiah+`s[Saxon_Genitive] ) father ) . ,,,
11,Matthew 1:11,Josiah was the father of Jeconiah and his brothers. In those days Babylon exiled the Jews to Babylon.~!~(NP Josiah ) (VP was ) (NP the[Pre-Nominal] father (NP of _ Jeconiah ) (NP and _ (NP _ his ) brother+s[Plural] ) ) . in_those_days (NP Babylon ) (VP exil+ed[Past_Tense] ) (NP the[Pre-Nominal] Jew+s[Plural] ) (NP to Babylon ) . Primary: Josiah was the father of Jeconiah and his brothers. Alternate 1: Josiah was Jeconiah and his brothers' grandfather. End of Alternates. In those days <<the nation named>> Babylon exiled the Jews to Babylon.~!~Primary:[Proposition_Label] (NP Josiah ) (VP was ) (NP the[Pre-Nominal] father (NP of _ Jeconiah ) (NP and _ (NP _ his ) brother+s[Plural] ) ) . Alternate_1:[Proposition_Label] (NP Josiah ) (VP was ) (NP (NP _ Jeconiah ) (NP and _ (NP _ his ) brother+s[Plural]+`[Saxon_Genitive] ) grandfather ) . End_of_Alternates.[End_of_Alternates] in_those_days (NP (NP <<[Opening_Implicit_Marker] the[Pre-Nominal] nation named >>[Closing_Implicit_Marker] ) Babylon ) (VP exil+ed[Past_Tense] ) (NP the[Pre-Nominal] Jew+s[Plural] ) (NP to Babylon ) . ,,,
16,Matthew 1:16,"Jacob was the father of Joseph, who was Mary's husband. And Mary gave birth to Jesus, whom people call 'Christ'.~!~(NP Jacob ) (VP was ) (NP the[Pre-Nominal] father (NP of _ Joseph [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Mary+`s[Saxon_Genitive] ) husband ) , ] ) ) . and (NP Mary ) (VP gave ) (NP birth ) (NP to Jesus [ , (NP whom ) (NP (NP ) ) (NP people ) (VP call ) (NP ` Christ ~ ) , ] ) . Jacob was the father of Joseph, who was Mary's husband. And Mary gave birth to Jesus, whom people call 'Christ'. <<People call Jesus 'Christ' because God chose Jesus to save his people.>>~!~(NP Jacob ) (VP was ) (NP the[Pre-Nominal] father (NP of _ Joseph [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Mary+`s[Saxon_Genitive] ) husband ) , ] ) ) . and (NP Mary ) (VP gave ) (NP birth ) (NP to Jesus [ , (NP whom ) (NP (NP ) ) (NP people ) (VP call ) (NP ` Christ ~ ) , ] ) . <<[Opening_Implicit_Marker] (NP people ) (VP call ) (NP Jesus ) (NP ` Christ ~ ) [ because (NP God ) (VP chose ) (NP Jesus ) [ (NP ) (VP to[Pre-Verbal] save ) (NP (NP _ his ) people ) ] ] . >>[Closing_Implicit_Marker] ",,,
19,Matthew 1:19,Mary's husband named Joseph was a good man. Joseph didn't want to publicly cause Mary to feel ashamed. So he planned to end his relationship with Mary secretly.~!~(NP (NP _ Mary+`s[Saxon_Genitive] ) husband (NP named Joseph ) ) (VP was ) (NP a[Pre-Nominal] (AdjP good ) man ) . (NP Joseph ) (VP didn`t[Pre-Verbal] want ) [ (NP ) (VP to[Pre-Verbal] (AdvP publicly ) cause ) (NP Mary ) [ (NP ) (VP to[Pre-Verbal] feel ) (AdjP ashamed ) ] ] . so (NP he ) (VP plann+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] end ) (NP (NP _ his ) relationship (NP with Mary ) ) (AdvP secretly ) ] . Mary's husband named Joseph was a good man. <<Joseph thought that Mary was pregnant because she slept with another man.>> He didn't want to publicly cause Mary to feel ashamed. So he planned to end his relationship with Mary secretly. Footnote: In those days people thought that men shouldn't marry a woman who already slept with other men.~!~(NP (NP _ Mary+`s[Saxon_Genitive] ) husband (NP named Joseph ) ) (VP was ) (NP a[Pre-Nominal] (AdjP good ) man ) . <<[Opening_Implicit_Marker] (NP Joseph ) (VP thought ) [ that[Complementizer] (NP Mary ) (VP was ) (AdjP pregnant ) [ because (NP she ) (VP slept ) (NP with (AdjP another ) man ) ] ] . >>[Closing_Implicit_Marker] (NP he ) (VP didn`t[Pre-Verbal] want ) [ (NP ) (VP to[Pre-Verbal] (AdvP publicly ) cause ) (NP Mary ) [ (NP ) (VP to[Pre-Verbal] feel ) (AdjP ashamed ) ] ] . so (NP he ) (VP plann+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] end ) (NP (NP _ his ) relationship (NP with Mary ) ) (AdvP secretly ) ] . Footnote:[Proposition_Label] in_those_days (NP people ) (VP thought ) [ that[Complementizer] (NP men ) (VP shouldn`t[Pre-Verbal] marry ) (NP a[Pre-Nominal] woman [ who[Relativizer] (NP ) (VP (AdvP already ) slept ) (NP with (AdjP other ) men ) ] ) ] . ,,,
20,Matthew 1:20,"But after Joseph thought about those things, the Lord's angel suddenly appeared to him in a dream. And that angel said to Joseph, “Joseph, King David's son, don't be afraid to marry Mary. The child who is in Mary is from the Holy Spirit.~!~but [ after (NP Joseph ) (VP thought ) (NP about those[Pre-Nominal] thing+s[Plural] ) , ] (NP (NP _ the[Pre-Nominal] Lord+`s[Saxon_Genitive] ) angel ) (VP (AdvP suddenly ) appear+ed[Past_Tense] ) (NP to him ) (NP in a[Pre-Nominal] dream ) . and (NP that[Pre-Nominal] angel ) (VP said ) (NP to Joseph ) [ ,_“ (NP Joseph , ) (NP (NP _ (NP _ King ) David+`s[Saxon_Genitive] ) son , ) (NP ) (VP don`t[Pre-Verbal] be ) (AdjP afraid [ (NP ) (VP to[Pre-Verbal] marry ) (NP Mary ) ] ) ] . (NP the[Pre-Nominal] child [ who[Relativizer] (NP ) (VP is ) (NP in Mary ) ] ) (VP is ) (NP from the[Pre-Nominal] Holy_Spirit ) . But after Joseph thought about those things, the Lord's angel suddenly appeared to him in a dream. And that angel said to Joseph, “Joseph, King David's son, don't be afraid to marry Mary. <<That action won't be bad.>> Literal Alternate: The child who is in Mary is from the Holy Spirit. Dynamic Alternate: The Holy Spirit caused the child to grow in Mary. End of Alternates. <<A man didn't cause Mary to become pregnant.>>~!~but [ after (NP Joseph ) (VP thought ) (NP about those[Pre-Nominal] thing+s[Plural] ) , ] (NP (NP _ the[Pre-Nominal] Lord+`s[Saxon_Genitive] ) angel ) (VP (AdvP suddenly ) appear+ed[Past_Tense] ) (NP to him ) (NP in a[Pre-Nominal] dream ) . and (NP that[Pre-Nominal] angel ) (VP said ) (NP to Joseph ) [ ,_“ (NP Joseph , ) (NP (NP _ (NP _ King ) David+`s[Saxon_Genitive] ) son , ) (NP ) (VP don`t[Pre-Verbal] be ) (AdjP afraid [ (NP ) (VP to[Pre-Verbal] marry ) (NP Mary ) ] ) ] . <<[Opening_Implicit_Marker] (NP that[Pre-Nominal] action ) (VP won`t[Pre-Verbal] be ) (AdjP bad ) . >>[Closing_Implicit_Marker] Literal_Alternate:[Proposition_Label] (NP the[Pre-Nominal] child [ who[Relativizer] (NP ) (VP is ) (NP in Mary ) ] ) (VP is ) (NP from the[Pre-Nominal] Holy_Spirit ) . Dynamic_Alternate:[Proposition_Label] (NP the[Pre-Nominal] Holy_Spirit ) (VP caus+ed[Past_Tense] ) (NP the[Pre-Nominal] child ) [ (NP ) (VP to[Pre-Verbal] grow ) (NP in Mary ) ] . End_of_Alternates.[End_of_Alternates] <<[Opening_Implicit_Marker] (NP a[Pre-Nominal] man ) (VP didn`t[Pre-Verbal] cause ) (NP Mary ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP pregnant ) ] . >>[Closing_Implicit_Marker] ",,,
