ID,Reference,Verse,Notes,NoteFonts,Residue
1,Nahum 1:1,A man named Nahum was from a town named Elkosh. One day the LORD showed a vision to Nahum. The LORD told a message that was about a city named Nineveh to Nahum.~!~(NP a[Pre-Nominal] man (NP named Nahum ) ) (VP was ) (NP from a[Pre-Nominal] town (NP named Elkosh ) ) . one_day (NP the[Pre-Nominal] LORD ) (VP show+ed[Past_Tense] ) (NP a[Pre-Nominal] vision ) (NP to Nahum ) . (NP the[Pre-Nominal] LORD ) (VP told ) (NP a[Pre-Nominal] message [ that[Relativizer] (NP ) (VP was ) (NP about a[Pre-Nominal] city (NP named Nineveh ) ) ] ) (NP to Nahum ) . A man named Nahum was from a town named Elkosh. <<Elkosh was in a country named Judah.>> One day the LORD showed a vision to Nahum. The LORD told a message that was about a city named Nineveh to Nahum. <<Nineveh was in a country named Assyria.>>~!~(NP a[Pre-Nominal] man (NP named Nahum ) ) (VP was ) (NP from a[Pre-Nominal] town (NP named Elkosh ) ) . <<[Opening_Implicit_Marker] (NP Elkosh ) (VP was ) (NP in a[Pre-Nominal] country (NP named Judah ) ) . >>[Closing_Implicit_Marker] one_day (NP the[Pre-Nominal] LORD ) (VP show+ed[Past_Tense] ) (NP a[Pre-Nominal] vision ) (NP to Nahum ) . (NP the[Pre-Nominal] LORD ) (VP told ) (NP a[Pre-Nominal] message [ that[Relativizer] (NP ) (VP was ) (NP about a[Pre-Nominal] city (NP named Nineveh ) ) ] ) (NP to Nahum ) . <<[Opening_Implicit_Marker] (NP Nineveh ) (VP was ) (NP in a[Pre-Nominal] country (NP named Assyria ) ) . >>[Closing_Implicit_Marker] A man named Nahum was from a town named Elkosh. Elkosh was in a country named Judah. One day Yahweh showed a vision to Nahum. Yahweh told a message that was about a city named Nineveh to Nahum. Nineveh was in a country named Assyria.~!~(NP a[Pre-Nominal] man (NP named Nahum ) ) (VP was ) (NP from a[Pre-Nominal] town (NP named Elkosh ) ) . (NP Elkosh ) (VP was ) (NP in a[Pre-Nominal] country (NP named Judah ) ) . one_day (NP Yahweh ) (VP show+ed[Past_Tense] ) (NP a[Pre-Nominal] vision ) (NP to Nahum ) . (NP Yahweh ) (VP told ) (NP a[Pre-Nominal] message [ that[Relativizer] (NP ) (VP was ) (NP about a[Pre-Nominal] city (NP named Nineveh ) ) ] ) (NP to Nahum ) . (NP Nineveh ) (VP was ) (NP in a[Pre-Nominal] country (NP named Assyria ) ) . ,,,
2,Nahum 1:2,"Title: The LORD is angry with the people who live in Nineveh. The LORD is God. When people worship gods, the LORD becomes jealous. And he punishes people. He punishes people because they do evil things. He is angry with those people. He punishes his enemies. When the LORD is angry with people, he waits to punish them.~!~Title:[Proposition_Label] (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry (NP with the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP in Nineveh ) ] ) ) . (NP the[Pre-Nominal] LORD ) (VP is ) (NP God ) . [ when (NP people ) (VP worship ) (NP god+s[Plural] ) , ] (NP the[Pre-Nominal] LORD ) (VP become+s[Third_Singular_Present] ) (AdjP jealous ) . and (NP he ) (VP punish+es[Third_Singular_Present] ) (NP people ) . (NP he ) (VP punish+es[Third_Singular_Present] ) (NP people ) [ because (NP they ) (VP do ) (NP (AdjP evil ) thing+s[Plural] ) ] . (NP he ) (VP is ) (AdjP angry (NP with those[Pre-Nominal] people ) ) . (NP he ) (VP punish+es[Third_Singular_Present] ) (NP (NP _ his ) enemi+es[Plural] ) . [ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry (NP with people ) ) , ] (NP he ) (VP wait+s[Third_Singular_Present] ) [ (NP ) (VP to[Pre-Verbal] punish ) (NP them ) ] . Title: The LORD is angry with the people who live in Nineveh. The LORD is God. When people worship gods, the LORD becomes jealous. And he punishes people. He punishes people because they do evil things. He is angry with those people. He punishes his enemies. When the LORD is angry with people, he waits to punish them.~!~Title:[Proposition_Label] (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry (NP with the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP in Nineveh ) ] ) ) . (NP the[Pre-Nominal] LORD ) (VP is ) (NP God ) . [ when (NP people ) (VP worship ) (NP god+s[Plural] ) , ] (NP the[Pre-Nominal] LORD ) (VP become+s[Third_Singular_Present] ) (AdjP jealous ) . and (NP he ) (VP punish+es[Third_Singular_Present] ) (NP people ) . (NP he ) (VP punish+es[Third_Singular_Present] ) (NP people ) [ because (NP they ) (VP do ) (NP (AdjP evil ) thing+s[Plural] ) ] . (NP he ) (VP is ) (AdjP angry (NP with those[Pre-Nominal] people ) ) . (NP he ) (VP punish+es[Third_Singular_Present] ) (NP (NP _ his ) enemi+es[Plural] ) . [ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry (NP with people ) ) , ] (NP he ) (VP wait+s[Third_Singular_Present] ) [ (NP ) (VP to[Pre-Verbal] punish ) (NP them ) ] . Title: Yahweh is angry with the people who live in Nineveh. Yahweh is God. When people worship gods, Yahweh becomes. And he punishes people. He punishes people because they do evil things. He is angry with those people. He punishes his enemies. When Yahweh is angry with people, he waits to punish them.~!~Title:[Proposition_Label] (NP Yahweh ) (VP is ) (AdjP angry (NP with the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP in Nineveh ) ] ) ) . (NP Yahweh ) (VP is ) (NP God ) . [ when (NP people ) (VP worship ) (NP god+s[Plural] ) , ] (NP Yahweh ) (VP become+s[Third_Singular_Present] ) . and (NP he ) (VP punish+es[Third_Singular_Present] ) (NP people ) . (NP he ) (VP punish+es[Third_Singular_Present] ) (NP people ) [ because (NP they ) (VP do ) (NP (AdjP evil ) thing+s[Plural] ) ] . (NP he ) (VP is ) (AdjP angry (NP with those[Pre-Nominal] people ) ) . (NP he ) (VP punish+es[Third_Singular_Present] ) (NP (NP _ his ) enemi+es[Plural] ) . [ when (NP Yahweh ) (VP is ) (AdjP angry (NP with people ) ) , ] (NP he ) (VP wait+s[Third_Singular_Present] ) [ (NP ) (VP to[Pre-Verbal] punish ) (NP them ) ] . ",,,
3,Nahum 1:3,"The LORD becomes angry slowly. But he has a lot of power. He'll punish the people who do bad things. When the LORD marches, there are winds and storms. When the LORD marches, the clouds are like the dust that is under his feet.~!~(NP the[Pre-Nominal] LORD ) (VP become+s[Third_Singular_Present] ) (AdjP angry ) (AdvP slowly ) . but (NP he ) (VP has ) (NP (AdjP a_lot_of ) power ) . (NP he ) (VP will[Pre-Verbal] punish ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP do ) (NP (AdjP bad ) thing+s[Plural] ) ] ) . [ when (NP the[Pre-Nominal] LORD ) (VP march+es[Third_Singular_Present] ) , ] (NP there[Existential_Expletive] ) (VP (VP are ) ) (NP wind+s[Plural] ) (NP and storm+s[Plural] ) . [ when (NP the[Pre-Nominal] LORD ) (VP march+es[Third_Singular_Present] ) , ] (NP the[Pre-Nominal] cloud+s[Plural] ) (VP are ) (NP like the[Pre-Nominal] dust [ that[Relativizer] (NP ) (VP is ) (NP under (NP _ his ) feet ) ] ) . The LORD becomes angry slowly. But he has a lot of power. He'll punish the people who do bad things. When the LORD marches, there are winds and storms. When the LORD marches, the clouds are like the dust that is under his feet.~!~(NP the[Pre-Nominal] LORD ) (VP become+s[Third_Singular_Present] ) (AdjP angry ) (AdvP slowly ) . but (NP he ) (VP has ) (NP (AdjP a_lot_of ) power ) . (NP he ) (VP will[Pre-Verbal] punish ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP do ) (NP (AdjP bad ) thing+s[Plural] ) ] ) . [ when (NP the[Pre-Nominal] LORD ) (VP march+es[Third_Singular_Present] ) , ] (NP there[Existential_Expletive] ) (VP (VP are ) ) (NP wind+s[Plural] ) (NP and storm+s[Plural] ) . [ when (NP the[Pre-Nominal] LORD ) (VP march+es[Third_Singular_Present] ) , ] (NP the[Pre-Nominal] cloud+s[Plural] ) (VP are ) (NP like the[Pre-Nominal] dust [ that[Relativizer] (NP ) (VP is ) (NP under (NP _ his ) feet ) ] ) . Yahweh becomes angry slowly. But he has a lot of power. He'll punish the people who do bad things. When Yahweh walks, there are winds and storms. When Yahweh walks, the clouds are like the dust that is under his feet.~!~(NP Yahweh ) (VP become+s[Third_Singular_Present] ) (AdjP angry ) (AdvP slowly ) . but (NP he ) (VP has ) (NP (AdjP a_lot_of ) power ) . (NP he ) (VP will[Pre-Verbal] punish ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP do ) (NP (AdjP bad ) thing+s[Plural] ) ] ) . [ when (NP Yahweh ) (VP walk+s[Third_Singular_Present] ) , ] (NP there[Existential_Expletive] ) (VP (VP are ) ) (NP wind+s[Plural] ) (NP and storm+s[Plural] ) . [ when (NP Yahweh ) (VP walk+s[Third_Singular_Present] ) , ] (NP the[Pre-Nominal] cloud+s[Plural] ) (VP are ) (NP like the[Pre-Nominal] dust [ that[Relativizer] (NP ) (VP is ) (NP under (NP _ his ) feet ) ] ) . ",,,
4,Nahum 1:4,"When the LORD speaks to the seas, he causes them to become dry. He also causes the rivers to become dry. The fields that are in Bashan and in Carmel become dry. And the flowers that are in Lebanon die.~!~[ when (NP the[Pre-Nominal] LORD ) (VP speak+s[Third_Singular_Present] ) (NP to the[Pre-Nominal] sea+s[Plural] ) , ] (NP he ) (VP cause+s[Third_Singular_Present] ) (NP them ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP dry ) ] . (NP he ) (VP (AdvP also ) cause+s[Third_Singular_Present] ) (NP the[Pre-Nominal] river+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP dry ) ] . (NP the[Pre-Nominal] field+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in Bashan ) (NP and in Carmel ) ] ) (VP become ) (AdjP dry ) . and (NP the[Pre-Nominal] flower+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in Lebanon ) ] ) (VP die ) . When the LORD speaks to the seas, he causes them to become dry. He also causes the rivers to become dry. The fields that are in Bashan and in Carmel become dry. And the flowers that are in Lebanon die.~!~[ when (NP the[Pre-Nominal] LORD ) (VP speak+s[Third_Singular_Present] ) (NP to the[Pre-Nominal] sea+s[Plural] ) , ] (NP he ) (VP cause+s[Third_Singular_Present] ) (NP them ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP dry ) ] . (NP he ) (VP (AdvP also ) cause+s[Third_Singular_Present] ) (NP the[Pre-Nominal] river+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP dry ) ] . (NP the[Pre-Nominal] field+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in Bashan ) (NP and in Carmel ) ] ) (VP become ) (AdjP dry ) . and (NP the[Pre-Nominal] flower+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in Lebanon ) ] ) (VP die ) . When Yahweh speaks to the seas, he causes them to become dry. He also causes the rivers to become dry. The fields that are in Bashan and in Carmel become dry. And the flowers that are in Lebanon die.~!~[ when (NP Yahweh ) (VP speak+s[Third_Singular_Present] ) (NP to the[Pre-Nominal] sea+s[Plural] ) , ] (NP he ) (VP cause+s[Third_Singular_Present] ) (NP them ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP dry ) ] . (NP he ) (VP (AdvP also ) cause+s[Third_Singular_Present] ) (NP the[Pre-Nominal] river+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP dry ) ] . (NP the[Pre-Nominal] field+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in Bashan ) (NP and in Carmel ) ] ) (VP become ) (AdjP dry ) . and (NP the[Pre-Nominal] flower+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in Lebanon ) ] ) (VP die ) . ",,,
5,Nahum 1:5,The LORD shakes the mountains and causes the hills to melt. The earth and all of the people who live there fear the LORD.~!~(NP the[Pre-Nominal] LORD ) (VP shake+s[Third_Singular_Present] ) (NP the[Pre-Nominal] mountain+s[Plural] ) [ and (NP ) (VP cause+s[Third_Singular_Present] ) (NP the[Pre-Nominal] hill+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] melt ) ] ] . (NP the[Pre-Nominal] earth ) (NP and (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP there ) ] ) (VP fear ) (NP the[Pre-Nominal] LORD ) . The LORD shakes the mountains and causes the hills to melt. The earth and all of the people who live there fear the LORD.~!~(NP the[Pre-Nominal] LORD ) (VP shake+s[Third_Singular_Present] ) (NP the[Pre-Nominal] mountain+s[Plural] ) [ and (NP ) (VP cause+s[Third_Singular_Present] ) (NP the[Pre-Nominal] hill+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] melt ) ] ] . (NP the[Pre-Nominal] earth ) (NP and (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP there ) ] ) (VP fear ) (NP the[Pre-Nominal] LORD ) . Yahweh shakes the mountains and causes the hills to melt. The earth and all of the people who live there fear Yahweh.~!~(NP Yahweh ) (VP shake+s[Third_Singular_Present] ) (NP the[Pre-Nominal] mountain+s[Plural] ) [ and (NP ) (VP cause+s[Third_Singular_Present] ) (NP the[Pre-Nominal] hill+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] melt ) ] ] . (NP the[Pre-Nominal] earth ) (NP and (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP there ) ] ) (VP fear ) (NP Yahweh ) . ,,,
6,Nahum 1:6,"When the LORD is angry, no person is able to stand in front of him. When the LORD is very angry with a person, that person will die. When the LORD is angry, he destroys all things like fire destroys all things. He breaks the stones into pieces.~!~[ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry ) , ] (NP no[Pre-Nominal] person ) (VP is ) (AdjP able [ (NP ) (VP to[Pre-Verbal] stand ) (NP in_front_of him ) ] ) . [ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP very[Pre-Adjective] angry (NP with a[Pre-Nominal] person ) ) , ] (NP that[Pre-Nominal] person ) (VP will[Pre-Verbal] die ) . [ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry ) , ] (NP he ) (VP destroys ) (NP (AdjP all ) thing+s[Plural] ) [ like (NP fire ) (VP destroys ) (NP (AdjP all ) thing+s[Plural] ) ] . (NP he ) (VP break+s[Third_Singular_Present] ) (NP the[Pre-Nominal] stone+s[Plural] ) (NP into piece+s[Plural] ) . When the LORD is angry, no person is able to stand in front of him. When the LORD is very angry with a person, that person will die. When the LORD is angry, he destroys all things like fire destroys all things. He breaks the stones into pieces.~!~[ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry ) , ] (NP no[Pre-Nominal] person ) (VP is ) (AdjP able [ (NP ) (VP to[Pre-Verbal] stand ) (NP in_front_of him ) ] ) . [ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP very[Pre-Adjective] angry (NP with a[Pre-Nominal] person ) ) , ] (NP that[Pre-Nominal] person ) (VP will[Pre-Verbal] die ) . [ when (NP the[Pre-Nominal] LORD ) (VP is ) (AdjP angry ) , ] (NP he ) (VP destroys ) (NP (AdjP all ) thing+s[Plural] ) [ like (NP fire ) (VP destroys ) (NP (AdjP all ) thing+s[Plural] ) ] . (NP he ) (VP break+s[Third_Singular_Present] ) (NP the[Pre-Nominal] stone+s[Plural] ) (NP into piece+s[Plural] ) . When Yahweh is angry, no person is able to stand in front of him. When Yahweh is very angry with a person, that person will die. When Yahweh is angry, he destroys all things like fire destroys all things. He breaks the stones into pieces.~!~[ when (NP Yahweh ) (VP is ) (AdjP angry ) , ] (NP no[Pre-Nominal] person ) (VP is ) (AdjP able [ (NP ) (VP to[Pre-Verbal] stand ) (NP in_front_of him ) ] ) . [ when (NP Yahweh ) (VP is ) (AdjP very[Pre-Adjective] angry (NP with a[Pre-Nominal] person ) ) , ] (NP that[Pre-Nominal] person ) (VP will[Pre-Verbal] die ) . [ when (NP Yahweh ) (VP is ) (AdjP angry ) , ] (NP he ) (VP destroys ) (NP (AdjP all ) thing+s[Plural] ) [ like (NP fire ) (VP destroys ) (NP (AdjP all ) thing+s[Plural] ) ] . (NP he ) (VP break+s[Third_Singular_Present] ) (NP the[Pre-Nominal] stone+s[Plural] ) (NP into piece+s[Plural] ) . ",,,
7,Nahum 1:7,The LORD is good. He protects the people who have problems. And he takes care of the people who trust in him.~!~(NP the[Pre-Nominal] LORD ) (VP is ) (AdjP good ) . (NP he ) (VP protect+s[Third_Singular_Present] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP have ) (NP problem+s[Plural] ) ] ) . and (NP he ) (VP take+s[Third_Singular_Present] care[Verbal_Adjective_in_VP] ) (NP of the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP trust ) (NP in him ) ] ) . The LORD is good. He protects the people who have problems. And he takes care of the people who trust in him.~!~(NP the[Pre-Nominal] LORD ) (VP is ) (AdjP good ) . (NP he ) (VP protect+s[Third_Singular_Present] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP have ) (NP problem+s[Plural] ) ] ) . and (NP he ) (VP take+s[Third_Singular_Present] care[Verbal_Adjective_in_VP] ) (NP of the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP trust ) (NP in him ) ] ) . Yahweh is good. He protects the people who have problems. And he takes care of the people who trust in him.~!~(NP Yahweh ) (VP is ) (AdjP good ) . (NP he ) (VP protect+s[Third_Singular_Present] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP have ) (NP problem+s[Plural] ) ] ) . and (NP he ) (VP take+s[Third_Singular_Present] care[Verbal_Adjective_in_VP] ) (NP of the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP trust ) (NP in him ) ] ) . ,,,
8,Nahum 1:8,But the LORD will destroy Nineveh with a big flood. He'll chase his enemies and kill all of them.~!~but (NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] destroy ) (NP Nineveh ) (NP with a[Pre-Nominal] (AdjP big ) flood ) . (NP he ) (VP will[Pre-Verbal] chase ) (NP (NP _ his ) enemi+es[Plural] ) [ and (NP ) (VP kill ) (NP (AdjP all of ) them ) ] . But the LORD will destroy Nineveh with a big flood. He'll chase his enemies and kill all of them.~!~but (NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] destroy ) (NP Nineveh ) (NP with a[Pre-Nominal] (AdjP big ) flood ) . (NP he ) (VP will[Pre-Verbal] chase ) (NP (NP _ his ) enemi+es[Plural] ) [ and (NP ) (VP kill ) (NP (AdjP all of ) them ) ] . But Yahweh will destroy Nineveh with a big flood. He'll chase his enemies and kill all of them.~!~but (NP Yahweh ) (VP will[Pre-Verbal] destroy ) (NP Nineveh ) (NP with a[Pre-Nominal] (AdjP big ) flood ) . (NP he ) (VP will[Pre-Verbal] chase ) (NP (NP _ his ) enemi+es[Plural] ) [ and (NP ) (VP kill ) (NP (AdjP all of ) them ) ] . ,,,
9,Nahum 1:9,Certain people are plotting against the LORD. But the LORD will destroy all of the things that those people are planning to do. He won't allow the people who live in Assyria to defeat his people again.Certain people are plotting against the LORD. But the LORD will destroy all of the things that those people are planning to do. He won't allow the people who live in Assyria to defeat his people again.~!~(NP (AdjP certain ) people ) (VP are[Pre-Verbal] plott+ing[Participle] ) (NP against the[Pre-Nominal] LORD ) . but (NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] destroy ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP those[Pre-Nominal] people ) (VP are[Pre-Verbal] plann+ing[Participle] ) [ (NP ) (VP to[Pre-Verbal] do ) (NP ) ] ] ) . (NP he ) (VP won`t[Pre-Verbal] allow ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP in Assyria ) ] ) [ (NP ) (VP to[Pre-Verbal] defeat ) (NP (NP _ his ) people ) (AdvP again ) ] . Certain people are planning to do bad things to Yahweh. But Yahweh will destroy all of the things that those people are planning to do. He won't allow the people who live in Assyria to defeat his people again.~!~(NP (AdjP certain ) people ) (VP are[Pre-Verbal] plann+ing[Participle] ) [ (NP ) (VP to[Pre-Verbal] do ) (NP (AdjP bad ) thing+s[Plural] ) (NP to Yahweh ) ] . but (NP Yahweh ) (VP will[Pre-Verbal] destroy ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP those[Pre-Nominal] people ) (VP are[Pre-Verbal] plann+ing[Participle] ) [ (NP ) (VP to[Pre-Verbal] do ) (NP ) ] ] ) . (NP he ) (VP won`t[Pre-Verbal] allow ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP live ) (NP in Assyria ) ] ) [ (NP ) (VP to[Pre-Verbal] defeat ) (NP (NP _ his ) people ) (AdvP again ) ] . ,,,
10,Nahum 1:10,The LORD will capture his enemies like a thorny bush captures people. Those people will fall down like a person who drinks a lot of wine falls down. The LORD will burn his enemies like a person burns dry straw.~!~(NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] capture ) (NP (NP _ his ) enemi+es[Plural] ) [ like (NP a[Pre-Nominal] (AdjP thorny ) bush ) (VP capture+s[Third_Singular_Present] ) (NP people ) ] . (NP those[Pre-Nominal] people ) (VP will[Pre-Verbal] fall down ) [ like (NP a[Pre-Nominal] person [ who[Relativizer] (NP ) (VP drink+s[Third_Singular_Present] ) (NP (AdjP a_lot_of ) wine ) ] ) (VP fall+s[Third_Singular_Present] down ) ] . (NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] burn ) (NP (NP _ his ) enemi+es[Plural] ) [ like (NP a[Pre-Nominal] person ) (VP burn+s[Third_Singular_Present] ) (NP (AdjP dry ) straw ) ] . The LORD will capture his enemies like a thorny bush captures people. Those people will fall down like a person who drinks a lot of wine falls down. The LORD will burn his enemies like a person burns dry straw.~!~(NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] capture ) (NP (NP _ his ) enemi+es[Plural] ) [ like (NP a[Pre-Nominal] (AdjP thorny ) bush ) (VP capture+s[Third_Singular_Present] ) (NP people ) ] . (NP those[Pre-Nominal] people ) (VP will[Pre-Verbal] fall down ) [ like (NP a[Pre-Nominal] person [ who[Relativizer] (NP ) (VP drink+s[Third_Singular_Present] ) (NP (AdjP a_lot_of ) wine ) ] ) (VP fall+s[Third_Singular_Present] down ) ] . (NP the[Pre-Nominal] LORD ) (VP will[Pre-Verbal] burn ) (NP (NP _ his ) enemi+es[Plural] ) [ like (NP a[Pre-Nominal] person ) (VP burn+s[Third_Singular_Present] ) (NP (AdjP dry ) straw ) ] . Yahweh will capture his enemies like a bush captures people. Those people will fall down like a person who drinks a lot of wine falls down. Yahweh will burn his enemies like a person burns dry weeds.~!~(NP Yahweh ) (VP will[Pre-Verbal] capture ) (NP (NP _ his ) enemi+es[Plural] ) [ like (NP a[Pre-Nominal] bush ) (VP capture+s[Third_Singular_Present] ) (NP people ) ] . (NP those[Pre-Nominal] people ) (VP will[Pre-Verbal] fall down ) [ like (NP a[Pre-Nominal] person [ who[Relativizer] (NP ) (VP drink+s[Third_Singular_Present] ) (NP (AdjP a_lot_of ) wine ) ] ) (VP fall+s[Third_Singular_Present] down ) ] . (NP Yahweh ) (VP will[Pre-Verbal] burn ) (NP (NP _ his ) enemi+es[Plural] ) [ like (NP a[Pre-Nominal] person ) (VP burn+s[Third_Singular_Present] ) (NP (AdjP dry ) weed+s[Plural] ) ] . ,,,
