ID,Reference,Verse,Notes,NoteFonts,Residue
234,Nehemiah 9:19,You didn't abandon our ancestors in the wilderness because you loved them dearly. During each day the pillar of cloud continued showing our ancestors the path where they had to walk. And during each night the pillar of fire continued leading our ancestors by shining on the path where they had to walk.~!~(NP you ) (VP didn`t[Pre-Verbal] abandon ) (NP (NP _ our ) ancestor+s[Plural] ) (NP in the[Pre-Nominal] wilderness ) [ because (NP you ) (VP lov+ed[Past_Tense] ) (NP them ) (AdvP dearly ) ] . (NP during (AdjP each ) day ) (NP the[Pre-Nominal] pillar (NP of cloud ) ) (VP continued[Pre-Verbal] show+ing[Participle] ) (NP (NP _ our ) ancestor+s[Plural] ) (NP the[Pre-Nominal] path [ where[Relativizer] (NP they ) (VP had_to[Pre-Verbal] walk ) (NP ) ] ) . and (NP during (AdjP each ) night ) (NP the[Pre-Nominal] pillar (NP of fire ) ) (VP continued[Pre-Verbal] lead+ing[Participle] ) (NP (NP _ our ) ancestor+s[Plural] ) [ by (NP ) (VP shin+ing[Participle] ) (NP on the[Pre-Nominal] path [ where[Relativizer] (NP they ) (VP had_to[Pre-Verbal] walk ) (NP ) ] ) ] . You didn't abandon our ancestors in the wilderness because you loved them dearly. During each day the pillar of cloud continued showing our ancestors the path where they had to walk. And during each night the pillar of fire continued leading our ancestors by shining on the path where they had to walk.,,,
239,Nehemiah 9:24,So our ancestors' children went into this land and took it. You defeated the Canaanites who were living in this land. You allowed our ancestors to defeat the Canaanites. You also allowed our ancestors to defeat the kings of the Canaanites and the people who were living in this land. Then our ancestors were able to do to the Canaanites all of the things that they wanted to do.~!~so (NP (NP _ (NP _ our ) ancestor+s[Plural]+~[Saxon_Genitive] ) children ) (VP went ) (NP into this[Pre-Nominal] land ) [ and (NP ) (VP took ) (NP it ) ] . (NP you ) (VP defeat+ed[Past_Tense] ) (NP the[Pre-Nominal] Canaanite+s[Plural] [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in this[Pre-Nominal] land ) ] ) . (NP you ) (VP allow+ed[Past_Tense] ) (NP (NP _ our ) ancestor+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] defeat ) (NP the[Pre-Nominal] Canaanite+s[Plural] ) ] . (NP you ) (VP (AdvP also ) allow+ed[Past_Tense] ) (NP (NP _ our ) ancestor+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] defeat ) (NP the[Pre-Nominal] king+s[Plural] (NP of the[Pre-Nominal] Canaanite+s[Plural] ) ) (NP and the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP in this[Pre-Nominal] land ) ] ) ] . then (NP (NP _ our ) ancestor+s[Plural] ) (VP were ) (AdjP able [ (NP ) (VP to[Pre-Verbal] do ) (NP to the[Pre-Nominal] Canaanite+s[Plural] ) (NP (AdjP all of ) the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP they ) (VP want+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] do ) (NP ) ] ] ) ] ) . So our ancestors' children went into this land and took it from the people who were living here. You defeated the Canaanites who were living in this land. You allowed our ancestors to defeat the Canaanites. You also allowed our ancestors to defeat the kings of the Canaanites and the people who were living in this land. Then our ancestors were able to do to the Canaanites all of the things that they wanted to do.,,,
240,Nehemiah 9:25,"Our ancestors captured cities that had strong walls and fertile land. They took houses that were full of good things, wells that other people already dug, vineyards, olive groves, and many trees that produce a lot of fruit. They ate until they were full. They were healthy and very happy because you were good.~!~(NP (NP _ our ) ancestor+s[Plural] ) (VP captur+ed[Past_Tense] ) (NP citi+es[Plural] [ that[Relativizer] (NP ) (VP had ) (NP (AdjP strong ) wall+s[Plural] ) ] ) (NP and (AdjP fertile ) land ) . (NP they ) (VP took ) (NP house+s[Plural] [ that[Relativizer] (NP ) (VP were ) (AdjP full (NP of (AdjP good ) thing+s[Plural] ) ) ] , ) (NP well+s[Plural] [ that[Relativizer] (NP (AdjP other ) people ) (VP (AdvP already ) dug ) (NP ) ] , ) (NP vineyard+s[Plural] , ) (NP olive[First_Word_of_Compound_Noun] grove+s[Plural] , ) (NP and (AdjP many ) tree+s[Plural] [ that[Relativizer] (NP ) (VP produce ) (NP (AdjP a_lot_of ) fruit ) ] ) . (NP they ) (VP ate ) [ until (NP they ) (VP were ) (AdjP full ) ] . (NP they ) (VP were ) (AdjP healthy ) [ and (NP ) (VP ) (AdjP very[Pre-Adjective] happy ) [ because (NP you ) (VP were ) (AdjP good ) ] ] . Our ancestors captured cities that had strong walls and fertile land. They took houses that were full of good things, wells that other people already dug, vineyards, olive groves, and many trees that produce a lot of fruit. They ate until they were full. They were healthy and very happy because you were good.",,,
245,Nehemiah 9:30,For many years you were patient with our ancestors. You warned our ancestors through your Spirit by sending your prophets to them. But our ancestors didn't listen to you. So you allowed the people who lived in other nations to defeat our ancestors.~!~(NP for (AdjP many ) year+s[Plural] ) (NP you ) (VP were ) (AdjP patient (NP with (NP _ our ) ancestor+s[Plural] ) ) . (NP you ) (VP warn+ed[Past_Tense] ) (NP (NP _ our ) ancestor+s[Plural] ) (NP through (NP your ) Spirit ) [ by (NP ) (VP send+ing[Participle] ) (NP (NP _ your ) prophet+s[Plural] ) (NP to them ) ] . but (NP (NP _ our ) ancestor+s[Plural] ) (VP didn`t[Pre-Verbal] listen ) (NP to you ) . so (NP you ) (VP allow+ed[Past_Tense] ) (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in (AdjP other ) nation+s[Plural] ) ] ) [ (NP ) (VP to[Pre-Verbal] defeat ) (NP (NP _ our ) ancestor+s[Plural] ) ] . For many years you were patient with our ancestors. You warned our ancestors through your Spirit by sending your prophets to them. But our ancestors didn't listen to you. So you allowed the people who lived in other nations to defeat our ancestors.,,,
251,Nehemiah 9:36,Look. Today we are slaves. We are slaves in the land that you gave to our ancestors. You gave this land to our ancestors so that they could eat the fruit that grows here and the other good things that grow here.~!~(NP ) (VP look ) . (AdvP today ) (NP we ) (VP are ) (NP slave+s[Plural] ) . (NP we ) (VP are ) (NP slave+s[Plural] ) (NP in the[Pre-Nominal] land [ that[Relativizer] (NP you ) (VP gave ) (NP ) (NP to (NP _ our ) ancestor+s[Plural] ) ] ) . (NP you ) (VP gave ) (NP this[Pre-Nominal] land ) (NP to (NP _ our ) ancestor+s[Plural] ) [ so_that (NP they ) (VP could[Pre-Verbal] eat ) (NP the[Pre-Nominal] fruit [ that[Relativizer] (NP ) (VP grow+s[Third_Singular_Present] ) (NP here ) ] ) (NP and the[Pre-Nominal] (AdjP other ) (AdjP good ) thing+s[Plural] [ that[Relativizer] (NP ) (VP grow ) (NP here ) ] ) ] . Look at us. Today we are slaves. We are slaves in the land that you gave to our ancestors. You gave this land to our ancestors so that they could eat the fruit that grows here and the other good things that grow here.~!~(NP ) (VP look ) (NP at us ) . (AdvP today ) (NP we ) (VP are ) (NP slave+s[Plural] ) . (NP we ) (VP are ) (NP slave+s[Plural] ) (NP in the[Pre-Nominal] land [ that[Relativizer] (NP you ) (VP gave ) (NP ) (NP to (NP _ our ) ancestor+s[Plural] ) ] ) . (NP you ) (VP gave ) (NP this[Pre-Nominal] land ) (NP to (NP _ our ) ancestor+s[Plural] ) [ so_that (NP they ) (VP could[Pre-Verbal] eat ) (NP the[Pre-Nominal] fruit [ that[Relativizer] (NP ) (VP grow+s[Third_Singular_Present] ) (NP here ) ] ) (NP and the[Pre-Nominal] (AdjP other ) (AdjP good ) thing+s[Plural] [ that[Relativizer] (NP ) (VP grow ) (NP here ) ] ) ] . ,,,
254,Nehemiah 10:1,"The following people put their marks on the agreement: Nehemiah, who was the governor, and who was Hakaliah's son, Zedekiah,~!~(NP the[Pre-Nominal] (AdjP following ) people ) (VP put ) (NP (NP _ their ) mark+s[Plural] ) (NP on the[Pre-Nominal] agreement ) . : (NP Nehemiah [ , (NP who ) (NP (NP ) ) (VP was ) (NP the[Pre-Nominal] governor ) , ] [ , and (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Hakaliah+`s[Saxon_Genitive] ) son ) , ] , ) (NP Zedekiah , ) The following people put their marks on the agreement: Nehemiah, who was the governor <<of Judah>>, and who was Hakaliah's son, Zedekiah,",,,
255,Nehemiah 10:2,"Seraiah, Azariah, Jeremiah,~!~(NP Seraiah , ) (NP Azariah , ) (NP Jeremiah , ) Seraiah, Azariah, Jeremiah,~!~(NP Seraiah , ) (NP Azariah , ) (NP Jeremiah , ) ",,,
260,Nehemiah 10:7,"Meshullam, Abijah, Mijamin,~!~(NP Meshullam , ) (NP Abijah , ) (NP Mijamin , ) Meshullam, Abijah, Mijamin,~!~(NP Meshullam , ) (NP Abijah , ) (NP Mijamin , ) ",,,
261,Nehemiah 10:8,"Maaziah, Bilgai, and Shemaiah. Those people were priests.~!~(NP Maaziah , ) (NP Bilgai , ) (NP and Shemaiah ) . (NP those[Pre-Nominal] people ) (VP were ) (NP priest+s[Plural] ) . Maaziah, Bilgai, and Shemaiah. Those people were priests <<who put their marks on the agreement>>.~!~(NP Maaziah , ) (NP Bilgai , ) (NP and Shemaiah ) . (NP those[Pre-Nominal] people ) (VP were ) (NP priest+s[Plural] [ <<[Opening_Implicit_Marker] who[Relativizer] (NP ) (VP put ) (NP (NP _ their ) mark+s[Plural] ) (NP on the[Pre-Nominal] agreement ) >>[Closing_Implicit_Marker] ] ) . ",,,
266,Nehemiah 10:13,"Hodiah, Bani, and Beninu.~!~(NP Hodiah , ) (NP Bani , ) (NP and Beninu ) . Hodiah, Bani, and Beninu.~!~(NP Hodiah , ) (NP Bani , ) (NP and Beninu ) . ",,,
