ID,Reference,Verse,Notes,NoteFonts,Residue
1,Philemon 1:1,"I'm Paul. I'm in a prison because I follow Jesus Christ. Philemon, Timothy and I are writing this letter to you. Timothy also believes in Jesus Christ. We love you and know that you serve Jesus Christ like we serve Jesus Christ.",,,
2,Philemon 1:2,"We are also writing this letter to Apphia, who also believes in Jesus Christ, and Archippus, who also struggles for Jesus Christ with us. And we are also writing this letter to the other people who worship God in your house.~!~(NP we ) (VP are[Pre-Verbal] (AdvP also ) writ+ing[Participle] ) (NP this[Proximity] letter ) (NP to Apphia [ , (NP who ) (NP ) (VP (AdvP also ) believe+s[Third_Singular_Present] ) (NP in Jesus (NP _ Christ ) ) , ] ) (NP and Archippus [ , (NP who ) (NP ) (VP (AdvP also ) struggle+s[Third_Singular_Present] ) (NP for Jesus (NP _ Christ ) ) (NP with us ) , ] ) . and (NP we ) (VP are[Pre-Verbal] (AdvP also ) writ+ing[Participle] ) (NP this[Proximity] letter ) (NP to the[Article] (AdjP other ) people [ who[Relativizer] (NP ) (VP worship ) (NP God ) (NP in (NP _ your ) house ) ] ) . ",,,
3,Philemon 1:3,"We pray that God, who is our Father, and Jesus Christ, who is our Lord, will treat you kindly. And we pray that God and Jesus Christ will cause you to be peaceful.~!~(NP we ) (VP pray ) [ that[Complementizer] (NP God [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Father ) , ] ) (NP and Jesus (NP _ Christ ) [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Lord ) , ] ) (VP will[INFL] treat ) (NP you ) (AdvP kindly ) ] . and (NP we ) (VP pray ) [ that[Complementizer] (NP God ) (NP and Jesus (NP _ Christ ) ) (VP will[INFL] cause ) (NP you ) [ (NP ) (VP to[INFL] be ) (AdjP peaceful ) ] ] . ",,,
4,Philemon 1:4,"Title: Paul thanks God because of Philemon and he prays for Philemon. I worship God. And when I pray to God for you, I thank him because of you.~!~Title:[Proposition_Label] (NP Paul ) (VP thank+s[Third_Singular_Present] ) (NP God ) (NP because_of Philemon ) [ and (NP he ) (VP prays ) (NP for Philemon ) ] . (NP I ) (VP worship ) (NP God ) . and [ when (NP I ) (VP pray ) (NP to God ) (NP for you ) , ] (NP I ) (VP thank ) (NP him ) (NP because_of you ) . ",,,
5,Philemon 1:5,I thank God because I heard good news that is about you. I heard that you continue trusting in the Lord Jesus. And I heard that you continue loving God and his special people.~!~(NP I ) (VP thank ) (NP God ) [ because (NP I ) (VP heard ) (NP (AdjP good ) news [ that[Relativizer] (NP ) (VP is ) (NP about you ) ] ) ] . (NP I ) (VP heard ) [ that[Complementizer] (NP you ) (VP continue trust+ing[Participle] ) (NP in (NP _ the[Article] Lord ) Jesus ) ] . and (NP I ) (VP heard ) [ that[Complementizer] (NP you ) (VP continue lov+ing[Participle] ) (NP God ) (NP and (NP _ his ) (AdjP special ) people ) ] . ,,,
6,Philemon 1:6,I pray that God will teach you about all of the good things that he has given to us. And I pray that God will unite you with other Christians. I pray that these things will happen so that people would honor Christ.~!~(NP I ) (VP pray ) [ that[Complementizer] (NP God ) (VP will[INFL] teach ) (NP you ) (NP about (AdjP all of ) the[Article] (AdjP good ) thing+s[Plural] [ that[Relativizer] (NP he ) (VP has given ) (NP ) (NP to us ) ] ) ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP God ) (VP will[INFL] unite ) (NP you ) (NP with (AdjP other ) Christian+s[Plural] ) ] . (NP I ) (VP pray ) [ that[Complementizer] (NP these[Proximity] thing+s[Plural] ) (VP will[INFL] happen ) ] [ so_that (NP people ) (VP would[Mood] honor ) (NP Christ ) ] . ,,,
7,Philemon 1:7,"Friend, you love God and other people and bless his special people. These things bless me. And these things help me trust in God.~!~(NP friend , ) (NP you ) (VP love ) (NP God ) (NP and (AdjP other ) people ) [ and (NP ) (VP bless ) (NP (NP _ his ) (AdjP special ) people ) ] . (NP these[Proximity] thing+s[Plural] ) (VP bless ) (NP me ) . and (NP these[Proximity] thing+s[Plural] ) (VP help ) (NP me ) [ (NP ) (VP trust ) (NP in God ) ] . ",,,
8,Philemon 1:8,Title: Paul asks Philemon to accept Onesimus. I want you to do a certain thing. And you should do this. I'm able to command you to do this because Christ has given authority to me.~!~Title:[Proposition_Label] (NP Paul ) (VP ask+s[Third_Singular_Present] ) (NP Philemon ) [ (NP ) (VP to[Pre-Verbal] accept ) (NP Onesimus ) ] . (NP I ) (VP want ) (NP you ) [ (NP ) (VP to[Pre-Verbal] do ) (NP a[Pre-Nominal] (AdjP certain ) thing ) ] . and (NP you ) (VP should[Pre-Verbal] do ) (NP this[Pre-Nominal] ) . (NP I ) (VP am ) (AdjP able [ (NP ) (VP to[Pre-Verbal] command ) (NP you ) [ (NP ) (VP to[Pre-Verbal] do ) (NP this[Pre-Nominal] ) ] ] ) [ because (NP Christ ) (VP has[Pre-Verbal] given ) (NP authority ) (NP to me ) ] . ,,,
9,Philemon 1:9,But we love each other. And I'm old now and in this prison because I serve Jesus Christ. So I'll ask you to do this.~!~but (NP we ) (VP love ) (NP each_other ) . and (NP I ) (VP am ) (AdjP old ) (AdvP now ) [ and (NP ) (VP ) (NP in this[Pre-Nominal] prison ) [ because (NP I ) (VP serve ) (NP Jesus (NP _ Christ ) ) ] ] . so (NP I ) (VP will[Pre-Verbal] ask ) (NP you ) [ (NP ) (VP to[Pre-Verbal] do ) (NP this[Pre-Nominal] ) ] . ,,,
10,Philemon 1:10,"I'm asking you to welcome Onesimus. While I was in this prison, I helped Onesimus believe in Jesus Christ. So Onesimus is like my child. Footnote: Onesimus was a slave who belonged to Philemon. But Onesimus left Philemon.~!~(NP I ) (VP am ask+ing[Participle] ) (NP you ) [ (NP ) (VP to[INFL] welcome ) (NP Onesimus ) ] . [ while (NP I ) (VP was ) (NP in this[Proximity] prison ) , ] (NP I ) (VP help+ed[Past_Tense] ) (NP Onesimus ) [ (NP ) (VP believe ) (NP in Jesus (NP _ Christ ) ) ] . so (NP Onesimus ) (VP is ) (NP like (NP _ my ) child ) . Footnote:[Proposition_Label] (NP Onesimus ) (VP was ) (NP a[Article] slave [ who[Relativizer] (NP ) (VP belong+ed[Past_Tense] ) (NP to Philemon ) ] ) . but (NP Onesimus ) (VP left ) (NP Philemon ) . ",,,
11,Philemon 1:11,Previously Onesimus didn't help you. But recently Onesimus helped me. And Onesimus is able to help you. Footnote: Onesimus' name means ‘a person who helps people’.~!~(AdvP previously ) (NP Onesimus ) (VP did not[Verb_Polarity] help ) (NP you ) . but (AdvP recently ) (NP Onesimus ) (VP help+ed[Past_Tense] ) (NP me ) . and (NP Onesimus ) (VP is ) (AdjP able [ (NP ) (VP to[INFL] help ) (NP you ) ] ) . Footnote:[Proposition_Label] (NP (NP _ Onesimus+`[Saxon_Genitive] ) name ) (VP mean+s[Third_Singular_Present] ) (NP ‘ a[Article] person [ who[Relativizer] (NP ) (VP help+s[Third_Singular_Present] ) (NP people ) ] ’ ) . ,,,
12,Philemon 1:12,So I'm sending Onesimus to you even though I love him a lot.~!~so (NP I ) (VP am send+ing[Participle] ) (NP Onesimus ) (NP to you ) [ even_though (NP I ) (VP love ) (NP him ) (AdvP a_lot ) ] . ,,,
13,Philemon 1:13,"I want Onesimus to stay with me. I'm in this prison because I tell God's good message to people. And if Onesimus were to stay with me, he would be able to help me for you.~!~(NP I ) (VP want ) (NP Onesimus ) [ (NP ) (VP to[INFL] stay ) (NP with me ) ] . (NP I ) (VP am ) (NP in this[Proximity] prison ) [ because (NP I ) (VP tell ) (NP (NP _ God+`s[Saxon_Genitive] ) (AdjP good ) message ) (NP to people ) ] . and [ if (NP Onesimus ) (VP were[Hypothetical_Auxiliary] to[INFL] stay ) (NP with me ) , ] (NP he ) (VP would[Mood] be ) (AdjP able [ (NP ) (VP to[INFL] help ) (NP me ) (NP for you ) ] ) . ",,,
14,Philemon 1:14,"But I don't want Onesimus to stay with me unless you allow him to stay with me. I don't want to force you to help me. Instead, I want you to do good things because you want to do them.~!~but (NP I ) (VP don`t[Pre-Verbal] want ) (NP Onesimus ) [ (NP ) (VP to[Pre-Verbal] stay ) (NP with me ) ] [ unless (NP you ) (VP allow ) (NP him ) [ (NP ) (VP to[Pre-Verbal] stay ) (NP with me ) ] ] . (NP I ) (VP don`t[Pre-Verbal] want ) [ (NP ) (VP to[Pre-Verbal] force ) (NP you ) [ (NP ) (VP to[Pre-Verbal] help ) (NP me ) ] ] . instead, (NP I ) (VP want ) (NP you ) [ (NP ) (VP to[Pre-Verbal] do ) (NP (AdjP good ) thing+s[Plural] ) [ because (NP you ) (VP want ) [ (NP ) (VP to[Pre-Verbal] do ) (NP them ) ] ] ] . ",,,
15,Philemon 1:15,Perhaps Onesimus was not with you for a short time so that he could be with you again forever.~!~(AdvP perhaps ) (NP Onesimus ) (VP was not[Verb_Polarity] ) (NP with you ) (NP for a[Article] (AdjP short ) time ) [ so_that (NP he ) (VP could[Mood] be ) (NP with you ) (AdvP again ) (AdvP forever ) ] . ,,,
16,Philemon 1:16,"Then Onesimus won't be only your slave. Instead, Onesimus will be your friend, who also believes in Jesus Christ. I love Onesimus a lot. But you should love Onesimus more than I. You'll love Onesimus because he is your faithful slave. But you'll also love Onesimus because he is united by God with the Lord.~!~then (NP Onesimus ) (VP won`t[Pre-Verbal] be ) (NP (AdjP only ) (NP _ your ) slave ) . instead, (NP Onesimus ) (VP will[Pre-Verbal] be ) (NP (NP _ your ) friend [ , (NP who ) (NP (NP ) ) (VP (AdvP also ) believe+s[Third_Singular_Present] ) (NP in Jesus (NP _ Christ ) ) , ] ) . (NP I ) (VP love ) (NP Onesimus ) (AdvP a_lot ) . but (NP you ) (VP should[Pre-Verbal] love ) (NP Onesimus ) [ more_than (NP I ) ] . (NP you ) (VP will[Pre-Verbal] love ) (NP Onesimus ) [ because (NP he ) (VP is ) (NP (NP _ your ) (AdjP faithful ) slave ) ] . but (NP you ) (VP will[Pre-Verbal] (AdvP also ) love ) (NP Onesimus ) [ because (NP he ) (VP is[Pre-Verbal] unit+ed[Past_Tense] ) (NP by God ) (NP with the[Pre-Nominal] Lord ) ] . ",,,
17,Philemon 1:17,So welcome Onesimus because you and I serve God. Welcome Onesimus like you welcome me.~!~so (NP ) (VP welcome ) (NP Onesimus ) [ because (NP you ) (NP and I ) (VP serve ) (NP God ) ] . (NP ) (VP welcome ) (NP Onesimus ) [ like (NP you ) (VP welcome ) (NP me ) ] . ,,,
18,Philemon 1:18,"If Onesimus did a bad thing to you, I'll pay money to you. If Onesimus owes money to you, I'll pay it to you.~!~[ if (NP Onesimus ) (VP did ) (NP a[Article] (AdjP bad ) thing ) (NP to you ) , ] (NP I ) (VP will[INFL] pay ) (NP money ) (NP to you ) . [ if (NP Onesimus ) (VP owe+s[Third_Singular_Present] ) (NP money ) (NP to you ) , ] (NP I ) (VP will[INFL] pay ) (NP it ) (NP to you ) . ",,,
19,Philemon 1:19,"I'm writing this part of this letter with my hand. If Onesimus owes money to you, I'll pay it to you. But remember that you owe your life to me. You'll live with God forever because I helped you believe in Jesus Christ.~!~(NP I ) (VP am writ+ing[Participle] ) (NP this[Proximity] part (NP of this[Proximity] letter ) ) (NP with (NP _ my ) hand ) . [ if (NP Onesimus ) (VP owe+s[Third_Singular_Present] ) (NP money ) (NP to you ) , ] (NP I ) (VP will[INFL] pay ) (NP it ) (NP to you ) . but (NP ) (VP remember ) [ that[Complementizer] (NP you ) (VP owe ) (NP (NP _ your ) life ) (NP to me ) ] . (NP you ) (VP will[INFL] live ) (NP with God ) (AdvP forever ) [ because (NP I ) (VP help+ed[Past_Tense] ) (NP you ) [ (NP ) (VP believe ) (NP in Jesus (NP _ Christ ) ) ] ] . ",,,
20,Philemon 1:20,"Friend, I want you to welcome Onesimus. We are united by God with the Lord. So welcome Onesimus. Then you'll bless me.~!~(NP friend , ) (NP I ) (VP want ) (NP you ) [ (NP ) (VP to[INFL] welcome ) (NP Onesimus ) ] . (NP we ) (VP are unit+ed[Past_Tense] ) (NP by God ) (NP with the[Article] Lord ) . so (NP ) (VP welcome ) (NP Onesimus ) . then (NP you ) (VP will[INFL] bless ) (NP me ) . ",,,
