ID,Reference,Verse,Notes,NoteFonts,Residue
1,Ephesians 1:1,"We are Paul and Timothy. We are the servants of Jesus Christ. We are writing this letter and are sending it to all of you who are God's holy people in Philippi. You're in Jesus Christ. We are also sending this letter to your leaders and your deacons.~!~(NP we ) (VP are ) (NP Paul ) (NP and Timothy ) . (NP we ) (VP are ) (NP the[Article] servant+s[Plural] (NP of _ Jesus (NP _ Christ ) ) ) . (NP we ) (VP are[Pre-Verbal] writ+ing[Participle] ) (NP this[Pre-Nominal] letter ) [ and (NP ) (VP are[Pre-Verbal] send+ing[Participle] ) (NP it ) (NP to (AdjP all of ) you [ who[Relativizer] (NP ) (VP are ) (NP (NP _ God+`s[Saxon_Genitive] ) (AdjP holy ) people ) (NP in Philippi ) ] ) ] . _ (NP you ) (VP are ) (NP in Jesus (NP _ Christ ) ) . (NP we ) (VP are[Pre-Verbal] (AdvP also ) send+ing[Participle] ) (NP this[Pre-Nominal] letter ) (NP to (NP _ your ) leader+s[Plural] ) (NP and (NP _ your ) deacon+s[Plural] ) . “I'm Paul. Timothy, who is with me, and I serve Jesus Christ. We are writing this letter to all of God's saints who are in the city named Philippi. We are also writing this letter to the overseers and the deacons who are among you. You're joined to Jesus Christ by God.~!~“ (NP I ) (VP am ) (NP Paul ) . (NP Timothy [ , (NP who ) (NP (NP ) ) (VP is ) (NP with me ) , ] ) (NP and I ) (VP serve ) (NP Jesus (NP _ Christ ) ) . (NP we ) (VP are[Pre-Verbal] writ+ing[Participle] ) (NP this[Pre-Nominal] letter ) (NP to (AdjP all of ) (NP _ God+`s[Saxon_Genitive] ) saint+s[Plural] [ who[Relativizer] (NP ) (VP are ) (NP in (NP the[Pre-Nominal] city named ) Philippi ) ] ) . (NP we ) (VP are[Pre-Verbal] (AdvP also ) writ+ing[Participle] ) (NP this[Pre-Nominal] letter ) (NP to the[Pre-Nominal] overseer+s[Plural] ) (NP and the[Pre-Nominal] deacon+s[Plural] [ who[Relativizer] (NP ) (VP are ) (NP among you ) ] ) . (NP you ) (VP are[Pre-Verbal] join+ed[Past_Tense] ) (NP to Jesus (NP _ Christ ) ) (NP by God ) . “I'm Paul. Timothy and I serve Jesus Christ. We are writing this letter to all of God's people who are in Philippi. We are also writing this letter to the overseers and the special servants of the church who are among you. You're joined to Jesus Christ by God.~!~“ (NP I ) (VP am ) (NP Paul ) . (NP Timothy ) (NP and I ) (VP serve ) (NP Jesus (NP _ Christ ) ) . (NP we ) (VP are[Pre-Verbal] writ+ing[Participle] ) (NP this[Pre-Nominal] letter ) (NP to (AdjP all of ) (NP _ God+`s[Saxon_Genitive] ) people [ who[Relativizer] (NP ) (VP are ) (NP in Philippi ) ] ) . (NP we ) (VP are[Pre-Verbal] (AdvP also ) writ+ing[Participle] ) (NP this[Pre-Nominal] letter ) (NP to the[Pre-Nominal] overseer+s[Plural] ) (NP and the[Pre-Nominal] (AdjP special ) servant+s[Plural] (NP of the[Pre-Nominal] church ) [ who[Relativizer] (NP ) (VP are ) (NP among you ) ] ) . (NP you ) (VP are[Pre-Verbal] join+ed[Past_Tense] ) (NP to Jesus (NP _ Christ ) ) (NP by God ) . “I'm Paul. Timothy, who is with me, and I serve Jesus Christ. We are writing this letter to all of God's people who are in the city named Philippi. We are also writing this letter to the overseers and the special servants of the church who are among you. You're joined to Jesus Christ by God.",,,
3,Ephesians 1:3,"Whenever I think about you, I thank my God.~!~[ whenever (NP I ) (VP think ) (NP about you ) , ] (NP I ) (VP thank ) (NP (NP _ my ) God ) . Whenever I think about you, I thank my God because you helped me tell the gospel to other people.~!~[ whenever (NP I ) (VP think ) (NP about you ) , ] (NP I ) (VP thank ) (NP (NP _ my ) God ) [ because (NP you ) (VP help+ed[Past_Tense] ) (NP me ) [ (NP ) (VP tell ) (NP the[Pre-Nominal] gospel ) (NP to (AdjP other ) people ) ] ] . Whenever I think about you, I thank my God.~!~[ whenever (NP I ) (VP think ) (NP about you ) , ] (NP I ) (VP thank ) (NP (NP _ my ) God ) . Whenever I think about you, I thank my God because you helped me tell the gospel to other people.~!~[ whenever (NP I ) (VP think ) (NP about you ) , ] (NP I ) (VP thank ) (NP (NP _ my ) God ) [ because (NP you ) (VP help+ed[Past_Tense] ) (NP me ) [ (NP ) (VP tell ) (NP the[Pre-Nominal] gospel ) (NP to (AdjP other ) people ) ] ] . ",,,
5,Ephesians 1:5,I'm happy because you joined me to tell the good news to other people. You helped me from the first day until now.~!~(NP I ) (VP am ) (AdjP happy ) [ because (NP you ) (VP join+ed[Past_Tense] ) (NP me ) [ to (NP ) (VP tell ) (NP the[Pre-Nominal] (AdjP good ) news ) (NP to (AdjP other ) people ) ] ] . (NP you ) (VP help+ed[Past_Tense] ) (NP me ) (NP from the[Pre-Nominal] (AdjP first ) day ) (AdvP until now ) . I regularly pray very joyfully because you helped me preach the gospel to other people. You helped me since the first day when you believed the gospel until today.~!~(NP I ) (VP regularly[Pre-Verbal] pray ) (AdvP very[Pre-Adverb] joyfully ) [ because (NP you ) (VP help+ed[Past_Tense] ) (NP me ) [ (NP ) (VP preach ) (NP the[Pre-Nominal] gospel ) (NP to (AdjP other ) people ) ] ] . (NP you ) (VP help+ed[Past_Tense] ) (NP me ) (NP since the[Pre-Nominal] (AdjP first ) day [ when[Relativizer] (NP you ) (VP believ+ed[Past_Tense] ) (NP the[Pre-Nominal] gospel ) (NP ) ] ) (NP until today ) . I regularly pray very happily because you helped me tell the gospel to other people. You helped me since the first day when you believed the gospel until today.~!~(NP I ) (VP regularly[Pre-Verbal] pray ) (AdvP very[Pre-Adverb] happily ) [ because (NP you ) (VP help+ed[Past_Tense] ) (NP me ) [ (NP ) (VP tell ) (NP the[Pre-Nominal] gospel ) (NP to (AdjP other ) people ) ] ] . (NP you ) (VP help+ed[Past_Tense] ) (NP me ) (NP since the[Pre-Nominal] (AdjP first ) day [ when[Relativizer] (NP you ) (VP believ+ed[Past_Tense] ) (NP the[Pre-Nominal] gospel ) (NP ) ] ) (NP until today ) . I regularly pray very happily because you helped me tell the gospel to other people. You helped me since the first day when you believed the gospel until today.~!~(NP I ) (VP regularly[Pre-Verbal] pray ) (AdvP very[Pre-Adverb] happily ) [ because (NP you ) (VP help+ed[Past_Tense] ) (NP me ) [ (NP ) (VP tell ) (NP the[Pre-Nominal] gospel ) (NP to (AdjP other ) people ) ] ] . (NP you ) (VP help+ed[Past_Tense] ) (NP me ) (NP since the[Pre-Nominal] (AdjP first ) day [ when[Relativizer] (NP you ) (VP believ+ed[Past_Tense] ) (NP the[Pre-Nominal] gospel ) (NP ) ] ) (NP until today ) . ,,,
6,Ephesians 1:6,God started doing a good work in you. And I know that God will continue doing a good work in you until he finishes doing that work on the day when Jesus Christ returns.~!~(NP God ) (VP started[Pre-Verbal] do+ing[Participle] ) (NP a[Pre-Nominal] (AdjP good ) work ) (NP in you ) . and (NP I ) (VP know ) [ that[Complementizer] (NP God ) (VP will_continue[Pre-Verbal] do+ing[Participle] ) (NP a[Pre-Nominal] (AdjP good ) work ) (NP in you ) [ until (NP he ) (VP finishes[Pre-Verbal] do+ing[Participle] ) (NP that[Pre-Nominal] work ) (NP on the[Pre-Nominal] day [ when[Relativizer] (NP Jesus (NP _ Christ ) ) (VP return+s[Third_Singular_Present] ) (NP ) ] ) ] ] . I definitely know that God started working in you. And I definitely know that God will continue working in you. God will continue working in you until he finishes working in you on the day when Jesus Christ comes to the earth again.~!~(NP I ) (VP definitely[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP started[Pre-Verbal] work+ing[Participle] ) (NP in you ) ] . and (NP I ) (VP definitely[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP will_continue[Pre-Verbal] work+ing[Participle] ) (NP in you ) ] . _ (NP God ) (VP will_continue[Pre-Verbal] work+ing[Participle] ) (NP in you ) [ until (NP he ) (VP finishes[Pre-Verbal] work+ing[Participle] ) (NP in you ) (NP on the[Pre-Nominal] day [ when[Relativizer] (NP Jesus (NP _ Christ ) ) (VP come+s[Third_Singular_Present] ) (NP to the[Pre-Nominal] earth ) (NP ) (AdvP again ) ] ) ] . I definitely know that God started working in you. And I definitely know that God will continue working in you. God will continue working in you until he finishes working in you on the day when Jesus Christ comes to the earth again.~!~(NP I ) (VP definitely[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP started[Pre-Verbal] work+ing[Participle] ) (NP in you ) ] . and (NP I ) (VP definitely[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP will_continue[Pre-Verbal] work+ing[Participle] ) (NP in you ) ] . _ (NP God ) (VP will_continue[Pre-Verbal] work+ing[Participle] ) (NP in you ) [ until (NP he ) (VP finishes[Pre-Verbal] work+ing[Participle] ) (NP in you ) (NP on the[Pre-Nominal] day [ when[Relativizer] (NP Jesus (NP _ Christ ) ) (VP come+s[Third_Singular_Present] ) (NP to the[Pre-Nominal] earth ) (NP ) (AdvP again ) ] ) ] . I definitely know that God started working in you. And I definitely know that God will continue working in you. God will continue working in you until he finishes working in you on the day when Jesus Christ comes to the earth again.~!~(NP I ) (VP definitely[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP started[Pre-Verbal] work+ing[Participle] ) (NP in you ) ] . and (NP I ) (VP definitely[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP will_continue[Pre-Verbal] work+ing[Participle] ) (NP in you ) ] . _ (NP God ) (VP will_continue[Pre-Verbal] work+ing[Participle] ) (NP in you ) [ until (NP he ) (VP finishes[Pre-Verbal] work+ing[Participle] ) (NP in you ) (NP on the[Pre-Nominal] day [ when[Relativizer] (NP Jesus (NP _ Christ ) ) (VP come+s[Third_Singular_Present] ) (NP to the[Pre-Nominal] earth ) (NP ) (AdvP again ) ] ) ] . ,,,
12,Ephesians 1:12,"Brothers and sisters, I want you to know this. The things that recently happened to me caused more people to hear about the good news.Brothers and sisters, I want you to know that all of the bad things that people did to me caused more people to hear about the gospel.~!~(NP brother+s[Plural] ) (NP and sister+s[Plural] , , ) (NP I ) (VP want ) (NP you ) [ (NP ) (VP to[Pre-Verbal] know ) [ that[Complementizer] (NP (AdjP all of ) the[Pre-Nominal] (AdjP bad ) thing+s[Plural] [ that[Relativizer] (NP people ) (VP did ) (NP ) (NP to me ) ] ) (VP caus+ed[Past_Tense] ) (NP (AdjP more ) people ) [ (NP ) (VP to[Pre-Verbal] hear ) (NP about the[Pre-Nominal] gospel ) ] ] ] . Brothers and sisters, I want you to know that all of the bad things that people did to me caused more people to hear about the gospel.~!~(NP brother+s[Plural] ) (NP and sister+s[Plural] , , ) (NP I ) (VP want ) (NP you ) [ (NP ) (VP to[Pre-Verbal] know ) [ that[Complementizer] (NP (AdjP all of ) the[Pre-Nominal] (AdjP bad ) thing+s[Plural] [ that[Relativizer] (NP people ) (VP did ) (NP ) (NP to me ) ] ) (VP caus+ed[Past_Tense] ) (NP (AdjP more ) people ) [ (NP ) (VP to[Pre-Verbal] hear ) (NP about the[Pre-Nominal] gospel ) ] ] ] . Brothers and sisters, I want you to know that all of the bad things that people did to me caused more people to hear about the gospel.~!~(NP brother+s[Plural] ) (NP and sister+s[Plural] , , ) (NP I ) (VP want ) (NP you ) [ (NP ) (VP to[Pre-Verbal] know ) [ that[Complementizer] (NP (AdjP all of ) the[Pre-Nominal] (AdjP bad ) thing+s[Plural] [ that[Relativizer] (NP people ) (VP did ) (NP ) (NP to me ) ] ) (VP caus+ed[Past_Tense] ) (NP (AdjP more ) people ) [ (NP ) (VP to[Pre-Verbal] hear ) (NP about the[Pre-Nominal] gospel ) ] ] ] . ",,,
15,Ephesians 1:15,It is true that some people preach about Christ because they are jealous. But other people preach about Christ to help me do my work.~!~(NP it ) (VP is ) (AdjP true ) [ that[Complementizer] (NP some[Pre-Nominal] people ) (VP preach ) (NP about Christ ) [ because (NP they ) (VP are ) (AdjP jealous ) ] ] . but (NP (AdjP other ) people ) (VP preach ) (NP about Christ ) [ to (NP ) (VP help ) (NP me ) [ (NP ) (VP do ) (NP (NP _ my ) work ) ] ] . Some people preach God's message to other people because they want to have the things that other people have. And they also want people to argue with each other. But other people tell people about Christ because they want to do the right thing.~!~(NP some[Pre-Nominal] people ) (VP preach ) (NP (NP _ God+`s[Saxon_Genitive] ) message ) (NP to (AdjP other ) people ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] have ) (NP the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP (AdjP other ) people ) (VP have ) (NP ) ] ) ] ] . and (NP they ) (VP (AdvP also ) want ) (NP people ) [ (NP ) (VP to[Pre-Verbal] argue ) (NP with each_other ) ] . but (NP (AdjP other ) people ) (VP tell ) (NP people ) (NP about Christ ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] do ) (NP the[Pre-Nominal] (AdjP right ) thing ) ] ] . Some people tell God's message to other people because they want to have the things that other people have. And they also want people to argue with each other. But other people tell people about Christ because they want to do the right thing.~!~(NP some[Pre-Nominal] people ) (VP tell ) (NP (NP _ God+`s[Saxon_Genitive] ) message ) (NP to (AdjP other ) people ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] have ) (NP the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP (AdjP other ) people ) (VP have ) (NP ) ] ) ] ] . and (NP they ) (VP (AdvP also ) want ) (NP people ) [ (NP ) (VP to[Pre-Verbal] argue ) (NP with each_other ) ] . but (NP (AdjP other ) people ) (VP tell ) (NP people ) (NP about Christ ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] do ) (NP the[Pre-Nominal] (AdjP right ) thing ) ] ] . Some people tell God's message to other people because they want to have the things that other people have. And they also want people to argue with each other. But other people tell people about Christ because they want to do the right thing.~!~(NP some[Pre-Nominal] people ) (VP tell ) (NP (NP _ God+`s[Saxon_Genitive] ) message ) (NP to (AdjP other ) people ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] have ) (NP the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP (AdjP other ) people ) (VP have ) (NP ) ] ) ] ] . and (NP they ) (VP (AdvP also ) want ) (NP people ) [ (NP ) (VP to[Pre-Verbal] argue ) (NP with each_other ) ] . but (NP (AdjP other ) people ) (VP tell ) (NP people ) (NP about Christ ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] do ) (NP the[Pre-Nominal] (AdjP right ) thing ) ] ] . ,,,
17,Ephesians 1:17,"But those other people preach about Christ because they want to become more important than me. They preach about Christ because of wrong motives. They think that while I'm in chains, they are causing me to have trouble.~!~but (NP those[Pre-Nominal] (AdjP other ) people ) (VP preach ) (NP about Christ ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] become ) (AdjP more[Degree] important (NP than[Comparison_Marker] me ) ) ] ] . (NP they ) (VP preach ) (NP about Christ ) (NP because_of (AdjP wrong ) motive+s[Plural] ) . (NP they ) (VP think ) [ that[Complementizer] [ while (NP I ) (VP am ) (NP in chain+s[Plural] ) , ] (NP they ) (VP are[Pre-Verbal] caus+ing[Participle] ) (NP me ) [ (NP ) (VP to[Pre-Verbal] have ) (NP trouble ) ] ] . But those other people don't have good motives for preaching the gospel to people. They tell people about Christ because they want to lead other people. And they want me to have more trouble while I'm in prison.But those other people don't have good reasons for telling the gospel to people. They tell people about Christ because they want to lead other people. And they want me to have more trouble while I'm in prison.~!~but (NP those[Pre-Nominal] (AdjP other ) people ) (VP don`t[Pre-Verbal] have ) (NP (AdjP good ) reason+s[Plural] [ for[Relativizer] (NP ) (VP tell+ing[Participle] ) (NP the[Pre-Nominal] gospel ) (NP to people ) ] ) . (NP they ) (VP tell ) (NP people ) (NP about Christ ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] lead ) (NP (AdjP other ) people ) ] ] . and (NP they ) (VP want ) (NP me ) [ (NP ) (VP to[Pre-Verbal] have ) (NP (AdjP more ) trouble ) [ while (NP I ) (VP am ) (NP in prison ) ] ] . But those other people don't have good reasons for telling the gospel to people. They tell people about Christ because they want to lead other people. And they want me to have more trouble while I'm in prison.~!~but (NP those[Pre-Nominal] (AdjP other ) people ) (VP don`t[Pre-Verbal] have ) (NP (AdjP good ) reason+s[Plural] [ for[Relativizer] (NP ) (VP tell+ing[Participle] ) (NP the[Pre-Nominal] gospel ) (NP to people ) ] ) . (NP they ) (VP tell ) (NP people ) (NP about Christ ) [ because (NP they ) (VP want ) [ (NP ) (VP to[Pre-Verbal] lead ) (NP (AdjP other ) people ) ] ] . and (NP they ) (VP want ) (NP me ) [ (NP ) (VP to[Pre-Verbal] have ) (NP (AdjP more ) trouble ) [ while (NP I ) (VP am ) (NP in prison ) ] ] . ",,,
19,Ephesians 1:19,I know that you're praying for me. I also know that God will give the Spirit of Jesus Christ to me to help me. So I certainly know that I'll be saved even though bad things happened to me.And I will continue rejoicing because I know that God will answer your prayers. And I know that the Holy Spirit of Jesus Christ will help me. And I know that the Holy Spirit of Jesus Christ will cause the rulers to release me from this prison.~!~and (NP I ) (VP will_continue[Pre-Verbal] rejoic+ing[Participle] ) [ because (NP I ) (VP know ) [ that[Complementizer] (NP God ) (VP will[Pre-Verbal] answer ) (NP (NP _ your ) prayer+s[Plural] ) ] ] . and (NP I ) (VP know ) [ that[Complementizer] (NP the[Article] Holy_Spirit (NP of _ Jesus (NP _ Christ ) ) ) (VP will[Pre-Verbal] help ) (NP me ) ] . and _ (NP I ) (VP know ) [ that[Complementizer] (NP the[Article] Holy_Spirit (NP of _ Jesus (NP _ Christ ) ) ) (VP will[Pre-Verbal] cause ) (NP the[Pre-Nominal] ruler+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] release ) (NP me ) (NP from this[Pre-Nominal] prison ) ] ] . And I will continue being happy because I know that God will answer your prayers. And I know that the Holy Spirit of Jesus Christ will help me. And I know that the Holy Spirit of Jesus Christ will cause the rulers to release me from this prison.~!~and (NP I ) (VP will_continue[Pre-Verbal] being ) (AdjP happy ) [ because (NP I ) (VP know ) [ that[Complementizer] (NP God ) (VP will[Pre-Verbal] answer ) (NP (NP _ your ) prayer+s[Plural] ) ] ] . and (NP I ) (VP know ) [ that[Complementizer] (NP the[Article] Holy_Spirit (NP of _ Jesus (NP _ Christ ) ) ) (VP will[Pre-Verbal] help ) (NP me ) ] . and _ (NP I ) (VP know ) [ that[Complementizer] (NP the[Article] Holy_Spirit (NP of _ Jesus (NP _ Christ ) ) ) (VP will[Pre-Verbal] cause ) (NP the[Pre-Nominal] ruler+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] release ) (NP me ) (NP from this[Pre-Nominal] prison ) ] ] . And I will continue being happy because I know that God will answer your prayers. And I know that the Holy Spirit of Jesus Christ will help me. And I know that the Holy Spirit of Jesus Christ will cause the rulers to release me from this prison.~!~and (NP I ) (VP will_continue[Pre-Verbal] being ) (AdjP happy ) [ because (NP I ) (VP know ) [ that[Complementizer] (NP God ) (VP will[Pre-Verbal] answer ) (NP (NP _ your ) prayer+s[Plural] ) ] ] . and (NP I ) (VP know ) [ that[Complementizer] (NP the[Article] Holy_Spirit (NP of _ Jesus (NP _ Christ ) ) ) (VP will[Pre-Verbal] help ) (NP me ) ] . and _ (NP I ) (VP know ) [ that[Complementizer] (NP the[Article] Holy_Spirit (NP of _ Jesus (NP _ Christ ) ) ) (VP will[Pre-Verbal] cause ) (NP the[Pre-Nominal] ruler+s[Plural] ) [ (NP ) (VP to[Pre-Verbal] release ) (NP me ) (NP from this[Pre-Nominal] prison ) ] ] . ,,,
21,Ephesians 1:21,"The reason why I live is Christ. But if I die, I'll gain good things.~!~(NP the[Pre-Nominal] reason [ why[Relativizer] (NP I ) (VP live ) (NP ) ] ) (VP is ) (NP Christ ) . but [ if (NP I ) (VP die ) , ] (NP I ) (VP will[Pre-Verbal] gain ) (NP (AdjP good ) thing+s[Plural] ) . I live for Christ. And if I die, I'll gain good things. If I die, God will completely unite me with Christ.~!~(NP I ) (VP live ) (NP for Christ ) . and [ if (NP I ) (VP die ) , ] (NP I ) (VP will[Pre-Verbal] gain ) (NP (AdjP good ) thing+s[Plural] ) . [ if (NP I ) (VP die ) , ] (NP God ) (VP will[Pre-Verbal] (AdvP completely ) unite ) (NP me ) (NP with Christ ) . I live for Christ. And if I die, I'll gain good things.~!~(NP I ) (VP live ) (NP for Christ ) . and [ if (NP I ) (VP die ) , ] (NP I ) (VP will[Pre-Verbal] gain ) (NP (AdjP good ) thing+s[Plural] ) . I live for Christ. And if I die, I'll gain good things. If I die, God will completely unite me with Christ.~!~(NP I ) (VP live ) (NP for Christ ) . and [ if (NP I ) (VP die ) , ] (NP I ) (VP will[Pre-Verbal] gain ) (NP (AdjP good ) thing+s[Plural] ) . [ if (NP I ) (VP die ) , ] (NP God ) (VP will[Pre-Verbal] (AdvP completely ) unite ) (NP me ) (NP with Christ ) . ",,,
22,Ephesians 1:22,"If I continue living in my body, I'll be able to continue doing my work. And my work will produce a lot of fruit. But which choice should I choose? I don't know the thing that I should choose!~!~[ if (NP I ) (VP continue[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ my ) body ) , ] (NP I ) (VP will[Pre-Verbal] be ) (AdjP able [ (NP ) (VP to_continue[Pre-Verbal] do+ing[Participle] ) (NP (NP _ my ) work ) ] ) . and (NP (NP _ my ) work ) (VP will[Pre-Verbal] produce ) (NP (AdjP a_lot_of ) fruit ) . but (NP (NP which[Pre-Nominal] choice ) ) (VP should[CP-VP] ) (NP I ) (VP choose ) ? . (NP I ) (VP don`t[Pre-Verbal] know ) (NP the[Pre-Nominal] thing [ that[Relativizer] (NP I ) (VP should[Pre-Verbal] choose ) (NP ) ] ) ! . But if I continue living in my body, I'll be able to do good work for Christ. So I don't know whether I should choose to live or I should choose to die.~!~but [ if (NP I ) (VP continue[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ my ) body ) , ] (NP I ) (VP will[Pre-Verbal] be ) (AdjP able [ (NP ) (VP to[Pre-Verbal] do ) (NP (AdjP good ) work ) (NP for Christ ) ] ) . so (NP I ) (VP don`t[Pre-Verbal] know ) [ whether[Complementizer] (NP I ) (VP should[Pre-Verbal] choose ) [ (NP ) (VP to[Pre-Verbal] live ) ] ] [ or (NP I ) (VP should[Pre-Verbal] choose ) [ (NP ) (VP to[Pre-Verbal] die ) ] ] . But if I continue living in my body, I'll be able to do good work for Christ. So I don't know whether I should choose to live or I should choose to die.~!~but [ if (NP I ) (VP continue[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ my ) body ) , ] (NP I ) (VP will[Pre-Verbal] be ) (AdjP able [ (NP ) (VP to[Pre-Verbal] do ) (NP (AdjP good ) work ) (NP for Christ ) ] ) . so (NP I ) (VP don`t[Pre-Verbal] know ) [ whether[Complementizer] (NP I ) (VP should[Pre-Verbal] choose ) [ (NP ) (VP to[Pre-Verbal] live ) ] ] [ or (NP I ) (VP should[Pre-Verbal] choose ) [ (NP ) (VP to[Pre-Verbal] die ) ] ] . But if I continue living in my body, I'll be able to do good work for Christ. So I don't know whether I should choose to live or I should choose to die.~!~but [ if (NP I ) (VP continue[Pre-Verbal] liv+ing[Participle] ) (NP in (NP _ my ) body ) , ] (NP I ) (VP will[Pre-Verbal] be ) (AdjP able [ (NP ) (VP to[Pre-Verbal] do ) (NP (AdjP good ) work ) (NP for Christ ) ] ) . so (NP I ) (VP don`t[Pre-Verbal] know ) [ whether[Complementizer] (NP I ) (VP should[Pre-Verbal] choose ) [ (NP ) (VP to[Pre-Verbal] live ) ] ] [ or (NP I ) (VP should[Pre-Verbal] choose ) [ (NP ) (VP to[Pre-Verbal] die ) ] ] . ",,,
