ID,Reference,Verse,Notes,NoteFonts,Residue
5,Proverbs 1:5,,,,
10,Proverbs 1:10,,,,
16,Proverbs 1:16,,,,
21,Proverbs 1:21,,,,
26,Proverbs 1:26,,,,
32,Proverbs 1:32,,,,
37,Proverbs 2:4,,,,
42,Proverbs 2:9,,,,
48,Proverbs 2:15,,,,
53,Proverbs 2:20,,,,
58,Proverbs 3:3,,,,
63,Proverbs 3:8,,,,
69,Proverbs 3:14,,,,
74,Proverbs 3:19,,,,
80,Proverbs 3:25,,,,
85,Proverbs 3:30,,,,
90,Proverbs 3:35,,,,
95,Proverbs 4:5,,,,
101,Proverbs 4:11,,,,
106,Proverbs 4:16,,,,
112,Proverbs 4:22,,,,
117,Proverbs 4:27,,,,
122,Proverbs 5:5,,,,
127,Proverbs 5:10,,,,
133,Proverbs 5:16,,,,
138,Proverbs 5:21,,,,
143,Proverbs 6:3,,,,
149,Proverbs 6:9,,,,
154,Proverbs 6:14,,,,
159,Proverbs 6:19,,,,
165,Proverbs 6:25,,,,
170,Proverbs 6:30,,,,
175,Proverbs 6:35,,,,
182,Proverbs 7:7,,,,
187,Proverbs 7:12,,,,
193,Proverbs 7:18,,,,
198,Proverbs 7:23,,,,
203,Proverbs 8:1,,,,
209,Proverbs 8:7,,,,
214,Proverbs 8:12,,,,
219,Proverbs 8:17,,,,
225,Proverbs 8:23,,,,
230,Proverbs 8:28,,,,
235,Proverbs 8:33,,,,
241,Proverbs 9:3,,,,
246,Proverbs 9:8,,,,
251,Proverbs 9:13,,,,
257,Proverbs 10:1,,,,
262,Proverbs 10:6,,,,
267,Proverbs 10:11,,,,
273,Proverbs 10:17,,,,
278,Proverbs 10:22,,,,
284,Proverbs 10:28,,,,
289,Proverbs 11:1,,,,
294,Proverbs 11:6,,,,
300,Proverbs 11:12,,,,
305,Proverbs 11:17,,,,
311,Proverbs 11:23,,,,
316,Proverbs 11:28,,,,
322,Proverbs 12:3,,,,
327,Proverbs 12:8,,,,
333,Proverbs 12:14,,,,
338,Proverbs 12:19,,,,
343,Proverbs 12:24,,,,
349,Proverbs 13:2,,,,
354,Proverbs 13:7,,,,
359,Proverbs 13:12,,,,
