ID,Reference,Verse,Notes,NoteFonts,Residue
1,Ruth 1:1,"Title: Elimelech and Naomi move from Bethlehem to Moab. When judges were ruling Israel, there was a famine in Israel. A certain man was from Bethlehem, which was in Judah. That man, his wife, and his two sons moved from Bethlehem to a country named Moab to live there for a few years.~!~Title:[Proposition_Label] (NP Elimelech ) (NP and Naomi ) (VP move ) (NP from Bethlehem ) (NP to Moab ) . [ when (NP judge+s[Plural] ) (VP were[Pre-Verbal] rul+ing[Participle] ) (NP Israel ) , ] (NP there[Existential_Expletive] ) (VP (VP was ) ) (NP a[Pre-Nominal] famine ) (NP in Israel ) . (NP a[Pre-Nominal] (AdjP certain ) man ) (VP was ) (NP from Bethlehem [ , (NP which ) (NP (NP ) ) (VP was ) (NP in Judah ) , ] ) . (NP that[Pre-Nominal] man , ) (NP (NP _ his ) wife , ) (NP and (NP _ his ) (AdjP two ) son+s[Plural] ) (VP mov+ed[Past_Tense] ) (NP from Bethlehem ) (NP to a[Pre-Nominal] country (NP named Moab ) ) [ to (NP ) (VP live ) (NP there ) (NP for a_few[Pre-Nominal] year+s[Plural] ) ] . Title: Elimelech and Naomi move from Bethlehem to Moab. When judges were ruling Israel, there was a famine in Israel. A certain man was from Bethlehem, which was in Judah. That man, his wife, and his two sons moved from Bethlehem to a country named Moab to live there for a few years. Footnote: Before the Israelites had kings, the judges were the leaders of Israel.~!~Title:[Proposition_Label] (NP Elimelech ) (NP and Naomi ) (VP move ) (NP from Bethlehem ) (NP to Moab ) . [ when (NP judge+s[Plural] ) (VP were[Pre-Verbal] rul+ing[Participle] ) (NP Israel ) , ] (NP there[Existential_Expletive] ) (VP (VP was ) ) (NP a[Pre-Nominal] famine ) (NP in Israel ) . (NP a[Pre-Nominal] (AdjP certain ) man ) (VP was ) (NP from Bethlehem [ , (NP which ) (NP (NP ) ) (VP was ) (NP in Judah ) , ] ) . (NP that[Pre-Nominal] man , ) (NP (NP _ his ) wife , ) (NP and (NP _ his ) (AdjP two ) son+s[Plural] ) (VP mov+ed[Past_Tense] ) (NP from Bethlehem ) (NP to a[Pre-Nominal] country (NP named Moab ) ) [ to (NP ) (VP live ) (NP there ) (NP for a_few[Pre-Nominal] year+s[Plural] ) ] . Footnote:[Proposition_Label] [ before (NP the[Pre-Nominal] Israelite+s[Plural] ) (VP had ) (NP king+s[Plural] ) , ] (NP the[Pre-Nominal] judge+s[Plural] ) (VP were ) (NP the[Pre-Nominal] leader+s[Plural] (NP of Israel ) ) . Title: Elimelech and Naomi move from Bethlehem to Moab. When judges were ruling Israel, many people who were living there didn't have enough food. A certain man was from Bethlehem, which was in Judah. That man, his wife, and his two sons moved from Bethlehem to a country named Moab to live there for a few years.~!~Title:[Proposition_Label] (NP Elimelech ) (NP and Naomi ) (VP move ) (NP from Bethlehem ) (NP to Moab ) . [ when (NP judge+s[Plural] ) (VP were[Pre-Verbal] rul+ing[Participle] ) (NP Israel ) , ] (NP (AdjP many ) people [ who[Relativizer] (NP ) (VP were[Pre-Verbal] liv+ing[Participle] ) (NP there ) ] ) (VP didn`t[Pre-Verbal] have ) (NP (AdjP enough ) food ) . (NP a[Pre-Nominal] (AdjP certain ) man ) (VP was ) (NP from Bethlehem [ , (NP which ) (NP (NP ) ) (VP was ) (NP in Judah ) , ] ) . (NP that[Pre-Nominal] man , ) (NP (NP _ his ) wife , ) (NP and (NP _ his ) (AdjP two ) son+s[Plural] ) (VP mov+ed[Past_Tense] ) (NP from Bethlehem ) (NP to a[Pre-Nominal] country (NP named Moab ) ) [ to (NP ) (VP live ) (NP there ) (NP for (AdjP few ) some[Pre-Nominal] year+s[Plural] ) ] . ",,,
3,Ruth 1:3,"Later Elimelech, who was Naomi's husband, died. So Naomi lived with her two sons.~!~(AdvP later ) (NP Elimelech [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Naomi+`s[Saxon_Genitive] ) husband ) , ] ) (VP di+ed[Past_Tense] ) . so (NP Naomi ) (VP liv+ed[Past_Tense] ) (NP with (NP _ her ) (AdjP two ) son+s[Plural] ) . Later Elimelech, who was Naomi's husband, died. So Naomi lived with her two sons.~!~(AdvP later ) (NP Elimelech [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Naomi+`s[Saxon_Genitive] ) husband ) , ] ) (VP di+ed[Past_Tense] ) . so (NP Naomi ) (VP liv+ed[Past_Tense] ) (NP with (NP _ her ) (AdjP two ) son+s[Plural] ) . Later Elimelech, who was Naomi's husband, died. So Naomi lived with her two sons.~!~(AdvP later ) (NP Elimelech [ , (NP who ) (NP (NP ) ) (VP was ) (NP (NP _ Naomi+`s[Saxon_Genitive] ) husband ) , ] ) (VP di+ed[Past_Tense] ) . so (NP Naomi ) (VP liv+ed[Past_Tense] ) (NP with (NP _ her ) (AdjP two ) son+s[Plural] ) . ",,,
4,Ruth 1:4,Those sons married women who were from Moab. One son married a woman named Orpah. And the other son married a woman named Ruth. That family continued living in Moab for about ten years.~!~(NP those[Pre-Nominal] son+s[Plural] ) (VP marr+ied[Past_Tense] ) (NP women [ who[Relativizer] (NP ) (VP were ) (NP from Moab ) ] ) . (NP (AdjP one ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Orpah ) ) . and (NP the[Pre-Nominal] (AdjP other ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Ruth ) ) . (NP that[Pre-Nominal] family ) (VP continued[Pre-Verbal] liv+ing[Participle] ) (NP in Moab ) (NP for (AdjP (AdjP about ) ten ) year+s[Plural] ) . <<Naomi's sons grew up <<and became men>>.>> They married women who were from Moab. One son married a woman named Orpah. And the other son married a woman named Ruth. That family continued living in Moab for about ten years.~!~<<[Opening_Implicit_Marker] (NP (NP _ Naomi+`s[Saxon_Genitive] ) son+s[Plural] ) (VP grew up[Adposition_in_VP] ) [ <<[Opening_Implicit_Marker] and (NP ) (VP became ) (NP men ) >>[Closing_Implicit_Marker] ] . >>[Closing_Implicit_Marker] (NP they ) (VP marr+ied[Past_Tense] ) (NP women [ who[Relativizer] (NP ) (VP were ) (NP from Moab ) ] ) . (NP (AdjP one ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Orpah ) ) . and (NP the[Pre-Nominal] (AdjP other ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Ruth ) ) . (NP that[Pre-Nominal] family ) (VP continued[Pre-Verbal] liv+ing[Participle] ) (NP in Moab ) (NP for (AdjP (AdjP about ) ten ) year+s[Plural] ) . Naomi's sons grew up and became men. They married women who were from Moab. Only son married a woman named Orpah. And the other son married a woman named Ruth. That family continued living in Moab for about ten years.~!~(NP (NP _ Naomi+`s[Saxon_Genitive] ) son+s[Plural] ) (VP grew up[Adposition_in_VP] ) [ and (NP ) (VP became ) (NP men ) ] . (NP they ) (VP marr+ied[Past_Tense] ) (NP women [ who[Relativizer] (NP ) (VP were ) (NP from Moab ) ] ) . (NP (AdjP only ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Orpah ) ) . and (NP the[Pre-Nominal] (AdjP other ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Ruth ) ) . (NP that[Pre-Nominal] family ) (VP continued[Pre-Verbal] liv+ing[Participle] ) (NP in Moab ) (NP for (AdjP (AdjP about ) ten ) year+s[Plural] ) . ,,,
6,Ruth 1:6,"While Naomi was living in Moab, she heard that the LORD was taking care of his people who were in Israel. The LORD was giving food to those people. So Naomi prepared to return to Bethlehem. Naomi's daughters-in-law also prepared to go to Bethlehem with her.~!~[ while (NP Naomi ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in Moab ) , ] (NP she ) (VP heard ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP was[Pre-Verbal] tak+ing[Participle] care[Verbal_Adjective_in_VP] ) (NP of (NP _ his ) people [ who[Relativizer] (NP ) (VP were ) (NP in Israel ) ] ) ] . (NP the[Pre-Nominal] LORD ) (VP was[Pre-Verbal] giv+ing[Participle] ) (NP food ) (NP to those[Pre-Nominal] people ) . so (NP Naomi ) (VP prepar+ed[Past_Tense] ) [ to (NP ) (VP return ) (NP to Bethlehem ) ] . (NP (NP _ Naomi+`s[Saxon_Genitive] ) daughters-in-law (AdvP also ) ) (VP prepar+ed[Past_Tense] ) [ to (NP ) (VP go ) (NP to Bethlehem ) (NP with her ) ] . While Naomi was living in Moab, she heard that the LORD was taking care of his people who were in Israel. The LORD was giving food to those people. So Naomi prepared to return to Bethlehem. Naomi's daughters-in-law also prepared to go to Bethlehem with her.~!~[ while (NP Naomi ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in Moab ) , ] (NP she ) (VP heard ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP was[Pre-Verbal] tak+ing[Participle] care[Verbal_Adjective_in_VP] ) (NP of (NP _ his ) people [ who[Relativizer] (NP ) (VP were ) (NP in Israel ) ] ) ] . (NP the[Pre-Nominal] LORD ) (VP was[Pre-Verbal] giv+ing[Participle] ) (NP food ) (NP to those[Pre-Nominal] people ) . so (NP Naomi ) (VP prepar+ed[Past_Tense] ) [ to (NP ) (VP return ) (NP to Bethlehem ) ] . (NP (NP _ Naomi+`s[Saxon_Genitive] ) daughters-in-law (AdvP also ) ) (VP prepar+ed[Past_Tense] ) [ to (NP ) (VP go ) (NP to Bethlehem ) (NP with her ) ] . While Naomi was living in Moab, she heard that Yahweh was taking care of his people in Israel. Yahweh was giving food to those people. So Naomi prepared to return to Bethlehem. Naomi's daughters-in-law also prepared to go to Bethlehem with her.~!~[ while (NP Naomi ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in Moab ) , ] (NP she ) (VP heard ) [ that[Complementizer] (NP Yahweh ) (VP was[Pre-Verbal] tak+ing[Participle] care[Verbal_Adjective_in_VP] ) (NP of (NP _ his ) people ) (NP in Israel ) ] . (NP Yahweh ) (VP was[Pre-Verbal] giv+ing[Participle] ) (NP food ) (NP to those[Pre-Nominal] people ) . so (NP Naomi ) (VP prepar+ed[Past_Tense] ) [ to (NP ) (VP return ) (NP to Bethlehem ) ] . (NP (NP _ Naomi+`s[Saxon_Genitive] ) daughters-in-law (AdvP also ) ) (VP prepar+ed[Past_Tense] ) [ to (NP ) (VP go ) (NP to Bethlehem ) (NP with her ) ] . ",,,
8,Ruth 1:8,"But Naomi said to her two daughters-in-law, “My daughters, return to your mothers' houses. May the LORD be kind to you like you were kind to your dead husbands and me.~!~but (NP Naomi ) (VP said ) (NP to (NP _ her ) (AdjP two ) daughters-in-law ) [ ,_“ (NP (NP _ my ) daughter+s[Plural] , ) (NP ) (VP return ) (NP to (NP _ (NP _ your ) mother+s[Plural]+~[Saxon_Genitive] ) house+s[Plural] ) ] . (VP may[CP-VP] ) (NP the[Pre-Nominal] LORD ) (VP be ) (AdjP kind (NP to you ) ) [ like (NP you ) (VP were ) (AdjP kind (NP to (NP _ your ) (AdjP dead ) husband+s[Plural] ) (NP and me ) ) ] . But Naomi said to her two daughters-in-law, “My daughters, return to your mothers' houses. May the LORD be kind to you like you were kind to your dead husbands and me.~!~but (NP Naomi ) (VP said ) (NP to (NP _ her ) (AdjP two ) daughters-in-law ) [ ,_“ (NP (NP _ my ) daughter+s[Plural] , ) (NP ) (VP return ) (NP to (NP _ (NP _ your ) mother+s[Plural]+`[Saxon_Genitive] ) house+s[Plural] ) ] . (VP may[CP-VP] ) (NP the[Pre-Nominal] LORD ) (VP be ) (AdjP kind (NP to you ) ) [ like (NP you ) (VP were ) (AdjP kind (NP to (NP _ your ) (AdjP dead ) husband+s[Plural] ) (NP and me ) ) ] . But Naomi said to her two daughters-in-law, “My daughters, return to your mothers' houses. I'll pray that Yahweh will be kind to you like you were kind to your dead husbands and me.~!~but (NP Naomi ) (VP said ) (NP to (NP _ her ) (AdjP two ) daughters-in-law ) [ ,_“ (NP (NP _ my ) daughter+s[Plural] , ) (NP ) (VP return ) (NP to (NP _ (NP _ your ) mother+s[Plural]+`[Saxon_Genitive] ) house+s[Plural] ) ] . (NP I ) (VP will[Pre-Verbal] pray ) [ that[Complementizer] (NP Yahweh ) (VP will[Pre-Verbal] be ) (AdjP kind (NP to you ) ) [ like (NP you ) (VP were ) (AdjP kind (NP to (NP _ your ) (AdjP dead ) husband+s[Plural] ) (NP and me ) ) ] ] . ",,,
10,Ruth 1:10,"Then Naomi's daughters-in-law said to her, “We'll certainly go to your people with you.”~!~then (NP (NP _ Naomi+`s[Saxon_Genitive] ) daughters-in-law ) (VP said ) (NP to her ) [ ,_“ (NP we ) (VP will_certainly[Pre-Verbal] go ) (NP to (NP _ your ) people ) (NP with you ) ” ] . Then Naomi's daughters-in-law said to her, “We'll certainly go to your people with you.”~!~then (NP (NP _ Naomi+`s[Saxon_Genitive] ) daughters-in-law ) (VP said ) (NP to her ) [ ,_“ (NP we ) (VP will_certainly[Pre-Verbal] go ) (NP to (NP _ your ) people ) (NP with you ) ” ] . Then Naomi's daughters-in-law said to her, “We'll certainly go to your people with you.”~!~then (NP (NP _ Naomi+`s[Saxon_Genitive] ) daughters-in-law ) (VP said ) (NP to her ) [ ,_“ (NP we ) (VP will_certainly[Pre-Verbal] go ) (NP to (NP _ your ) people ) (NP with you ) ” ] . ",,,
12,Ruth 1:12,"My daughters, return to your parents' houses. I'm not able to marry another man because I'm too old. I don't hope to marry another man. Even if I marry a man tonight, and even if I give birth to sons, will you wait for them to grow up?~!~(NP (NP _ my ) daughter+s[Plural] , ) (NP ) (VP return ) (NP to (NP _ (NP _ your ) parent+s[Plural]+~[Saxon_Genitive] ) house+s[Plural] ) . (NP I ) (VP am not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] marry ) (NP (AdjP another ) man ) ] ) [ because (NP I ) (VP am ) (AdjP too[Pre-Adjective] old ) ] . (NP I ) (VP don`t[Pre-Verbal] hope ) [ (NP ) (VP to[Pre-Verbal] marry ) (NP (AdjP another ) man ) ] . [ even_if (NP I ) (VP marry ) (NP a[Pre-Nominal] man ) (AdvP tonight ) , ] [ and even_if (NP I ) (VP give ) (NP birth ) (NP to son+s[Plural] ) , ] (VP will[CP-VP] ) (NP you ) (VP wait ) (NP for them ) [ (NP ) (VP to[Pre-Verbal] grow up[Adposition_in_VP] ) ] ? . My daughters, return to your parents' houses. I'm not able to marry another man because I'm too old. I don't hope to marry another man. Even if I marry a man tonight, and even if I give birth to sons, will you wait for them to grow up?~!~(NP (NP _ my ) daughter+s[Plural] , ) (NP ) (VP return ) (NP to (NP _ (NP _ your ) parent+s[Plural]+`[Saxon_Genitive] ) house+s[Plural] ) . (NP I ) (VP am not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] marry ) (NP (AdjP another ) man ) ] ) [ because (NP I ) (VP am ) (AdjP too[Pre-Adjective] old ) ] . (NP I ) (VP don`t[Pre-Verbal] hope ) [ (NP ) (VP to[Pre-Verbal] marry ) (NP (AdjP another ) man ) ] . [ even_if (NP I ) (VP marry ) (NP a[Pre-Nominal] man ) (AdvP tonight ) , ] [ and even_if (NP I ) (VP give ) (NP birth ) (NP to son+s[Plural] ) , ] (VP will[CP-VP] ) (NP you ) (VP wait ) (NP for them ) [ (NP ) (VP to[Pre-Verbal] grow up[Adposition_in_VP] ) ] ? . My daughters, return to your parents' houses. I'm not able to marry another man because I'm too old. I don't hope to marry another man. Even if I marry a man tonight, and even if I give birth to sons, will you wait for them to grow up?~!~(NP (NP _ my ) daughter+s[Plural] , ) (NP ) (VP return ) (NP to (NP _ (NP _ your ) parent+s[Plural]+`[Saxon_Genitive] ) house+s[Plural] ) . (NP I ) (VP am not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] marry ) (NP (AdjP another ) man ) ] ) [ because (NP I ) (VP am ) (AdjP too[Pre-Adjective] old ) ] . (NP I ) (VP don`t[Pre-Verbal] hope ) [ (NP ) (VP to[Pre-Verbal] marry ) (NP (AdjP another ) man ) ] . [ even_if (NP I ) (VP marry ) (NP a[Pre-Nominal] man ) (AdvP tonight ) , ] [ and even_if (NP I ) (VP give ) (NP birth ) (NP to son+s[Plural] ) , ] (VP will[CP-VP] ) (NP you ) (VP wait ) (NP for them ) [ (NP ) (VP to[Pre-Verbal] grow up[Adposition_in_VP] ) ] ? . ",,,
13,Ruth 1:13,"Won't you marry other men? My daughters, I'm very bitter because the LORD treated me badly!”~!~(VP won`t[CP-VP] ) (NP you ) (VP marry ) (NP (AdjP other ) men ) ? . (NP (NP _ my ) daughter+s[Plural] , ) (NP I ) (VP am ) (AdjP very[Pre-Adjective] bitter ) [ because (NP the[Pre-Nominal] LORD ) (VP treat+ed[Past_Tense] ) (NP me ) (AdvP badly ) ] ! . ” Won't you marry other men? My daughters, I'm very bitter because the LORD treated me badly! <<If you come with me, you also will become very sad.”>>~!~(VP won`t[CP-VP] ) (NP you ) (VP marry ) (NP (AdjP other ) men ) ? . (NP (NP _ my ) daughter+s[Plural] , ) (NP I ) (VP am ) (AdjP very[Pre-Adjective] bitter ) [ because (NP the[Pre-Nominal] LORD ) (VP treat+ed[Past_Tense] ) (NP me ) (AdvP badly ) ] ! . <<[Opening_Implicit_Marker] [ if (NP you ) (VP come ) (NP with me ) , ] (NP you (AdvP also ) ) (VP will[Pre-Verbal] become ) (AdjP very[Pre-Adjective] sad ) . ” >>[Closing_Implicit_Marker] You should marry other men. My daughters, I'm very sad because Yahweh treated me badly! If you come with me, you also will become very sad.”~!~(NP you ) (VP should[Pre-Verbal] marry ) (NP (AdjP other ) men ) . (NP (NP _ my ) daughter+s[Plural] , ) (NP I ) (VP am ) (AdjP very[Pre-Adjective] sad ) [ because (NP Yahweh ) (VP treat+ed[Past_Tense] ) (NP me ) (AdvP badly ) ] ! . [ if (NP you ) (VP come ) (NP with me ) , ] (NP you (AdvP also ) ) (VP will[Pre-Verbal] become ) (AdjP very[Pre-Adjective] sad ) . ” ",,,
14,Ruth 1:14,Then Naomi and her daughters-in-law wept again loudly. Then Orpah kissed Naomi and said goodbye to her. But Ruth hugged Naomi.~!~then (NP Naomi ) (NP and (NP _ her ) daughters-in-law ) (VP wept ) (AdvP again ) (AdvP loudly ) . then (NP Orpah ) (VP kiss+ed[Past_Tense] ) (NP Naomi ) [ and (NP ) (VP said ) (NP goodbye ) (NP to her ) ] . but (NP Ruth ) (VP hugg+ed[Past_Tense] ) (NP Naomi ) . Then Naomi and her daughters-in-law wept again loudly. Then Orpah kissed Naomi and said goodbye to her. <<And Orpah left Naomi.>> But Ruth hugged Naomi.~!~then (NP Naomi ) (NP and (NP _ her ) daughters-in-law ) (VP wept ) (AdvP again ) (AdvP loudly ) . then (NP Orpah ) (VP kiss+ed[Past_Tense] ) (NP Naomi ) [ and (NP ) (VP said ) (NP goodbye ) (NP to her ) ] . <<[Opening_Implicit_Marker] and (NP Orpah ) (VP left ) (NP Naomi ) . >>[Closing_Implicit_Marker] but (NP Ruth ) (VP hugg+ed[Past_Tense] ) (NP Naomi ) . Then Naomi and her daughters-in-law cried again loudly. Then Orpah kissed Naomi and said goodbye to her. And Orpah started leaving Naomi. But Ruth hugged Naomi.~!~then (NP Naomi ) (NP and (NP _ her ) daughters-in-law ) (VP cr+ied[Past_Tense] ) (AdvP again ) (AdvP loudly ) . then (NP Orpah ) (VP kiss+ed[Past_Tense] ) (NP Naomi ) [ and (NP ) (VP said ) (NP goodbye ) (NP to her ) ] . and (NP Orpah ) (VP started[Pre-Verbal] leav+ing[Participle] ) (NP Naomi ) . but (NP Ruth ) (VP hugg+ed[Past_Tense] ) (NP Naomi ) . ,,,
16,Ruth 1:16,"But Ruth said to Naomi, “Don't tell me to leave you. Allow me to go with you. I'll go to the place where you'll go. And I will stay at the place where you'll stay. Your people will become my people. And your God will be my God.~!~but (NP Ruth ) (VP said ) (NP to Naomi ) [ ,_“ (NP ) (VP don`t[Pre-Verbal] tell ) (NP me ) [ (NP ) (VP to[Pre-Verbal] leave ) (NP you ) ] ] . (NP ) (VP allow ) (NP me ) [ (NP ) (VP to[Pre-Verbal] go ) (NP with you ) ] . (NP I ) (VP will[Pre-Verbal] go ) (NP to the[Pre-Nominal] place [ where[Relativizer] (NP you ) (VP will[Pre-Verbal] go ) (NP ) ] ) . and (NP I ) (VP will[Pre-Verbal] stay ) (NP at the[Pre-Nominal] place [ where[Relativizer] (NP you ) (VP will[Pre-Verbal] stay ) (NP ) ] ) . (NP (NP _ your ) people ) (VP will[Pre-Verbal] become ) (NP (NP _ my ) people ) . and (NP (NP _ your ) God ) (VP will[Pre-Verbal] be ) (NP (NP _ my ) God ) . But Ruth said to Naomi, “Don't tell me to leave you. Allow me to go with you. I'll go to the place where you'll go. And I will stay at the place where you'll stay. Your people will become my people. And your God will be my God.~!~but (NP Ruth ) (VP said ) (NP to Naomi ) [ ,_“ (NP ) (VP don`t[Pre-Verbal] tell ) (NP me ) [ (NP ) (VP to[Pre-Verbal] leave ) (NP you ) ] ] . (NP ) (VP allow ) (NP me ) [ (NP ) (VP to[Pre-Verbal] go ) (NP with you ) ] . (NP I ) (VP will[Pre-Verbal] go ) (NP to the[Pre-Nominal] place [ where[Relativizer] (NP you ) (VP will[Pre-Verbal] go ) (NP ) ] ) . and (NP I ) (VP will[Pre-Verbal] stay ) (NP at the[Pre-Nominal] place [ where[Relativizer] (NP you ) (VP will[Pre-Verbal] stay ) (NP ) ] ) . (NP (NP _ your ) people ) (VP will[Pre-Verbal] become ) (NP (NP _ my ) people ) . and (NP (NP _ your ) God ) (VP will[Pre-Verbal] be ) (NP (NP _ my ) God ) . But Ruth said to Naomi, “Don't tell me to leave you. Allow me to go with you. I'll go to the place where you'll go. And I will stay at the place where you'll stay. Your people will become my people. And your God will become my God.~!~but (NP Ruth ) (VP said ) (NP to Naomi ) [ ,_“ (NP ) (VP don`t[Pre-Verbal] tell ) (NP me ) [ (NP ) (VP to[Pre-Verbal] leave ) (NP you ) ] ] . (NP ) (VP allow ) (NP me ) [ (NP ) (VP to[Pre-Verbal] go ) (NP with you ) ] . (NP I ) (VP will[Pre-Verbal] go ) (NP to the[Pre-Nominal] place [ where[Relativizer] (NP you ) (VP will[Pre-Verbal] go ) (NP ) ] ) . and (NP I ) (VP will[Pre-Verbal] stay ) (NP at the[Pre-Nominal] place [ where[Relativizer] (NP you ) (VP will[Pre-Verbal] stay ) (NP ) ] ) . (NP (NP _ your ) people ) (VP will[Pre-Verbal] become ) (NP (NP _ my ) people ) . and (NP (NP _ your ) God ) (VP will[Pre-Verbal] become ) (NP (NP _ my ) God ) . ",,,
