ID,Reference,Verse,Notes,NoteFonts,Residue
1,Titus 1:1,I'm Paul. I serve God. And Jesus Christ chose me to be his representative. Jesus Christ sent me to the people that God chose so that I would help them trust in him. And Jesus Christ sent me to those people so that I would help those people know things that are true. God caused me to do these things so that those people would please him.~!~(NP I ) (VP am ) (NP Paul ) . (NP I ) (VP serve ) (NP God ) . and (NP Jesus (NP _ Christ ) ) (VP chose ) (NP me ) [ (NP ) (VP to[INFL] be ) (NP (NP _ his ) representative ) ] . (NP Jesus (NP _ Christ ) ) (VP sent ) (NP me ) (NP to the[Article] people [ that[Relativizer] (NP God ) (VP chose ) (NP ) ] ) [ so_that (NP I ) (VP would[Mood] help ) (NP them ) [ (NP ) (VP trust ) (NP in him ) ] ] . and (NP Jesus (NP _ Christ ) ) (VP sent ) (NP me ) (NP to those[Proximity] people ) [ so_that (NP I ) (VP would[Mood] help ) (NP those[Proximity] people ) [ (NP ) (VP know ) (NP thing+s[Plural] [ that[Relativizer] (NP ) (VP are ) (AdjP true ) ] ) ] ] . (NP God ) (VP caus+ed[Past_Tense] ) (NP me ) [ (NP ) (VP to[INFL] do ) (NP these[Proximity] thing+s[Plural] ) ] [ so_that (NP those[Proximity] people ) (VP would[Mood] please ) (NP him ) ] . ,,,
2,Titus 1:2,"Those people expect to live with God forever. Before time began, God promised his special people that they would live with him forever. And he always says true things.~!~(NP those[Proximity] people ) (VP expect ) [ (NP ) (VP to[INFL] live ) (NP with God ) (AdvP forever ) ] . [ before (NP time ) (VP began ) , ] (NP God ) (VP promis+ed[Past_Tense] ) (NP (NP _ his ) (AdjP special ) people ) [ that[Complementizer] (NP they ) (VP would[Mood] live ) (NP with him ) (AdvP forever ) ] . and (NP he ) (VP (AdvP always ) says ) (NP (AdjP true ) thing+s[Plural] ) . ",,,
3,Titus 1:3,God caused people at the time that he chose to know his message. People know that message because they hear it. God gave that message to me and commanded me to tell it to people.~!~(NP God ) (VP caus+ed[Past_Tense] ) (NP people ) (NP at the[Article] time [ that[Relativizer] (NP he ) (VP chose ) (NP ) ] ) [ (NP ) (VP to[INFL] know ) (NP (NP _ his ) message ) ] . (NP people ) (VP know ) (NP that[Proximity] message ) [ because (NP they ) (VP hear ) (NP it ) ] . (NP God ) (VP gave ) (NP that[Proximity] message ) (NP to me ) [ and (NP ) (VP command+ed[Past_Tense] ) (NP me ) [ (NP ) (VP to[INFL] tell ) (NP it ) (NP to people ) ] ] . ,,,
4,Titus 1:4,"I'm writing this letter to Titus. I love Titus like a father loves his son. Titus believes in Jesus Christ like I believe in Jesus Christ. I pray that God, who is our Father, and Jesus Christ, who saves us from bad things and death, will treat you kindly. And I pray that God and Jesus Christ will cause you to be peaceful.~!~(NP I ) (VP am writ+ing[Participle] ) (NP this[Proximity] letter ) (NP to Titus ) . (NP I ) (VP love ) (NP Titus ) [ like (NP a[Article] father ) (VP love+s[Third_Singular_Present] ) (NP (NP _ his ) son ) ] . (NP Titus ) (VP believe+s[Third_Singular_Present] ) (NP in Jesus (NP _ Christ ) ) [ like (NP I ) (VP believe ) (NP in Jesus (NP _ Christ ) ) ] . (NP I ) (VP pray ) [ that[Complementizer] (NP God [ , (NP who ) (NP ) (VP is ) (NP (NP _ our ) Father ) , ] ) (NP and Jesus (NP _ Christ ) [ , (NP who ) (NP ) (VP save+s[Third_Singular_Present] ) (NP us ) (NP from (AdjP bad ) thing+s[Plural] ) (NP and death ) , ] ) (VP will[INFL] treat ) (NP you ) (AdvP kindly ) ] . and (NP I ) (VP pray ) [ that[Complementizer] (NP God ) (NP and Jesus (NP _ Christ ) ) (VP will[INFL] cause ) (NP you ) [ (NP ) (VP to[INFL] be ) (AdjP peaceful ) ] ] . ",,,
5,Titus 1:5,"When I left Crete, there were some problems. So I needed you to do certain things. I wanted you to appoint leaders in each city for the group of people who follow Jesus Christ. So I told you to do that thing. Footnote: Crete is a big island in the eastern part of the Mediterranean Sea.~!~[ when (NP I ) (VP left ) (NP Crete ) , ] (NP there[Existential_Expletive] ) (VP (VP were ) ) (NP some[Pre-Nominal] problem+s[Plural] ) . so (NP I ) (VP need+ed[Past_Tense] ) [ (NP you ) (VP to[Pre-Verbal] do ) (NP (AdjP certain ) thing+s[Plural] ) ] . (NP I ) (VP want+ed[Past_Tense] ) (NP you ) [ (NP ) (VP to[Pre-Verbal] appoint ) (NP leader+s[Plural] ) (NP in (AdjP each ) city ) (NP for (NP the[Pre-Nominal] group of ) people [ who[Relativizer] (NP ) (VP follow ) (NP Jesus (NP _ Christ ) ) ] ) ] . so (NP I ) (VP told ) (NP you ) [ (NP ) (VP to[Pre-Verbal] do ) (NP that[Pre-Nominal] thing ) ] . Footnote:[Proposition_Label] (NP Crete ) (VP is ) (NP a[Pre-Nominal] (AdjP big ) island ) (NP in the[Pre-Nominal] (AdjP eastern ) part (NP of the[Pre-Nominal] Mediterranean[First_Word_of_Compound_Noun] Sea ) ) . ",,,
7,Titus 1:7,God gives his work to the person who takes care of God's special people. So other people must not think that that person does bad things. That person must not be proud. And he must not be selfish. He must not become angry easily. He must not drink too much wine. He must not be violent. He must not want to get money by doing bad things.~!~(NP God ) (VP give+s[Third_Singular_Present] ) (NP (NP _ his ) work ) (NP to the[Article] person [ who[Relativizer] (NP ) (VP take+s[Third_Singular_Present] care[Verbal_Adjective_in_VP] ) (NP of (NP _ God+`s[Saxon_Genitive] ) (AdjP special ) people ) ] ) . so (NP (AdjP other ) people ) (VP must[Mood] not[Verb_Polarity] think ) [ that[Complementizer] (NP that[Proximity] person ) (VP does ) (NP (AdjP bad ) thing+s[Plural] ) ] . (NP that[Proximity] person ) (VP must[Mood] not[Verb_Polarity] be ) (AdjP proud ) . and (NP he ) (VP must[Mood] not[Verb_Polarity] be ) (AdjP selfish ) . (NP he ) (VP must[Mood] not[Verb_Polarity] become ) (AdjP angry ) (AdvP easily ) . (NP he ) (VP must[Mood] not[Verb_Polarity] drink ) (NP (AdjP too[Degree] much ) wine ) . (NP he ) (VP must[Mood] not[Verb_Polarity] be ) (AdjP violent ) . (NP he ) (VP must[Mood] not[Verb_Polarity] want ) [ (NP ) (VP to[INFL] get ) (NP money ) [ by (NP ) (VP do+ing[Participle] ) (NP (AdjP bad ) thing+s[Plural] ) ] ] . ,,,
8,Titus 1:8,"Instead, that person has to treat well people who visit him. And he has to love things that are good. He has to be sensible. He has to be good. He has to be able to control his actions.~!~instead, (NP that[Pre-Nominal] person ) (VP has_to[Pre-Verbal] treat ) (AdvP well ) (NP people [ who[Relativizer] (NP ) (VP visit ) (NP him ) ] ) . and (NP he ) (VP has_to[Pre-Verbal] love ) (NP thing+s[Plural] [ that[Relativizer] (NP ) (VP are ) (AdjP good ) ] ) . (NP he ) (VP has_to[Pre-Verbal] be ) (AdjP sensible ) . (NP he ) (VP has_to[Pre-Verbal] be ) (AdjP good ) . (NP he ) (VP has_to[Pre-Verbal] be ) (AdjP able [ (NP ) (VP to[Pre-Verbal] control ) (NP (NP _ his ) action+s[Plural] ) ] ) . ",,,
9,Titus 1:9,We taught people about God's message. And we are able to trust that message. A person that you choose has to believe that message. And he has to obey that message. Then he'll be able to help those people follow those things by teaching those people about good things. And he'll be able to show people who oppose those things that they are wrong.~!~(NP we ) (VP taught ) (NP people ) (NP about (NP _ God+`s[Saxon_Genitive] ) message ) . and (NP we ) (VP are ) (AdjP able [ (NP ) (VP to[INFL] trust ) (NP that[Proximity] message ) ] ) . (NP a[Article] person [ that[Relativizer] (NP you ) (VP choose ) (NP ) ] ) (VP has_to[Mood] believe ) (NP that[Proximity] message ) . and (NP he ) (VP has_to[Mood] obey ) (NP that[Proximity] message ) . then (NP he ) (VP will[INFL] be ) (AdjP able [ (NP ) (VP to[INFL] help ) (NP those[Proximity] people ) [ (NP ) (VP follow ) (NP those[Proximity] thing+s[Plural] ) ] [ by (NP ) (VP teach+ing[Participle] ) (NP those[Proximity] people ) (NP about (AdjP good ) thing+s[Plural] ) ] ] ) . and (NP he ) (VP will[INFL] be ) (AdjP able [ (NP ) (VP to[INFL] show ) (NP people [ who[Relativizer] (NP ) (VP oppose ) (NP those[Proximity] thing+s[Plural] ) ] ) [ that[Complementizer] (NP they ) (VP are ) (AdjP wrong ) ] ] ) . ,,,
10,Titus 1:10,Title: Paul warns Titus about people who teach false things to people. Many people oppose God's message. They say many things. But those things aren't valuable. Those people deceive people. Most of them teach people that all men should allow a priest to circumcise them.~!~Title:[Proposition_Label] (NP Paul ) (VP warn+s[Third_Singular_Present] ) (NP Titus ) (NP about people [ who[Relativizer] (NP ) (VP teach ) (NP (AdjP false ) thing+s[Plural] ) (NP to people ) ] ) . (NP (AdjP many ) people ) (VP oppose ) (NP (NP _ God+`s[Saxon_Genitive] ) message ) . (NP they ) (VP say ) (NP (AdjP many ) thing+s[Plural] ) . but (NP those[Proximity] thing+s[Plural] ) (VP aren`t ) (AdjP valuable ) . (NP those[Proximity] people ) (VP deceive ) (NP people ) . (NP (AdjP most of ) they ) (VP teach ) (NP people ) [ that[Complementizer] (NP (AdjP all ) men ) (VP should[Pre-Verbal] allow ) (NP a[Article] priest ) [ (NP ) (VP to[Pre-Verbal] circumcise ) (NP them ) ] ] . ,,,
11,Titus 1:11,Don't allow those people to teach those things to people. Those people are causing groups of people who are in houses to believe false things. They shouldn't teach people about those things. They should be ashamed because they teach people about those things to get money from people.~!~(NP ) (VP don`t[Pre-Verbal] allow ) (NP those[Pre-Nominal] people ) [ (NP ) (VP to[Pre-Verbal] teach ) (NP those[Pre-Nominal] thing+s[Plural] ) (NP to people ) ] . (NP those[Pre-Nominal] people ) (VP are[Pre-Verbal] caus+ing[Participle] ) (NP (NP group+s[Plural] of ) people [ who[Relativizer] (NP ) (VP are ) (NP in house+s[Plural] ) ] ) [ (NP ) (VP to[Pre-Verbal] believe ) (NP (AdjP false ) thing+s[Plural] ) ] . (NP they ) (VP shouldn`t[Pre-Verbal] teach ) (NP people ) (NP about those[Pre-Nominal] thing+s[Plural] ) . (NP they ) (VP should[Pre-Verbal] be ) (AdjP ashamed ) [ because (NP they ) (VP teach ) (NP people ) (NP about those[Pre-Nominal] thing+s[Plural] ) [ to (NP ) (VP get ) (NP money ) (NP from people ) ] ] . ,,,
