ID,Reference,Verse,Notes,NoteFonts,Residue
1,Infected Eye 1:1,Title: Melissa's eyes are sore.,,,
2,Infected Eye 1:2,"One day a girl named Melissa was sitting outside her house. But Melissa wasn't happy because her eyes were very sore. She thought that some sand was in her eyes. So she called a friend named Janet and said to her, “Please look at my eyes. Is some sand in my eyes?”~!~one_day (NP a[Pre-Nominal] girl (NP named Melissa ) ) (VP was[Pre-Verbal] sitt+ing[Participle] ) (NP outside (NP _ her ) house ) . but (NP Melissa ) (VP was not[Post-Verbal] ) (AdjP happy ) [ because (NP (NP _ her ) eye+s[Plural] ) (VP were ) (AdjP very[Pre-Adjective] sore ) ] . (NP she ) (VP thought ) [ that[Complementizer] (NP (AdjP some ) sand ) (VP was ) (NP in (NP _ her ) eye+s[Plural] ) ] . so (NP she ) (VP call+ed[Past_Tense] ) (NP a[Pre-Nominal] friend (NP named Janet ) ) [ and (NP ) (VP said ) (NP to her ) [ ,_“ please (NP ) (VP look ) (NP at (NP _ my ) eye+s[Plural] ) ] ] . (VP is[CP-VP] ) (NP (AdjP some ) sand ) (VP ) (NP in (NP _ my ) eye+s[Plural] ) ? . ” ",,,
3,Infected Eye 1:3,"Janet said to Melissa, “Nothing is in your eyes. But your eyes are very red.”",,,
4,Infected Eye 1:4,"Then Janet said to Melissa, “Please look at my eyes because they also are very sore.” So Melissa looked at Janet's eyes. Janet's eyes were very red!",,,
5,Infected Eye 1:5,"Then Melissa went into her house to rest. She slept for about one hour. Then she woke up. While Melissa was in her house, she heard Janet talking to a friend named Alex.~!~then (NP Melissa ) (VP went ) (NP into (NP _ her ) house ) [ to (NP ) (VP rest ) ] . (NP she ) (VP slept ) (NP for (AdjP (AdjP about ) one ) hour ) . then (NP she ) (VP woke up[Verbal_Adposition_moved_to_Direct_Object] ) . [ while (NP Melissa ) (VP was ) (NP in (NP _ her ) house ) , ] (NP she ) (VP heard ) (NP Janet ) [ (NP ) (VP talk+ing[Participle] ) (NP to a[Pre-Nominal] friend (NP named Alex ) ) ] . ",,,
6,Infected Eye 1:6,"Melissa called Alex loudly. She shouted, “Alex, come into my house. Something is preventing me from opening my eyes! I'm not able to see!”~!~(NP Melissa ) (VP call+ed[Past_Tense] ) (NP Alex ) (AdvP loudly ) . (NP she ) (VP shout+ed[Past_Tense] ) [ ,_“ (NP Alex , ) (NP ) (VP come ) (NP into (NP _ my ) house ) ] . (NP a[Article] thing ) (VP is prevent+ing[Participle] ) (NP me ) [ from[Complementizer] (NP ) (VP opening ) (NP (NP _ my ) eye+s[Plural] ) ] ! . (NP I ) (VP am not[Verb_Polarity] ) (AdjP able [ (NP ) (VP to[INFL] see ) ] ) ! . ” ",,,
7,Infected Eye 1:7,"Then Alex entered Melissa's house quickly. There were many flies inside Melissa's house. And there were many flies near Melissa's eyes. Alex knew that Melissa's eyes were very sick. He said to Melissa, “Yellow pus is covering your eyes. This pus is preventing you from opening your eyes.”",,,
8,Infected Eye 1:8,"Then Alex said to Melissa, “I'll try to clean your eyes. But I don't have a clean cloth to clean your eyes.” There was a towel in Melissa's house. But it was dirty. And Alex's hands also were dirty.~!~then (NP Alex ) (VP said ) (NP to Melissa ) [ ,_“ (NP I ) (VP will[Pre-Verbal] try ) [ (NP ) (VP to[Pre-Verbal] clean ) (NP (NP _ your ) eye+s[Plural] ) ] ] . but (NP I ) (VP don`t[Pre-Verbal] have ) (NP a[Pre-Nominal] (AdjP clean ) cloth ) [ to (NP ) (VP clean ) (NP (NP _ your ) eye+s[Plural] ) ] . ” (NP there[Existential_Expletive] ) (VP (VP was ) ) (NP a[Pre-Nominal] towel ) (NP in (NP _ Melissa+`s[Saxon_Genitive] ) house ) . but (NP it ) (VP was ) (AdjP dirty ) . and (NP (NP _ Alex+`s[Saxon_Genitive] ) hand+s[Plural] (AdvP also ) ) (VP were ) (AdjP dirty ) . ",,,
9,Infected Eye 1:9,"So Alex said to Melissa, “I'll call Netty so that she could look at your eyes. Netty will help you so that your eyes could become well.”",,,
10,Infected Eye 1:10,"Then Netty came to Melissa's house. After Netty looked at Melissa's eyes, she said to Melissa, “Your eyes are very sick. Some germs entered your eyes. We have to wash your eyes. And we have to clean your eyes thoroughly. We have to clean your eyes each day until they become healthy again.”",,,
11,Infected Eye 1:11,Then Netty washed her hands with clean water thoroughly and put clean water in a teaspoon. Then she put some salt in that water and dipped a small piece of cloth in it. Then she washed Melissa's left eye with that cloth.,,,
12,Infected Eye 1:12,"After Netty washed Melissa's left eye, she burned that cloth and washed her hands thoroughly again. Then she told Alex to clean Melissa's other eye.",,,
13,Infected Eye 1:13,"Netty said to Alex, “Before you clean Melissa's eye, you have to wash your hands first. And you have to use a clean cloth. Then the germs won't spread.”",,,
14,Infected Eye 1:14,"After Netty and Alex finished washing Melissa's eyes, she said, “I'm able to see now!” Then Netty said to Alex, “You have to burn that cloth. And you have to wash your hands thoroughly.”~!~[ after (NP Netty ) (NP and Alex ) (VP finish+ed[Past_Tense] wash+ing[Participle] ) (NP (NP _ Melissa+`s[Saxon_Genitive] ) eye+s[Plural] ) , ] (NP she ) (VP said ) [ ,_“ (NP I ) (VP am ) (AdjP able [ (NP ) (VP to[INFL] see ) (AdvP now ) ] ) ! ” ] . then (NP Netty ) (VP said ) (NP to Alex ) [ ,_“ (NP you ) (VP have_to[Mood] burn ) (NP that[Proximity] cloth ) ] . and (NP you ) (VP have_to[Mood] wash ) (NP (NP _ your ) hand+s[Plural] ) (AdvP thoroughly ) . ” ",,,
15,Infected Eye 1:15,"But Janet's eyes still were sore. So Janet asked Melissa to clean her eyes. Then Melissa said to Janet, “I'll clean your eyes.” But Alex said to Melissa, “You have to wash your hands first. And you have to use a clean cloth.”",,,
16,Infected Eye 1:16,So Melissa did all of the things that Alex said. She cleaned Janet's left eye thoroughly and burned that cloth. And she washed her hands and washed Janet's right eye with another cloth. Then she also burned that cloth and washed her hands again.~!~so (NP Melissa ) (VP did ) (NP (AdjP all of ) the[Article] thing+s[Plural] [ that[Relativizer] (NP Alex ) (VP said ) (NP ) ] ) . (NP she ) (VP clean+ed[Past_Tense] ) (NP (NP _ Janet+`s[Saxon_Genitive] ) (AdjP left ) eye ) (AdvP thoroughly ) [ and (NP ) (VP burn+ed[Past_Tense] ) (NP that[Proximity] cloth ) ] . and (NP she ) (VP wash+ed[Past_Tense] ) (NP (NP _ her ) hand+s[Plural] ) [ and (NP ) (VP wash+ed[Past_Tense] ) (NP (NP _ Janet+`s[Saxon_Genitive] ) (AdjP right ) eye ) (NP with (AdjP another ) cloth ) ] . then (NP she ) (VP (AdvP also ) burn+ed[Past_Tense] ) (NP that[Proximity] cloth ) [ and (NP ) (VP wash+ed[Past_Tense] ) (NP (NP _ her ) hand+s[Plural] ) (AdvP again ) ] . ,,,
