ID,Reference,Verse,Notes,NoteFonts,Residue
1,Kande's Story 1:1,Title: Kande's mother knows a secret.,,,
2,Kande's Story 1:2,"One day a girl named Kande was sitting near a tree. Kande was reading a book. She had a sister named Teshi. Teshi was running to Kande. Teshi was very excited. When Teshi came to Kande, she said to Kande, “Kande, I heard certain women talking to each other at the market. Those women said that mother knows a secret! Do you know mother's secret?”~!~one_day (NP a[Pre-Nominal] girl (NP named Kande ) ) (VP was[Pre-Verbal] sitt+ing[Participle] ) (NP near a[Pre-Nominal] tree ) . (NP Kande ) (VP was[Pre-Verbal] read+ing[Participle] ) (NP a[Pre-Nominal] book ) . (NP she ) (VP had ) (NP a[Pre-Nominal] sister (NP named Teshi ) ) . (NP Teshi ) (VP was[Pre-Verbal] runn+ing[Participle] ) (NP to Kande ) . (NP Teshi ) (VP was ) (AdjP very[Pre-Adjective] excited ) . [ when (NP Teshi ) (VP came ) (NP to Kande ) , ] (NP she ) (VP said ) (NP to Kande ) [ ,_“ (NP Kande , ) (NP I ) (VP heard ) (NP (AdjP certain ) women ) [ (NP ) (VP talk+ing[Participle] ) (NP to each_other ) (NP at the[Pre-Nominal] market ) ] ] . (NP those[Pre-Nominal] women ) (VP said ) [ that[Complementizer] (NP mother ) (VP know+s[Third_Singular_Present] ) (NP a[Pre-Nominal] secret ) ] ! . (VP do[CP-VP] ) (NP you ) (VP know ) (NP (NP _ mother+`s[Saxon_Genitive] ) secret ) ? . ” ",,,
3,Kande's Story 1:3,"Kande said, “I might know mother's secret. We should go to our house and talk to our mother. Mother might tell us about her secret. I'll race you to our house!”",,,
4,Kande's Story 1:4,"Kande and Teshi ran to their house quickly. When Kande and Teshi arrived at the house, they were laughing. They had two sisters. One sister's name was Falala. And the other sister's name was Iniko. Kande and Teshi also had a brother named Jumoke. Falala, Iniko, and Jumoke heard Kande and Teshi laughing. So they ran to the door to see Kande and Teshi. Then mother said to all of the children, “Be quiet because your father has to sleep.” Then she walked from the house with the children.~!~(NP Kande ) (NP and Teshi ) (VP ran ) (NP to (NP _ their ) house ) (AdvP quickly ) . [ when (NP Kande ) (NP and Teshi ) (VP arriv+ed[Past_Tense] ) (NP at the[Pre-Nominal] house ) , ] (NP they ) (NP ) (VP were[Pre-Verbal] laugh+ing[Participle] ) . (NP they ) (NP ) (VP had ) (NP (AdjP two ) sister+s[Plural] ) . (NP (NP _ (AdjP one ) sister+`s[Saxon_Genitive] ) name ) (VP was ) (NP Falala ) . and (NP (NP _ the[Pre-Nominal] (AdjP other ) sister+`s[Saxon_Genitive] ) name ) (VP was ) (NP Iniko ) . (NP Kande ) (NP and Teshi ) (VP (AdvP also ) had ) (NP a[Pre-Nominal] brother (NP named Jumoke ) ) . (NP Falala , ) (NP Iniko , ) (NP and Jumoke ) (VP heard ) (NP Kande ) (NP and Teshi ) [ (NP ) (NP ) (VP laugh+ing[Participle] ) ] . so (NP they ) (NP ) (NP ) (VP ran ) (NP to the[Pre-Nominal] door ) [ to (NP ) (VP see ) (NP Kande ) (NP and Teshi ) ] . then (NP mother ) (VP said ) (NP to (AdjP all of ) the[Pre-Nominal] children ) [ ,_“ (NP ) (VP be ) (AdjP quiet ) [ because (NP (NP _ your ) father ) (VP has_to[Pre-Verbal] sleep ) ] ” ] . then (NP she ) (VP walk+ed[Past_Tense] ) (NP from the[Pre-Nominal] house ) (NP with the[Pre-Nominal] children ) . ",,,
5,Kande's Story 1:5,"Teshi asked her mother, “Mother, do you know a secret?” Mother put her hands on her stomach. Then she said, “I'll give birth to a baby soon.”",,,
6,Kande's Story 1:6,"Iniko, who was three years old, said, “I want to tell our father about this secret!” But before Iniko ran into the house, mother picked her up quickly. Mother said, “Your father already knows about this secret. We have to let your father sleep.”",,,
7,Kande's Story 1:7,Iniko frowned. She liked climbing on her father. But these days mother didn't allow Iniko to go near her father. Kande's father had slept for many days. And these days he didn't work. He always wanted to rest because he was weak. Mother and all of the children worried about father.,,,
8,Kande's Story 1:8,"One day Kande was at the market. She told some friends that her mother will give birth to a baby soon. A boy heard Kande talking to her friends. He said to Kande, “The baby will have AIDS like your father has AIDS!”",,,
9,Kande's Story 1:9,"Kande didn't understand the things that that boy said. She said, “My father doesn't have AIDS.” Kande's friends said to her, “Don't listen to that boy.”",,,
10,Kande's Story 1:10,"Then Kande went to her house. That evening she asked her mother, “Does father have AIDS? Please tell the truth to me.”",,,
11,Kande's Story 1:11,"Kande's mother turned around quickly. But Kande saw her mother crying. Kande's mother answered, “Yes. Your father has AIDS. I wanted to tell this bad news to you. But I didn't want you to worry about your father. I'm sorry because you heard this news at the market.”",,,
12,Kande's Story 1:12,"Kande asked her mother, “If father dies, how will we buy food? How will we live?” Kande's mother answered, “God will protect us.” Then Kande and her mother cried for a short time.",,,
13,Kande's Story 1:13,"Before the rainy season began, Kande's father died. Friends and relatives came to Kande's house to mourn for her father.",,,
14,Kande's Story 1:14,"Kande wondered, “Why didn't these people visit my father while he was sick?” Before Kande's father died, only the pastor visited her family.",,,
15,Kande's Story 1:15,A few weeks later Kande and her mother were gathering wood. Kande's mother wanted to cook some food for the children. But she was very tired and very weak.,,,
