ID,Reference,Verse,Notes,NoteFonts,Residue
1,1 Kings 1:1,,,,
2,1 Kings 1:2,,,,
3,1 Kings 1:3,,,,
4,1 Kings 1:4,,,,
5,1 Kings 1:5,,,,
6,1 Kings 1:6,,,,
7,1 Kings 1:7,,,,
8,1 Kings 1:8,,,,
9,1 Kings 1:9,,,,
10,1 Kings 1:10,,,,
11,1 Kings 1:11,,,,
12,1 Kings 1:12,,,,
13,1 Kings 1:13,,,,
14,1 Kings 1:14,,,,
15,1 Kings 1:15,,,,
16,1 Kings 1:16,,,,
17,1 Kings 1:17,,,,
18,1 Kings 1:18,,,,
19,1 Kings 1:19,,,,
20,1 Kings 1:20,,,,
21,1 Kings 1:21,,,,
22,1 Kings 1:22,,,,
23,1 Kings 1:23,,,,
24,1 Kings 1:24,,,,
25,1 Kings 1:25,,,,
26,1 Kings 1:26,,,,
27,1 Kings 1:27,,,,
28,1 Kings 1:28,,,,
29,1 Kings 1:29,,,,
30,1 Kings 1:30,,,,
31,1 Kings 1:31,,,,
32,1 Kings 1:32,,,,
33,1 Kings 1:33,,,,
34,1 Kings 1:34,,,,
35,1 Kings 1:35,,,,
36,1 Kings 1:36,,,,
37,1 Kings 1:37,,,,
38,1 Kings 1:38,,,,
39,1 Kings 1:39,,,,
45,1 Kings 1:45,,,,
50,1 Kings 1:50,,,,
40,1 Kings 1:40,,,,
41,1 Kings 1:41,,,,
42,1 Kings 1:42,,,,
43,1 Kings 1:43,,,,
44,1 Kings 1:44,,,,
46,1 Kings 1:46,,,,
47,1 Kings 1:47,,,,
48,1 Kings 1:48,,,,
49,1 Kings 1:49,,,,
