ID,Reference,Verse,Notes,NoteFonts,Residue
1,1 Samuel 1:1,This book is about a man named Samuel.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Samuel ) ) . ,,,
2,1 Samuel 1:2,,,,
3,1 Samuel 1:3,,,,
4,1 Samuel 1:4,,,,
5,1 Samuel 1:5,,,,
6,1 Samuel 1:6,,,,
7,1 Samuel 1:7,,,,
8,1 Samuel 1:8,,,,
9,1 Samuel 1:9,,,,
10,1 Samuel 1:10,,,,
11,1 Samuel 1:11,,,,
12,1 Samuel 1:12,,,,
13,1 Samuel 1:13,,,,
14,1 Samuel 1:14,,,,
15,1 Samuel 1:15,,,,
16,1 Samuel 1:16,,,,
17,1 Samuel 1:17,,,,
18,1 Samuel 1:18,,,,
19,1 Samuel 1:19,,,,
20,1 Samuel 1:20,,,,
21,1 Samuel 1:21,,,,
22,1 Samuel 1:22,,,,
23,1 Samuel 1:23,,,,
24,1 Samuel 1:24,,,,
25,1 Samuel 1:25,,,,
26,1 Samuel 1:26,,,,
27,1 Samuel 1:27,,,,
28,1 Samuel 1:28,,,,
29,1 Samuel 1:29,,,,
30,1 Samuel 1:30,,,,
31,1 Samuel 1:31,,,,
32,1 Samuel 1:32,,,,
33,1 Samuel 1:33,,,,
34,1 Samuel 1:34,,,,
35,1 Samuel 1:35,,,,
36,1 Samuel 1:36,,,,
37,1 Samuel 1:37,,,,
38,1 Samuel 1:38,,,,
44,1 Samuel 1:44,,,,
49,1 Samuel 1:49,,,,
39,1 Samuel 1:39,,,,
40,1 Samuel 1:40,,,,
41,1 Samuel 1:41,,,,
42,1 Samuel 1:42,,,,
43,1 Samuel 1:43,,,,
45,1 Samuel 1:45,,,,
46,1 Samuel 1:46,,,,
47,1 Samuel 1:47,,,,
48,1 Samuel 1:48,,,,
50,1 Samuel 1:50,,,,
