ID,Reference,Verse,Notes,NoteFonts,Residue
404,Bible Stories 29:6,Later Elimelech died. And Elimelech's sons married women who were from Moab. One son married a woman named Orpah. And the other son married a woman named Ruth.~!~(AdvP later ) (NP Elimelech ) (VP di+ed[Past_Tense] ) . and (NP (NP _ Elimelech+`s[Saxon_Genitive] ) son+s[Plural] ) (VP marr+ied[Past_Tense] ) (NP women [ who[Relativizer] (NP ) (VP were ) (NP from Moab ) ] ) . (NP (AdjP one ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Orpah ) ) . and (NP the[Pre-Nominal] (AdjP other ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Ruth ) ) . Later Elimelech died. And Elimelech's sons married women who were from Moab. One son married a woman named Orpah. And the other son married a woman named Ruth.~!~(AdvP later ) (NP Elimelech ) (VP di+ed[Past_Tense] ) . and (NP (NP _ Elimelech+`s[Saxon_Genitive] ) son+s[Plural] ) (VP marr+ied[Past_Tense] ) (NP women [ who[Relativizer] (NP ) (VP were ) (NP from Moab ) ] ) . (NP (AdjP one ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Orpah ) ) . and (NP the[Pre-Nominal] (AdjP other ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Ruth ) ) . Later Elimelech died. And Elimelech's sons married women who were from Moab. One son married a woman named Orpah. And the other son married a woman named Ruth.~!~(AdvP later ) (NP Elimelech ) (VP di+ed[Past_Tense] ) . and (NP (NP _ Elimelech+`s[Saxon_Genitive] ) son+s[Plural] ) (VP marr+ied[Past_Tense] ) (NP women [ who[Relativizer] (NP ) (VP were ) (NP from Moab ) ] ) . (NP (AdjP one ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Orpah ) ) . and (NP the[Pre-Nominal] (AdjP other ) son ) (VP marr+ied[Past_Tense] ) (NP a[Pre-Nominal] woman (NP named Ruth ) ) . ,,,
453,Bible Stories 33:13,"Then Goliath laughed at David. Goliath said, “You're coming to me like you come to a dog. Do you think that you'll defeat me by using sticks?”~!~then (NP Goliath ) (VP laugh+ed[Past_Tense] ) (NP at David ) . (NP Goliath ) (VP said ) [ ,_“ (NP you ) (VP are[Pre-Verbal] com+ing[Participle] ) (NP to me ) [ like (NP you ) (VP come ) (NP to a[Pre-Nominal] dog ) ] ] . (VP do[CP-VP] ) (NP you ) (VP think ) [ that[Complementizer] (NP you ) (VP will[Pre-Verbal] defeat ) (NP me ) [ by (NP ) (VP us+ing[Participle] ) (NP stick+s[Plural] ) ] ] ? . ” Then Goliath laughed at David. Goliath said, “You're coming to me like you come to a dog. Do you think that you'll defeat me by using sticks?”~!~then (NP Goliath ) (VP laugh+ed[Past_Tense] ) (NP at David ) . (NP Goliath ) (VP said ) [ ,_“ (NP you ) (VP are[Pre-Verbal] com+ing[Participle] ) (NP to me ) [ like (NP you ) (VP come ) (NP to a[Pre-Nominal] dog ) ] ] . (VP do[CP-VP] ) (NP you ) (VP think ) [ that[Complementizer] (NP you ) (VP will[Pre-Verbal] defeat ) (NP me ) [ by (NP ) (VP us+ing[Participle] ) (NP stick+s[Plural] ) ] ] ? . ” Then Goliath laughed at David. Goliath said, “You're coming to me like you come to a dog. Do you think that you'll defeat me by using sticks?”~!~then (NP Goliath ) (VP laugh+ed[Past_Tense] ) (NP at David ) . (NP Goliath ) (VP said ) [ ,_“ (NP you ) (VP are[Pre-Verbal] com+ing[Participle] ) (NP to me ) [ like (NP you ) (VP come ) (NP to a[Pre-Nominal] dog ) ] ] . (VP do[CP-VP] ) (NP you ) (VP think ) [ that[Complementizer] (NP you ) (VP will[Pre-Verbal] defeat ) (NP me ) [ by (NP ) (VP us+ing[Participle] ) (NP stick+s[Plural] ) ] ] ? . ” ",,,
201,Bible Stories 16:9,Title: Joseph becomes a slave.~!~Title:[Proposition_Label] (NP Joseph ) (VP become+s[Third_Singular_Present] ) (NP a[Pre-Nominal] slave ) . Title: Joseph becomes a slave.~!~Title:[Proposition_Label] (NP Joseph ) (VP become+s[Third_Singular_Present] ) (NP a[Pre-Nominal] slave ) . Title: Joseph becomes a slave.~!~Title:[Proposition_Label] (NP Joseph ) (VP become+s[Third_Singular_Present] ) (NP a[Pre-Nominal] slave ) . ,,,
326,Bible Stories 23:9,Later the people of Israel saw Egypt's army coming. And they became afraid.~!~(AdvP later ) (NP the[Pre-Nominal] people (NP of Israel ) ) (VP saw ) (NP (NP _ Egypt+`s[Saxon_Genitive] ) army ) [ (NP ) (VP com+ing[Participle] ) ] . and (NP they ) (VP became ) (AdjP afraid ) . Later the Israelites saw Egypt's army coming. And they became afraid.~!~(AdvP later ) (NP the[Pre-Nominal] Israelite+s[Plural] ) (VP saw ) (NP (NP _ Egypt+`s[Saxon_Genitive] ) army ) [ (NP ) (VP com+ing[Participle] ) ] . and (NP they ) (VP became ) (AdjP afraid ) . Later the people of Israel saw the army of Egypt coming. And they became afraid.~!~(AdvP later ) (NP the[Pre-Nominal] people (NP of Israel ) ) (VP saw ) (NP the[Pre-Nominal] army (NP of Egypt ) ) [ (NP ) (VP com+ing[Participle] ) ] . and (NP they ) (VP became ) (AdjP afraid ) . ,,,
387,Bible Stories 28:4,"The people who were in the camp believed those other leaders. Then they cried loudly and started complaining. They said, “Why did God bring us to this land? The people who are in this land will kill us. We should return to Egypt. Let's get a new leader. And let's return to Egypt.”~!~(NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP in the[Pre-Nominal] camp ) ] ) (VP believ+ed[Past_Tense] ) (NP those[Pre-Nominal] (AdjP other ) leader+s[Plural] ) . then (NP they ) (VP cr+ied[Past_Tense] ) (AdvP loudly ) [ and (NP ) (VP started[Pre-Verbal] complain+ing[Participle] ) ] . (NP they ) (VP said ) [ ,_“ (NP (AdvP why ) ) (VP did[CP-VP] ) (NP God ) (VP bring ) (NP us ) (NP to this[Pre-Nominal] land ) ? ] . (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are ) (NP in this[Pre-Nominal] land ) ] ) (VP will[Pre-Verbal] kill ) (NP us ) . (NP we ) (VP should[Pre-Verbal] return ) (NP to Egypt ) . (NP ) (VP let`s[Pre-Verbal] get ) (NP a[Pre-Nominal] (AdjP new ) leader ) . and (NP ) (VP let`s[Pre-Verbal] return ) (NP to Egypt ) . ” The people who were in the camp believed those other leaders. Then they cried loudly and started complaining. They said, “Why did God bring us to this land? The people who are in this land will kill us. We should return to Egypt. Let's get a new leader. And let's return to Egypt.”~!~(NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP in the[Pre-Nominal] camp ) ] ) (VP believ+ed[Past_Tense] ) (NP those[Pre-Nominal] (AdjP other ) leader+s[Plural] ) . then (NP they ) (VP cr+ied[Past_Tense] ) (AdvP loudly ) [ and (NP ) (VP started[Pre-Verbal] complain+ing[Participle] ) ] . (NP they ) (VP said ) [ ,_“ (NP (AdvP why ) ) (VP did[CP-VP] ) (NP God ) (VP bring ) (NP us ) (NP to this[Pre-Nominal] land ) ? ] . (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are ) (NP in this[Pre-Nominal] land ) ] ) (VP will[Pre-Verbal] kill ) (NP us ) . (NP we ) (VP should[Pre-Verbal] return ) (NP to Egypt ) . (NP ) (VP let`s[Pre-Verbal] get ) (NP a[Pre-Nominal] (AdjP new ) leader ) . and (NP ) (VP let`s[Pre-Verbal] return ) (NP to Egypt ) . ” The people who were in the camp believed those other leaders. Then they cried loudly and started complaining. They said, “Why did God bring us to this land? The people who are in this land will kill us. We should return to Egypt. Let's get a new leader. And we let's return to Egypt.”~!~(NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP were ) (NP in the[Pre-Nominal] camp ) ] ) (VP believ+ed[Past_Tense] ) (NP those[Pre-Nominal] (AdjP other ) leader+s[Plural] ) . then (NP they ) (VP cr+ied[Past_Tense] ) (AdvP loudly ) [ and (NP ) (VP started[Pre-Verbal] complain+ing[Participle] ) ] . (NP they ) (VP said ) [ ,_“ (NP (AdvP why ) ) (VP did[CP-VP] ) (NP God ) (VP bring ) (NP us ) (NP to this[Pre-Nominal] land ) ? ] . (NP the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are ) (NP in this[Pre-Nominal] land ) ] ) (VP will[Pre-Verbal] kill ) (NP us ) . (NP we ) (VP should[Pre-Verbal] return ) (NP to Egypt ) . (NP ) (VP let`s[Pre-Verbal] get ) (NP a[Pre-Nominal] (AdjP new ) leader ) . and (NP we ) (VP let`s[Pre-Verbal] return ) (NP to Egypt ) . ” ",,,
344,Bible Stories 25:3,"Moses went down the mountain to the people of Israel and told those laws to them. And the people said that they'll do the things that God said. But they were very afraid. So Moses said to those people, “Don't be afraid. God came to test you. He wants you to respect him.”~!~(NP Moses ) (VP went down[Adposition_in_VP] ) (NP the[Pre-Nominal] mountain ) (NP to the[Pre-Nominal] people (NP of Israel ) ) [ and (NP ) (VP told ) (NP those[Pre-Nominal] law+s[Plural] ) (NP to them ) ] . and (NP the[Pre-Nominal] people ) (VP said ) [ that[Complementizer] (NP they ) (VP will[Pre-Verbal] do ) (NP the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP God ) (VP said ) (NP ) ] ) ] . but (NP they ) (VP were ) (AdjP very[Pre-Adjective] afraid ) . so (NP Moses ) (VP said ) (NP to those[Pre-Nominal] people ) [ ,_“ (NP ) (VP don`t[Pre-Verbal] be ) (AdjP afraid ) ] . (NP God ) (VP came ) [ to (NP ) (VP test ) (NP you ) ] . (NP he ) (VP want+s[Third_Singular_Present] ) (NP you ) [ (NP ) (VP to[Pre-Verbal] respect ) (NP him ) ] . ” Moses went down the mountain to the Israelites and told those laws to them. And the people said that they'll do the things that God said. But they were very afraid. So Moses said to those people, “Don't be afraid. God came to test you. He wants you to respect him.”~!~(NP Moses ) (VP went down[Adposition_in_VP] ) (NP the[Pre-Nominal] mountain ) (NP to the[Pre-Nominal] Israelite+s[Plural] ) [ and (NP ) (VP told ) (NP those[Pre-Nominal] law+s[Plural] ) (NP to them ) ] . and (NP the[Pre-Nominal] people ) (VP said ) [ that[Complementizer] (NP they ) (VP will[Pre-Verbal] do ) (NP the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP God ) (VP said ) (NP ) ] ) ] . but (NP they ) (VP were ) (AdjP very[Pre-Adjective] afraid ) . so (NP Moses ) (VP said ) (NP to those[Pre-Nominal] people ) [ ,_“ (NP ) (VP don`t[Pre-Verbal] be ) (AdjP afraid ) ] . (NP God ) (VP came ) [ to (NP ) (VP test ) (NP you ) ] . (NP he ) (VP want+s[Third_Singular_Present] ) (NP you ) [ (NP ) (VP to[Pre-Verbal] respect ) (NP him ) ] . ” Moses went down the mountain to the people of Israel and told those laws to them. And the people said that they'll do the things that God said. But they were terrified. So Moses said to those people, “Don't be afraid. God came to test you. He wants you to respect him.”~!~(NP Moses ) (VP went down[Adposition_in_VP] ) (NP the[Pre-Nominal] mountain ) (NP to the[Pre-Nominal] people (NP of Israel ) ) [ and (NP ) (VP told ) (NP those[Pre-Nominal] law+s[Plural] ) (NP to them ) ] . and (NP the[Pre-Nominal] people ) (VP said ) [ that[Complementizer] (NP they ) (VP will[Pre-Verbal] do ) (NP the[Pre-Nominal] thing+s[Plural] [ that[Relativizer] (NP God ) (VP said ) (NP ) ] ) ] . but (NP they ) (VP were ) (AdjP terrified ) . so (NP Moses ) (VP said ) (NP to those[Pre-Nominal] people ) [ ,_“ (NP ) (VP don`t[Pre-Verbal] be ) (AdjP afraid ) ] . (NP God ) (VP came ) [ to (NP ) (VP test ) (NP you ) ] . (NP he ) (VP want+s[Third_Singular_Present] ) (NP you ) [ (NP ) (VP to[Pre-Verbal] respect ) (NP him ) ] . ” ",,,
623,Bible Stories 46:6,The king of Persia named Darius liked Daniel very much. Darius knew that Daniel was a very good leader and that he was honest. So Darius planned to give authority to Daniel so that he could rule all of the other leaders of Persia.The king of Persia named Darius liked Daniel very much. Darius knew that Daniel was a very good leader and that he was honest. So Darius planned to give authority to Daniel so that he could rule all of the other leaders of Persia.~!~(NP the[Pre-Nominal] king (NP of Persia ) (NP named Darius ) ) (VP lik+ed[Past_Tense] ) (NP Daniel ) (AdvP very[Pre-Adverb] much ) . (NP Darius ) (VP knew ) [ that[Complementizer] (NP Daniel ) (VP was ) (NP a[Pre-Nominal] (AdjP very[Pre-Adjective] good ) leader ) ] [ and that[Complementizer] (NP he ) (VP was ) (AdjP honest ) ] . so (NP Darius ) (VP plann+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] give ) (NP authority ) (NP to Daniel ) [ so_that (NP he ) (VP could[Pre-Verbal] rule ) (NP (AdjP all of ) the[Pre-Nominal] (AdjP other ) leader+s[Plural] (NP of Persia ) ) ] ] . The king of Persia named Darius liked Daniel very much. Darius knew that Daniel was a very good leader and that he was honest. So Darius planned to give authority to Daniel so that he could rule all of the other leaders of Persia.~!~(NP the[Pre-Nominal] king (NP of Persia ) (NP named Darius ) ) (VP lik+ed[Past_Tense] ) (NP Daniel ) (AdvP very[Pre-Adverb] much ) . (NP Darius ) (VP knew ) [ that[Complementizer] (NP Daniel ) (VP was ) (NP a[Pre-Nominal] (AdjP very[Pre-Adjective] good ) leader ) ] [ and that[Complementizer] (NP he ) (VP was ) (AdjP honest ) ] . so (NP Darius ) (VP plann+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] give ) (NP authority ) (NP to Daniel ) [ so_that (NP he ) (VP could[Pre-Verbal] rule ) (NP (AdjP all of ) the[Pre-Nominal] (AdjP other ) leader+s[Plural] (NP of Persia ) ) ] ] . ,,,
342,Bible Stories 25:1,"After the people of Israel left the Red Sea, they came to a mountain named Mount Sinai.~!~[ after (NP the[Pre-Nominal] people (NP of Israel ) ) (VP left ) (NP the[Pre-Nominal] Red[First_Word_of_Compound_Noun] Sea ) , ] (NP they ) (VP came ) (NP to a[Pre-Nominal] mountain (NP named Mount_Sinai ) ) . After the Israelites left the Red Sea, they came to a mountain named Mount Sinai.~!~[ after (NP the[Pre-Nominal] Israelite+s[Plural] ) (VP left ) (NP the[Pre-Nominal] Red[First_Word_of_Compound_Noun] Sea ) , ] (NP they ) (VP came ) (NP to a[Pre-Nominal] mountain (NP named Mount_Sinai ) ) . After the people of Israel left the Red Sea, they came to a mountain named Mount Sinai.~!~[ after (NP the[Pre-Nominal] people (NP of Israel ) ) (VP left ) (NP the[Pre-Nominal] Red[First_Word_of_Compound_Noun] Sea ) , ] (NP they ) (VP came ) (NP to a[Pre-Nominal] mountain (NP named Mount_Sinai ) ) . ",,,
7,Bible Stories 1:7,"Then God said, “Let there be lights that are in the heavens.” So he made two great lights. He made a bright light that shined during the day. And he made a smaller light that shined during the night. And he also made the stars. He put all of those lights in the heavens so that they would shine on the earth. He looked at those lights and knew that they were good.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] ) (VP ) ” ] . so (NP he ) (VP made ) (NP (AdjP two ) (AdjP great ) light+s[Plural] ) . (NP he ) (VP made ) (NP a[Pre-Nominal] (AdjP bright ) light [ that[Relativizer] (NP ) (VP shin+ed[Past_Tense] ) (NP during the[Pre-Nominal] day ) ] ) . and (NP he ) (VP made ) (NP a[Pre-Nominal] (AdjP small+er[Comparative] ) light [ that[Relativizer] (NP ) (VP shin+ed[Past_Tense] ) (NP during the[Pre-Nominal] night ) ] ) . and (NP he ) (VP (AdvP also ) made ) (NP the[Pre-Nominal] star+s[Plural] ) . (NP he ) (VP put ) (NP (AdjP all of ) those[Pre-Nominal] light+s[Plural] ) (NP in the[Pre-Nominal] heaven+s[Plural] ) [ so_that (NP they ) (VP would[Pre-Verbal] shine ) (NP on the[Pre-Nominal] earth ) ] . (NP he ) (VP look+ed[Past_Tense] ) (NP at those[Pre-Nominal] light+s[Plural] ) [ and (NP ) (VP knew ) [ that[Complementizer] (NP they ) (VP were ) (AdjP good ) ] ] . Then God said, “Let there be lights that are in the heavens.” So he made two great lights. He made a bright light that shined during the day. And he made a smaller light that shined during the night. And he also made the stars. He put all of those lights in the heavens so that they would shine on the earth. He looked at those lights and knew that they were good.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] ) (VP ) ” ] . so (NP he ) (VP made ) (NP (AdjP two ) (AdjP great ) light+s[Plural] ) . (NP he ) (VP made ) (NP a[Pre-Nominal] (AdjP bright ) light [ that[Relativizer] (NP ) (VP shin+ed[Past_Tense] ) (NP during the[Pre-Nominal] day ) ] ) . and (NP he ) (VP made ) (NP a[Pre-Nominal] (AdjP small+er[Comparative] ) light [ that[Relativizer] (NP ) (VP shin+ed[Past_Tense] ) (NP during the[Pre-Nominal] night ) ] ) . and (NP he ) (VP (AdvP also ) made ) (NP the[Pre-Nominal] star+s[Plural] ) . (NP he ) (VP put ) (NP (AdjP all of ) those[Pre-Nominal] light+s[Plural] ) (NP in the[Pre-Nominal] heaven+s[Plural] ) [ so_that (NP they ) (VP would[Pre-Verbal] shine ) (NP on the[Pre-Nominal] earth ) ] . (NP he ) (VP look+ed[Past_Tense] ) (NP at those[Pre-Nominal] light+s[Plural] ) [ and (NP ) (VP knew ) [ that[Complementizer] (NP they ) (VP were ) (AdjP good ) ] ] . Then God said, “Let there be lights that are in the heavens.” So he made two great lights. He made a bright light that shined during the day. And he made a smaller light than shined during the night. And he also made the stars. He put all of those lights in the heavens so that they would shine on the earth. He looked at those lights and knew that they were good.~!~then (NP God ) (VP said ) [ ,_“ (VP let_there_be[CP-VP] ) (NP light+s[Plural] [ that[Relativizer] (NP ) (VP are ) (NP in the[Pre-Nominal] heaven+s[Plural] ) ] ) (VP ) ” ] . so (NP he ) (VP made ) (NP (AdjP two ) (AdjP great ) light+s[Plural] ) . (NP he ) (VP made ) (NP a[Pre-Nominal] (AdjP bright ) light [ that[Relativizer] (NP ) (VP shin+ed[Past_Tense] ) (NP during the[Pre-Nominal] day ) ] ) . and (NP he ) (VP made ) (NP a[Pre-Nominal] (AdjP small+er[Comparative] ) light [ than[Relativizer] (NP ) (VP shin+ed[Past_Tense] ) (NP during the[Pre-Nominal] night ) ] ) . and (NP he ) (VP (AdvP also ) made ) (NP the[Pre-Nominal] star+s[Plural] ) . (NP he ) (VP put ) (NP (AdjP all of ) those[Pre-Nominal] light+s[Plural] ) (NP in the[Pre-Nominal] heaven+s[Plural] ) [ so_that (NP they ) (VP would[Pre-Verbal] shine ) (NP on the[Pre-Nominal] earth ) ] . (NP he ) (VP look+ed[Past_Tense] ) (NP at those[Pre-Nominal] light+s[Plural] ) [ and (NP ) (VP knew ) [ that[Complementizer] (NP they ) (VP were ) (AdjP good ) ] ] . ",,,
52,Bible Stories 5:11,"Adam and Eve's descendants also sinned because they sinned. And they also died. And these things happened to all of the people who lived after Adam and Eve lived.~!~(NP (NP _ Adam ) (NP and _ Eve+`s[Saxon_Genitive] ) descendant+s[Plural] ) (VP (AdvP also ) sinn+ed[Past_Tense] ) [ because (NP they ) (VP sinn+ed[Past_Tense] ) ] . and (NP they ) (VP (AdvP also ) di+ed[Past_Tense] ) . and (NP these[Pre-Nominal] thing+s[Plural] ) (VP happened ) (NP to (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) [ after (NP Adam ) (NP and Eve ) (VP liv+ed[Past_Tense] ) ] ] ) . Adam and Eve's descendants also sinned because they sinned. And they also died. And these things happened to all of the people who lived after Adam and Eve lived.~!~(NP (NP _ Adam ) (NP and _ Eve+`s[Saxon_Genitive] ) descendant+s[Plural] ) (VP (AdvP also ) sinn+ed[Past_Tense] ) [ because (NP they ) (VP sinn+ed[Past_Tense] ) ] . and (NP they ) (VP (AdvP also ) di+ed[Past_Tense] ) . and (NP these[Pre-Nominal] thing+s[Plural] ) (VP happened ) (NP to (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) [ after (NP Adam ) (NP and Eve ) (VP liv+ed[Past_Tense] ) ] ] ) . Adam and Eve's people also sinned because they sinned. And they also died. And these things happened to all of the people who after Adam and Eve lived, lived.~!~(NP (NP _ Adam ) (NP and _ Eve+`s[Saxon_Genitive] ) people ) (VP (AdvP also ) sinn+ed[Past_Tense] ) [ because (NP they ) (VP sinn+ed[Past_Tense] ) ] . and (NP they ) (VP (AdvP also ) di+ed[Past_Tense] ) . and (NP these[Pre-Nominal] thing+s[Plural] ) (VP happened ) (NP to (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] [ after (NP Adam ) (NP and Eve ) (VP liv+ed[Past_Tense] ) , ] (NP ) (VP liv+ed[Past_Tense] ) ] ) . ",,,
