ID,Reference,Verse,Notes,NoteFonts,Residue
2,Daniel 1:2,A man named Nebuchadnezzar was the king of Babylon. Nebuchadnezzar's army was very powerful. So it defeated many countries.~!~(NP a[Pre-Nominal] man (NP named Nebuchadnezzar ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Babylon ) ) . (NP (NP _ Nebuchadnezzar+`s[Saxon_Genitive] ) army ) (VP was ) (AdjP very[Pre-Adjective] powerful ) . so (NP it ) (VP defeat+ed[Past_Tense] ) (NP (AdjP many ) countri+es[Plural] ) . ,,,
3,Daniel 1:3,"When Daniel was a young man, Nebuchadnezzar and his army defeated the Israelites. Then Nebuchadnezzar captured Daniel and many other Jews and brought them to Babylon.~!~[ when (NP Daniel ) (VP was ) (NP a[Article] (AdjP young ) man ) , ] (NP Nebuchadnezzar ) (NP and (NP _ his ) army ) (VP defeat+ed[Past_Tense] ) (NP the[Article] Israelite+s[Plural] ) . then (NP Nebuchadnezzar ) (VP captur+ed[Past_Tense] ) (NP Daniel ) (NP and (AdjP many ) (AdjP other ) Jew+s[Plural] ) [ and (NP ) (VP brought ) (NP them ) (NP to Babylon ) ] . ",,,
5,Daniel 1:5,Many powerful men who lived in Babylon were jealous of Daniel. They tried to kill Daniel. But God always took care of Daniel.~!~(NP (AdjP many ) (AdjP powerful ) men [ who[Relativizer] (NP ) (VP liv+ed[Past_Tense] ) (NP in Babylon ) ] ) (VP were ) (AdjP jealous (NP of Daniel ) ) . (NP they ) (VP tri+ed[Past_Tense] ) [ (NP ) (VP to[INFL] kill ) (NP Daniel ) ] . but (NP God ) (VP (AdvP always ) took care[Verbal_Adjective_in_VP] ) (NP of Daniel ) . ,,,
8,Daniel 1:8,,,,
9,Daniel 1:9,,,,
10,Daniel 1:10,,,,
11,Daniel 1:11,,,,
12,Daniel 1:12,,,,
13,Daniel 1:13,,,,
14,Daniel 1:14,,,,
15,Daniel 1:15,,,,
16,Daniel 1:16,,,,
17,Daniel 1:17,,,,
18,Daniel 1:18,,,,
19,Daniel 1:19,,,,
20,Daniel 1:20,,,,
21,Daniel 1:21,,,,
22,Daniel 2:1,,,,
23,Daniel 2:2,,,,
24,Daniel 2:3,,,,
25,Daniel 2:4,,,,
26,Daniel 2:5,,,,
27,Daniel 2:6,,,,
28,Daniel 2:7,,,,
29,Daniel 2:8,,,,
30,Daniel 2:9,,,,
31,Daniel 2:10,,,,
32,Daniel 2:11,,,,
33,Daniel 2:12,,,,
34,Daniel 2:13,,,,
35,Daniel 2:14,,,,
36,Daniel 2:15,,,,
37,Daniel 2:16,,,,
38,Daniel 2:17,,,,
39,Daniel 2:18,,,,
40,Daniel 2:19,,,,
41,Daniel 2:20,,,,
42,Daniel 2:21,,,,
43,Daniel 2:22,,,,
44,Daniel 2:23,,,,
45,Daniel 2:24,,,,
46,Daniel 2:25,,,,
47,Daniel 2:26,,,,
48,Daniel 2:27,,,,
49,Daniel 2:28,,,,
50,Daniel 2:29,,,,
51,Daniel 2:30,,,,
52,Daniel 2:31,,,,
53,Daniel 2:32,,,,
54,Daniel 2:33,,,,
55,Daniel 2:34,,,,
56,Daniel 2:35,,,,
57,Daniel 2:36,,,,
58,Daniel 2:37,,,,
59,Daniel 2:38,,,,
60,Daniel 2:39,,,,
61,Daniel 2:40,,,,
62,Daniel 2:41,,,,
63,Daniel 2:42,,,,
64,Daniel 2:43,,,,
65,Daniel 2:44,,,,
66,Daniel 2:45,,,,
67,Daniel 2:46,,,,
68,Daniel 2:47,,,,
69,Daniel 2:48,,,,
70,Daniel 2:49,,,,
71,Daniel 3:1,,,,
72,Daniel 3:2,,,,
73,Daniel 3:3,,,,
74,Daniel 3:4,,,,
