ID,Reference,Verse,Notes,NoteFonts,Residue
1,Daniel 1:1,This book is about a man named Daniel.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Daniel ) ) . ,,,
2,Daniel 1:2,,,,
3,Daniel 1:3,,,,
4,Daniel 1:4,,,,
5,Daniel 1:5,,,,
6,Daniel 1:6,,,,
7,Daniel 1:7,,,,
8,Daniel 1:8,,,,
9,Daniel 1:9,,,,
10,Daniel 1:10,,,,
11,Daniel 1:11,,,,
12,Daniel 1:12,,,,
13,Daniel 1:13,,,,
14,Daniel 1:14,,,,
15,Daniel 1:15,,,,
16,Daniel 1:16,,,,
17,Daniel 1:17,,,,
18,Daniel 1:18,,,,
19,Daniel 1:19,,,,
20,Daniel 1:20,,,,
21,Daniel 1:21,,,,
22,Daniel 1:22,,,,
23,Daniel 1:23,,,,
24,Daniel 1:24,,,,
25,Daniel 1:25,,,,
26,Daniel 1:26,,,,
27,Daniel 1:27,,,,
28,Daniel 1:28,,,,
29,Daniel 1:29,,,,
30,Daniel 1:30,,,,
31,Daniel 1:31,,,,
32,Daniel 1:32,,,,
33,Daniel 1:33,,,,
34,Daniel 1:34,,,,
35,Daniel 1:35,,,,
36,Daniel 1:36,,,,
37,Daniel 1:37,,,,
38,Daniel 1:38,,,,
39,Daniel 1:39,,,,
40,Daniel 1:40,,,,
45,Daniel 1:45,,,,
50,Daniel 1:50,,,,
41,Daniel 1:41,,,,
42,Daniel 1:42,,,,
43,Daniel 1:43,,,,
44,Daniel 1:44,,,,
46,Daniel 1:46,,,,
47,Daniel 1:47,,,,
48,Daniel 1:48,,,,
49,Daniel 1:49,,,,
