ID,Reference,Verse,Notes,NoteFonts,Residue
1,Esther 1:1,This book is about a woman named Esther.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] woman (NP named Esther ) ) . ,,,
2,Esther 1:2,,,,
3,Esther 1:3,,,,
4,Esther 1:4,,,,
5,Esther 1:5,,,,
6,Esther 1:6,,,,
7,Esther 1:7,,,,
8,Esther 1:8,,,,
9,Esther 1:9,,,,
10,Esther 1:10,,,,
11,Esther 1:11,,,,
12,Esther 1:12,,,,
13,Esther 1:13,,,,
14,Esther 1:14,,,,
15,Esther 1:15,,,,
16,Esther 1:16,,,,
17,Esther 1:17,,,,
18,Esther 1:18,,,,
19,Esther 1:19,,,,
20,Esther 1:20,,,,
21,Esther 1:21,,,,
22,Esther 1:22,,,,
23,Esther 1:23,,,,
24,Esther 1:24,,,,
25,Esther 1:25,,,,
26,Esther 1:26,,,,
27,Esther 1:27,,,,
28,Esther 1:28,,,,
29,Esther 1:29,,,,
30,Esther 1:30,,,,
31,Esther 1:31,,,,
32,Esther 1:32,,,,
33,Esther 1:33,,,,
34,Esther 1:34,,,,
35,Esther 1:35,,,,
36,Esther 1:36,,,,
37,Esther 1:37,,,,
38,Esther 1:38,,,,
39,Esther 1:39,,,,
40,Esther 1:40,,,,
45,Esther 1:45,,,,
50,Esther 1:50,,,,
41,Esther 1:41,,,,
42,Esther 1:42,,,,
43,Esther 1:43,,,,
44,Esther 1:44,,,,
46,Esther 1:46,,,,
47,Esther 1:47,,,,
48,Esther 1:48,,,,
49,Esther 1:49,,,,
