ID,Reference,Verse,Notes,NoteFonts,Residue
1,Exodus 1:1,This book is about a man named Moses.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Moses ) ) . ,,,
2,Exodus 1:2,,,,
3,Exodus 1:3,,,,
4,Exodus 1:4,,,,
5,Exodus 1:5,,,,
6,Exodus 1:6,,,,
7,Exodus 1:7,,,,
8,Exodus 1:8,,,,
9,Exodus 1:9,,,,
10,Exodus 1:10,,,,
11,Exodus 1:11,,,,
12,Exodus 1:12,,,,
13,Exodus 1:13,,,,
14,Exodus 1:14,,,,
15,Exodus 1:15,,,,
16,Exodus 1:16,,,,
17,Exodus 1:17,,,,
18,Exodus 1:18,,,,
19,Exodus 1:19,,,,
20,Exodus 1:20,,,,
21,Exodus 1:21,,,,
22,Exodus 1:22,,,,
23,Exodus 1:23,,,,
24,Exodus 1:24,,,,
25,Exodus 1:25,,,,
26,Exodus 1:26,,,,
27,Exodus 1:27,,,,
28,Exodus 1:28,,,,
29,Exodus 1:29,,,,
30,Exodus 1:30,,,,
31,Exodus 1:31,,,,
32,Exodus 1:32,,,,
33,Exodus 1:33,,,,
34,Exodus 1:34,,,,
35,Exodus 1:35,,,,
36,Exodus 1:36,,,,
37,Exodus 1:37,,,,
38,Exodus 1:38,,,,
39,Exodus 1:39,,,,
40,Exodus 1:40,,,,
45,Exodus 1:45,,,,
50,Exodus 1:50,,,,
41,Exodus 1:41,,,,
42,Exodus 1:42,,,,
43,Exodus 1:43,,,,
44,Exodus 1:44,,,,
46,Exodus 1:46,,,,
47,Exodus 1:47,,,,
48,Exodus 1:48,,,,
49,Exodus 1:49,,,,
