ID,Reference,Verse,Notes,NoteFonts,Residue
1,John 1:1,This book is about a man named John.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named John ) ) . ,,,
2,John 1:2,,,,
3,John 1:3,,,,
4,John 1:4,,,,
5,John 1:5,,,,
6,John 1:6,,,,
7,John 1:7,,,,
8,John 1:8,,,,
9,John 1:9,,,,
10,John 1:10,,,,
11,John 1:11,,,,
12,John 1:12,,,,
13,John 1:13,,,,
14,John 1:14,,,,
15,John 1:15,,,,
16,John 1:16,,,,
17,John 1:17,,,,
18,John 1:18,,,,
19,John 1:19,,,,
20,John 1:20,,,,
21,John 1:21,,,,
22,John 1:22,,,,
23,John 1:23,,,,
24,John 1:24,,,,
25,John 1:25,,,,
26,John 1:26,,,,
27,John 1:27,,,,
28,John 1:28,,,,
29,John 1:29,,,,
30,John 1:30,,,,
31,John 1:31,,,,
32,John 1:32,,,,
33,John 1:33,,,,
34,John 1:34,,,,
35,John 1:35,,,,
36,John 1:36,,,,
37,John 1:37,,,,
38,John 1:38,,,,
39,John 1:39,,,,
40,John 1:40,,,,
41,John 1:41,,,,
42,John 1:42,,,,
46,John 1:46,,,,
50,John 1:50,,,,
43,John 1:43,,,,
44,John 1:44,,,,
45,John 1:45,,,,
47,John 1:47,,,,
48,John 1:48,,,,
49,John 1:49,,,,
