ID,Reference,Verse,Notes,NoteFonts,Residue
1,Jonah 1:1,This book is about a man named Jonah.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Jonah ) ) . ,,,
2,Jonah 1:2,,,,
3,Jonah 1:3,,,,
4,Jonah 1:4,,,,
5,Jonah 1:5,,,,
6,Jonah 1:6,,,,
7,Jonah 1:7,,,,
8,Jonah 1:8,,,,
9,Jonah 1:9,,,,
10,Jonah 1:10,,,,
11,Jonah 1:11,,,,
12,Jonah 1:12,,,,
13,Jonah 1:13,,,,
14,Jonah 1:14,,,,
15,Jonah 1:15,,,,
16,Jonah 1:16,,,,
17,Jonah 1:17,,,,
18,Jonah 1:18,,,,
19,Jonah 1:19,,,,
20,Jonah 1:20,,,,
21,Jonah 1:21,,,,
22,Jonah 1:22,,,,
23,Jonah 1:23,,,,
24,Jonah 1:24,,,,
25,Jonah 1:25,,,,
26,Jonah 1:26,,,,
27,Jonah 1:27,,,,
28,Jonah 1:28,,,,
29,Jonah 1:29,,,,
30,Jonah 1:30,,,,
31,Jonah 1:31,,,,
32,Jonah 1:32,,,,
33,Jonah 1:33,,,,
34,Jonah 1:34,,,,
35,Jonah 1:35,,,,
36,Jonah 1:36,,,,
37,Jonah 1:37,,,,
38,Jonah 1:38,,,,
39,Jonah 1:39,,,,
40,Jonah 1:40,,,,
41,Jonah 1:41,,,,
46,Jonah 1:46,,,,
42,Jonah 1:42,,,,
43,Jonah 1:43,,,,
44,Jonah 1:44,,,,
45,Jonah 1:45,,,,
47,Jonah 1:47,,,,
48,Jonah 1:48,,,,
49,Jonah 1:49,,,,
50,Jonah 1:50,,,,
