ID,Reference,Verse,Notes,NoteFonts,Residue
1,Joshua 1:1,This book is about a man named Joshua.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Joshua ) ) . ,,,
2,Joshua 1:2,,,,
3,Joshua 1:3,,,,
4,Joshua 1:4,,,,
5,Joshua 1:5,,,,
6,Joshua 1:6,,,,
7,Joshua 1:7,,,,
8,Joshua 1:8,,,,
9,Joshua 1:9,,,,
10,Joshua 1:10,,,,
11,Joshua 1:11,,,,
12,Joshua 1:12,,,,
13,Joshua 1:13,,,,
14,Joshua 1:14,,,,
15,Joshua 1:15,,,,
16,Joshua 1:16,,,,
17,Joshua 1:17,,,,
18,Joshua 1:18,,,,
19,Joshua 1:19,,,,
20,Joshua 1:20,,,,
21,Joshua 1:21,,,,
22,Joshua 1:22,,,,
23,Joshua 1:23,,,,
24,Joshua 1:24,,,,
25,Joshua 1:25,,,,
26,Joshua 1:26,,,,
27,Joshua 1:27,,,,
28,Joshua 1:28,,,,
29,Joshua 1:29,,,,
30,Joshua 1:30,,,,
31,Joshua 1:31,,,,
32,Joshua 1:32,,,,
33,Joshua 1:33,,,,
34,Joshua 1:34,,,,
35,Joshua 1:35,,,,
36,Joshua 1:36,,,,
37,Joshua 1:37,,,,
38,Joshua 1:38,,,,
39,Joshua 1:39,,,,
40,Joshua 1:40,,,,
45,Joshua 1:45,,,,
50,Joshua 1:50,,,,
41,Joshua 1:41,,,,
42,Joshua 1:42,,,,
43,Joshua 1:43,,,,
44,Joshua 1:44,,,,
46,Joshua 1:46,,,,
47,Joshua 1:47,,,,
48,Joshua 1:48,,,,
49,Joshua 1:49,,,,
