ID,Reference,Verse,Notes,NoteFonts,Residue
1,Judges 1:1,This book is about a man named Samson.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Samson ) ) . ,,,
2,Judges 1:2,,,,
3,Judges 1:3,,,,
4,Judges 1:4,,,,
5,Judges 1:5,,,,
6,Judges 1:6,,,,
7,Judges 1:7,,,,
8,Judges 1:8,,,,
9,Judges 1:9,,,,
10,Judges 1:10,,,,
11,Judges 1:11,,,,
12,Judges 1:12,,,,
13,Judges 1:13,,,,
14,Judges 1:14,,,,
15,Judges 1:15,,,,
16,Judges 1:16,,,,
17,Judges 1:17,,,,
18,Judges 1:18,,,,
19,Judges 1:19,,,,
20,Judges 1:20,,,,
21,Judges 1:21,,,,
22,Judges 1:22,,,,
23,Judges 1:23,,,,
24,Judges 1:24,,,,
25,Judges 1:25,,,,
26,Judges 1:26,,,,
27,Judges 1:27,,,,
28,Judges 1:28,,,,
29,Judges 1:29,,,,
30,Judges 1:30,,,,
31,Judges 1:31,,,,
32,Judges 1:32,,,,
33,Judges 1:33,,,,
34,Judges 1:34,,,,
35,Judges 1:35,,,,
36,Judges 1:36,,,,
37,Judges 1:37,,,,
38,Judges 1:38,,,,
39,Judges 1:39,,,,
40,Judges 1:40,,,,
45,Judges 1:45,,,,
50,Judges 1:50,,,,
41,Judges 1:41,,,,
42,Judges 1:42,,,,
43,Judges 1:43,,,,
44,Judges 1:44,,,,
46,Judges 1:46,,,,
47,Judges 1:47,,,,
48,Judges 1:48,,,,
49,Judges 1:49,,,,
