ID,Reference,Verse,Notes,NoteFonts,Residue
1,Luke 1:1,This book is about a man named Luke.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Luke ) ) . ,,,
2,Luke 1:2,,,,
3,Luke 1:3,,,,
4,Luke 1:4,,,,
5,Luke 1:5,,,,
6,Luke 1:6,,,,
7,Luke 1:7,,,,
8,Luke 1:8,,,,
9,Luke 1:9,,,,
10,Luke 1:10,,,,
11,Luke 1:11,,,,
12,Luke 1:12,,,,
13,Luke 1:13,,,,
14,Luke 1:14,,,,
15,Luke 1:15,,,,
16,Luke 1:16,,,,
17,Luke 1:17,,,,
18,Luke 1:18,,,,
19,Luke 1:19,,,,
20,Luke 1:20,,,,
21,Luke 1:21,,,,
22,Luke 1:22,,,,
23,Luke 1:23,,,,
24,Luke 1:24,,,,
25,Luke 1:25,,,,
26,Luke 1:26,,,,
27,Luke 1:27,,,,
28,Luke 1:28,,,,
29,Luke 1:29,,,,
30,Luke 1:30,,,,
31,Luke 1:31,,,,
32,Luke 1:32,,,,
33,Luke 1:33,,,,
34,Luke 1:34,,,,
35,Luke 1:35,,,,
36,Luke 1:36,,,,
37,Luke 1:37,,,,
38,Luke 1:38,,,,
39,Luke 1:39,,,,
40,Luke 1:40,,,,
41,Luke 1:41,,,,
42,Luke 1:42,,,,
46,Luke 1:46,,,,
50,Luke 1:50,,,,
43,Luke 1:43,,,,
44,Luke 1:44,,,,
45,Luke 1:45,,,,
47,Luke 1:47,,,,
48,Luke 1:48,,,,
49,Luke 1:49,,,,
