ID,Reference,Verse,Notes,NoteFonts,Residue
1,Mark 1:1,This book is about a man named Mark.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Mark ) ) . ,,,
2,Mark 1:2,,,,
3,Mark 1:3,,,,
4,Mark 1:4,,,,
5,Mark 1:5,,,,
6,Mark 1:6,,,,
7,Mark 1:7,,,,
8,Mark 1:8,,,,
9,Mark 1:9,,,,
10,Mark 1:10,,,,
11,Mark 1:11,,,,
12,Mark 1:12,,,,
13,Mark 1:13,,,,
14,Mark 1:14,,,,
15,Mark 1:15,,,,
16,Mark 1:16,,,,
17,Mark 1:17,,,,
18,Mark 1:18,,,,
19,Mark 1:19,,,,
20,Mark 1:20,,,,
21,Mark 1:21,,,,
22,Mark 1:22,,,,
23,Mark 1:23,,,,
24,Mark 1:24,,,,
25,Mark 1:25,,,,
26,Mark 1:26,,,,
27,Mark 1:27,,,,
28,Mark 1:28,,,,
29,Mark 1:29,,,,
30,Mark 1:30,,,,
31,Mark 1:31,,,,
32,Mark 1:32,,,,
33,Mark 1:33,,,,
34,Mark 1:34,,,,
35,Mark 1:35,,,,
36,Mark 1:36,,,,
37,Mark 1:37,,,,
38,Mark 1:38,,,,
39,Mark 1:39,,,,
40,Mark 1:40,,,,
41,Mark 1:41,,,,
42,Mark 1:42,,,,
46,Mark 1:46,,,,
50,Mark 1:50,,,,
43,Mark 1:43,,,,
44,Mark 1:44,,,,
45,Mark 1:45,,,,
47,Mark 1:47,,,,
48,Mark 1:48,,,,
49,Mark 1:49,,,,
