ID,Reference,Verse,Notes,NoteFonts,Residue
1,Matthew 1:1,This book is about a man named Matthew.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Matthew ) ) . ,,,
2,Matthew 1:2,,,,
3,Matthew 1:3,,,,
4,Matthew 1:4,,,,
5,Matthew 1:5,,,,
6,Matthew 1:6,,,,
7,Matthew 1:7,,,,
8,Matthew 1:8,,,,
9,Matthew 1:9,,,,
10,Matthew 1:10,,,,
11,Matthew 1:11,,,,
12,Matthew 1:12,,,,
13,Matthew 1:13,,,,
14,Matthew 1:14,,,,
15,Matthew 1:15,,,,
16,Matthew 1:16,,,,
17,Matthew 1:17,,,,
18,Matthew 1:18,,,,
19,Matthew 1:19,,,,
20,Matthew 1:20,,,,
21,Matthew 1:21,,,,
22,Matthew 1:22,,,,
23,Matthew 1:23,,,,
24,Matthew 1:24,,,,
25,Matthew 1:25,,,,
26,Matthew 1:26,,,,
27,Matthew 1:27,,,,
28,Matthew 1:28,,,,
29,Matthew 1:29,,,,
30,Matthew 1:30,,,,
31,Matthew 1:31,,,,
32,Matthew 1:32,,,,
33,Matthew 1:33,,,,
34,Matthew 1:34,,,,
35,Matthew 1:35,,,,
36,Matthew 1:36,,,,
37,Matthew 1:37,,,,
38,Matthew 1:38,,,,
39,Matthew 1:39,,,,
45,Matthew 1:45,,,,
50,Matthew 1:50,,,,
40,Matthew 1:40,,,,
41,Matthew 1:41,,,,
42,Matthew 1:42,,,,
43,Matthew 1:43,,,,
44,Matthew 1:44,,,,
46,Matthew 1:46,,,,
47,Matthew 1:47,,,,
48,Matthew 1:48,,,,
49,Matthew 1:49,,,,
