ID,Reference,Verse,Notes,NoteFonts,Residue
1,Nahum 1:1,This book is about a man named Nahum.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Nahum ) ) . ,,,
2,Nahum 1:2,,,,
3,Nahum 1:3,,,,
4,Nahum 1:4,,,,
5,Nahum 1:5,,,,
6,Nahum 1:6,,,,
7,Nahum 1:7,,,,
8,Nahum 1:8,,,,
9,Nahum 1:9,,,,
10,Nahum 1:10,,,,
11,Nahum 1:11,,,,
12,Nahum 1:12,,,,
13,Nahum 1:13,,,,
14,Nahum 1:14,,,,
15,Nahum 1:15,,,,
16,Nahum 1:16,,,,
17,Nahum 1:17,,,,
18,Nahum 1:18,,,,
19,Nahum 1:19,,,,
20,Nahum 1:20,,,,
21,Nahum 1:21,,,,
22,Nahum 1:22,,,,
23,Nahum 1:23,,,,
24,Nahum 1:24,,,,
25,Nahum 1:25,,,,
26,Nahum 1:26,,,,
27,Nahum 1:27,,,,
28,Nahum 1:28,,,,
29,Nahum 1:29,,,,
30,Nahum 1:30,,,,
31,Nahum 1:31,,,,
32,Nahum 1:32,,,,
33,Nahum 1:33,,,,
34,Nahum 1:34,,,,
35,Nahum 1:35,,,,
36,Nahum 1:36,,,,
37,Nahum 1:37,,,,
38,Nahum 1:38,,,,
39,Nahum 1:39,,,,
40,Nahum 1:40,,,,
41,Nahum 1:41,,,,
46,Nahum 1:46,,,,
42,Nahum 1:42,,,,
43,Nahum 1:43,,,,
44,Nahum 1:44,,,,
45,Nahum 1:45,,,,
47,Nahum 1:47,,,,
48,Nahum 1:48,,,,
49,Nahum 1:49,,,,
50,Nahum 1:50,,,,
