ID,Reference,Verse,Notes,NoteFonts,Residue
1,Nehemiah 1:1,This book is about a man named Nehemiah.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] man (NP named Nehemiah ) ) . ,,,
2,Nehemiah 1:2,,,,
3,Nehemiah 1:3,,,,
4,Nehemiah 1:4,,,,
5,Nehemiah 1:5,,,,
6,Nehemiah 1:6,,,,
7,Nehemiah 1:7,,,,
8,Nehemiah 1:8,,,,
9,Nehemiah 1:9,,,,
10,Nehemiah 1:10,,,,
11,Nehemiah 1:11,,,,
12,Nehemiah 1:12,,,,
13,Nehemiah 1:13,,,,
14,Nehemiah 1:14,,,,
15,Nehemiah 1:15,,,,
16,Nehemiah 1:16,,,,
17,Nehemiah 1:17,,,,
18,Nehemiah 1:18,,,,
19,Nehemiah 1:19,,,,
20,Nehemiah 1:20,,,,
21,Nehemiah 1:21,,,,
22,Nehemiah 1:22,,,,
23,Nehemiah 1:23,,,,
24,Nehemiah 1:24,,,,
25,Nehemiah 1:25,,,,
26,Nehemiah 1:26,,,,
27,Nehemiah 1:27,,,,
28,Nehemiah 1:28,,,,
29,Nehemiah 1:29,,,,
30,Nehemiah 1:30,,,,
31,Nehemiah 1:31,,,,
32,Nehemiah 1:32,,,,
33,Nehemiah 1:33,,,,
34,Nehemiah 1:34,,,,
35,Nehemiah 1:35,,,,
36,Nehemiah 1:36,,,,
37,Nehemiah 1:37,,,,
38,Nehemiah 1:38,,,,
44,Nehemiah 1:44,,,,
49,Nehemiah 1:49,,,,
39,Nehemiah 1:39,,,,
40,Nehemiah 1:40,,,,
41,Nehemiah 1:41,,,,
42,Nehemiah 1:42,,,,
43,Nehemiah 1:43,,,,
45,Nehemiah 1:45,,,,
46,Nehemiah 1:46,,,,
47,Nehemiah 1:47,,,,
48,Nehemiah 1:48,,,,
50,Nehemiah 1:50,,,,
