ID,Reference,Verse,Notes,NoteFonts,Residue
1,Ruth 1:1,This book is about a woman named Ruth. Ruth was from a country named Moab. But she married a man who was from Israel. She was a good woman. Ruth's mother-in-law's name was Naomi.~!~(NP this[Proximity] book ) (VP is ) (NP about a[Article] woman (NP named Ruth ) ) . (NP Ruth ) (VP was ) (NP from a[Article] country (NP named Moab ) ) . but (NP she ) (VP marri+ed[Past_Tense] ) (NP a[Article] man [ who[Relativizer] (NP ) (VP was ) (NP from Israel ) ] ) . (NP she ) (VP was ) (NP a[Article] (AdjP good ) woman ) . (NP (NP _ (NP _ Ruth+`s[Saxon_Genitive] ) mother-in-law+`s[Saxon_Genitive] ) name ) (VP was ) (NP Naomi ) . ,,,
2,Ruth 1:2,"After Naomi's husband and Ruth's husband died, they became very poor. But they obeyed God. And Ruth was very kind to Naomi.~!~[ after (NP (NP _ Naomi+`s[Saxon_Genitive] ) husband ) (NP and (NP _ Ruth+`s[Saxon_Genitive] ) husband ) (VP di+ed[Past_Tense] ) , ] (NP they ) (VP became ) (AdjP very[Degree] poor ) . but (NP they ) (NP ) (VP obeyed ) (NP God ) . and (NP Ruth ) (VP was ) (AdjP very[Degree] kind (NP to Naomi ) ) . ",,,
3,Ruth 1:3,Then a man named Boaz helped Ruth and Naomi. Boaz married Ruth. And God was kind to Ruth and Boaz. So Ruth and Boaz had a son named Obed. Obed became King David's grandfather. Therefore Boaz and Ruth are the ancestors of Jesus Christ.~!~then (NP a[Article] man (NP named Boaz ) ) (VP help+ed[Past_Tense] ) (NP Ruth ) (NP and Naomi ) . (NP Boaz ) (VP marri+ed[Past_Tense] ) (NP Ruth ) . and (NP God ) (VP was ) (AdjP kind (NP to Ruth ) (NP and Boaz ) ) . so (NP Ruth ) (NP and Boaz ) (VP had ) (NP a[Article] son (NP named Obed ) ) . (NP Obed ) (VP became ) (NP (NP _ (NP _ King ) David+`s[Saxon_Genitive] ) grandfather ) . therefore (NP Boaz ) (NP and Ruth ) (VP are ) (NP the[Article] ancestor+s[Plural] (NP of _ Jesus (NP _ Christ ) ) ) . ,,,
4,Ruth 1:4,"This book is important because Boaz acted like Jesus Christ acted. Boaz was Naomi's relative. When Naomi and Ruth were very poor, Boaz helped them. He bought Naomi's land and married Ruth.~!~(NP this[Proximity] book ) (VP is ) (AdjP important ) [ because (NP Boaz ) (VP act+ed[Past_Tense] ) [ like (NP Jesus (NP _ Christ ) ) (VP act+ed[Past_Tense] ) ] ] . (NP Boaz ) (VP was ) (NP (NP _ Naomi+`s[Saxon_Genitive] ) relative ) . [ when (NP Naomi ) (NP and Ruth ) (VP were ) (AdjP very[Degree] poor ) , ] (NP Boaz ) (VP help+ed[Past_Tense] ) (NP them ) . (NP he ) (VP bought ) (NP (NP _ Naomi+`s[Saxon_Genitive] ) land ) [ and (NP ) (VP marri+ed[Past_Tense] ) (NP Ruth ) ] . ",,,
5,Ruth 1:5,"Similarly Jesus Christ is our relative. When we were very far from God, Jesus helped us. When Jesus died on the cross, he bought us for his blood. He'll help us like Boaz helped Naomi and Ruth. All of the Christians will be saved by God and become Jesus' bride like Ruth became Boaz's bride.~!~similarly (NP Jesus (NP _ Christ ) ) (VP is ) (NP (NP _ our ) relative ) . [ when (NP we ) (VP were ) (AdjP very[Degree] far (NP from God ) ) , ] (NP Jesus ) (VP help+ed[Past_Tense] ) (NP us ) . [ when (NP Jesus ) (VP di+ed[Past_Tense] ) (NP on the[Article] cross ) , ] (NP he ) (VP bought ) (NP us ) (NP for (NP _ his ) blood ) . (NP he ) (VP will[INFL] help ) (NP us ) [ like (NP Boaz ) (VP help+ed[Past_Tense] ) (NP Naomi ) (NP and Ruth ) ] . (NP (AdjP all of ) the[Article] Christian+s[Plural] ) (VP will[INFL] be sav+ed[Past_Tense] ) (NP by God ) [ and (NP ) (VP become ) (NP (NP _ Jesus+`[Saxon_Genitive] ) bride ) [ like (NP Ruth ) (VP became ) (NP (NP _ Boaz+`s[Saxon_Genitive] ) bride ) ] ] . ",,,
6,Ruth 1:6,,,,
7,Ruth 1:7,,,,
8,Ruth 1:8,,,,
9,Ruth 1:9,,,,
10,Ruth 1:10,,,,
11,Ruth 1:11,,,,
12,Ruth 1:12,,,,
13,Ruth 1:13,Naomi believed that a certain person caused her to have trouble. Who was that person? Naomi believed that the LORD caused her to have trouble.~!~(NP Naomi ) (VP believ+ed[Past_Tense] ) [ that[Complementizer] (NP a[Pre-Nominal] (AdjP certain ) person ) (VP caus+ed[Past_Tense] ) (NP her ) [ (NP ) (VP to[Pre-Verbal] have ) (NP trouble ) ] ] . (NP (NP who ) ) (VP was[CP-VP] ) (VP ) (NP that[Pre-Nominal] person ) ? . (NP Naomi ) (VP believ+ed[Past_Tense] ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP caus+ed[Past_Tense] ) (NP her ) [ (NP ) (VP to[Pre-Verbal] have ) (NP trouble ) ] ] . Naomi believed that a person caused her to have trouble. Who was that person? Naomi believed that the LORD caused her to have trouble.~!~(NP Naomi ) (VP believ+ed[Past_Tense] ) [ that[Complementizer] (NP a[Pre-Nominal] person ) (VP caus+ed[Past_Tense] ) (NP her ) [ (NP ) (VP to[Pre-Verbal] have ) (NP trouble ) ] ] . (NP (NP who ) ) (VP was[CP-VP] ) (VP ) (NP that[Pre-Nominal] person ) ? . (NP Naomi ) (VP believ+ed[Past_Tense] ) [ that[Complementizer] (NP the[Pre-Nominal] LORD ) (VP caus+ed[Past_Tense] ) (NP her ) [ (NP ) (VP to[Pre-Verbal] have ) (NP trouble ) ] ] . ,,,
14,Ruth 1:14,,,,
15,Ruth 1:15,,,,
16,Ruth 1:16,"When Ruth stayed with Naomi, she promised Naomi that she would do certain things. What were those things? Ruth promised Naomi that she would go with Naomi and that she would stay with Naomi. Ruth also promised Naomi that her people would be her people and that Naomi's God would be Ruth's God.~!~[ when (NP Ruth ) (VP stay+ed[Past_Tense] ) (NP with Naomi ) , ] (NP she ) (VP promis+ed[Past_Tense] ) (NP Naomi ) [ that[Complementizer] (NP she ) (VP would[Pre-Verbal] do ) (NP (AdjP certain ) thing+s[Plural] ) ] . (NP (NP what ) ) (VP were[CP-VP] ) (VP ) (NP those[Pre-Nominal] thing+s[Plural] ) ? . (NP Ruth ) (VP promis+ed[Past_Tense] ) (NP Naomi ) [ that[Complementizer] (NP she ) (VP would[Pre-Verbal] go ) (NP with Naomi ) ] [ and that[Complementizer] (NP she ) (VP would[Pre-Verbal] stay ) (NP with Naomi ) ] . (NP Ruth ) (VP (AdvP also ) promis+ed[Past_Tense] ) (NP Naomi ) [ that[Complementizer] (NP (NP _ her ) people ) (VP would[Pre-Verbal] be ) (NP (NP _ her ) people ) ] [ and that[Complementizer] (NP (NP _ Naomi+`s[Saxon_Genitive] ) God ) (VP would[Pre-Verbal] be ) (NP (NP _ Ruth+`s[Saxon_Genitive] ) God ) ] . When Ruth stayed with Naomi, what did she promise Naomi that she would do? Ruth promised Naomi that she would go with Naomi and that she would stay with Naomi. Ruth also Naomi her people will be her people and that Naomi's God will be Ruth's God.~!~[ when (NP Ruth ) (VP stay+ed[Past_Tense] ) (NP with Naomi ) , ] (NP (NP what ) ) (VP did[CP-VP] ) (NP she ) (VP promise ) (NP Naomi ) [ that[Complementizer] (NP she ) (VP would[Pre-Verbal] do ) ] ? . (NP Ruth ) (VP promis+ed[Past_Tense] ) (NP Naomi ) [ that[Complementizer] (NP she ) (VP would[Pre-Verbal] go ) (NP with Naomi ) ] [ and that[Complementizer] (NP she ) (VP would[Pre-Verbal] stay ) (NP with Naomi ) ] . (NP Ruth ) (VP (AdvP also ) ) (NP Naomi ) [ (NP (NP _ her ) people ) (VP will[Pre-Verbal] be ) (NP (NP _ her ) people ) ] [ and (NP (NP _ that[Pre-Nominal] Naomi+`s[Saxon_Genitive] ) God ) (VP will[Pre-Verbal] be ) (NP (NP _ Ruth+`s[Saxon_Genitive] ) God ) ] . ",,,
17,Ruth 1:17,Ruth said that she'll stay with Naomi for a certain amount of time. How much time was that time? Ruth said that she'll stay with Naomi until she dies.~!~(NP Ruth ) (VP said ) [ that[Complementizer] (NP she ) (VP will[Pre-Verbal] stay ) (NP with Naomi ) (NP for a[Pre-Nominal] (AdjP certain ) amount (NP of time ) ) ] . (NP (NP (AdjP how_much ) time ) ) (VP was[CP-VP] ) (VP ) (NP that[Pre-Nominal] time ) ? . (NP Ruth ) (VP said ) [ that[Complementizer] (NP she ) (VP will[Pre-Verbal] stay ) (NP with Naomi ) [ until (NP she ) (VP die+s[Third_Singular_Present] ) ] ] . Ruth that she'll stay for time with Naomi? Ruth said that she'll stay with Naomi until she dies.~!~(NP Ruth ) (VP ) [ that[Complementizer] (NP she ) (VP will[Pre-Verbal] stay ) (NP for time ) (NP with Naomi ) ] ? . (NP Ruth ) (VP said ) [ that[Complementizer] (NP she ) (VP will[Pre-Verbal] stay ) (NP with Naomi ) [ until (NP she ) (VP die+s[Third_Singular_Present] ) ] ] . ,,,
18,Ruth 1:18,,,,
19,Ruth 1:19,Naomi returned to a certain town. Which town was that town? Naomi returned to Bethlehem.~!~(NP Naomi ) (VP return+ed[Past_Tense] ) (NP to a[Pre-Nominal] (AdjP certain ) town ) . (NP (NP which[Pre-Nominal] town ) ) (VP was[CP-VP] ) (NP that[Pre-Nominal] town ) (VP ) ? . (NP Naomi ) (VP return+ed[Past_Tense] ) (NP to Bethlehem ) . To which town did Naomi return? She returned to Bethlehem.~!~(NP (NP to which[Pre-Nominal] town ) ) (VP did[CP-VP] ) (NP Naomi ) (VP return ) ? . (NP she ) (VP return+ed[Past_Tense] ) (NP to Bethlehem ) . ,,,
