ID,Reference,Verse,Notes,NoteFonts,Residue
1,Genesis 1:1,This book is about a woman named Ruth.~!~(NP this[Pre-Nominal] book ) (VP is ) (NP about a[Pre-Nominal] woman (NP named Ruth ) ) . ,,,
2,Genesis 1:2,,,,
3,Genesis 1:3,,,,
4,Genesis 1:4,,,,
5,Genesis 1:5,,,,
6,Genesis 1:6,,,,
7,Genesis 1:7,,,,
8,Genesis 1:8,,,,
9,Genesis 1:9,,,,
10,Genesis 1:10,,,,
11,Genesis 1:11,,,,
12,Genesis 1:12,,,,
13,Genesis 1:13,,,,
14,Genesis 1:14,,,,
15,Genesis 1:15,,,,
16,Genesis 1:16,,,,
17,Genesis 1:17,,,,
18,Genesis 1:18,,,,
19,Genesis 1:19,,,,
20,Genesis 1:20,,,,
21,Genesis 1:21,,,,
22,Genesis 1:22,,,,
23,Genesis 1:23,,,,
24,Genesis 1:24,,,,
25,Genesis 1:25,,,,
26,Genesis 1:26,,,,
27,Genesis 1:27,,,,
28,Genesis 1:28,,,,
29,Genesis 1:29,,,,
30,Genesis 1:30,,,,
31,Genesis 1:31,,,,
32,Genesis 1:32,,,,
33,Genesis 1:33,,,,
34,Genesis 1:34,,,,
35,Genesis 1:35,,,,
36,Genesis 1:36,,,,
37,Genesis 1:37,,,,
38,Genesis 1:38,,,,
39,Genesis 1:39,,,,
45,Genesis 1:45,,,,
50,Genesis 1:50,,,,
40,Genesis 1:40,,,,
41,Genesis 1:41,,,,
42,Genesis 1:42,,,,
43,Genesis 1:43,,,,
44,Genesis 1:44,,,,
46,Genesis 1:46,,,,
47,Genesis 1:47,,,,
48,Genesis 1:48,,,,
49,Genesis 1:49,,,,
