ID,Reference,Verse,Notes,NoteFonts,Residue
1,Adverb 1:1,John walked quickly.,,,
2,Adverb 1:2,John walked more quickly than Mary.,,,
3,Adverb 1:3,John walked the most quickly.,,,
4,Adverb 1:4,John walked very quickly.,,,
5,Adverb 1:5,John walked too quickly.,,,
6,Adverb 1:6,John walked quickly and carefully.,,,
7,Adverb 1:7,John almost read that book.,,,
8,Adverb 1:8,,,,
9,Adverb 1:9,,,,
10,Adverb 1:10,,,,
11,Adverb 1:11,,,,
12,Adverb 1:12,,,,
13,Adverb 1:13,,,,
14,Adverb 1:14,,,,
15,Adverb 1:15,,,,
16,Adverb 1:16,,,,
17,Adverb 1:17,,,,
18,Adverb 1:18,,,,
19,Adverb 1:19,,,,
20,Adverb 1:20,,,,
21,Adverb 1:21,,,,
22,Adverb 1:22,,,,
23,Adverb 1:23,,,,
24,Adverb 1:24,,,,
25,Adverb 1:25,,,,
26,Adverb 1:26,,,,
27,Adverb 1:27,,,,
28,Adverb 1:28,,,,
29,Adverb 1:29,,,,
30,Adverb 1:30,,,,
31,Adverb 1:31,,,,
32,Adverb 1:32,,,,
33,Adverb 1:33,,,,
34,Adverb 1:34,,,,
35,Adverb 1:35,,,,
36,Adverb 1:36,,,,
37,Adverb 1:37,,,,
38,Adverb 1:38,,,,
39,Adverb 1:39,,,,
40,Adverb 1:40,,,,
41,Adverb 1:41,,,,
42,Adverb 1:42,,,,
43,Adverb 1:43,,,,
44,Adverb 1:44,,,,
45,Adverb 1:45,,,,
46,Adverb 1:46,,,,
47,Adverb 1:47,,,,
48,Adverb 1:48,,,,
49,Adverb 1:49,,,,
50,Adverb 1:50,,,,
51,Adverb 1:51,,,,
52,Adverb 1:52,,,,
53,Adverb 1:53,,,,
54,Adverb 1:54,,,,
55,Adverb 1:55,,,,
56,Adverb 1:56,,,,
57,Adverb 1:57,,,,
58,Adverb 1:58,,,,
59,Adverb 1:59,,,,
60,Adverb 1:60,,,,
61,Adverb 1:61,,,,
62,Adverb 1:62,,,,
63,Adverb 1:63,,,,
64,Adverb 1:64,,,,
65,Adverb 1:65,,,,
66,Adverb 1:66,,,,
67,Adverb 1:67,,,,
68,Adverb 1:68,,,,
69,Adverb 1:69,,,,
70,Adverb 1:70,,,,
