ID,Reference,Verse,Notes,NoteFonts,Residue
1,Clause 1:1,That man is John.,,,
2,Clause 1:2,John is a man.,,,
3,Clause 1:3,This tree is tall.,,,
4,Clause 1:4,There is a rooster in that house.,,,
5,Clause 1:5,John is in Terpen.,,,
6,Clause 1:6,This book is for John.,,,
7,Clause 1:7,That feast was in the evening.,,,
8,Clause 1:8,John is with Mary.,,,
9,Clause 1:9,John is from Terpen.,,,
10,Clause 1:10,That baby's name is John.,,,
11,Clause 1:11,John is a teacher.,,,
12,Clause 1:12,John is Mary's brother.~!~(NP John ) (VP is ) (NP (NP _ Mary+`s[Saxon_Genitive] ) brother ) . ,,,
13,Clause 1:13,It's 4 pm.~!~(NP it ) (VP is ) (NP 4_pm ) . ,,,
14,Clause 1:14,John was in the tribe of Judah.David was in the tribe of Judah.~!~(NP David ) (VP was ) (NP in the[Pre-Nominal] tribe (NP of Judah ) ) . ,,,
15,Clause 1:15,It's hot.~!~(NP it ) (VP is ) (AdjP hot ) . ,,,
16,Clause 1:16,This story is about John.,,,
17,Clause 1:17,John is twenty years old.,,,
18,Clause 1:18,John is like Peter.,,,
19,Clause 1:19,John became angry.,,,
20,Clause 1:20,John became a teacher.,,,
21,Clause 1:21,John became a father.,,,
22,Clause 1:22,John has one book.,,,
23,Clause 1:23,Then John saw Mary.,,,
24,Clause 1:24,The man who saw John liked Mary.,,,
25,Clause 1:25,The man that John saw liked Mary.,,,
26,Clause 1:26,Mary read the book that John had.,,,
27,Clause 1:27,The man that John gave a book to saw Mary.,,,
28,Clause 1:28,The house where John lives is there.,,,
29,Clause 1:29,The day when John read that book was good.,,,
30,Clause 1:30,The man that John walked with saw Mary.,,,
31,Clause 1:31,The knife that John cut the fish with is there.,,,
32,Clause 1:32,The man that John walked in front of is there.,,,
33,Clause 1:33,The book that Mary read is better than the book that John read.,,,
34,Clause 1:34,The man who read a book and ate a fish saw Mary.,,,
35,Clause 1:35,"John, who read that book, saw Mary.",,,
36,Clause 1:36,"John, whom Mary saw, read that book.",,,
37,Clause 1:37,John is ready to read that book.,,,
38,Clause 1:38,John is able to read that book.,,,
39,Clause 1:39,John is afraid to read that book.,,,
40,Clause 1:40,John is afraid that Mary read that book.,,,
41,Clause 1:41,John wanted to read that book.,,,
42,Clause 1:42,John decided to read that book.,,,
43,Clause 1:43,John agreed to read that book.,,,
44,Clause 1:44,John tried to read that book.,,,
45,Clause 1:45,John knows how to read that book.,,,
46,Clause 1:46,John thought that Mary read that book.,,,
47,Clause 1:47,John believed that Mary read that book.,,,
48,Clause 1:48,John said that Mary read that book.,,,
49,Clause 1:49,John knew that Mary read that book.,,,
50,Clause 1:50,John wanted Mary to read that book.,,,
51,Clause 1:51,John asked Mary to read that book.,,,
52,Clause 1:52,John told Mary to read that book.,,,
53,Clause 1:53,John caused Mary to read that book.,,,
54,Clause 1:54,John made Mary read that book.,,,
55,Clause 1:55,John prevented Mary from reading that book.,,,
56,Clause 1:56,Mary waited for John to read that book.,,,
57,Clause 1:57,Mary helped John read that book.,,,
58,Clause 1:58,John heard Mary reading that book.,,,
59,Clause 1:59,John saw Mary reading that book.,,,
