ID,Reference,Verse,Notes,NoteFonts,Residue
1,Discourse 1:1,A man named Saul was the king of Israel. King Saul had led Israel's army to a valley that was in Judah. King Saul and his army were preparing to fight Philistia's army.~!~(NP a[Article] man (NP named Saul ) ) (VP was ) (NP the[Article] king (NP of Israel ) ) . (NP (NP _ King ) Saul ) (VP had led ) (NP (NP _ Israel+`s[Saxon_Genitive] ) army ) (NP to a[Article] valley [ that[Relativizer] (NP ) (VP was ) (NP in Judah ) ] ) . (NP (NP _ King ) Saul ) (NP and (NP _ his ) army ) (VP were prepar+ing[Participle] ) [ to (NP ) (VP fight ) (NP (NP _ Philistia+`s[Saxon_Genitive] ) army ) ] . A man named Saul was the king of Israel. King Saul had led Israel's army to a valley that was in Judah. King Saul and his army were preparing to fight Philistia's army.~!~(NP a[Pre-Nominal] man (NP named Saul ) ) (VP was ) (NP the[Pre-Nominal] king (NP of Israel ) ) . (NP (NP _ King ) Saul ) (VP had[Pre-Verbal] led ) (NP (NP _ Israel+`s[Saxon_Genitive] ) army ) (NP to a[Pre-Nominal] valley [ that[Relativizer] (NP ) (VP was ) (NP in Judah ) ] ) . (NP (NP _ King ) Saul ) (NP and (NP _ his ) army ) (VP were[Pre-Verbal] prepar+ing[Participle] ) [ to (NP ) (VP fight ) (NP (NP _ Philistia+`s[Saxon_Genitive] ) army ) ] . ,,,
2,Discourse 1:2,A man named Goliath was living in Philistia. Goliath was a very big man. Goliath was nine feet tall and carried a very big spear. The tip of Goliath's spear weighed fifteen pounds.A man named Goliath was living in Philistia. Goliath was a very big man. Goliath was nine feet tall and carried a very big spear. The tip of Goliath's spear weighed fifteen pounds.~!~(NP a[Pre-Nominal] man (NP named Goliath ) ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in Philistia ) . (NP Goliath ) (VP was ) (NP a[Pre-Nominal] (AdjP very[Pre-Adjective] big ) man ) . (NP Goliath ) (VP was ) (AdjP (NP (AdjP nine ) feet ) tall ) [ and (NP ) (VP carr+ied[Past_Tense] ) (NP a[Pre-Nominal] (AdjP very[Pre-Adjective] big ) spear ) ] . (NP the[Pre-Nominal] tip (NP of (NP _ Goliath+`s[Saxon_Genitive] ) spear ) ) (VP weigh+ed[Past_Tense] ) (NP (AdjP fifteen ) pound+s[Plural] ) . ,,,
3,Discourse 1:3,"Goliath was a soldier for Philistia's army. Each day Goliath came to Israel's army and shouted to its soldiers, “Choose one man who will fight me. If that man kills me, we'll become your slaves. But if I kill that man, you'll become our slaves.” Whenever King Saul and his soldiers heard Goliath's words, they became terrified.~!~(NP Goliath ) (VP was ) (NP a[Pre-Nominal] soldier ) (NP for (NP _ Philistia+`s[Saxon_Genitive] ) army ) . (NP (AdjP each ) day ) (NP Goliath ) (VP came ) (NP to (NP _ Israel+`s[Saxon_Genitive] ) army ) [ and (NP ) (VP shout+ed[Past_Tense] ) (NP to (NP _ its ) soldier+s[Plural] ) [ ,_“ (NP ) (VP choose ) (NP (AdjP one ) man [ who[Relativizer] (NP ) (VP will[Pre-Verbal] fight ) (NP me ) ] ) ] ] . [ if (NP that[Pre-Nominal] man ) (VP kill+s[Third_Singular_Present] ) (NP me ) , ] (NP we ) (VP will[Pre-Verbal] become ) (NP (NP _ your ) slave+s[Plural] ) . but [ if (NP I ) (VP kill ) (NP that[Pre-Nominal] man ) , ] (NP you ) (VP will[Pre-Verbal] become ) (NP (NP _ our ) slave+s[Plural] ) . ” [ whenever (NP (NP _ King ) Saul ) (NP and (NP _ his ) soldier+s[Plural] ) (VP heard ) (NP (NP _ Goliath+`s[Saxon_Genitive] ) word+s[Plural] ) , ] (NP they ) (VP became ) (AdjP terrified ) . Goliath was a soldier for Philistia's army. Each day Goliath came to Israel's army and shouted to its soldiers, “Choose one man who will fight me. If that man kills me, we'll become your slaves. But if I kill that man, you'll become our slaves.” Whenever King Saul and his soldiers heard Goliath's words, they became terrified.~!~(NP Goliath ) (VP was ) (NP a[Pre-Nominal] soldier ) (NP for (NP _ Philistia+`s[Saxon_Genitive] ) army ) . (NP (AdjP each ) day ) (NP Goliath ) (VP came ) (NP to (NP _ Israel+`s[Saxon_Genitive] ) army ) [ and (NP ) (VP shout+ed[Past_Tense] ) (NP to (NP _ its ) soldier+s[Plural] ) [ ,_“ (NP ) (VP choose ) (NP (AdjP one ) man [ who[Relativizer] (NP ) (VP will[Pre-Verbal] fight ) (NP me ) ] ) ] ] . [ if (NP that[Pre-Nominal] man ) (VP kill+s[Third_Singular_Present] ) (NP me ) , ] (NP we ) (VP will[Pre-Verbal] become ) (NP (NP _ your ) slave+s[Plural] ) . but [ if (NP I ) (VP kill ) (NP that[Pre-Nominal] man ) , ] (NP you ) (VP will[Pre-Verbal] become ) (NP (NP _ our ) slave+s[Plural] ) . ” [ whenever (NP (NP _ King ) Saul ) (NP and (NP _ his ) soldier+s[Plural] ) (VP heard ) (NP (NP _ Goliath+`s[Saxon_Genitive] ) word+s[Plural] ) , ] (NP they ) (VP became ) (AdjP terrified ) . ",,,
4,Discourse 1:4,A young man named David was living in Israel. David's brothers were soldiers for Israel's army. One day David wanted to take some food to his brothers. So he went to the valley where Israel's army was.~!~(NP a[Pre-Nominal] (AdjP young ) man (NP named David ) ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in Israel ) . (NP (NP _ David+`s[Saxon_Genitive] ) brother+s[Plural] ) (VP were ) (NP soldier+s[Plural] ) (NP for (NP _ Israel+`s[Saxon_Genitive] ) army ) . one_day (NP David ) (VP want+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] take ) (NP (AdjP some ) food ) (NP to (NP _ his ) brother+s[Plural] ) ] . so (NP he ) (VP went ) (NP to the[Pre-Nominal] valley [ where[Relativizer] (NP (NP _ Israel+`s[Saxon_Genitive] ) army ) (VP was ) (NP ) ] ) . A young man named David was living in Israel. David's brothers were soldiers for Israel's army. One day David wanted to take some food to his brothers. So he went to the valley where Israel's army was.~!~(NP a[Pre-Nominal] (AdjP young ) man (NP named David ) ) (VP was[Pre-Verbal] liv+ing[Participle] ) (NP in Israel ) . (NP (NP _ David+`s[Saxon_Genitive] ) brother+s[Plural] ) (VP were ) (NP soldier+s[Plural] ) (NP for (NP _ Israel+`s[Saxon_Genitive] ) army ) . one_day (NP David ) (VP want+ed[Past_Tense] ) [ (NP ) (VP to[Pre-Verbal] take ) (NP (AdjP some ) food ) (NP to (NP _ his ) brother+s[Plural] ) ] . so (NP he ) (VP went ) (NP to the[Pre-Nominal] valley [ where[Relativizer] (NP (NP _ Israel+`s[Saxon_Genitive] ) army ) (VP was ) (NP ) ] ) . ,,,
5,Discourse 1:5,"When David arrived in the valley, he saw the two armies preparing to fight each other. So he ran to his brothers quickly. Then he greeted his brothers. While David was speaking to his brothers, Goliath started shouting to Israel's army. After the soldiers heard Goliath's words, they ran away from him because they were very afraid.~!~[ when (NP David ) (VP arriv+ed[Past_Tense] ) (NP in the[Pre-Nominal] valley ) , ] (NP he ) (VP saw ) (NP the[Pre-Nominal] (AdjP two ) armi+es[Plural] ) [ (NP ) (VP prepar+ing[Participle] ) [ to (NP ) (VP fight ) (NP each_other ) ] ] . so (NP he ) (VP ran ) (NP to (NP _ his ) brother+s[Plural] ) (AdvP quickly ) . then (NP he ) (VP greet+ed[Past_Tense] ) (NP (NP _ his ) brother+s[Plural] ) . [ while (NP David ) (VP was[Pre-Verbal] speak+ing[Participle] ) (NP to (NP _ his ) brother+s[Plural] ) , ] (NP Goliath ) (VP started[Pre-Verbal] shout+ing[Participle] ) (NP to (NP _ Israel+`s[Saxon_Genitive] ) army ) . [ after (NP the[Pre-Nominal] soldier+s[Plural] ) (VP heard ) (NP (NP _ Goliath+`s[Saxon_Genitive] ) word+s[Plural] ) , ] (NP they ) (VP ran away[Adposition_in_VP] ) (NP from him ) [ because (NP they ) (VP were ) (AdjP very[Pre-Adjective] afraid ) ] . When David arrived in the valley, he saw the two armies preparing to fight each other. So he ran to his brothers quickly. Then he greeted his brothers. While David was speaking to his brothers, Goliath started shouting to Israel's army. After the soldiers heard Goliath's words, they ran away from him because they were very afraid.~!~[ when (NP David ) (VP arriv+ed[Past_Tense] ) (NP in the[Pre-Nominal] valley ) , ] (NP he ) (VP saw ) (NP the[Pre-Nominal] (AdjP two ) armi+es[Plural] ) [ (NP ) (VP prepar+ing[Participle] ) [ to (NP ) (VP fight ) (NP each_other ) ] ] . so (NP he ) (VP ran ) (NP to (NP _ his ) brother+s[Plural] ) (AdvP quickly ) . then (NP he ) (VP greet+ed[Past_Tense] ) (NP (NP _ his ) brother+s[Plural] ) . [ while (NP David ) (VP was[Pre-Verbal] speak+ing[Participle] ) (NP to (NP _ his ) brother+s[Plural] ) , ] (NP Goliath ) (VP started[Pre-Verbal] shout+ing[Participle] ) (NP to (NP _ Israel+`s[Saxon_Genitive] ) army ) . [ after (NP the[Pre-Nominal] soldier+s[Plural] ) (VP heard ) (NP (NP _ Goliath+`s[Saxon_Genitive] ) word+s[Plural] ) , ] (NP they ) (VP ran away[Adposition_in_VP] ) (NP from him ) [ because (NP they ) (VP were ) (AdjP very[Pre-Adjective] afraid ) ] . ",  ,,
6,Discourse 1:6,"David asked some soldiers, “What will the king give to the man who kills Goliath?” The soldiers answered, “If a man kills Goliath, the king will give a lot of money to him. The king will also give his daughter to that man so that he could marry her.”David asked some soldiers, “What will the king give to the man who kills Goliath?” The soldiers answered, “If a man kills Goliath, the king will give a lot of money to him. The king will also give his daughter to that man so that he could marry her.”~!~(NP David ) (VP ask+ed[Past_Tense] ) (NP some[Pre-Nominal] soldier+s[Plural] ) [ ,_“ (NP (NP what ) ) (VP will[CP-VP] ) (NP the[Pre-Nominal] king ) (VP give ) (NP to the[Pre-Nominal] man [ who[Relativizer] (NP ) (VP kill+s[Third_Singular_Present] ) (NP Goliath ) ] ) ? ” ] . (NP the[Pre-Nominal] soldier+s[Plural] ) (VP answer+ed[Past_Tense] ) [ ,_“ [ if (NP a[Pre-Nominal] man ) (VP kill+s[Third_Singular_Present] ) (NP Goliath ) , ] (NP the[Pre-Nominal] king ) (VP will[Pre-Verbal] give ) (NP (AdjP a_lot_of ) money ) (NP to him ) ] . (NP the[Pre-Nominal] king ) (VP will[Pre-Verbal] (AdvP also ) give ) (NP (NP _ his ) daughter ) (NP to that[Pre-Nominal] man ) [ so_that (NP he ) (VP could[Pre-Verbal] marry ) (NP her ) ] . ” ",  ,,
7,Discourse 1:7,"Then David went to King Saul and said to him, “I'll fight Goliath.” But King Saul said, “You're not able to fight Goliath because you're a boy.” Then David said, “God will help me defeat Goliath.” So King Saul said, “Ok. Go and fight Goliath.”~!~then (NP David ) (VP went ) (NP to (NP _ King ) Saul ) [ and (NP ) (VP said ) (NP to him ) [ ,_“ (NP I ) (VP will[Pre-Verbal] fight ) (NP Goliath ) ” ] ] . but (NP (NP _ King ) Saul ) (VP said ) [ ,_“ (NP you ) (VP are not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] fight ) (NP Goliath ) ] ) [ because (NP you ) (VP are ) (NP a[Pre-Nominal] boy ) ] ” ] . then (NP David ) (VP said ) [ ,_“ (NP God ) (VP will[Pre-Verbal] help ) (NP me ) [ (NP ) (VP defeat ) (NP Goliath ) ] ” ] . so (NP (NP _ King ) Saul ) (VP said ) [ ,_“ ok ] . (NP ) (VP go ) [ and (NP ) (VP fight ) (NP Goliath ) ” ] . Then David went to King Saul and said to him, “I'll fight Goliath.” But King Saul said, “You're not able to fight Goliath because you're a boy.” Then David said, “God will help me defeat Goliath.” So King Saul said, “Ok. Go and fight Goliath.”~!~then (NP David ) (VP went ) (NP to (NP _ King ) Saul ) [ and (NP ) (VP said ) (NP to him ) [ ,_“ (NP I ) (VP will[Pre-Verbal] fight ) (NP Goliath ) ” ] ] . but (NP (NP _ King ) Saul ) (VP said ) [ ,_“ (NP you ) (VP are not[Post-Verbal] ) (AdjP able [ (NP ) (VP to[Pre-Verbal] fight ) (NP Goliath ) ] ) [ because (NP you ) (VP are ) (NP a[Pre-Nominal] boy ) ] ” ] . then (NP David ) (VP said ) [ ,_“ (NP God ) (VP will[Pre-Verbal] help ) (NP me ) [ (NP ) (VP defeat ) (NP Goliath ) ] ” ] . so (NP (NP _ King ) Saul ) (VP said ) [ ,_“ ok ] . (NP ) (VP go ) [ and (NP ) (VP fight ) (NP Goliath ) ” ] . ",  ,,
8,Discourse 1:8,Then David went to a stream and chose five smooth stones. Then he put those stones into his bag and started walking toward Goliath. Goliath saw David walking toward him. Goliath saw that David was a boy. So Goliath started cursing David.Then David went to a stream and chose five smooth stones. Then he put those stones into his bag and started walking toward Goliath. Goliath saw David walking toward him. Goliath saw that David was a boy. So Goliath started cursing David.~!~then (NP David ) (VP went ) (NP to a[Pre-Nominal] stream ) [ and (NP ) (VP chose ) (NP (AdjP five ) (AdjP smooth ) stone+s[Plural] ) ] . then (NP he ) (VP put ) (NP those[Pre-Nominal] stone+s[Plural] ) (NP into (NP _ his ) bag ) [ and (NP ) (VP started[Pre-Verbal] walk+ing[Participle] ) (NP toward Goliath ) ] . (NP Goliath ) (VP saw ) (NP David ) [ (NP ) (VP walk+ing[Participle] ) (NP toward him ) ] . (NP Goliath ) (VP saw ) [ that[Complementizer] (NP David ) (VP was ) (NP a[Pre-Nominal] boy ) ] . so (NP Goliath ) (VP started[Pre-Verbal] curs+ing[Participle] ) (NP David ) . ,  ,,
9,Discourse 1:9,"David said, “Today the God of Israel will help me kill you. Then all of the people who are living on the earth will know that God is in Israel.” Then Goliath started walking toward David to fight him.~!~(NP David ) (VP said ) [ ,_“ (AdvP today ) (NP the[Pre-Nominal] God (NP of Israel ) ) (VP will[Pre-Verbal] help ) (NP me ) [ (NP ) (VP kill ) (NP you ) ] ] . then (NP (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are[Pre-Verbal] liv+ing[Participle] ) (NP on the[Pre-Nominal] earth ) ] ) (VP will[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP is ) (NP in Israel ) ] . ” then (NP Goliath ) (VP started[Pre-Verbal] walk+ing[Participle] ) (NP toward David ) [ to (NP ) (VP fight ) (NP him ) ] . David said, “Today the God of Israel will help me kill you. Then all of the people who are living on the earth will know that God is in Israel.” Then Goliath started walking toward David to fight him.~!~(NP David ) (VP said ) [ ,_“ (AdvP today ) (NP the[Pre-Nominal] God (NP of Israel ) ) (VP will[Pre-Verbal] help ) (NP me ) [ (NP ) (VP kill ) (NP you ) ] ] . then (NP (AdjP all of ) the[Pre-Nominal] people [ who[Relativizer] (NP ) (VP are[Pre-Verbal] liv+ing[Participle] ) (NP on the[Pre-Nominal] earth ) ] ) (VP will[Pre-Verbal] know ) [ that[Complementizer] (NP God ) (VP is ) (NP in Israel ) ] . ” then (NP Goliath ) (VP started[Pre-Verbal] walk+ing[Participle] ) (NP toward David ) [ to (NP ) (VP fight ) (NP him ) ] . ",  ,,
10,Discourse 1:10,So David put one stone into his sling quickly and ran toward Goliath. Then David slung the stone at Goliath. Then the stone hit Goliath's forehead and immediately killed him. So Goliath fell to the ground. Then David ran to Goliath and stood on his body.~!~so (NP David ) (VP put ) (NP (AdjP one ) stone ) (NP into (NP _ his ) sling ) (AdvP quickly ) [ and (NP ) (VP ran ) (NP toward Goliath ) ] . then (NP David ) (VP slung ) (NP the[Pre-Nominal] stone ) (NP at Goliath ) . then (NP the[Pre-Nominal] stone ) (VP hit ) (NP (NP _ Goliath+`s[Saxon_Genitive] ) forehead ) [ and (NP ) (VP (AdvP immediately ) kill+ed[Past_Tense] ) (NP him ) ] . so (NP Goliath ) (VP fell ) (NP to the[Pre-Nominal] ground ) . then (NP David ) (VP ran ) (NP to Goliath ) [ and (NP ) (VP stood ) (NP on (NP _ his ) body ) ] . So David put one stone into his sling quickly and ran toward Goliath. Then David slung the stone at Goliath. Then the stone hit Goliath's forehead and immediately killed him. So Goliath fell to the ground. Then David ran to Goliath and stood on his body.~!~so (NP David ) (VP put ) (NP (AdjP one ) stone ) (NP into (NP _ his ) sling ) (AdvP quickly ) [ and (NP ) (VP ran ) (NP toward Goliath ) ] . then (NP David ) (VP slung ) (NP the[Pre-Nominal] stone ) (NP at Goliath ) . then (NP the[Pre-Nominal] stone ) (VP hit ) (NP (NP _ Goliath+`s[Saxon_Genitive] ) forehead ) [ and (NP ) (VP (AdvP immediately ) kill+ed[Past_Tense] ) (NP him ) ] . so (NP Goliath ) (VP fell ) (NP to the[Pre-Nominal] ground ) . then (NP David ) (VP ran ) (NP to Goliath ) [ and (NP ) (VP stood ) (NP on (NP _ his ) body ) ] . ,  ,,
